name,up greedy,up insertion,up oct_schedule,oct greedy,oct insertion,oct oct_schedule,cp,size,seq
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_nsm_2x4.graphml,2502,478,459,2082,353,386,132,214,1426
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_6_copies.graphml,1630,290,318,1655,291,305,47,162,1157
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadParset.graphml,25,17,14,25,17,14,7,3,23
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_3-2_copies.graphml,368,143,134,368,141,134,53,31,206
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-3-3_copies.graphml,5833,729,1017,6692,1010,1322,299,559,3879
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1630,344,359,1570,300,348,98,135,899
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,22357,2034,3697,22397,3401,4737,601,2068,14311
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_hello.graphml,81,28,28,78,28,28,15,5,36
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_1_copies.graphml,1759,398,324,1633,348,298,176,59,389
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_8_copies.graphml,1808,297,336,1813,286,364,70,184,1258
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila.graphml,1150,239,251,752,205,236,136,66,432
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_9_copies.graphml,9860,1021,1091,9385,919,1015,596,355,2311
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_4-5_copies.graphml,690,132,168,703,146,161,48,42,230
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1630,344,359,1570,300,348,98,135,899
