name,up greedy,seq,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1271,916,267,318,326,1316,284,1244,285,304,80,135,
translated_askap_LoadParset.graphml,29,24,20,20,20,29,20,29,20,20,13,3,
translated_atca_minh_3-2_copies.graphml,502,155,122,121,121,453,128,502,121,122,28,31,
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,5821,4889,531,851,892,5912,879,5840,1127,493,216,711,
translated_CALIB_6_copies.graphml,1245,1028,211,254,260,1196,213,1244,236,208,45,162,
translated_lofar_test_2x4.graphml,2368,1527,595,512,525,2352,512,2375,481,520,188,220,
translated_chiles_two_6_copies.graphml,1192,883,203,252,263,1221,187,1200,208,225,38,140,
translated_chiles_two_dev2_6-8-4_copies.graphml,28008,24026,1802,4001,4038,31215,3599,28026,6209,1804,386,3467,
translated_askap_hello.graphml,76,26,29,26,26,76,29,76,26,29,11,5,
translated_chiles_two_dev2_3-3-3_copies.graphml,4490,3895,609,795,797,5530,772,4450,964,619,287,559,
translated_chiles_two_dev2_3-6-9_copies.graphml,23473,19942,1604,3508,3449,24037,3338,23472,4751,1669,556,2899,
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,26383,22807,1665,3939,3909,26573,3464,26387,6176,1664,443,3271,
translated_dist_sagecal.graphml,2801,638,600,570,537,2546,600,2801,552,598,154,98,
translated_askap_LoadVis.graphml,29,24,20,20,20,29,20,29,20,20,13,3,
translated_test_grpby_gather.graphml,1018,1009,160,206,202,1043,155,1043,207,168,11,154,
translated_chiles_two.graphml,618,453,182,173,173,598,146,630,163,192,14,76,
translated_facet_img_8-8-4_copies.graphml,36801,31649,2342,5417,5372,38245,4814,36767,8280,2344,304,4583,
translated_mwa_gleam.graphml,1043,884,201,221,223,1058,184,1017,219,210,36,130,
translated_chiles_two_dev1_12-12_copies.graphml,7219,6261,538,1035,1001,7369,872,7198,1459,541,22,906,
translated_lofar_nsm_2x4.graphml,2118,1436,438,425,444,1717,346,2143,365,492,164,214,
translated_chiles_simple.graphml,229,131,81,75,75,221,79,249,87,81,8,22,
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,8202,6799,676,1294,1306,8466,1127,8283,1666,703,297,983,
translated_CALIB_12_copies.graphml,2466,2198,314,400,411,2487,347,2413,434,306,27,324,
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1271,916,267,322,326,1316,284,1279,285,285,80,135,
translated_askap_dingo.graphml,646,360,109,146,146,531,126,648,118,109,15,59,
translated_atca_minh_10-8_copies.graphml,1116,487,209,231,230,1084,231,1126,245,208,46,78,
translated_lofar_test_4x4.graphml,3179,2261,551,619,615,3166,602,3143,688,548,167,348,
translated_mwa_gleam_simple_12_copies.graphml,1029,945,177,207,192,1012,158,1025,191,176,28,144,
translated_chiles_two_8_copies.graphml,1362,1230,239,320,317,1417,246,1356,288,261,63,184,
translated_lofar_std.graphml,1693,1237,405,430,428,1721,285,1660,366,412,142,192,
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1962,1635,368,437,430,1962,305,1956,406,373,144,247,
translated_mwa_gleam_simple_3_copies.graphml,360,185,87,71,71,381,83,360,84,63,8,36,
translated_askap_dingo_expanded.graphml,646,360,109,146,146,531,126,637,118,101,15,59,
translated_lofar_test_8x8.graphml,8872,8311,897,1497,1599,12696,1342,8912,1915,926,128,1202,
translated_dist_sagecal_sleep_1_copies.graphml,1740,360,339,294,294,1643,354,1740,296,339,99,59,
translated_test_mk_grpby.graphml,1178,873,248,273,278,1053,241,1150,248,238,182,124,
translated_lofar_cal.graphml,73,21,21,21,21,73,21,73,21,21,9,4,
translated_atca_minh.graphml,627,302,149,173,173,627,165,627,183,148,37,45,
translated_atca_attila_12_copies.graphml,1313,643,279,245,256,884,221,1290,239,272,108,96,
translated_test_seq_gather.graphml,1924,445,341,336,336,1711,327,1924,308,357,66,74,
translated_atca_attila_4_copies.graphml,1225,364,267,215,215,693,205,1225,163,267,92,56,
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,8898,7481,723,1369,1345,9247,1177,8925,1820,722,190,1095,
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,13153,11298,895,1927,1955,13264,1839,13162,2915,864,151,1615,
translated_chiles_two_dev1.graphml,581,487,143,156,129,585,148,581,140,143,19,78,
translated_cont_img.graphml,4440,999,680,644,644,3307,414,4440,392,680,230,148,
translated_CALIB_8_copies.graphml,1615,1465,272,322,322,1621,248,1650,315,243,20,216,
translated_dist_sagecal_sleep_9_copies.graphml,9553,2512,993,1062,1033,9460,778,9679,954,961,602,355,
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,581,175,163,133,133,314,95,581,68,163,62,26,
translated_atca_minh_4-5_copies.graphml,703,275,181,181,177,762,184,703,167,166,51,42,
translated_chiles_two_dev1_8-8_copies.graphml,3488,2956,312,520,511,3513,433,3485,665,311,86,428,
translated_CALIB.graphml,827,749,171,203,201,834,180,819,194,180,22,108,
translated_lofar_test_4x8.graphml,5103,4812,733,999,939,5292,846,5168,1339,709,192,690,
translated_dist_sagecal_sleep_5_copies.graphml,5383,1433,812,791,796,5232,806,5377,740,822,368,207,
translated_chiles_two_12_copies.graphml,2250,1853,308,397,390,2339,310,2226,382,315,103,272,
translated_chiles_two_dev2.graphml,4122,3383,564,720,731,5164,750,4186,988,583,276,499,
translated_mwa_gleam_simple.graphml,608,464,134,151,151,588,122,603,128,134,10,72,
translated_facet_img_2-2-2_copies.graphml,1629,1282,365,407,457,1589,327,1600,395,369,283,191,
translated_dist_sagecal_sleep.graphml,7016,1891,823,875,849,6781,766,6992,772,830,350,281,
translated_chiles_two_dev1_8-4_copies.graphml,1977,1653,245,306,308,1943,244,1943,351,247,14,244,
translated_mwa_gleam_simple_8_copies.graphml,743,643,151,151,176,751,149,723,156,149,14,96,
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,16692,14181,1126,2518,2512,16980,2332,16778,3597,1137,439,2068,
translated_atca_attila_8_copies.graphml,1331,453,268,233,233,1270,233,1332,237,157,88,76,
translated_atca_attila.graphml,1183,408,235,211,211,634,152,731,170,230,68,66,
translated_dist_sagecal_sleep_3_copies.graphml,3666,862,600,635,607,3464,572,3666,580,600,210,133,
translated_dist_sagecal_sleep_2_copies.graphml,2423,643,595,443,450,2409,410,2423,423,515,203,96,
translated_facet_img.graphml,5196,4574,709,950,972,6593,959,5152,1265,691,275,655,
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,5701,4810,566,956,954,5804,827,5757,1348,583,132,699,
translated_atca_attila_3_copies.graphml,1225,320,253,231,231,694,187,1225,173,248,78,51,
translated_chiles_two_dev1_4-8_copies.graphml,5117,4247,386,711,717,5229,707,5161,1033,397,32,634,
