name,up greedy,seq,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1266,943,293,292,304,1014,212,1270,261,285,68,135,
translated_askap_LoadParset.graphml,14,13,13,13,13,14,13,14,13,13,6,3,
translated_atca_minh_3-2_copies.graphml,467,165,140,107,107,421,146,467,122,140,25,31,
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,4683,4868,403,671,674,4747,605,4714,1015,407,197,711,
translated_CALIB_6_copies.graphml,997,1026,193,193,204,980,181,954,184,193,18,162,
translated_lofar_test_2x4.graphml,2169,1496,438,462,453,2155,308,2166,358,443,140,220,
translated_chiles_two_6_copies.graphml,1007,924,196,240,250,1045,206,994,235,193,41,140,
translated_chiles_two_dev2_6-8-4_copies.graphml,22425,24009,1138,3012,3056,25931,2658,22459,4781,1168,324,3467,
translated_askap_hello.graphml,87,22,21,21,18,85,23,85,21,23,8,5,
translated_chiles_two_dev2_3-3-3_copies.graphml,3595,3852,503,684,693,4721,630,3598,838,512,215,559,
translated_chiles_two_dev2_3-6-9_copies.graphml,18742,19943,1011,2531,2538,20224,2239,18695,3624,992,338,2899,
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,21179,22415,1002,2945,2924,21422,2452,21103,4291,989,224,3271,
translated_dist_sagecal.graphml,2610,595,599,486,496,2498,449,2610,448,597,136,98,
translated_askap_LoadVis.graphml,14,13,13,13,13,14,13,14,13,13,6,3,
translated_test_grpby_gather.graphml,856,1019,183,177,192,811,144,854,181,171,3,154,
translated_chiles_two.graphml,577,530,157,176,164,524,136,583,153,153,20,76,
translated_facet_img_8-8-4_copies.graphml,29524,31603,1395,3948,3940,33704,3101,29431,6285,1410,106,4583,
translated_mwa_gleam.graphml,836,812,223,205,203,824,169,831,172,216,33,130,
translated_chiles_two_dev1_12-12_copies.graphml,5800,6207,371,757,766,5896,620,5818,1115,372,21,906,
translated_lofar_nsm_2x4.graphml,1954,1416,468,390,393,1470,287,1975,336,434,62,214,
translated_chiles_simple.graphml,212,121,75,72,72,199,77,212,77,75,17,22,
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,6592,6663,548,1043,1015,6860,931,6667,1260,551,214,983,
translated_CALIB_12_copies.graphml,1956,2227,266,336,345,1981,252,1957,376,277,14,324,
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1266,943,293,281,304,1014,212,1282,261,293,68,135,
translated_askap_dingo.graphml,476,393,129,135,144,409,139,482,146,143,20,59,
translated_atca_minh_10-8_copies.graphml,1097,523,225,226,214,1086,230,1098,233,225,51,78,
