N1,N2,...,Nx
[0, 20, 22, 40, 47, 45, 1, 7, 29, 27, 8, 27, 10, 5, 0, 27, 1, 29, 4, 28, 34, 34, 30, 47, 6, 36, 49, 1, 46, 44, 47, 24, 13, 25, 48, 19, 4, 12, 33, 16, 27, 46, 43, 13, 3, 14, 9, 16, 30, 49, 10, 25, 12, 20, 23, 0, 22, 10, 40, 28, 46, 28, 50, 49, 14, 42, 3, 3, 27, 42, 16, 14, 13, 10, 4, 5, 45, 22, 19, 25, 14, 39, 50, 0, 11, 49, 7, 45, 23, 39, 16, 50, 8, 27, 46, 39, 3, 12, 31, 13, 38, 38, 9, 9, 29, 34, 39, 16, 34, 46, 26, 24, 1, 46, 46, 46, 8, 36, 25, 28, 0, 9, 17, 1, 2, 5, 7, 10, 25, 42, 50, 45, 44, 44, 45, 30, 8, 37, 49, 1, 31, 20, 0, 15, 6, 23, 16, 45, 20, 21]
[20, 0, 11, 25, 39, 42, 31, 11, 19, 45, 20, 13, 30, 11, 43, 30, 23, 19, 28, 49, 39, 33, 1, 15, 35, 4, 28, 42, 18, 27, 3, 23, 43, 3, 1, 47, 4, 9, 13, 12, 38, 3, 5, 17, 22, 5, 11, 23, 49, 17, 6, 46, 8, 5, 5, 17, 14, 10, 10, 33, 42, 27, 22, 18, 9, 2, 42, 50, 38, 35, 14, 32, 18, 32, 10, 45, 4, 26, 30, 21, 37, 18, 18, 9, 18, 16, 44, 2, 22, 3, 6, 49, 50, 1, 35, 5, 47, 34, 10, 28, 2, 29, 38, 8, 29, 32, 28, 14, 7, 12, 37, 38, 25, 36, 10, 5, 7, 34, 32, 32, 5, 1, 45, 34, 29, 10, 1, 35, 1, 7, 34, 18, 13, 49, 45, 10, 0, 31, 35, 38, 0, 8, 13, 4, 2, 40, 36, 30, 28, 43]
[22, 11, 0, 38, 17, 5, 9, 34, 28, 47, 41, 34, 26, 21, 28, 45, 39, 38, 27, 39, 19, 49, 34, 43, 50, 45, 28, 37, 15, 13, 25, 8, 35, 31, 45, 34, 2, 42, 18, 7, 37, 5, 30, 9, 5, 20, 31, 13, 28, 23, 32, 30, 2, 1, 6, 3, 11, 12, 9, 24, 29, 25, 39, 50, 24, 14, 40, 14, 28, 7, 11, 29, 18, 45, 43, 13, 27, 8, 26, 49, 14, 36, 19, 0, 23, 30, 15, 13, 0, 39, 44, 3, 8, 6, 48, 9, 21, 50, 6, 28, 46, 30, 18, 27, 50, 7, 10, 15, 39, 4, 30, 11, 3, 12, 6, 40, 35, 29, 3, 47, 18, 25, 26, 46, 22, 16, 16, 41, 14, 44, 34, 21, 16, 18, 27, 40, 36, 29, 6, 1, 49, 16, 27, 5, 4, 39, 39, 45, 35, 3]
[40, 25, 38, 0, 24, 14, 17, 42, 36, 47, 1, 9, 45, 20, 17, 26, 10, 27, 34, 26, 37, 37, 31, 38, 19, 14, 26, 40, 36, 0, 15, 15, 7, 32, 40, 47, 10, 0, 46, 17, 20, 32, 11, 49, 0, 4, 20, 6, 17, 0, 30, 11, 27, 40, 5, 24, 25, 17, 49, 9, 6, 23, 20, 30, 44, 47, 29, 33, 50, 36, 36, 40, 31, 13, 49, 27, 26, 41, 26, 7, 22, 27, 21, 12, 40, 0, 2, 29, 42, 20, 48, 19, 13, 4, 8, 28, 7, 34, 1, 44, 2, 12, 2, 8, 36, 38, 50, 28, 7, 12, 50, 15, 9, 36, 11, 34, 43, 39, 45, 37, 35, 24, 18, 24, 14, 19, 22, 50, 16, 33, 11, 18, 23, 27, 27, 25, 20, 46, 25, 45, 47, 39, 9, 26, 48, 26, 19, 20, 5, 36]
[47, 39, 17, 24, 0, 42, 44, 20, 45, 18, 21, 13, 46, 42, 31, 7, 44, 6, 23, 2, 13, 24, 24, 12, 48, 13, 40, 20, 6, 33, 14, 31, 28, 5, 23, 21, 3, 28, 18, 7, 22, 47, 50, 48, 9, 47, 9, 15, 8, 32, 18, 45, 5, 41, 41, 41, 49, 1, 26, 45, 43, 22, 25, 10, 5, 43, 21, 22, 1, 9, 1, 35, 22, 27, 43, 8, 49, 39, 13, 4, 22, 37, 1, 37, 45, 48, 28, 10, 27, 9, 44, 28, 39, 47, 25, 31, 25, 27, 8, 36, 26, 12, 11, 43, 0, 34, 18, 22, 14, 17, 10, 10, 5, 10, 9, 4, 23, 32, 26, 30, 47, 11, 26, 2, 23, 25, 24, 41, 5, 25, 14, 30, 0, 9, 34, 19, 13, 1, 19, 50, 17, 34, 18, 49, 29, 29, 2, 27, 31, 12]
[45, 42, 5, 14, 42, 0, 16, 41, 3, 41, 42, 31, 23, 38, 49, 5, 35, 10, 8, 18, 7, 33, 33, 48, 0, 42, 21, 17, 18, 4, 42, 46, 26, 21, 28, 2, 48, 0, 23, 20, 7, 29, 12, 44, 50, 33, 38, 49, 28, 6, 5, 50, 15, 2, 30, 19, 18, 16, 33, 11, 21, 34, 36, 26, 4, 36, 43, 23, 12, 36, 27, 5, 50, 42, 42, 49, 42, 17, 17, 18, 16, 43, 8, 38, 19, 23, 40, 16, 1, 30, 30, 17, 24, 8, 7, 44, 16, 26, 10, 43, 47, 21, 26, 4, 33, 14, 36, 22, 12, 25, 41, 9, 45, 16, 19, 29, 24, 0, 40, 21, 48, 14, 28, 4, 31, 29, 44, 36, 28, 36, 12, 44, 0, 23, 25, 31, 16, 38, 17, 34, 31, 25, 9, 31, 5, 18, 41, 2, 21, 41]
[1, 31, 9, 17, 44, 16, 0, 39, 0, 6, 45, 9, 33, 28, 31, 48, 9, 50, 31, 13, 3, 10, 49, 22, 5, 45, 50, 3, 1, 39, 8, 17, 14, 35, 41, 41, 29, 33, 35, 43, 2, 50, 21, 32, 31, 2, 13, 15, 12, 2, 2, 39, 37, 49, 23, 45, 15, 36, 47, 24, 12, 10, 45, 34, 7, 25, 32, 46, 14, 29, 10, 26, 41, 32, 36, 18, 32, 35, 8, 30, 9, 38, 33, 12, 46, 3, 18, 44, 5, 6, 44, 6, 11, 32, 40, 11, 28, 3, 33, 9, 46, 33, 48, 27, 36, 18, 25, 2, 24, 0, 43, 30, 6, 48, 9, 37, 35, 25, 39, 12, 11, 37, 22, 50, 11, 47, 15, 46, 49, 15, 17, 9, 42, 29, 4, 33, 38, 49, 27, 32, 46, 33, 34, 6, 33, 23, 42, 15, 20, 49]
[7, 11, 34, 42, 20, 41, 39, 0, 22, 37, 46, 14, 9, 37, 4, 6, 3, 24, 20, 43, 21, 28, 19, 17, 21, 31, 50, 0, 18, 5, 27, 18, 23, 14, 29, 31, 8, 0, 0, 32, 6, 32, 44, 22, 27, 29, 18, 24, 32, 27, 30, 33, 2, 37, 25, 14, 48, 8, 2, 6, 31, 31, 48, 40, 6, 23, 33, 2, 36, 38, 39, 9, 18, 50, 27, 0, 10, 48, 32, 16, 21, 43, 34, 50, 28, 49, 38, 1, 38, 11, 1, 27, 32, 15, 48, 15, 49, 19, 38, 19, 3, 30, 48, 39, 24, 3, 32, 31, 30, 13, 21, 5, 34, 36, 27, 29, 14, 3, 8, 48, 34, 43, 28, 48, 12, 46, 33, 5, 17, 37, 21, 5, 1, 39, 21, 45, 3, 3, 0, 25, 3, 23, 17, 30, 6, 1, 37, 47, 50, 16]
[29, 19, 28, 36, 45, 3, 0, 22, 0, 40, 25, 18, 46, 33, 31, 40, 27, 5, 27, 23, 21, 10, 13, 6, 35, 11, 20, 21, 25, 37, 15, 39, 15, 39, 4, 50, 25, 26, 4, 6, 4, 8, 34, 24, 50, 5, 26, 12, 35, 38, 42, 25, 49, 32, 38, 35, 44, 4, 20, 35, 46, 40, 10, 10, 40, 25, 12, 43, 4, 50, 42, 44, 14, 44, 36, 8, 30, 3, 13, 1, 36, 14, 13, 8, 24, 19, 10, 40, 48, 10, 34, 28, 46, 40, 21, 17, 13, 28, 13, 32, 40, 50, 49, 41, 9, 33, 32, 36, 7, 22, 19, 22, 37, 49, 44, 9, 34, 5, 26, 11, 45, 11, 9, 15, 13, 48, 22, 4, 38, 5, 32, 33, 6, 49, 29, 4, 10, 1, 31, 30, 2, 13, 47, 22, 4, 15, 38, 24, 12, 26]
[27, 45, 47, 47, 18, 41, 6, 37, 40, 0, 35, 11, 8, 33, 16, 1, 15, 28, 50, 9, 30, 24, 43, 27, 34, 48, 44, 9, 17, 19, 46, 22, 32, 39, 32, 36, 12, 39, 15, 1, 44, 32, 46, 28, 1, 12, 12, 38, 50, 17, 39, 0, 32, 25, 37, 40, 32, 46, 17, 47, 41, 27, 5, 4, 28, 41, 31, 32, 50, 25, 30, 32, 11, 30, 27, 32, 3, 50, 38, 26, 5, 8, 24, 25, 12, 13, 31, 0, 9, 4, 38, 13, 22, 4, 2, 14, 14, 18, 31, 41, 11, 14, 20, 43, 2, 40, 48, 0, 50, 23, 0, 36, 28, 17, 13, 10, 1, 6, 40, 36, 32, 31, 4, 11, 49, 34, 13, 12, 33, 48, 35, 29, 29, 24, 50, 17, 17, 40, 8, 48, 15, 17, 13, 1, 14, 21, 19, 28, 7, 1]
