N1,N2,...,Nx
[0, 48, 3, 4, 37, 47, 21, 27, 33, 17, 12, 6, 2, 27, 38, 3, 30, 5, 10, 49, 26, 37, 27, 30, 27, 12, 16, 45, 34, 41, 33, 8, 15, 49, 31, 15, 28, 43, 47, 40, 15, 33, 33, 41, 29, 32, 45, 50, 11, 28, 49, 1, 43, 39, 9, 27, 24, 10, 17, 0, 32, 41, 24, 18, 44, 36, 49, 12, 38, 14, 22, 25, 47, 11, 42, 33, 6, 40, 34, 30, 6, 12, 49, 9, 12]
[48, 0, 29, 27, 49, 13, 3, 13, 17, 27, 22, 29, 3, 41, 1, 5, 44, 5, 1, 26, 47, 33, 24, 47, 48, 14, 20, 28, 27, 19, 13, 40, 11, 43, 48, 45, 18, 22, 7, 23, 37, 35, 40, 10, 49, 30, 19, 36, 25, 21, 31, 15, 29, 0, 16, 43, 28, 50, 8, 12, 31, 1, 31, 45, 3, 30, 40, 34, 10, 25, 0, 32, 33, 30, 28, 7, 28, 18, 41, 34, 28, 49, 45, 3, 24]
[3, 29, 0, 46, 25, 10, 41, 23, 0, 47, 47, 20, 50, 19, 5, 0, 41, 13, 9, 44, 42, 19, 37, 27, 48, 30, 41, 34, 1, 37, 35, 23, 42, 24, 33, 3, 20, 3, 9, 6, 49, 48, 7, 3, 28, 47, 45, 15, 23, 42, 46, 46, 46, 0, 22, 20, 23, 23, 44, 49, 28, 15, 19, 13, 20, 40, 38, 22, 33, 16, 20, 27, 46, 37, 17, 6, 0, 7, 2, 11, 22, 14, 16, 28, 25]
[4, 27, 46, 0, 27, 50, 15, 3, 34, 27, 41, 38, 39, 20, 45, 20, 24, 6, 9, 25, 39, 47, 15, 38, 38, 20, 24, 8, 41, 7, 31, 29, 6, 23, 23, 26, 16, 22, 10, 17, 47, 8, 0, 25, 42, 4, 40, 36, 38, 2, 49, 27, 40, 34, 25, 22, 7, 42, 42, 8, 3, 13, 5, 13, 0, 39, 42, 17, 11, 8, 29, 8, 50, 33, 15, 10, 43, 26, 35, 44, 46, 23, 49, 27, 2]
[37, 49, 25, 27, 0, 31, 17, 23, 42, 14, 43, 40, 41, 11, 3, 23, 5, 15, 16, 47, 6, 0, 7, 14, 16, 29, 46, 42, 30, 10, 27, 43, 37, 27, 14, 0, 46, 40, 38, 5, 33, 21, 48, 3, 0, 19, 24, 36, 48, 44, 45, 13, 42, 6, 39, 20, 40, 2, 4, 49, 4, 16, 11, 26, 21, 32, 50, 30, 6, 48, 36, 12, 44, 37, 16, 17, 34, 0, 42, 13, 32, 8, 39, 25, 2]
[47, 13, 10, 50, 31, 0, 44, 8, 41, 0, 3, 43, 4, 49, 30, 9, 22, 20, 22, 20, 22, 1, 30, 26, 50, 8, 2, 34, 29, 50, 39, 29, 47, 9, 39, 25, 31, 1, 22, 25, 9, 0, 49, 3, 38, 13, 37, 12, 38, 34, 29, 11, 7, 46, 1, 29, 37, 39, 27, 40, 32, 14, 8, 28, 36, 0, 32, 39, 39, 32, 19, 1, 16, 26, 15, 16, 13, 35, 44, 24, 21, 18, 19, 28, 14]
[21, 3, 41, 15, 17, 44, 0, 33, 34, 15, 4, 18, 10, 2, 15, 4, 23, 26, 40, 10, 42, 9, 49, 40, 40, 34, 44, 43, 3, 41, 21, 14, 37, 5, 12, 16, 31, 8, 25, 8, 29, 37, 17, 44, 34, 25, 38, 4, 42, 21, 19, 42, 0, 13, 21, 36, 47, 49, 25, 35, 3, 6, 10, 16, 33, 39, 19, 1, 22, 8, 24, 21, 38, 49, 5, 49, 25, 26, 39, 25, 25, 34, 8, 18, 43]
[27, 13, 23, 3, 23, 8, 33, 0, 31, 25, 4, 18, 47, 3, 15, 42, 17, 27, 3, 25, 47, 47, 25, 39, 25, 29, 30, 39, 7, 46, 11, 42, 12, 23, 44, 30, 27, 2, 13, 48, 31, 18, 31, 14, 42, 15, 11, 32, 11, 10, 24, 6, 10, 0, 1, 30, 17, 0, 30, 17, 29, 10, 30, 49, 13, 50, 3, 40, 30, 28, 17, 50, 32, 27, 30, 13, 39, 23, 5, 19, 28, 20, 13, 49, 28]
[33, 17, 0, 34, 42, 41, 34, 31, 0, 20, 40, 20, 32, 21, 37, 18, 44, 32, 47, 24, 5, 39, 27, 39, 32, 19, 5, 21, 4, 47, 33, 31, 27, 29, 21, 41, 40, 33, 2, 30, 32, 38, 34, 13, 41, 22, 46, 14, 22, 36, 49, 47, 9, 10, 23, 50, 29, 26, 27, 5, 39, 43, 27, 18, 17, 15, 8, 25, 7, 3, 25, 36, 47, 18, 36, 22, 38, 0, 14, 0, 29, 34, 18, 35, 36]
[17, 27, 47, 27, 14, 0, 15, 25, 20, 0, 17, 22, 25, 21, 24, 26, 46, 50, 29, 48, 32, 41, 23, 30, 2, 13, 46, 6, 8, 22, 25, 0, 44, 46, 9, 40, 16, 48, 21, 36, 5, 47, 34, 8, 12, 22, 33, 18, 28, 13, 43, 17, 49, 38, 23, 6, 41, 28, 40, 30, 31, 47, 5, 12, 0, 5, 7, 25, 35, 2, 1, 48, 44, 10, 8, 13, 34, 24, 24, 1, 38, 14, 6, 45, 37]
