N1,N2,...,Nx
[0, 2, 34, 37, 1, 2, 6, 16, 33, 5, 2, 28, 44, 28, 35, 14, 11, 25, 6, 5, 24, 23, 13, 22, 38, 48, 11, 47, 25, 24, 8, 9, 44, 49, 8, 20, 30, 19, 44, 19, 27, 9, 23, 19]
[2, 0, 8, 5, 36, 40, 31, 50, 44, 30, 39, 49, 36, 7, 38, 36, 0, 22, 41, 33, 23, 40, 11, 15, 43, 25, 24, 16, 12, 7, 27, 1, 46, 47, 44, 29, 43, 24, 48, 12, 45, 24, 2, 11]
[34, 8, 0, 40, 33, 25, 50, 28, 4, 40, 49, 29, 48, 49, 41, 39, 10, 22, 45, 32, 1, 0, 41, 27, 7, 0, 25, 33, 45, 37, 12, 33, 14, 15, 4, 1, 13, 27, 40, 28, 46, 22, 34, 48]
[37, 5, 40, 0, 4, 20, 35, 30, 37, 47, 3, 37, 14, 24, 14, 35, 33, 33, 36, 17, 34, 17, 22, 30, 41, 33, 27, 16, 9, 35, 25, 19, 50, 4, 8, 32, 1, 42, 24, 6, 38, 5, 16, 16]
[1, 36, 33, 4, 0, 9, 35, 33, 25, 48, 38, 46, 7, 49, 47, 31, 5, 24, 9, 2, 24, 42, 41, 9, 9, 29, 45, 11, 29, 16, 29, 42, 5, 26, 6, 1, 9, 46, 38, 43, 0, 48, 49, 30]
[2, 40, 25, 20, 9, 0, 34, 37, 26, 25, 19, 30, 50, 50, 41, 48, 7, 14, 49, 8, 33, 28, 8, 8, 4, 38, 7, 22, 6, 13, 5, 23, 28, 7, 27, 13, 48, 1, 5, 36, 10, 39, 3, 36]
[6, 31, 50, 35, 35, 34, 0, 28, 9, 19, 21, 10, 2, 0, 21, 14, 13, 26, 7, 34, 32, 4, 22, 29, 22, 42, 21, 36, 31, 22, 50, 0, 35, 13, 44, 27, 5, 25, 23, 46, 41, 47, 30, 10]
[16, 50, 28, 30, 33, 37, 28, 0, 16, 19, 24, 50, 2, 45, 46, 38, 9, 37, 10, 38, 48, 39, 26, 10, 37, 3, 48, 40, 18, 5, 4, 19, 22, 3, 4, 18, 31, 46, 40, 11, 15, 34, 0, 49]
[33, 44, 4, 37, 25, 26, 9, 16, 0, 31, 21, 43, 37, 38, 45, 26, 39, 50, 5, 22, 20, 15, 37, 25, 12, 50, 5, 41, 10, 43, 34, 48, 45, 41, 10, 35, 27, 25, 47, 36, 0, 13, 48, 30]
[5, 30, 40, 47, 48, 25, 19, 19, 31, 0, 25, 47, 35, 3, 24, 0, 6, 26, 39, 50, 39, 49, 6, 24, 3, 42, 8, 8, 12, 34, 40, 4, 34, 25, 29, 28, 49, 20, 48, 28, 27, 24, 24, 4]
[2, 39, 49, 3, 38, 19, 21, 24, 21, 25, 0, 27, 13, 44, 21, 14, 30, 23, 3, 2, 15, 14, 39, 37, 44, 31, 17, 46, 29, 38, 13, 3, 2, 15, 33, 46, 49, 22, 48, 16, 11, 36, 49, 19]
[28, 49, 29, 37, 46, 30, 10, 50, 43, 47, 27, 0, 37, 41, 40, 15, 17, 4, 15, 12, 38, 34, 0, 44, 5, 46, 6, 1, 18, 26, 10, 9, 5, 35, 31, 21, 35, 26, 45, 14, 50, 5, 0, 38]
[44, 36, 48, 14, 7, 50, 2, 2, 37, 35, 13, 37, 0, 5, 22, 24, 6, 34, 49, 50, 18, 34, 24, 31, 18, 14, 14, 41, 30, 17, 30, 22, 36, 50, 4, 49, 38, 40, 46, 41, 23, 29, 45, 12]
[28, 7, 49, 24, 49, 50, 0, 45, 38, 3, 44, 41, 5, 0, 42, 3, 33, 5, 16, 0, 20, 45, 34, 19, 45, 43, 0, 3, 38, 31, 38, 24, 34, 28, 27, 3, 49, 10, 8, 34, 20, 22, 9, 37]
[35, 38, 41, 14, 47, 41, 21, 46, 45, 24, 21, 40, 22, 42, 0, 12, 40, 46, 27, 4, 35, 4, 38, 15, 4, 38, 47, 21, 6, 37, 10, 6, 38, 10, 41, 4, 1, 22, 37, 23, 0, 36, 47, 11]
[14, 36, 39, 35, 31, 48, 14, 38, 26, 0, 14, 15, 24, 3, 12, 0, 28, 19, 7, 33, 38, 44, 36, 33, 47, 41, 24, 16, 9, 36, 50, 4, 30, 26, 48, 37, 8, 0, 45, 35, 34, 8, 9, 17]
[11, 0, 10, 33, 5, 7, 13, 9, 39, 6, 30, 17, 6, 33, 40, 28, 0, 15, 26, 13, 11, 45, 50, 47, 3, 0, 46, 34, 37, 37, 50, 10, 0, 43, 14, 38, 23, 41, 43, 14, 10, 49, 11, 5]
[25, 22, 22, 33, 24, 14, 26, 37, 50, 26, 23, 4, 34, 5, 46, 19, 15, 0, 19, 16, 10, 1, 25, 42, 50, 41, 35, 15, 20, 26, 13, 49, 35, 39, 7, 44, 26, 44, 6, 29, 3, 47, 11, 34]
[6, 41, 45, 36, 9, 49, 7, 10, 5, 39, 3, 15, 49, 16, 27, 7, 26, 19, 0, 34, 11, 48, 36, 46, 31, 50, 27, 46, 30, 6, 45, 3, 50, 46, 24, 32, 46, 48, 0, 45, 47, 11, 39, 10]
[5, 33, 32, 17, 2, 8, 34, 38, 22, 50, 2, 12, 50, 0, 4, 33, 13, 16, 34, 0, 22, 6, 41, 15, 25, 49, 35, 50, 23, 50, 0, 41, 48, 5, 12, 18, 15, 37, 14, 17, 34, 31, 48, 50]
[24, 23, 1, 34, 24, 33, 32, 48, 20, 39, 15, 38, 18, 20, 35, 38, 11, 10, 11, 22, 0, 15, 42, 27, 29, 12, 16, 2, 26, 32, 27, 33, 46, 29, 45, 46, 50, 29, 8, 0, 13, 7, 8, 35]
[23, 40, 0, 17, 42, 28, 4, 39, 15, 49, 14, 34, 34, 45, 4, 44, 45, 1, 48, 6, 15, 0, 2, 27, 30, 25, 25, 42, 43, 1, 19, 20, 27, 36, 29, 4, 23, 7, 10, 32, 20, 12, 48, 3]
[13, 11, 41, 22, 41, 8, 22, 26, 37, 6, 39, 0, 24, 34, 38, 36, 50, 25, 36, 41, 42, 2, 0, 10, 48, 32, 39, 50, 14, 49, 36, 43, 0, 45, 15, 47, 32, 43, 30, 20, 37, 40, 28, 35]
[22, 15, 27, 30, 9, 8, 29, 10, 25, 24, 37, 44, 31, 19, 15, 33, 47, 42, 46, 15, 27, 27, 10, 0, 45, 33, 5, 7, 27, 34, 49, 43, 37, 26, 10, 22, 24, 6, 20, 38, 32, 18, 5, 22]
[38, 43, 7, 41, 9, 4, 22, 37, 12, 3, 44, 5, 18, 45, 4, 47, 3, 50, 31, 25, 29, 30, 48, 45, 0, 28, 26, 28, 20, 35, 46, 49, 48, 11, 44, 5, 1, 28, 39, 6, 39, 33, 37, 10]
[48, 25, 0, 33, 29, 38, 42, 3, 50, 42, 31, 46, 14, 43, 38, 41, 0, 41, 50, 49, 12, 25, 32, 33, 28, 0, 13, 4, 3, 0, 23, 12, 17, 6, 47, 32, 46, 23, 42, 4, 9, 7, 48, 43]
[11, 24, 25, 27, 45, 7, 21, 48, 5, 8, 17, 6, 14, 0, 47, 24, 46, 35, 27, 35, 16, 25, 39, 5, 26, 13, 0, 43, 20, 3, 37, 50, 18, 42, 31, 20, 31, 25, 16, 46, 11, 45, 4, 43]
[47, 16, 33, 16, 11, 22, 36, 40, 41, 8, 46, 1, 41, 3, 21, 16, 34, 15, 46, 50, 2, 42, 50, 7, 28, 4, 43, 0, 34, 5, 4, 37, 17, 0, 0, 23, 46, 19, 9, 39, 43, 34, 42, 42]
[25, 12, 45, 9, 29, 6, 31, 18, 10, 12, 29, 18, 30, 38, 6, 9, 37, 20, 30, 23, 26, 43, 14, 27, 20, 3, 20, 34, 0, 29, 31, 13, 35, 41, 37, 18, 14, 15, 49, 29, 38, 40, 32, 5]
[24, 7, 37, 35, 16, 13, 22, 5, 43, 34, 38, 26, 17, 31, 37, 36, 37, 26, 6, 50, 32, 1, 49, 34, 35, 0, 3, 5, 29, 0, 13, 6, 40, 22, 48, 19, 24, 16, 31, 31, 41, 46, 35, 20]
[8, 27, 12, 25, 29, 5, 50, 4, 34, 40, 13, 10, 30, 38, 10, 50, 50, 13, 45, 0, 27, 19, 36, 49, 46, 23, 37, 4, 31, 13, 0, 15, 43, 31, 14, 48, 8, 28, 5, 12, 31, 40, 38, 0]
[9, 1, 33, 19, 42, 23, 0, 19, 48, 4, 3, 9, 22, 24, 6, 4, 10, 49, 3, 41, 33, 20, 43, 43, 49, 12, 50, 37, 13, 6, 15, 0, 21, 15, 1, 22, 23, 32, 2, 24, 12, 41, 3, 1]
[44, 46, 14, 50, 5, 28, 35, 22, 45, 34, 2, 5, 36, 34, 38, 30, 0, 35, 50, 48, 46, 27, 0, 37, 48, 17, 18, 17, 35, 40, 43, 21, 0, 2, 44, 19, 27, 42, 21, 38, 6, 39, 37, 2]
[49, 47, 15, 4, 26, 7, 13, 3, 41, 25, 15, 35, 50, 28, 10, 26, 43, 39, 46, 5, 29, 36, 45, 26, 11, 6, 42, 0, 41, 22, 31, 15, 2, 0, 4, 13, 16, 26, 31, 4, 17, 12, 21, 45]
[8, 44, 4, 8, 6, 27, 44, 4, 10, 29, 33, 31, 4, 27, 41, 48, 14, 7, 24, 12, 45, 29, 15, 10, 44, 47, 31, 0, 37, 48, 14, 1, 44, 4, 0, 43, 12, 23, 6, 24, 10, 44, 38, 48]
[20, 29, 1, 32, 1, 13, 27, 18, 35, 28, 46, 21, 49, 3, 4, 37, 38, 44, 32, 18, 46, 4, 47, 22, 5, 32, 20, 23, 18, 19, 48, 22, 19, 13, 43, 0, 35, 24, 8, 48, 3, 1, 8, 0]
[30, 43, 13, 1, 9, 48, 5, 31, 27, 49, 49, 35, 38, 49, 1, 8, 23, 26, 46, 15, 50, 23, 32, 24, 1, 46, 31, 46, 14, 24, 8, 23, 27, 16, 12, 35, 0, 5, 33, 29, 2, 37, 3, 13]
[19, 24, 27, 42, 46, 1, 25, 46, 25, 20, 22, 26, 40, 10, 22, 0, 41, 44, 48, 37, 29, 7, 43, 6, 28, 23, 25, 19, 15, 16, 28, 32, 42, 26, 23, 24, 5, 0, 34, 3, 27, 6, 23, 3]
[44, 48, 40, 24, 38, 5, 23, 40, 47, 48, 48, 45, 46, 8, 37, 45, 43, 6, 0, 14, 8, 10, 30, 20, 39, 42, 16, 9, 49, 31, 5, 2, 21, 31, 6, 8, 33, 34, 0, 29, 35, 30, 41, 20]
[19, 12, 28, 6, 43, 36, 46, 11, 36, 28, 16, 14, 41, 34, 23, 35, 14, 29, 45, 17, 0, 32, 20, 38, 6, 4, 46, 39, 29, 31, 12, 24, 38, 4, 24, 48, 29, 3, 29, 0, 10, 47, 31, 10]
[27, 45, 46, 38, 0, 10, 41, 15, 0, 27, 11, 50, 23, 20, 0, 34, 10, 3, 47, 34, 13, 20, 37, 32, 39, 9, 11, 43, 38, 41, 31, 12, 6, 17, 10, 3, 2, 27, 35, 10, 0, 9, 10, 13]
[9, 24, 22, 5, 48, 39, 47, 34, 13, 24, 36, 5, 29, 22, 36, 8, 49, 47, 11, 31, 7, 12, 40, 18, 33, 7, 45, 34, 40, 46, 40, 41, 39, 12, 44, 1, 37, 6, 30, 47, 9, 0, 35, 17]
[23, 2, 34, 16, 49, 3, 30, 0, 48, 24, 49, 0, 45, 9, 47, 9, 11, 11, 39, 48, 8, 48, 28, 5, 37, 48, 4, 42, 32, 35, 38, 3, 37, 21, 38, 8, 3, 23, 41, 31, 10, 35, 0, 5]
[19, 11, 48, 16, 30, 36, 10, 49, 30, 4, 19, 38, 12, 37, 11, 17, 5, 34, 10, 50, 35, 3, 35, 22, 10, 43, 43, 42, 5, 20, 0, 1, 2, 45, 48, 0, 13, 3, 20, 10, 13, 17, 5, 0]
