N1,N2,...,Nx
[0, 0, 3, 33, 7, 7, 47, 50, 30, 15, 9, 11, 38]
[0, 0, 8, 11, 0, 26, 40, 10, 40, 26, 22, 11, 2]
[3, 8, 0, 20, 3, 32, 29, 36, 3, 35, 50, 15, 49]
[33, 11, 20, 0, 8, 10, 27, 3, 43, 18, 4, 35, 31]
[7, 0, 3, 8, 0, 17, 38, 19, 32, 33, 9, 24, 22]
[7, 26, 32, 10, 17, 0, 23, 26, 31, 49, 1, 50, 32]
[47, 40, 29, 27, 38, 23, 0, 27, 36, 45, 21, 23, 16]
[50, 10, 36, 3, 19, 26, 27, 0, 31, 48, 31, 19, 31]
[30, 40, 3, 43, 32, 31, 36, 31, 0, 13, 7, 11, 34]
[15, 26, 35, 18, 33, 49, 45, 48, 13, 0, 17, 49, 4]
[9, 22, 50, 4, 9, 1, 21, 31, 7, 17, 0, 29, 2]
[11, 11, 15, 35, 24, 50, 23, 19, 11, 49, 29, 0, 34]
[38, 2, 49, 31, 22, 32, 16, 31, 34, 4, 2, 34, 0]
