N1,N2,...,Nx
[0, 49, 46, 18, 12, 42, 31, 7, 43, 4, 22, 21, 39, 34, 46, 40, 9, 32, 6, 44, 8, 46, 27, 2, 43, 4, 9, 34, 1, 26, 34, 8, 49, 17, 30, 3, 14, 35, 45, 43, 17, 1, 28, 32, 14, 4, 11, 23, 32, 13, 21, 25, 20, 49, 32, 12, 15, 20, 6, 38, 4, 49, 37, 46, 32, 15, 19, 6, 32, 50, 22, 41, 46, 2, 20, 6, 11, 18, 4, 42, 6, 50, 18, 39, 10, 19, 33, 6, 15, 27, 44, 8, 17, 29, 5]
[49, 0, 15, 11, 50, 46, 5, 31, 14, 38, 4, 44, 44, 47, 43, 40, 33, 1, 40, 3, 4, 48, 34, 24, 46, 15, 36, 28, 12, 4, 12, 33, 43, 9, 46, 8, 45, 14, 27, 38, 43, 49, 13, 10, 42, 12, 8, 7, 34, 16, 3, 11, 25, 18, 29, 20, 49, 27, 0, 21, 15, 3, 45, 50, 4, 2, 23, 28, 42, 20, 1, 30, 19, 19, 21, 25, 13, 14, 41, 26, 2, 50, 7, 32, 38, 26, 42, 27, 45, 13, 18, 29, 13, 35, 38]
[46, 15, 0, 49, 32, 8, 7, 3, 36, 8, 27, 25, 47, 5, 43, 15, 12, 9, 33, 17, 0, 6, 10, 28, 50, 20, 1, 28, 30, 19, 21, 30, 34, 12, 1, 1, 45, 27, 47, 13, 18, 12, 41, 35, 25, 36, 35, 28, 1, 49, 40, 29, 18, 8, 34, 13, 3, 48, 1, 15, 23, 33, 0, 13, 43, 41, 21, 0, 15, 44, 23, 5, 44, 8, 27, 9, 34, 20, 40, 32, 19, 36, 2, 30, 47, 34, 41, 14, 47, 18, 12, 35, 23, 28, 34]
[18, 11, 49, 0, 34, 50, 45, 19, 45, 5, 6, 15, 10, 45, 50, 27, 24, 40, 12, 45, 26, 48, 18, 43, 14, 34, 30, 6, 45, 46, 23, 48, 3, 26, 29, 48, 12, 38, 15, 41, 3, 12, 9, 43, 21, 1, 30, 28, 14, 48, 20, 32, 19, 44, 9, 35, 48, 43, 35, 27, 39, 14, 41, 7, 9, 48, 10, 15, 13, 36, 40, 39, 19, 22, 48, 12, 15, 9, 18, 21, 35, 40, 8, 50, 38, 0, 12, 24, 15, 16, 44, 28, 2, 39, 29]
[12, 50, 32, 34, 0, 4, 4, 10, 24, 23, 5, 30, 46, 8, 44, 19, 7, 12, 47, 19, 23, 48, 4, 39, 9, 12, 44, 49, 42, 35, 43, 33, 14, 28, 22, 17, 22, 34, 39, 4, 29, 3, 33, 31, 27, 5, 4, 40, 48, 23, 45, 31, 38, 36, 42, 2, 45, 8, 13, 25, 12, 18, 10, 22, 45, 28, 1, 41, 44, 31, 50, 29, 17, 5, 13, 41, 8, 8, 35, 49, 1, 38, 25, 48, 38, 37, 30, 9, 35, 12, 26, 16, 25, 43, 36]
[42, 46, 8, 50, 4, 0, 3, 18, 26, 41, 22, 42, 21, 26, 0, 48, 45, 10, 30, 36, 29, 14, 38, 19, 26, 12, 44, 33, 11, 7, 49, 18, 5, 3, 13, 32, 31, 33, 35, 3, 35, 22, 39, 8, 47, 28, 12, 8, 37, 41, 19, 45, 45, 26, 45, 43, 40, 14, 49, 11, 43, 48, 31, 10, 43, 22, 14, 32, 19, 39, 47, 38, 36, 35, 28, 28, 11, 31, 22, 26, 28, 48, 19, 19, 35, 8, 21, 18, 44, 21, 1, 31, 10, 0, 7]
[31, 5, 7, 45, 4, 3, 0, 13, 23, 45, 25, 31, 22, 26, 14, 43, 42, 36, 4, 32, 22, 29, 22, 39, 1, 16, 26, 50, 43, 24, 45, 18, 23, 34, 21, 7, 3, 31, 40, 48, 21, 7, 15, 17, 29, 29, 15, 23, 37, 48, 46, 4, 35, 41, 28, 24, 39, 0, 19, 43, 42, 6, 48, 49, 0, 9, 6, 8, 30, 6, 30, 1, 7, 20, 16, 39, 35, 2, 34, 9, 38, 21, 18, 35, 24, 23, 0, 28, 25, 10, 8, 43, 36, 8, 31]
[7, 31, 3, 19, 10, 18, 13, 0, 40, 37, 0, 48, 38, 19, 29, 4, 37, 19, 40, 6, 27, 45, 24, 19, 39, 22, 13, 34, 6, 37, 33, 24, 20, 6, 0, 49, 45, 4, 13, 27, 31, 50, 50, 43, 34, 32, 8, 39, 31, 23, 43, 21, 28, 2, 49, 1, 19, 23, 1, 37, 12, 50, 1, 20, 50, 13, 12, 31, 43, 26, 34, 17, 37, 1, 13, 33, 41, 20, 12, 43, 35, 41, 7, 41, 1, 13, 9, 22, 21, 43, 25, 38, 33, 13, 15]
[43, 14, 36, 45, 24, 26, 23, 40, 0, 11, 24, 46, 17, 49, 11, 24, 16, 2, 10, 6, 36, 36, 25, 14, 26, 48, 19, 39, 8, 28, 39, 14, 43, 36, 31, 47, 25, 48, 20, 50, 40, 50, 29, 35, 43, 34, 43, 48, 41, 23, 29, 25, 48, 27, 5, 40, 14, 18, 32, 24, 15, 0, 8, 25, 5, 39, 39, 16, 12, 48, 17, 23, 49, 48, 16, 33, 26, 43, 42, 18, 8, 11, 25, 21, 15, 20, 4, 9, 39, 26, 3, 40, 21, 0, 47]
[4, 38, 8, 5, 23, 41, 45, 37, 11, 0, 24, 14, 10, 32, 30, 44, 2, 42, 17, 13, 8, 40, 1, 42, 46, 33, 1, 5, 45, 41, 3, 27, 13, 17, 5, 8, 20, 16, 23, 38, 26, 4, 27, 23, 15, 44, 35, 28, 40, 34, 11, 16, 27, 44, 8, 36, 35, 28, 31, 16, 41, 47, 4, 29, 46, 46, 47, 23, 18, 36, 49, 18, 11, 47, 30, 50, 0, 19, 11, 6, 25, 30, 11, 20, 41, 19, 35, 27, 2, 39, 10, 5, 49, 28, 23]
