N1,N2,...,Nx
[0, 16, 47, 47, 22, 15, 46, 27, 30, 3, 46, 46, 15, 17, 39, 47, 34, 13, 19, 36, 37, 21, 28, 28, 31, 21, 41, 49, 50, 25, 25, 43, 32, 33]
[16, 0, 4, 4, 28, 48, 11, 29, 0, 45, 35, 0, 29, 43, 25, 4, 42, 29, 45, 26, 34, 45, 29, 14, 30, 30, 36, 1, 22, 15, 30, 23, 49, 35]
[47, 4, 0, 33, 44, 43, 48, 35, 0, 31, 36, 26, 32, 8, 24, 21, 29, 44, 41, 32, 41, 20, 30, 41, 20, 13, 19, 4, 46, 13, 2, 29, 8, 8]
[47, 4, 33, 0, 30, 37, 19, 35, 19, 42, 15, 49, 40, 21, 39, 9, 9, 38, 44, 43, 40, 20, 6, 40, 41, 15, 1, 39, 19, 49, 45, 27, 25, 19]
[22, 28, 44, 30, 0, 33, 15, 29, 29, 18, 16, 12, 45, 32, 29, 4, 2, 5, 7, 43, 15, 21, 21, 36, 12, 3, 10, 11, 40, 19, 16, 34, 2, 41]
[15, 48, 43, 37, 33, 0, 3, 35, 0, 6, 23, 38, 37, 33, 21, 14, 50, 30, 26, 27, 7, 4, 49, 45, 2, 45, 28, 29, 8, 20, 44, 10, 14, 0]
[46, 11, 48, 19, 15, 3, 0, 27, 50, 38, 6, 35, 25, 35, 35, 0, 37, 36, 35, 24, 22, 19, 19, 27, 8, 12, 35, 17, 50, 28, 34, 37, 46, 10]
[27, 29, 35, 35, 29, 35, 27, 0, 9, 20, 42, 13, 45, 9, 48, 14, 15, 0, 32, 46, 9, 40, 2, 8, 49, 3, 6, 29, 24, 44, 7, 18, 3, 22]
[30, 0, 0, 19, 29, 0, 50, 9, 0, 15, 25, 33, 11, 5, 4, 34, 22, 36, 42, 8, 10, 11, 28, 5, 31, 32, 18, 35, 11, 30, 29, 36, 14, 25]
[3, 45, 31, 42, 18, 6, 38, 20, 15, 0, 37, 35, 23, 28, 39, 37, 16, 35, 12, 2, 6, 5, 6, 6, 17, 10, 6, 0, 27, 12, 12, 19, 2, 49]
[46, 35, 36, 15, 16, 23, 6, 42, 25, 37, 0, 46, 33, 44, 14, 36, 32, 5, 25, 4, 50, 1, 45, 49, 41, 4, 33, 32, 7, 30, 2, 34, 18, 23]
[46, 0, 26, 49, 12, 38, 35, 13, 33, 35, 46, 0, 20, 35, 14, 31, 43, 37, 47, 21, 35, 2, 36, 12, 9, 3, 20, 34, 37, 8, 48, 5, 47, 4]
[15, 29, 32, 40, 45, 37, 25, 45, 11, 23, 33, 20, 0, 18, 5, 28, 43, 20, 37, 0, 31, 45, 35, 44, 4, 25, 15, 37, 7, 41, 42, 46, 24, 13]
[17, 43, 8, 21, 32, 33, 35, 9, 5, 28, 44, 35, 18, 0, 2, 1, 3, 19, 47, 28, 34, 21, 10, 18, 28, 0, 28, 37, 1, 45, 44, 50, 33, 18]
[39, 25, 24, 39, 29, 21, 35, 48, 4, 39, 14, 14, 5, 2, 0, 37, 41, 47, 21, 30, 9, 36, 41, 21, 46, 37, 11, 42, 7, 18, 7, 21, 30, 45]
[47, 4, 21, 9, 4, 14, 0, 14, 34, 37, 36, 31, 28, 1, 37, 0, 1, 47, 28, 1, 10, 28, 35, 27, 0, 44, 39, 0, 18, 19, 48, 11, 41, 15]
[34, 42, 29, 9, 2, 50, 37, 15, 22, 16, 32, 43, 43, 3, 41, 1, 0, 25, 17, 23, 30, 32, 44, 10, 14, 37, 15, 41, 44, 14, 13, 4, 48, 3]
[13, 29, 44, 38, 5, 30, 36, 0, 36, 35, 5, 37, 20, 19, 47, 47, 25, 0, 26, 2, 23, 12, 36, 40, 23, 31, 24, 41, 49, 24, 0, 13, 50, 9]
[19, 45, 41, 44, 7, 26, 35, 32, 42, 12, 25, 47, 37, 47, 21, 28, 17, 26, 0, 33, 15, 5, 5, 3, 24, 49, 43, 25, 38, 13, 5, 43, 10, 42]
[36, 26, 32, 43, 43, 27, 24, 46, 8, 2, 4, 21, 0, 28, 30, 1, 23, 2, 33, 0, 14, 27, 24, 46, 36, 38, 38, 42, 29, 40, 10, 8, 37, 4]
[37, 34, 41, 40, 15, 7, 22, 9, 10, 6, 50, 35, 31, 34, 9, 10, 30, 23, 15, 14, 0, 3, 6, 6, 26, 47, 5, 8, 26, 46, 29, 24, 19, 42]
[21, 45, 20, 20, 21, 4, 19, 40, 11, 5, 1, 2, 45, 21, 36, 28, 32, 12, 5, 27, 3, 0, 39, 46, 32, 19, 6, 17, 24, 27, 29, 16, 11, 31]
[28, 29, 30, 6, 21, 49, 19, 2, 28, 6, 45, 36, 35, 10, 41, 35, 44, 36, 5, 24, 6, 39, 0, 25, 23, 29, 5, 47, 32, 39, 34, 14, 13, 6]
[28, 14, 41, 40, 36, 45, 27, 8, 5, 6, 49, 12, 44, 18, 21, 27, 10, 40, 3, 46, 6, 46, 25, 0, 13, 19, 20, 10, 47, 33, 41, 1, 19, 16]
[31, 30, 20, 41, 12, 2, 8, 49, 31, 17, 41, 9, 4, 28, 46, 0, 14, 23, 24, 36, 26, 32, 23, 13, 0, 15, 43, 3, 47, 47, 12, 13, 2, 20]
[21, 30, 13, 15, 3, 45, 12, 3, 32, 10, 4, 3, 25, 0, 37, 44, 37, 31, 49, 38, 47, 19, 29, 19, 15, 0, 21, 41, 50, 26, 41, 50, 50, 26]
[41, 36, 19, 1, 10, 28, 35, 6, 18, 6, 33, 20, 15, 28, 11, 39, 15, 24, 43, 38, 5, 6, 5, 20, 43, 21, 0, 29, 15, 26, 29, 9, 50, 40]
[49, 1, 4, 39, 11, 29, 17, 29, 35, 0, 32, 34, 37, 37, 42, 0, 41, 41, 25, 42, 8, 17, 47, 10, 3, 41, 29, 0, 15, 0, 3, 45, 5, 40]
[50, 22, 46, 19, 40, 8, 50, 24, 11, 27, 7, 37, 7, 1, 7, 18, 44, 49, 38, 29, 26, 24, 32, 47, 47, 50, 15, 15, 0, 12, 22, 6, 14, 7]
[25, 15, 13, 49, 19, 20, 28, 44, 30, 12, 30, 8, 41, 45, 18, 19, 14, 24, 13, 40, 46, 27, 39, 33, 47, 26, 26, 0, 12, 0, 32, 39, 19, 27]
[25, 30, 2, 45, 16, 44, 34, 7, 29, 12, 2, 48, 42, 44, 7, 48, 13, 0, 5, 10, 29, 29, 34, 41, 12, 41, 29, 3, 22, 32, 0, 19, 12, 26]
[43, 23, 29, 27, 34, 10, 37, 18, 36, 19, 34, 5, 46, 50, 21, 11, 4, 13, 43, 8, 24, 16, 14, 1, 13, 50, 9, 45, 6, 39, 19, 0, 31, 35]
