N1,N2,...,Nx
[0, 43, 30, 44, 5, 21, 36, 48, 24, 49, 8, 4, 45, 14, 48, 25, 33, 44, 44, 33, 43, 1, 29, 33, 23, 32, 13, 8, 25, 39, 18, 31, 50, 8, 46, 46, 48, 8, 24, 34, 17, 18, 45, 42, 32, 32, 6, 33, 31, 1, 27, 46, 43, 20, 5, 1]
[43, 0, 33, 38, 43, 21, 10, 3, 10, 48, 33, 43, 40, 20, 7, 6, 9, 44, 25, 11, 43, 42, 24, 7, 26, 33, 48, 10, 44, 46, 23, 6, 48, 15, 21, 24, 25, 27, 23, 38, 21, 32, 48, 31, 25, 34, 22, 8, 11, 32, 38, 16, 29, 18, 33, 46]
[30, 33, 0, 22, 27, 22, 25, 44, 3, 20, 13, 30, 36, 1, 32, 0, 6, 15, 10, 16, 40, 20, 17, 22, 7, 30, 48, 32, 29, 11, 36, 31, 34, 20, 40, 15, 39, 33, 21, 48, 10, 47, 27, 7, 20, 5, 35, 39, 20, 8, 19, 10, 10, 22, 1, 14]
[44, 38, 22, 0, 16, 15, 8, 29, 46, 30, 36, 29, 16, 0, 1, 40, 32, 27, 16, 48, 40, 10, 13, 46, 42, 47, 37, 3, 44, 1, 37, 2, 26, 6, 36, 6, 22, 0, 1, 23, 33, 32, 47, 35, 34, 13, 21, 5, 41, 22, 50, 2, 1, 38, 13, 6]
[5, 43, 27, 16, 0, 12, 21, 35, 23, 4, 24, 24, 42, 31, 22, 18, 48, 13, 21, 40, 35, 31, 6, 43, 11, 46, 16, 3, 41, 14, 7, 17, 17, 20, 2, 26, 27, 38, 29, 0, 12, 27, 21, 23, 14, 50, 17, 25, 50, 23, 9, 50, 42, 47, 28, 46]
[21, 21, 22, 15, 12, 0, 23, 33, 20, 43, 12, 28, 49, 12, 8, 46, 7, 44, 14, 16, 31, 49, 24, 5, 22, 5, 26, 13, 18, 6, 38, 48, 27, 17, 14, 12, 23, 27, 5, 30, 31, 24, 49, 47, 28, 31, 1, 40, 13, 44, 10, 11, 45, 49, 29, 28]
[36, 10, 25, 8, 21, 23, 0, 38, 39, 5, 28, 1, 32, 14, 0, 36, 16, 30, 37, 0, 42, 10, 19, 20, 13, 20, 10, 12, 20, 13, 8, 15, 43, 6, 39, 40, 30, 8, 45, 18, 22, 6, 43, 3, 15, 24, 39, 19, 50, 2, 36, 37, 24, 13, 10, 13]
[48, 3, 44, 29, 35, 33, 38, 0, 17, 46, 38, 40, 26, 25, 34, 10, 22, 40, 36, 31, 6, 37, 47, 8, 7, 36, 1, 14, 10, 40, 25, 5, 31, 16, 48, 29, 27, 20, 27, 27, 18, 6, 31, 5, 23, 37, 8, 36, 15, 41, 31, 2, 50, 8, 3, 37]
[24, 10, 3, 46, 23, 20, 39, 17, 0, 50, 35, 49, 45, 8, 5, 33, 17, 48, 24, 26, 1, 20, 5, 8, 7, 31, 4, 23, 11, 43, 21, 46, 47, 16, 13, 16, 31, 16, 34, 13, 2, 0, 5, 45, 13, 5, 35, 17, 29, 14, 10, 17, 26, 31, 49, 13]
[49, 48, 20, 30, 4, 43, 5, 46, 50, 0, 36, 6, 23, 45, 47, 31, 34, 42, 42, 20, 38, 47, 45, 32, 50, 34, 26, 29, 40, 24, 30, 23, 21, 49, 5, 48, 21, 42, 32, 13, 30, 25, 14, 8, 34, 25, 5, 24, 8, 14, 22, 48, 33, 22, 28, 0]
[8, 33, 13, 36, 24, 12, 28, 38, 35, 36, 0, 22, 45, 26, 4, 0, 14, 44, 14, 21, 10, 19, 26, 22, 48, 17, 3, 33, 20, 15, 39, 47, 32, 50, 44, 17, 34, 48, 1, 25, 48, 32, 41, 41, 49, 18, 2, 6, 49, 26, 39, 45, 32, 22, 38, 45]
[4, 43, 30, 29, 24, 28, 1, 40, 49, 6, 22, 0, 37, 10, 39, 4, 45, 20, 17, 22, 41, 8, 47, 25, 23, 42, 46, 7, 31, 21, 36, 21, 4, 5, 6, 34, 25, 14, 14, 26, 0, 44, 2, 4, 26, 39, 11, 48, 23, 37, 13, 7, 19, 16, 44, 34]
[45, 40, 36, 16, 42, 49, 32, 26, 45, 23, 45, 37, 0, 35, 43, 40, 28, 35, 39, 39, 13, 30, 36, 1, 46, 1, 32, 0, 27, 32, 29, 4, 48, 5, 38, 21, 22, 17, 22, 48, 11, 18, 26, 15, 40, 27, 10, 12, 10, 1, 4, 15, 20, 5, 23, 6]
