N1,N2,...,Nx
[0, 18, 14, 48, 32, 7, 12, 45, 36, 31, 25, 28, 33, 39, 15, 25, 24, 21, 2, 18, 19, 40, 15, 33, 46, 17, 14, 39, 44, 23, 17, 13, 32, 11, 50, 48, 24, 50, 34, 26, 15, 1, 8, 1, 0, 43, 32, 49, 12, 20, 18, 39, 43, 25, 30, 13, 40, 6, 23, 2, 15, 50, 50, 2, 5, 12, 0, 12, 28, 47, 25, 30, 11, 33, 9, 39, 10, 38, 6, 22, 8, 17, 45, 6, 30, 33, 48, 12, 30, 21, 10, 25, 23, 16, 23, 38, 3, 40, 8, 25, 15, 22, 10, 33, 35, 9, 38, 49, 46, 11, 21, 41, 41, 23, 45, 0, 27, 6, 13, 5, 1, 33, 7, 21, 15, 38, 49, 6, 47, 6, 17]
[18, 0, 50, 16, 17, 34, 42, 12, 34, 18, 12, 24, 19, 32, 34, 26, 26, 8, 2, 13, 21, 7, 23, 49, 24, 24, 24, 45, 10, 26, 13, 21, 9, 29, 49, 28, 15, 15, 49, 26, 39, 1, 40, 6, 9, 17, 35, 47, 31, 26, 10, 43, 30, 32, 13, 36, 19, 3, 20, 1, 32, 19, 37, 12, 32, 22, 36, 27, 19, 34, 6, 28, 28, 20, 29, 5, 3, 14, 34, 11, 39, 24, 4, 41, 17, 36, 21, 6, 45, 26, 39, 45, 9, 28, 18, 19, 10, 5, 43, 27, 26, 32, 35, 21, 11, 4, 19, 13, 46, 40, 39, 4, 7, 25, 26, 17, 13, 47, 14, 15, 33, 36, 35, 5, 24, 35, 6, 23, 24, 25, 29]
[14, 50, 0, 47, 47, 22, 29, 33, 29, 42, 46, 16, 49, 24, 32, 49, 4, 24, 37, 24, 14, 42, 20, 33, 28, 26, 48, 10, 36, 13, 4, 47, 20, 48, 38, 42, 50, 22, 28, 10, 23, 36, 37, 31, 17, 4, 42, 32, 31, 30, 19, 47, 35, 27, 41, 47, 20, 21, 12, 48, 17, 21, 21, 46, 26, 9, 39, 10, 25, 5, 27, 36, 32, 38, 6, 38, 10, 48, 3, 49, 45, 13, 49, 4, 23, 14, 7, 10, 21, 30, 50, 20, 40, 23, 7, 0, 29, 31, 10, 32, 32, 32, 12, 21, 46, 38, 44, 33, 50, 24, 11, 33, 28, 32, 34, 27, 3, 21, 41, 21, 11, 20, 3, 35, 18, 50, 30, 11, 19, 20, 41]
[48, 16, 47, 0, 13, 3, 27, 38, 44, 28, 6, 1, 9, 44, 5, 21, 27, 48, 18, 1, 44, 42, 1, 18, 40, 47, 31, 16, 28, 6, 15, 0, 40, 46, 1, 37, 32, 27, 40, 18, 5, 3, 12, 23, 41, 21, 3, 3, 20, 30, 12, 31, 42, 42, 6, 44, 35, 38, 31, 12, 20, 7, 17, 13, 7, 26, 27, 17, 19, 29, 24, 10, 17, 38, 27, 21, 29, 45, 16, 24, 1, 16, 12, 26, 4, 34, 19, 25, 30, 12, 45, 34, 15, 48, 41, 11, 40, 3, 24, 7, 7, 20, 47, 30, 48, 7, 12, 12, 44, 46, 13, 1, 18, 44, 50, 5, 39, 21, 24, 27, 15, 46, 31, 31, 48, 28, 30, 4, 35, 31, 19]
[32, 17, 47, 13, 0, 33, 19, 6, 49, 16, 35, 29, 8, 9, 38, 7, 19, 17, 35, 0, 39, 35, 19, 5, 44, 4, 31, 34, 9, 12, 19, 28, 24, 9, 9, 25, 26, 30, 6, 36, 19, 37, 16, 28, 0, 23, 17, 40, 8, 34, 9, 22, 6, 14, 40, 4, 27, 20, 41, 44, 47, 24, 33, 28, 10, 24, 37, 10, 23, 49, 39, 36, 28, 23, 49, 24, 27, 49, 8, 19, 34, 27, 19, 48, 39, 36, 45, 5, 12, 20, 44, 40, 43, 47, 34, 42, 1, 25, 29, 42, 4, 46, 23, 33, 24, 7, 20, 16, 17, 24, 40, 35, 29, 40, 10, 7, 13, 40, 32, 33, 47, 39, 44, 13, 37, 32, 37, 14, 27, 32, 32]
[7, 34, 22, 3, 33, 0, 6, 28, 12, 27, 12, 0, 33, 13, 49, 46, 16, 31, 11, 0, 47, 8, 22, 40, 18, 43, 1, 19, 3, 26, 21, 34, 1, 17, 31, 25, 42, 26, 27, 21, 1, 32, 33, 47, 10, 46, 30, 16, 40, 47, 23, 26, 1, 1, 5, 47, 11, 5, 7, 4, 36, 35, 16, 17, 34, 5, 2, 32, 39, 46, 23, 46, 3, 48, 32, 8, 25, 29, 8, 5, 7, 37, 36, 16, 33, 30, 0, 39, 3, 9, 45, 27, 3, 29, 42, 41, 44, 8, 39, 17, 4, 16, 8, 29, 21, 27, 5, 9, 28, 40, 29, 26, 9, 24, 19, 19, 36, 17, 40, 48, 24, 44, 27, 35, 20, 35, 29, 29, 45, 30, 7]
[12, 42, 29, 27, 19, 6, 0, 19, 21, 11, 9, 33, 11, 28, 26, 1, 2, 3, 7, 20, 28, 47, 47, 2, 46, 16, 34, 1, 6, 33, 19, 46, 25, 46, 32, 26, 3, 7, 29, 27, 50, 16, 34, 13, 24, 36, 1, 16, 0, 26, 19, 16, 34, 44, 46, 4, 49, 7, 10, 43, 43, 12, 20, 23, 5, 40, 34, 44, 50, 22, 22, 33, 25, 42, 11, 50, 41, 27, 45, 3, 0, 27, 8, 15, 3, 20, 11, 16, 3, 43, 50, 22, 17, 25, 30, 33, 42, 27, 23, 8, 10, 21, 34, 23, 18, 5, 8, 43, 16, 33, 15, 31, 20, 33, 22, 18, 1, 11, 14, 7, 44, 10, 10, 19, 41, 16, 50, 44, 47, 10, 22]
[45, 12, 33, 38, 6, 28, 19, 0, 35, 25, 46, 34, 33, 1, 48, 13, 9, 33, 39, 0, 37, 45, 46, 41, 44, 23, 8, 22, 2, 18, 35, 9, 37, 50, 3, 5, 50, 39, 8, 41, 16, 29, 17, 6, 26, 30, 30, 22, 10, 47, 21, 47, 50, 6, 44, 28, 40, 48, 41, 50, 39, 40, 27, 9, 47, 10, 1, 23, 5, 33, 36, 17, 13, 23, 17, 12, 17, 4, 17, 39, 50, 18, 33, 33, 7, 44, 50, 0, 4, 26, 24, 12, 13, 12, 3, 9, 27, 31, 16, 30, 27, 23, 30, 20, 18, 31, 41, 14, 4, 28, 10, 41, 18, 45, 31, 38, 8, 29, 33, 23, 46, 26, 49, 30, 45, 47, 49, 6, 47, 37, 50]
[36, 34, 29, 44, 49, 12, 21, 35, 0, 45, 24, 19, 46, 5, 16, 30, 36, 30, 5, 25, 22, 19, 9, 48, 41, 22, 15, 42, 47, 41, 19, 1, 36, 28, 21, 34, 6, 36, 48, 18, 36, 17, 6, 17, 23, 25, 45, 0, 49, 10, 0, 14, 39, 13, 0, 47, 8, 2, 13, 17, 36, 27, 39, 46, 22, 18, 33, 43, 33, 8, 16, 17, 11, 3, 50, 44, 47, 1, 25, 17, 8, 44, 35, 12, 17, 9, 49, 43, 47, 40, 27, 45, 34, 18, 25, 1, 37, 28, 15, 16, 38, 46, 17, 17, 12, 49, 17, 15, 41, 36, 48, 36, 9, 34, 35, 24, 42, 27, 29, 24, 20, 13, 12, 16, 27, 0, 8, 39, 32, 5, 37]
[31, 18, 42, 28, 16, 27, 11, 25, 45, 0, 7, 22, 28, 45, 44, 1, 23, 14, 19, 26, 31, 17, 33, 7, 34, 49, 3, 27, 43, 45, 36, 16, 32, 46, 45, 25, 38, 26, 9, 21, 14, 19, 39, 48, 47, 16, 38, 41, 45, 15, 29, 40, 3, 2, 29, 27, 37, 50, 48, 38, 31, 50, 7, 29, 9, 40, 25, 25, 36, 48, 3, 19, 26, 23, 35, 40, 24, 33, 41, 50, 40, 25, 3, 43, 29, 2, 19, 50, 1, 30, 21, 2, 28, 1, 14, 20, 4, 25, 35, 21, 33, 12, 39, 45, 33, 36, 41, 46, 32, 10, 1, 17, 17, 9, 14, 36, 44, 3, 35, 39, 9, 40, 10, 3, 35, 32, 27, 12, 11, 11, 27]
