N1,N2,...,Nx
[0, 20, 28, 29, 21, 23, 30, 20, 44, 24, 19, 11, 33, 27, 17, 10, 15, 13, 27, 50, 20, 42, 23, 18, 31, 10, 38, 19, 23, 10, 36, 6, 42, 42, 49, 3, 7, 11, 13, 8, 14, 32, 19, 42, 37, 26, 26, 28, 45, 27, 41, 11, 50, 12, 22, 47, 10, 8, 43, 31, 34, 38, 26, 29, 4, 5, 32, 40, 22, 47, 11, 19, 50, 40, 15, 40, 43, 50, 7, 25, 24, 40, 5, 46, 35, 34, 50, 0, 29, 39, 2, 35, 15, 4, 43, 43, 50, 33, 5, 28, 24, 50, 34, 46, 22, 17, 10, 7, 42, 8, 30, 49, 46, 16, 20, 7, 13, 10, 45, 27, 41, 50, 13, 49, 39, 17, 50, 48, 32, 14, 42, 39, 45, 30, 49, 20, 4, 35, 38, 12, 26, 36, 48, 49, 22, 3, 29, 41, 19, 0, 14, 10, 5, 47, 21, 22, 27, 38, 42, 18, 42, 34, 44, 24, 21, 17, 50, 13, 50, 21, 6, 12, 37, 39, 49, 45, 12, 45, 48, 33, 48, 13, 17, 31, 29, 17, 48, 3, 16, 12]
[20, 0, 45, 37, 16, 13, 9, 20, 42, 19, 28, 11, 39, 30, 4, 28, 47, 30, 6, 50, 32, 26, 39, 1, 10, 23, 5, 46, 14, 9, 41, 39, 50, 47, 34, 13, 30, 23, 8, 28, 5, 33, 35, 35, 33, 35, 29, 18, 22, 7, 7, 4, 34, 50, 31, 47, 40, 24, 38, 27, 28, 37, 1, 4, 35, 9, 28, 40, 6, 18, 0, 0, 42, 46, 24, 6, 41, 32, 6, 34, 9, 32, 42, 2, 13, 12, 47, 48, 41, 3, 4, 26, 23, 39, 21, 34, 19, 46, 42, 13, 13, 19, 7, 31, 20, 34, 49, 5, 48, 5, 38, 12, 28, 44, 35, 30, 24, 23, 44, 36, 4, 38, 48, 32, 40, 48, 11, 8, 18, 6, 38, 47, 16, 17, 17, 42, 43, 7, 36, 7, 15, 48, 29, 23, 7, 32, 24, 13, 17, 31, 43, 2, 12, 1, 28, 44, 35, 21, 17, 46, 39, 42, 8, 47, 35, 44, 30, 38, 26, 4, 30, 46, 34, 5, 13, 18, 41, 17, 29, 20, 13, 14, 45, 41, 16, 32, 35, 11, 36, 7]
[28, 45, 0, 22, 44, 7, 37, 23, 28, 8, 27, 43, 8, 8, 0, 49, 43, 34, 25, 34, 23, 44, 50, 27, 18, 8, 36, 43, 47, 19, 29, 17, 25, 16, 30, 14, 48, 22, 28, 34, 7, 49, 3, 20, 43, 43, 12, 28, 39, 7, 20, 29, 44, 50, 21, 23, 21, 15, 27, 30, 8, 38, 26, 46, 34, 43, 37, 29, 4, 22, 3, 2, 1, 44, 16, 47, 13, 36, 38, 23, 10, 34, 37, 13, 42, 33, 22, 49, 42, 13, 8, 10, 23, 42, 41, 34, 34, 19, 31, 6, 36, 40, 46, 22, 10, 16, 31, 25, 14, 49, 27, 13, 49, 43, 3, 9, 33, 50, 20, 9, 24, 26, 35, 31, 42, 7, 19, 48, 44, 22, 26, 48, 20, 2, 3, 24, 29, 19, 9, 3, 30, 24, 47, 45, 17, 3, 4, 31, 32, 30, 50, 50, 35, 24, 0, 43, 4, 30, 12, 34, 25, 6, 8, 6, 47, 48, 39, 5, 21, 21, 9, 10, 8, 6, 17, 49, 12, 9, 26, 3, 47, 38, 48, 5, 0, 7, 36, 14, 36, 11]
[29, 37, 22, 0, 5, 14, 16, 41, 23, 42, 42, 22, 41, 40, 48, 36, 19, 15, 3, 19, 19, 37, 33, 11, 37, 12, 18, 21, 3, 9, 2, 19, 41, 8, 6, 19, 16, 9, 20, 10, 34, 38, 21, 37, 26, 44, 35, 8, 27, 46, 20, 26, 10, 45, 0, 43, 24, 42, 31, 15, 3, 10, 27, 37, 37, 16, 47, 14, 6, 36, 24, 11, 6, 2, 8, 8, 19, 24, 16, 1, 26, 37, 11, 20, 35, 47, 30, 38, 10, 6, 34, 32, 7, 36, 9, 49, 16, 32, 30, 3, 11, 5, 6, 19, 20, 21, 50, 46, 26, 32, 31, 0, 19, 25, 7, 4, 3, 25, 13, 34, 42, 22, 45, 39, 0, 13, 32, 27, 26, 11, 22, 9, 14, 43, 50, 46, 38, 32, 24, 44, 40, 44, 13, 20, 11, 27, 38, 27, 39, 33, 36, 40, 7, 23, 25, 13, 27, 34, 3, 30, 8, 20, 4, 46, 22, 31, 42, 35, 21, 29, 44, 49, 31, 21, 20, 46, 28, 21, 11, 29, 39, 35, 18, 23, 14, 21, 45, 28, 36, 35]
[21, 16, 44, 5, 0, 10, 34, 14, 9, 9, 47, 48, 24, 28, 11, 37, 7, 40, 37, 13, 38, 45, 15, 7, 38, 22, 17, 18, 25, 26, 5, 30, 0, 38, 33, 13, 21, 28, 26, 18, 26, 13, 3, 20, 0, 18, 14, 17, 0, 19, 27, 5, 27, 17, 28, 14, 17, 4, 30, 17, 50, 16, 4, 16, 45, 19, 12, 32, 14, 50, 40, 33, 26, 35, 7, 15, 49, 45, 48, 12, 25, 11, 20, 8, 6, 49, 12, 17, 2, 27, 33, 21, 36, 4, 27, 35, 43, 17, 5, 3, 44, 20, 24, 45, 2, 18, 20, 6, 29, 47, 34, 36, 6, 41, 36, 23, 5, 16, 12, 47, 30, 38, 17, 34, 9, 42, 0, 45, 29, 23, 24, 13, 46, 16, 40, 11, 49, 10, 19, 26, 6, 32, 31, 35, 40, 42, 18, 25, 0, 22, 9, 18, 20, 3, 11, 18, 22, 1, 3, 36, 12, 12, 36, 27, 37, 5, 20, 37, 45, 26, 40, 15, 14, 26, 36, 42, 21, 22, 1, 16, 18, 31, 5, 11, 28, 7, 2, 7, 11, 21]
[23, 13, 7, 14, 10, 0, 0, 50, 14, 27, 2, 13, 14, 15, 7, 9, 46, 21, 15, 32, 42, 37, 49, 16, 38, 17, 12, 33, 19, 9, 46, 25, 18, 36, 37, 50, 34, 1, 19, 13, 35, 19, 42, 15, 3, 45, 37, 38, 19, 5, 6, 1, 4, 35, 35, 10, 49, 13, 41, 30, 3, 26, 14, 21, 4, 47, 36, 11, 27, 41, 13, 38, 5, 45, 4, 48, 22, 10, 4, 24, 1, 31, 32, 28, 19, 40, 14, 41, 0, 41, 29, 20, 25, 27, 12, 12, 7, 40, 45, 35, 25, 28, 5, 44, 28, 7, 22, 17, 43, 29, 22, 4, 1, 21, 7, 20, 42, 47, 41, 22, 7, 17, 47, 0, 36, 46, 11, 3, 31, 33, 38, 35, 7, 27, 5, 20, 9, 28, 44, 33, 8, 10, 18, 28, 24, 25, 30, 23, 26, 30, 48, 19, 11, 2, 40, 49, 17, 25, 26, 13, 50, 40, 22, 45, 28, 50, 22, 4, 46, 46, 22, 22, 22, 30, 33, 28, 18, 16, 26, 50, 30, 40, 27, 47, 21, 2, 22, 40, 32, 17]
[30, 9, 37, 16, 34, 0, 0, 44, 9, 24, 44, 16, 8, 50, 7, 8, 4, 9, 19, 21, 40, 17, 6, 39, 3, 3, 0, 33, 26, 49, 38, 47, 34, 19, 29, 33, 41, 4, 24, 5, 15, 49, 42, 12, 37, 25, 10, 8, 29, 9, 6, 6, 18, 48, 25, 50, 29, 0, 5, 2, 6, 37, 40, 6, 44, 31, 41, 24, 27, 3, 4, 4, 38, 41, 44, 1, 46, 42, 17, 36, 15, 23, 2, 22, 13, 33, 32, 43, 45, 21, 14, 19, 12, 12, 14, 16, 24, 37, 0, 4, 31, 9, 7, 42, 2, 5, 11, 23, 18, 27, 37, 0, 36, 16, 16, 31, 20, 0, 13, 45, 38, 49, 8, 43, 3, 44, 32, 50, 8, 19, 11, 12, 18, 49, 46, 43, 42, 16, 37, 15, 22, 48, 45, 14, 6, 8, 34, 9, 18, 19, 28, 7, 41, 45, 2, 22, 36, 0, 2, 44, 42, 34, 42, 36, 13, 17, 4, 32, 34, 23, 22, 9, 14, 20, 33, 17, 23, 14, 15, 15, 10, 36, 37, 31, 32, 10, 10, 28, 1, 14]
[20, 20, 23, 41, 14, 50, 44, 0, 36, 5, 45, 24, 0, 32, 9, 37, 23, 31, 23, 25, 33, 43, 22, 18, 38, 48, 28, 48, 0, 5, 12, 24, 45, 46, 45, 12, 3, 34, 10, 10, 11, 12, 8, 13, 46, 25, 50, 43, 46, 48, 50, 39, 34, 10, 3, 10, 10, 29, 0, 30, 20, 10, 36, 4, 30, 48, 12, 12, 50, 50, 20, 26, 27, 6, 23, 35, 38, 45, 2, 44, 20, 35, 0, 8, 27, 26, 1, 8, 36, 37, 12, 1, 4, 17, 41, 5, 15, 41, 11, 40, 16, 21, 5, 5, 32, 23, 34, 41, 25, 18, 32, 29, 35, 35, 0, 49, 44, 3, 10, 44, 12, 13, 15, 23, 28, 1, 12, 45, 33, 20, 39, 12, 34, 24, 11, 25, 8, 50, 37, 2, 5, 47, 41, 40, 17, 18, 37, 25, 6, 39, 9, 14, 37, 42, 7, 10, 39, 8, 35, 1, 15, 31, 32, 46, 0, 1, 49, 10, 4, 2, 6, 48, 11, 35, 39, 29, 48, 18, 21, 4, 38, 24, 26, 45, 49, 30, 39, 5, 41, 35]
[44, 42, 28, 23, 9, 14, 9, 36, 0, 7, 49, 24, 43, 48, 42, 33, 18, 49, 2, 37, 26, 18, 22, 39, 47, 26, 28, 5, 25, 25, 29, 11, 6, 19, 18, 2, 9, 25, 46, 18, 38, 18, 33, 21, 24, 10, 30, 29, 44, 3, 34, 50, 32, 46, 13, 28, 14, 37, 0, 24, 25, 25, 48, 4, 37, 32, 41, 13, 23, 27, 7, 43, 38, 3, 15, 32, 27, 34, 28, 18, 13, 49, 28, 23, 30, 6, 1, 19, 25, 23, 39, 30, 38, 34, 35, 36, 11, 2, 15, 10, 41, 27, 8, 27, 4, 45, 16, 26, 46, 20, 39, 17, 9, 29, 39, 48, 15, 9, 17, 11, 11, 41, 43, 2, 39, 49, 41, 23, 13, 36, 28, 29, 47, 16, 43, 27, 21, 36, 40, 2, 46, 3, 33, 27, 33, 25, 34, 12, 39, 33, 43, 48, 28, 38, 35, 4, 18, 22, 41, 42, 35, 32, 40, 29, 11, 39, 8, 28, 9, 7, 22, 10, 27, 0, 27, 22, 23, 17, 23, 8, 4, 47, 29, 36, 46, 49, 27, 4, 20, 49]
[24, 19, 8, 42, 9, 27, 24, 5, 7, 0, 26, 17, 2, 41, 49, 46, 7, 30, 15, 24, 41, 13, 43, 4, 39, 39, 34, 26, 41, 34, 23, 11, 48, 3, 29, 27, 8, 49, 43, 8, 42, 6, 38, 42, 25, 24, 28, 42, 24, 4, 20, 3, 36, 0, 17, 43, 33, 44, 13, 33, 47, 39, 42, 35, 5, 34, 6, 45, 28, 49, 43, 20, 49, 45, 4, 36, 43, 19, 22, 26, 10, 12, 28, 44, 8, 49, 43, 4, 42, 33, 23, 11, 30, 27, 23, 17, 21, 39, 25, 4, 18, 31, 31, 42, 38, 31, 23, 3, 45, 38, 34, 0, 7, 14, 16, 39, 30, 24, 31, 46, 36, 22, 18, 21, 9, 38, 20, 29, 42, 46, 22, 8, 9, 29, 20, 1, 10, 15, 11, 42, 17, 31, 20, 40, 21, 9, 10, 24, 1, 0, 11, 19, 11, 2, 13, 0, 28, 47, 10, 39, 28, 48, 17, 37, 3, 12, 21, 14, 2, 45, 37, 9, 25, 41, 18, 5, 30, 25, 16, 32, 6, 24, 21, 35, 45, 35, 33, 22, 15, 27]
