N1,N2,...,Nx
[0, 36, 7, 41, 1, 6, 17, 30, 44, 49, 23, 32, 44, 1, 24, 48, 27, 10, 22, 22, 37, 31, 5, 25, 42, 21, 13, 45, 34, 43, 6, 15, 49, 5, 0, 34, 3, 2, 36, 36, 20, 5, 25, 45, 45, 28, 19, 18, 22, 8, 5, 23, 9, 45, 4, 33, 44, 34, 41, 27, 8, 28, 21, 42, 43, 3, 7, 32, 7, 6, 19, 3, 47, 0, 9, 21, 1, 29, 36, 7, 26, 10, 20, 25, 44, 22, 44, 39, 26, 0, 15, 26, 50, 12, 21, 42, 29, 15, 3]
[36, 0, 33, 42, 15, 34, 47, 50, 41, 20, 41, 27, 23, 16, 45, 47, 12, 26, 8, 21, 2, 5, 24, 12, 9, 46, 0, 50, 48, 13, 16, 2, 37, 49, 0, 22, 33, 43, 21, 16, 11, 20, 39, 29, 41, 11, 49, 44, 29, 17, 7, 12, 44, 28, 31, 23, 8, 38, 17, 4, 3, 32, 46, 47, 0, 20, 11, 38, 10, 36, 42, 18, 12, 19, 26, 22, 21, 31, 37, 50, 42, 45, 2, 0, 19, 1, 8, 31, 21, 18, 4, 45, 33, 1, 5, 37, 0, 41, 8]
[7, 33, 0, 40, 36, 34, 44, 29, 48, 44, 4, 14, 33, 22, 46, 48, 45, 49, 31, 37, 36, 6, 49, 49, 13, 29, 1, 8, 39, 19, 5, 7, 40, 35, 41, 50, 9, 34, 37, 27, 20, 41, 29, 36, 2, 39, 18, 41, 17, 34, 30, 13, 5, 34, 8, 47, 7, 0, 30, 50, 11, 15, 29, 39, 16, 28, 48, 15, 13, 2, 18, 19, 15, 25, 36, 10, 9, 32, 25, 17, 30, 37, 41, 25, 6, 24, 12, 16, 1, 22, 24, 34, 1, 36, 42, 47, 14, 28, 23]
[41, 42, 40, 0, 48, 12, 22, 29, 3, 31, 33, 29, 1, 9, 12, 40, 36, 9, 12, 17, 15, 30, 30, 19, 18, 17, 41, 9, 10, 18, 9, 45, 2, 6, 15, 14, 3, 43, 4, 25, 48, 50, 38, 10, 15, 34, 26, 43, 35, 17, 27, 49, 8, 17, 35, 6, 34, 20, 28, 10, 39, 21, 42, 0, 39, 16, 9, 22, 25, 17, 10, 45, 50, 30, 33, 39, 15, 32, 46, 20, 20, 11, 49, 36, 0, 39, 46, 19, 6, 48, 9, 27, 50, 39, 30, 31, 28, 3, 1]
[1, 15, 36, 48, 0, 40, 8, 37, 38, 0, 9, 13, 11, 12, 48, 44, 1, 19, 33, 18, 14, 37, 35, 25, 46, 2, 29, 2, 28, 21, 27, 35, 48, 6, 6, 49, 13, 24, 12, 17, 43, 40, 31, 11, 46, 15, 45, 29, 33, 35, 40, 5, 16, 1, 27, 20, 28, 38, 3, 15, 10, 14, 2, 49, 6, 21, 32, 19, 13, 4, 40, 43, 25, 15, 26, 43, 4, 19, 18, 12, 49, 29, 38, 3, 29, 2, 5, 47, 27, 10, 35, 36, 45, 20, 30, 9, 27, 40, 35]
[6, 34, 34, 12, 40, 0, 5, 42, 17, 4, 16, 47, 17, 7, 12, 24, 6, 12, 11, 25, 20, 50, 19, 7, 12, 28, 2, 50, 11, 9, 10, 37, 25, 32, 7, 27, 33, 13, 12, 13, 41, 30, 4, 48, 49, 23, 35, 13, 39, 33, 33, 12, 41, 46, 11, 29, 20, 22, 18, 25, 32, 0, 44, 34, 19, 19, 19, 6, 19, 43, 48, 16, 29, 19, 13, 38, 48, 50, 39, 44, 9, 12, 12, 47, 11, 47, 32, 35, 9, 1, 29, 24, 9, 40, 29, 34, 25, 42, 2]
[17, 47, 44, 22, 8, 5, 0, 11, 48, 35, 1, 50, 16, 31, 19, 50, 0, 23, 9, 39, 36, 40, 49, 3, 8, 32, 15, 39, 2, 17, 6, 18, 6, 26, 44, 48, 34, 45, 10, 35, 41, 41, 41, 21, 40, 36, 21, 17, 30, 12, 36, 6, 32, 27, 11, 29, 44, 33, 43, 36, 3, 49, 26, 23, 15, 22, 33, 25, 4, 33, 40, 37, 26, 43, 50, 6, 1, 29, 40, 40, 35, 8, 11, 22, 30, 27, 7, 31, 9, 0, 11, 3, 13, 30, 24, 38, 49, 29, 33]
[30, 50, 29, 29, 37, 42, 11, 0, 25, 43, 30, 3, 35, 42, 11, 10, 27, 35, 30, 44, 44, 47, 4, 6, 40, 24, 3, 5, 34, 16, 20, 12, 35, 31, 3, 32, 28, 44, 41, 29, 32, 36, 20, 8, 19, 11, 14, 35, 24, 42, 11, 41, 49, 49, 49, 39, 26, 33, 21, 18, 48, 26, 2, 29, 32, 46, 25, 25, 38, 12, 30, 29, 4, 30, 41, 11, 50, 12, 7, 3, 32, 18, 48, 16, 10, 1, 27, 17, 29, 48, 42, 34, 34, 35, 0, 22, 28, 32, 37]
[44, 41, 48, 3, 38, 17, 48, 25, 0, 8, 47, 24, 22, 48, 30, 10, 45, 9, 31, 41, 27, 17, 20, 14, 5, 7, 19, 49, 19, 7, 45, 29, 12, 6, 27, 24, 47, 22, 22, 23, 45, 14, 44, 27, 28, 21, 11, 9, 42, 13, 23, 10, 43, 9, 12, 2, 21, 18, 15, 37, 42, 23, 44, 40, 27, 40, 3, 32, 24, 13, 11, 12, 11, 47, 42, 42, 31, 43, 39, 37, 50, 15, 33, 22, 31, 18, 25, 7, 29, 43, 47, 9, 10, 20, 9, 27, 17, 16, 23]
[49, 20, 44, 31, 0, 4, 35, 43, 8, 0, 8, 11, 13, 23, 26, 27, 2, 6, 39, 9, 21, 16, 13, 15, 1, 12, 9, 22, 33, 23, 24, 18, 0, 44, 17, 36, 26, 12, 25, 14, 0, 2, 7, 29, 30, 16, 17, 1, 36, 0, 48, 27, 35, 4, 25, 39, 29, 49, 46, 7, 0, 23, 12, 16, 37, 13, 8, 20, 19, 47, 29, 38, 4, 44, 17, 1, 10, 14, 50, 50, 22, 7, 48, 48, 15, 10, 11, 20, 28, 36, 20, 28, 45, 6, 41, 4, 16, 38, 32]
