N1,N2,...,Nx
[0, 18, 49, 27, 19, 29, 27, 39, 0, 44, 5, 13, 38, 50]
[18, 0, 48, 11, 7, 27, 14, 17, 15, 6, 35, 39, 23, 38]
[49, 48, 0, 13, 22, 50, 35, 22, 42, 32, 12, 25, 8, 10]
[27, 11, 13, 0, 15, 38, 25, 15, 12, 41, 27, 20, 50, 14]
[19, 7, 22, 15, 0, 15, 34, 26, 2, 0, 2, 12, 20, 49]
[29, 27, 50, 38, 15, 0, 16, 41, 36, 39, 39, 23, 27, 31]
[27, 14, 35, 25, 34, 16, 0, 35, 25, 11, 44, 9, 40, 13]
[39, 17, 22, 15, 26, 41, 35, 0, 21, 15, 8, 38, 48, 41]
[0, 15, 42, 12, 2, 36, 25, 21, 0, 28, 9, 39, 2, 9]
[44, 6, 32, 41, 0, 39, 11, 15, 28, 0, 5, 8, 5, 3]
[5, 35, 12, 27, 2, 39, 44, 8, 9, 5, 0, 9, 10, 23]
[13, 39, 25, 20, 12, 23, 9, 38, 39, 8, 9, 0, 13, 27]
[38, 23, 8, 50, 20, 27, 40, 48, 2, 5, 10, 13, 0, 7]
[50, 38, 10, 14, 49, 31, 13, 41, 9, 3, 23, 27, 7, 0]
