N1,N2,...,Nx
[0, 43, 42, 39, 33, 6, 5, 39, 40, 18, 50, 43, 13, 41, 43, 1, 42, 40, 7, 14, 33, 13, 27, 44, 45, 24, 26, 24, 21, 37, 45, 19, 47, 33, 1, 9, 4, 17, 41, 44, 28, 32, 50, 16, 30, 12, 33, 4, 46, 44, 35, 30, 32, 11, 12, 13, 28, 7, 0, 4, 5, 30, 29, 45, 7, 27, 38, 13, 19, 17, 6, 18, 7, 44, 21, 18, 48, 6, 35, 27, 16, 40, 19, 17, 45, 19, 30, 27, 2, 8, 34, 2, 23, 8, 9, 43, 33, 4, 30, 44, 31, 2, 33, 20, 8, 31, 1, 38, 11, 14, 31, 15, 18, 41, 38, 48, 29, 33, 2, 41, 10, 15, 7, 6, 42, 45, 0]
[43, 0, 28, 5, 28, 30, 27, 6, 33, 6, 21, 37, 43, 42, 7, 23, 28, 39, 4, 17, 10, 15, 28, 20, 49, 0, 6, 28, 18, 14, 39, 38, 14, 43, 22, 50, 9, 38, 30, 0, 16, 15, 46, 17, 50, 14, 26, 36, 13, 14, 13, 9, 45, 40, 21, 49, 4, 44, 8, 14, 24, 33, 44, 32, 50, 46, 14, 40, 50, 2, 50, 13, 10, 1, 36, 11, 34, 0, 15, 28, 9, 13, 24, 18, 39, 4, 31, 26, 31, 48, 18, 2, 27, 22, 21, 33, 5, 47, 24, 38, 8, 45, 24, 16, 42, 7, 34, 10, 39, 4, 39, 33, 33, 45, 48, 17, 23, 49, 34, 40, 25, 37, 11, 42, 29, 50, 44]
[42, 28, 0, 2, 18, 19, 0, 45, 44, 46, 37, 18, 3, 49, 27, 23, 29, 27, 31, 22, 39, 42, 31, 7, 46, 21, 1, 36, 15, 23, 50, 22, 23, 49, 8, 16, 26, 50, 22, 42, 8, 4, 30, 20, 9, 3, 47, 13, 19, 16, 8, 15, 47, 22, 44, 35, 50, 50, 13, 12, 22, 25, 46, 28, 12, 36, 11, 47, 22, 47, 40, 16, 30, 37, 21, 23, 46, 14, 19, 12, 35, 15, 26, 12, 15, 13, 11, 22, 0, 31, 37, 41, 7, 28, 40, 34, 5, 14, 16, 12, 35, 8, 13, 6, 36, 45, 26, 17, 19, 11, 8, 13, 29, 5, 21, 2, 25, 41, 39, 25, 18, 12, 5, 13, 1, 44, 33]
[39, 5, 2, 0, 7, 49, 14, 33, 10, 3, 38, 21, 40, 42, 41, 18, 33, 11, 8, 41, 7, 34, 19, 32, 45, 34, 2, 24, 27, 40, 49, 19, 17, 5, 30, 32, 22, 20, 37, 13, 29, 38, 9, 13, 42, 33, 48, 38, 1, 47, 33, 8, 14, 10, 19, 32, 45, 36, 19, 35, 50, 14, 14, 10, 34, 48, 8, 23, 25, 34, 22, 18, 1, 21, 26, 41, 31, 4, 18, 6, 4, 48, 49, 31, 9, 28, 42, 10, 26, 47, 0, 48, 22, 23, 37, 49, 49, 27, 23, 5, 36, 5, 22, 43, 16, 0, 33, 10, 1, 27, 6, 46, 18, 33, 25, 32, 14, 4, 23, 50, 28, 46, 25, 31, 26, 46, 31]
[33, 28, 18, 7, 0, 42, 31, 49, 9, 18, 7, 28, 4, 16, 42, 17, 46, 0, 47, 7, 49, 10, 9, 39, 11, 39, 31, 42, 8, 47, 23, 12, 6, 23, 27, 36, 48, 40, 49, 9, 13, 10, 13, 28, 9, 11, 42, 30, 11, 34, 4, 3, 49, 36, 32, 20, 32, 47, 50, 29, 38, 7, 17, 15, 23, 23, 25, 23, 37, 15, 8, 34, 6, 2, 17, 35, 42, 20, 34, 33, 24, 19, 25, 43, 1, 19, 4, 14, 17, 35, 30, 24, 42, 21, 20, 18, 37, 28, 1, 13, 9, 48, 9, 33, 12, 27, 3, 22, 40, 50, 43, 27, 25, 47, 9, 35, 36, 30, 22, 47, 5, 25, 2, 39, 29, 13, 16]
[6, 30, 19, 49, 42, 0, 16, 23, 6, 31, 16, 13, 42, 29, 49, 8, 36, 37, 25, 44, 40, 50, 49, 49, 33, 38, 21, 27, 43, 31, 21, 11, 18, 49, 47, 28, 35, 40, 0, 34, 39, 48, 15, 26, 6, 4, 48, 34, 19, 27, 43, 25, 49, 35, 30, 15, 12, 27, 11, 32, 40, 16, 5, 47, 33, 41, 30, 4, 27, 16, 32, 49, 10, 9, 27, 39, 37, 4, 33, 50, 42, 38, 31, 23, 11, 29, 26, 9, 7, 25, 19, 28, 26, 8, 20, 3, 50, 0, 50, 39, 18, 24, 29, 16, 47, 4, 17, 26, 45, 40, 35, 26, 37, 5, 16, 20, 50, 41, 23, 41, 0, 31, 14, 18, 45, 15, 38]
[5, 27, 0, 14, 31, 16, 0, 7, 6, 41, 27, 34, 22, 8, 29, 39, 30, 15, 46, 39, 40, 43, 34, 28, 0, 46, 40, 50, 12, 3, 46, 37, 12, 12, 33, 25, 35, 42, 18, 33, 16, 17, 17, 24, 5, 6, 33, 39, 23, 40, 19, 0, 48, 5, 30, 46, 26, 20, 37, 30, 34, 50, 4, 16, 2, 35, 4, 40, 4, 10, 0, 3, 31, 6, 33, 1, 8, 37, 1, 22, 46, 12, 47, 21, 14, 11, 13, 37, 3, 46, 33, 7, 43, 40, 8, 22, 3, 16, 37, 30, 18, 30, 16, 0, 6, 4, 28, 34, 33, 35, 5, 21, 0, 19, 14, 30, 32, 12, 31, 22, 29, 38, 18, 15, 11, 15, 19]
[39, 6, 45, 33, 49, 23, 7, 0, 15, 48, 5, 26, 43, 25, 11, 44, 34, 29, 4, 33, 36, 45, 8, 34, 25, 45, 33, 27, 2, 1, 22, 41, 12, 32, 7, 17, 40, 45, 46, 4, 39, 46, 0, 25, 22, 7, 14, 46, 20, 5, 34, 32, 6, 28, 42, 32, 21, 7, 19, 20, 6, 28, 40, 15, 37, 4, 48, 41, 3, 35, 36, 45, 35, 10, 5, 7, 45, 47, 10, 29, 50, 42, 12, 33, 48, 33, 14, 5, 49, 33, 2, 30, 12, 5, 21, 25, 24, 28, 3, 3, 7, 41, 26, 32, 23, 11, 49, 4, 34, 50, 38, 18, 45, 23, 15, 9, 28, 3, 49, 32, 49, 0, 28, 39, 38, 21, 15]
[40, 33, 44, 10, 9, 6, 6, 15, 0, 50, 31, 41, 47, 46, 26, 35, 46, 0, 17, 39, 12, 16, 17, 23, 37, 36, 50, 10, 33, 30, 40, 30, 4, 11, 24, 42, 19, 0, 25, 3, 35, 3, 49, 14, 33, 23, 41, 45, 4, 8, 14, 44, 19, 32, 9, 10, 39, 14, 50, 19, 4, 40, 47, 39, 19, 14, 38, 13, 34, 16, 8, 13, 38, 47, 42, 38, 15, 13, 32, 30, 26, 15, 35, 1, 15, 43, 21, 38, 35, 41, 2, 36, 44, 41, 24, 28, 28, 48, 19, 6, 44, 36, 23, 35, 18, 34, 38, 27, 11, 11, 14, 29, 50, 47, 16, 10, 50, 25, 8, 30, 0, 30, 33, 37, 17, 14, 1]
[18, 6, 46, 3, 18, 31, 41, 48, 50, 0, 37, 43, 49, 39, 18, 5, 38, 34, 43, 33, 9, 38, 14, 43, 35, 27, 27, 25, 32, 19, 11, 25, 43, 9, 34, 27, 10, 34, 10, 36, 18, 43, 22, 15, 22, 45, 24, 23, 50, 12, 40, 14, 2, 32, 23, 46, 25, 7, 11, 12, 8, 2, 20, 34, 39, 4, 17, 36, 14, 1, 21, 36, 5, 25, 7, 48, 14, 34, 5, 6, 36, 31, 43, 50, 2, 38, 21, 43, 43, 50, 37, 33, 10, 48, 21, 36, 30, 27, 42, 0, 46, 25, 13, 33, 48, 48, 17, 10, 4, 0, 5, 13, 42, 19, 41, 4, 38, 32, 50, 37, 10, 33, 47, 15, 23, 22, 7]
