N1,N2,...,Nx
[0, 49, 1, 47, 46, 47, 34, 35, 25, 41, 48, 19, 6, 44, 6, 47, 20, 48, 3, 6, 5, 7, 19, 27, 41, 10, 22, 25, 36, 40, 50, 21, 42, 5, 44, 43, 40, 44, 50, 3, 32, 39, 45, 11, 34, 26, 18, 37, 27, 42, 18, 21, 6, 20, 13, 36, 12, 29, 35, 25, 16, 35, 39, 43, 18, 26, 24, 9, 8, 5, 5, 45, 29, 1, 49, 34, 23, 45, 32, 42, 0, 35, 18, 38, 4, 20, 4, 47, 13, 26, 14, 9, 45, 7, 41, 25, 43, 25, 7, 14, 27, 5, 48, 9, 28, 30, 47, 42, 22, 50, 28, 25, 25, 41, 21, 37, 1, 2, 3, 7, 16, 42, 37, 22, 33, 30, 13, 0, 4, 30, 6, 47, 14, 1, 49, 26, 11, 8, 46, 39, 40, 20, 47, 21, 11, 22, 37, 31, 13, 30, 32, 28, 48, 2, 1, 33, 19, 13, 0, 50, 17, 0, 37, 36, 33, 24, 31, 24, 31, 5, 29, 29, 5, 7, 24, 28, 3, 20]
[49, 0, 42, 30, 37, 29, 6, 10, 3, 49, 31, 4, 26, 2, 31, 32, 18, 35, 25, 24, 21, 24, 48, 40, 25, 16, 38, 50, 38, 12, 13, 11, 39, 21, 50, 35, 41, 50, 37, 50, 3, 16, 15, 9, 2, 6, 0, 38, 11, 17, 39, 13, 1, 12, 30, 38, 45, 32, 31, 31, 20, 4, 11, 23, 39, 5, 4, 3, 8, 38, 16, 37, 33, 42, 25, 6, 32, 50, 20, 49, 28, 39, 25, 8, 6, 11, 35, 28, 19, 30, 37, 8, 5, 21, 48, 12, 23, 4, 43, 19, 39, 15, 29, 37, 34, 3, 4, 9, 32, 11, 47, 47, 48, 4, 29, 50, 38, 10, 22, 44, 22, 28, 15, 10, 16, 10, 29, 45, 50, 28, 28, 31, 43, 2, 47, 24, 35, 35, 37, 22, 10, 45, 18, 26, 10, 18, 47, 19, 24, 24, 3, 8, 42, 19, 17, 46, 2, 14, 45, 35, 21, 1, 2, 36, 40, 19, 1, 46, 28, 5, 2, 41, 50, 8, 47, 20, 12, 24]
[1, 42, 0, 36, 48, 41, 17, 38, 21, 48, 31, 48, 17, 37, 43, 4, 38, 1, 6, 2, 50, 32, 10, 6, 12, 20, 38, 35, 2, 18, 38, 0, 11, 38, 32, 10, 28, 28, 26, 15, 21, 47, 6, 3, 48, 27, 12, 28, 50, 41, 4, 48, 30, 4, 30, 37, 22, 3, 8, 16, 28, 24, 37, 45, 43, 30, 17, 14, 23, 45, 10, 37, 21, 50, 4, 27, 24, 18, 20, 6, 18, 3, 20, 33, 20, 6, 25, 23, 41, 10, 49, 47, 17, 21, 11, 24, 22, 1, 47, 40, 40, 22, 3, 21, 44, 21, 30, 41, 32, 17, 42, 14, 39, 22, 13, 34, 26, 15, 41, 9, 37, 43, 39, 42, 16, 9, 49, 2, 9, 9, 2, 36, 45, 27, 11, 18, 6, 26, 3, 6, 31, 27, 38, 13, 3, 40, 42, 32, 8, 5, 14, 50, 13, 7, 3, 8, 31, 21, 6, 47, 18, 2, 18, 0, 15, 18, 25, 37, 4, 28, 16, 48, 29, 10, 31, 32, 2, 28]
[47, 30, 36, 0, 36, 10, 1, 0, 47, 26, 27, 37, 49, 36, 5, 34, 4, 33, 2, 17, 8, 10, 20, 21, 38, 22, 44, 14, 27, 16, 0, 16, 30, 9, 50, 13, 31, 9, 21, 23, 14, 23, 24, 22, 15, 21, 32, 50, 39, 28, 12, 24, 18, 11, 41, 11, 19, 17, 43, 18, 18, 34, 26, 38, 50, 42, 5, 21, 6, 25, 17, 9, 16, 13, 45, 6, 33, 8, 10, 34, 5, 40, 13, 4, 18, 11, 34, 6, 15, 39, 1, 3, 33, 1, 22, 36, 43, 27, 46, 46, 23, 8, 24, 29, 41, 24, 23, 35, 30, 19, 17, 6, 24, 21, 34, 1, 41, 23, 2, 9, 4, 18, 32, 31, 50, 17, 8, 26, 16, 35, 17, 18, 0, 18, 5, 26, 50, 18, 17, 30, 50, 48, 28, 38, 23, 47, 46, 17, 10, 38, 20, 10, 9, 46, 22, 1, 33, 49, 32, 37, 7, 50, 17, 42, 29, 10, 30, 12, 47, 28, 38, 0, 10, 43, 1, 9, 18, 15]
[46, 37, 48, 36, 0, 35, 4, 31, 19, 18, 48, 1, 32, 41, 34, 35, 39, 34, 29, 43, 32, 15, 36, 30, 25, 27, 3, 16, 33, 11, 31, 6, 27, 31, 24, 19, 31, 14, 40, 1, 4, 15, 33, 50, 12, 10, 5, 37, 12, 4, 26, 43, 34, 11, 20, 40, 21, 0, 13, 22, 0, 25, 24, 40, 5, 27, 42, 42, 19, 2, 9, 44, 2, 49, 5, 38, 50, 10, 16, 32, 1, 5, 3, 4, 1, 30, 44, 0, 21, 34, 45, 14, 17, 44, 43, 23, 6, 46, 1, 4, 25, 7, 46, 19, 35, 37, 49, 2, 33, 32, 46, 13, 49, 14, 20, 10, 35, 45, 3, 9, 43, 37, 34, 15, 39, 21, 21, 42, 20, 44, 41, 34, 39, 38, 6, 8, 16, 33, 50, 16, 16, 49, 7, 43, 24, 31, 18, 31, 41, 34, 14, 38, 44, 31, 29, 39, 45, 22, 8, 30, 47, 35, 21, 11, 37, 16, 29, 25, 13, 9, 6, 29, 41, 30, 47, 21, 43, 12]
[47, 29, 41, 10, 35, 0, 21, 16, 15, 16, 44, 1, 34, 29, 42, 10, 30, 26, 40, 7, 25, 36, 50, 8, 50, 48, 43, 28, 17, 28, 36, 23, 50, 31, 45, 26, 8, 8, 42, 10, 49, 18, 38, 22, 35, 44, 27, 37, 20, 20, 11, 29, 0, 22, 35, 45, 23, 50, 50, 35, 37, 10, 47, 1, 22, 38, 33, 1, 44, 37, 39, 15, 10, 4, 11, 47, 34, 41, 24, 4, 19, 12, 16, 48, 2, 47, 21, 19, 16, 29, 2, 37, 34, 4, 9, 46, 28, 26, 28, 1, 24, 24, 19, 50, 49, 0, 22, 38, 35, 27, 29, 48, 23, 28, 4, 29, 4, 9, 49, 29, 36, 39, 47, 26, 30, 21, 9, 37, 40, 46, 44, 26, 29, 13, 48, 23, 32, 15, 26, 18, 31, 16, 6, 5, 2, 47, 15, 35, 43, 3, 4, 49, 34, 47, 24, 6, 33, 8, 41, 36, 11, 44, 28, 45, 43, 15, 15, 18, 22, 19, 38, 29, 16, 7, 29, 36, 33, 1]
[34, 6, 17, 1, 4, 21, 0, 44, 46, 24, 24, 29, 36, 0, 36, 6, 15, 12, 5, 34, 38, 44, 5, 22, 7, 3, 35, 47, 42, 18, 32, 46, 26, 34, 7, 36, 32, 44, 6, 33, 31, 31, 20, 28, 7, 12, 42, 27, 33, 44, 46, 48, 9, 47, 6, 43, 3, 1, 48, 10, 10, 0, 12, 37, 2, 29, 35, 28, 26, 24, 13, 25, 46, 43, 15, 28, 8, 5, 34, 28, 24, 16, 40, 29, 39, 44, 0, 21, 38, 43, 17, 44, 26, 11, 31, 24, 50, 49, 12, 41, 40, 33, 28, 38, 12, 50, 21, 42, 36, 2, 26, 46, 8, 36, 12, 0, 15, 43, 31, 19, 23, 44, 33, 25, 42, 41, 1, 3, 47, 39, 4, 22, 28, 47, 44, 43, 5, 37, 41, 19, 2, 31, 39, 25, 3, 20, 18, 29, 9, 18, 5, 12, 12, 14, 14, 5, 25, 8, 42, 8, 49, 46, 13, 9, 43, 27, 13, 2, 6, 11, 24, 25, 5, 13, 44, 42, 21, 0]
[35, 10, 38, 0, 31, 16, 44, 0, 40, 10, 8, 2, 46, 50, 12, 43, 46, 3, 36, 46, 36, 29, 4, 12, 33, 11, 27, 17, 44, 19, 16, 18, 46, 29, 24, 48, 9, 35, 28, 12, 22, 1, 23, 10, 10, 34, 44, 30, 9, 40, 11, 17, 46, 8, 24, 29, 29, 50, 46, 30, 50, 40, 4, 43, 47, 8, 10, 12, 46, 46, 44, 3, 28, 29, 38, 10, 41, 11, 32, 48, 16, 46, 32, 33, 50, 35, 23, 41, 4, 42, 0, 44, 15, 29, 36, 19, 32, 20, 0, 31, 20, 41, 6, 46, 19, 15, 45, 34, 2, 48, 23, 25, 45, 5, 32, 45, 44, 28, 4, 49, 4, 49, 18, 33, 48, 32, 34, 33, 5, 7, 39, 45, 3, 18, 6, 38, 48, 39, 43, 10, 5, 31, 11, 46, 22, 33, 11, 27, 10, 22, 12, 39, 47, 3, 33, 26, 12, 14, 23, 21, 49, 35, 32, 21, 31, 2, 9, 21, 5, 16, 22, 6, 29, 50, 14, 16, 25, 34]
[25, 3, 21, 47, 19, 15, 46, 40, 0, 14, 37, 37, 15, 38, 34, 30, 44, 40, 31, 48, 37, 34, 25, 2, 50, 34, 49, 21, 32, 8, 1, 18, 6, 38, 41, 32, 15, 15, 20, 8, 28, 23, 37, 3, 29, 38, 19, 27, 36, 8, 18, 39, 9, 9, 2, 19, 20, 13, 16, 12, 19, 17, 35, 13, 30, 32, 36, 37, 10, 18, 9, 43, 2, 37, 25, 2, 38, 32, 11, 15, 23, 1, 0, 26, 3, 3, 29, 0, 31, 36, 19, 11, 26, 18, 29, 18, 50, 49, 6, 47, 30, 17, 35, 27, 12, 2, 44, 24, 35, 31, 1, 32, 17, 31, 24, 36, 18, 3, 7, 35, 31, 47, 12, 18, 6, 37, 7, 21, 3, 38, 37, 24, 23, 0, 33, 25, 30, 13, 39, 39, 5, 0, 20, 32, 39, 35, 46, 18, 29, 35, 17, 48, 3, 18, 0, 21, 5, 21, 43, 42, 11, 46, 45, 0, 27, 19, 6, 16, 43, 6, 16, 8, 1, 10, 50, 40, 39, 29]
[41, 49, 48, 26, 18, 16, 24, 10, 14, 0, 9, 47, 11, 45, 48, 1, 34, 24, 2, 29, 23, 21, 25, 28, 19, 7, 17, 5, 30, 46, 48, 38, 42, 42, 27, 50, 17, 16, 20, 32, 19, 39, 26, 29, 44, 32, 42, 18, 16, 42, 25, 46, 18, 32, 0, 14, 47, 37, 28, 20, 25, 29, 15, 8, 45, 11, 45, 30, 42, 34, 5, 13, 1, 30, 41, 49, 30, 34, 12, 7, 48, 7, 22, 19, 1, 12, 34, 12, 0, 28, 20, 47, 49, 3, 5, 5, 41, 18, 10, 27, 10, 20, 8, 23, 50, 6, 34, 22, 41, 19, 47, 17, 33, 6, 5, 14, 42, 50, 37, 50, 5, 7, 32, 36, 8, 16, 2, 43, 37, 43, 16, 12, 5, 45, 3, 48, 48, 7, 3, 23, 5, 24, 30, 20, 18, 23, 23, 5, 15, 35, 45, 19, 33, 21, 31, 3, 19, 4, 22, 21, 11, 42, 9, 31, 3, 37, 5, 24, 21, 25, 44, 48, 14, 5, 14, 2, 3, 35]
