N1,N2,...,Nx
[0, 9, 43, 5, 19, 24, 14, 32, 26, 6, 35, 32, 32, 46, 13, 37, 22, 20, 33, 45, 24, 8, 20, 4, 23, 47, 39, 23, 38, 11, 22, 43, 0, 11, 35, 18, 16, 49, 21, 50, 3, 14, 43, 35, 15, 9, 1, 2, 5, 19, 24, 48, 41, 8, 45, 5, 9, 11, 49, 35, 34, 40, 23, 40, 18, 27, 46, 25]
[9, 0, 47, 24, 17, 17, 14, 14, 37, 16, 47, 45, 11, 8, 36, 16, 14, 35, 2, 17, 3, 32, 32, 6, 45, 12, 31, 49, 38, 12, 45, 1, 18, 45, 27, 33, 20, 10, 46, 45, 32, 0, 41, 10, 42, 22, 11, 5, 1, 3, 25, 7, 30, 23, 3, 11, 2, 19, 34, 34, 41, 49, 42, 42, 22, 5, 49, 34]
[43, 47, 0, 26, 30, 17, 21, 26, 43, 35, 18, 49, 43, 33, 36, 16, 3, 46, 42, 24, 44, 22, 48, 46, 45, 28, 8, 5, 37, 14, 39, 31, 8, 21, 6, 42, 10, 21, 17, 35, 46, 36, 7, 10, 31, 7, 13, 48, 47, 38, 37, 17, 34, 16, 22, 39, 20, 12, 12, 0, 23, 48, 11, 39, 16, 8, 16, 5]
[5, 24, 26, 0, 24, 17, 11, 35, 9, 33, 23, 18, 13, 8, 29, 6, 15, 20, 7, 49, 43, 33, 5, 22, 27, 37, 17, 3, 32, 27, 49, 49, 27, 36, 36, 31, 9, 7, 23, 14, 23, 15, 6, 31, 1, 48, 1, 42, 48, 31, 17, 26, 9, 27, 4, 0, 9, 15, 2, 18, 34, 43, 35, 39, 32, 14, 49, 27]
[19, 17, 30, 24, 0, 16, 28, 35, 44, 36, 38, 36, 43, 43, 47, 9, 5, 18, 1, 28, 17, 25, 45, 5, 23, 42, 45, 41, 16, 39, 44, 48, 2, 28, 50, 14, 10, 47, 6, 4, 13, 34, 4, 11, 18, 50, 31, 23, 14, 23, 6, 41, 12, 31, 29, 8, 46, 26, 19, 36, 8, 28, 43, 48, 46, 50, 41, 3]
[24, 17, 17, 17, 16, 0, 19, 25, 36, 32, 26, 44, 22, 4, 30, 27, 42, 50, 13, 26, 48, 31, 13, 14, 30, 43, 31, 50, 16, 36, 7, 3, 26, 34, 29, 21, 40, 41, 38, 36, 30, 1, 45, 39, 28, 7, 35, 47, 16, 27, 19, 13, 23, 46, 14, 37, 22, 37, 19, 28, 12, 31, 43, 8, 33, 44, 41, 43]
[14, 14, 21, 11, 28, 19, 0, 13, 34, 11, 45, 11, 28, 22, 27, 3, 31, 23, 46, 3, 38, 39, 12, 18, 49, 42, 2, 20, 18, 17, 48, 9, 13, 31, 36, 21, 24, 49, 28, 44, 37, 5, 1, 45, 14, 17, 29, 29, 46, 0, 23, 24, 34, 38, 47, 34, 34, 2, 32, 30, 40, 25, 3, 38, 43, 11, 39, 38]
[32, 14, 26, 35, 35, 25, 13, 0, 40, 6, 39, 40, 7, 39, 8, 27, 27, 9, 18, 1, 44, 30, 7, 26, 12, 25, 29, 23, 32, 21, 12, 12, 42, 8, 41, 2, 10, 5, 20, 25, 25, 9, 4, 28, 24, 18, 10, 46, 25, 19, 33, 30, 38, 43, 50, 37, 19, 30, 29, 40, 8, 20, 24, 27, 5, 42, 41, 2]
[26, 37, 43, 9, 44, 36, 34, 40, 0, 29, 28, 49, 0, 8, 44, 9, 26, 39, 36, 25, 39, 39, 23, 30, 26, 10, 44, 23, 17, 4, 26, 8, 47, 20, 2, 26, 22, 39, 31, 2, 5, 1, 21, 30, 11, 22, 16, 9, 47, 11, 43, 11, 46, 40, 35, 39, 44, 8, 38, 42, 11, 20, 12, 11, 21, 13, 25, 33]
[6, 16, 35, 33, 36, 32, 11, 6, 29, 0, 36, 31, 19, 17, 14, 17, 11, 27, 14, 17, 5, 48, 36, 11, 25, 30, 6, 17, 34, 36, 29, 48, 30, 20, 4, 3, 48, 42, 2, 14, 48, 21, 11, 8, 46, 28, 16, 45, 39, 48, 45, 41, 7, 27, 23, 50, 10, 14, 27, 28, 43, 41, 49, 27, 6, 1, 26, 31]
[35, 47, 18, 23, 38, 26, 45, 39, 28, 36, 0, 7, 2, 12, 36, 37, 23, 22, 27, 28, 19, 35, 6, 20, 15, 5, 1, 38, 0, 49, 20, 15, 43, 43, 27, 0, 12, 13, 32, 12, 8, 14, 47, 39, 43, 24, 35, 34, 32, 33, 43, 6, 34, 4, 6, 6, 30, 3, 50, 17, 43, 7, 46, 41, 7, 36, 20, 34]
[32, 45, 49, 18, 36, 44, 11, 40, 49, 31, 7, 0, 3, 37, 13, 49, 27, 37, 46, 31, 14, 7, 13, 5, 44, 27, 43, 33, 23, 28, 29, 4, 19, 11, 33, 28, 46, 38, 21, 2, 44, 18, 41, 2, 43, 24, 41, 12, 4, 11, 24, 34, 18, 8, 18, 10, 44, 20, 8, 29, 42, 14, 45, 0, 41, 12, 9, 40]
[32, 11, 43, 13, 43, 22, 28, 7, 0, 19, 2, 3, 0, 48, 23, 19, 46, 17, 6, 7, 26, 4, 9, 12, 46, 45, 17, 8, 20, 14, 42, 32, 38, 1, 42, 34, 6, 19, 50, 47, 39, 11, 32, 21, 10, 27, 25, 13, 9, 47, 48, 4, 20, 4, 5, 19, 4, 46, 7, 38, 48, 35, 34, 5, 38, 10, 16, 19]
[46, 8, 33, 8, 43, 4, 22, 39, 8, 17, 12, 37, 48, 0, 11, 25, 5, 26, 10, 23, 18, 48, 37, 5, 37, 19, 32, 24, 38, 20, 37, 22, 8, 4, 20, 20, 39, 20, 44, 24, 50, 35, 22, 26, 20, 43, 28, 4, 42, 37, 12, 20, 22, 32, 34, 46, 14, 39, 38, 37, 42, 14, 39, 47, 30, 37, 11, 9]
