N1,N2,...,Nx
[0, 50, 18, 18, 21, 50, 42, 18, 36, 39, 37, 8, 27, 50, 40, 3, 22, 26, 46, 32, 19, 7, 44, 33, 36, 24]
[50, 0, 38, 49, 4, 30, 3, 36, 1, 8, 8, 22, 3, 26, 49, 26, 43, 22, 6, 14, 21, 27, 43, 35, 45, 19]
[18, 38, 0, 9, 45, 38, 27, 25, 28, 28, 2, 11, 28, 38, 33, 35, 46, 39, 32, 39, 28, 1, 2, 18, 28, 41]
[18, 49, 9, 0, 3, 30, 38, 22, 0, 7, 44, 25, 5, 11, 23, 0, 42, 3, 35, 9, 14, 18, 44, 34, 35, 13]
[21, 4, 45, 3, 0, 40, 18, 50, 27, 39, 3, 22, 35, 3, 23, 38, 45, 44, 14, 29, 38, 19, 26, 49, 18, 41]
[50, 30, 38, 30, 40, 0, 24, 22, 38, 12, 19, 28, 25, 15, 26, 44, 21, 18, 9, 8, 3, 10, 28, 40, 32, 18]
[42, 3, 27, 38, 18, 24, 0, 31, 5, 12, 16, 39, 49, 20, 33, 1, 24, 26, 4, 19, 13, 48, 0, 40, 14, 0]
[18, 36, 25, 22, 50, 22, 31, 0, 21, 17, 31, 36, 0, 25, 31, 33, 26, 19, 34, 16, 36, 4, 0, 40, 2, 19]
[36, 1, 28, 0, 27, 38, 5, 21, 0, 6, 24, 40, 27, 11, 8, 45, 40, 17, 21, 19, 26, 40, 29, 43, 18, 9]
[39, 8, 28, 7, 39, 12, 12, 17, 6, 0, 17, 9, 6, 17, 37, 48, 47, 11, 17, 47, 25, 43, 40, 30, 25, 11]
[37, 8, 2, 44, 3, 19, 16, 31, 24, 17, 0, 13, 43, 8, 1, 33, 31, 33, 29, 18, 39, 41, 50, 42, 43, 0]
[8, 22, 11, 25, 22, 28, 39, 36, 40, 9, 13, 0, 16, 37, 49, 16, 25, 19, 3, 30, 2, 28, 0, 21, 15, 12]
[27, 3, 28, 5, 35, 25, 49, 0, 27, 6, 43, 16, 0, 29, 1, 22, 28, 3, 9, 42, 16, 1, 20, 23, 30, 21]
[50, 26, 38, 11, 3, 15, 20, 25, 11, 17, 8, 37, 29, 0, 34, 48, 27, 5, 31, 17, 11, 24, 34, 32, 23, 38]
[40, 49, 33, 23, 23, 26, 33, 31, 8, 37, 1, 49, 1, 34, 0, 30, 42, 21, 29, 3, 3, 20, 23, 28, 1, 36]
[3, 26, 35, 0, 38, 44, 1, 33, 45, 48, 33, 16, 22, 48, 30, 0, 30, 15, 27, 35, 36, 30, 23, 7, 37, 11]
[22, 43, 46, 42, 45, 21, 24, 26, 40, 47, 31, 25, 28, 27, 42, 30, 0, 18, 9, 16, 8, 13, 11, 20, 18, 8]
[26, 22, 39, 3, 44, 18, 26, 19, 17, 11, 33, 19, 3, 5, 21, 15, 18, 0, 37, 13, 8, 28, 16, 3, 39, 11]
[46, 6, 32, 35, 14, 9, 4, 34, 21, 17, 29, 3, 9, 31, 29, 27, 9, 37, 0, 7, 10, 34, 16, 22, 35, 21]
[32, 14, 39, 9, 29, 8, 19, 16, 19, 47, 18, 30, 42, 17, 3, 35, 16, 13, 7, 0, 0, 3, 50, 39, 34, 29]
[19, 21, 28, 14, 38, 3, 13, 36, 26, 25, 39, 2, 16, 11, 3, 36, 8, 8, 10, 0, 0, 43, 13, 46, 40, 13]
[7, 27, 1, 18, 19, 10, 48, 4, 40, 43, 41, 28, 1, 24, 20, 30, 13, 28, 34, 3, 43, 0, 36, 9, 41, 9]
[44, 43, 2, 44, 26, 28, 0, 0, 29, 40, 50, 0, 20, 34, 23, 23, 11, 16, 16, 50, 13, 36, 0, 13, 22, 43]
[33, 35, 18, 34, 49, 40, 40, 40, 43, 30, 42, 21, 23, 32, 28, 7, 20, 3, 22, 39, 46, 9, 13, 0, 5, 33]
[36, 45, 28, 35, 18, 32, 14, 2, 18, 25, 43, 15, 30, 23, 1, 37, 18, 39, 35, 34, 40, 41, 22, 5, 0, 1]
[24, 19, 41, 13, 41, 18, 0, 19, 9, 11, 0, 12, 21, 38, 36, 11, 8, 11, 21, 29, 13, 9, 43, 33, 1, 0]
