N1,N2,...,Nx
[0, 8, 4, 17, 45, 9, 27, 9, 18, 25, 18, 39, 22, 33, 15, 44, 44, 34, 21, 20, 14, 14, 27, 38, 12, 17, 2, 47, 33, 31, 33, 14, 40]
[8, 0, 43, 37, 49, 19, 16, 9, 29, 29, 14, 10, 31, 47, 28, 15, 4, 0, 23, 18, 17, 1, 34, 11, 28, 48, 20, 32, 4, 17, 47, 6, 20]
[4, 43, 0, 35, 19, 7, 46, 19, 16, 48, 18, 5, 0, 26, 17, 7, 49, 40, 38, 48, 25, 24, 49, 50, 23, 3, 9, 48, 20, 50, 30, 27, 20]
[17, 37, 35, 0, 15, 50, 31, 9, 4, 5, 47, 27, 42, 41, 26, 19, 8, 31, 41, 40, 15, 5, 45, 38, 2, 35, 42, 39, 6, 33, 41, 47, 4]
[45, 49, 19, 15, 0, 25, 42, 23, 26, 43, 49, 34, 37, 29, 30, 11, 12, 42, 13, 21, 46, 33, 45, 1, 45, 15, 33, 27, 18, 25, 11, 48, 9]
[9, 19, 7, 50, 25, 0, 16, 17, 9, 14, 13, 19, 23, 10, 48, 49, 42, 28, 18, 15, 1, 21, 39, 1, 43, 39, 12, 49, 40, 48, 37, 44, 33]
[27, 16, 46, 31, 42, 16, 0, 20, 28, 19, 32, 47, 32, 40, 1, 44, 17, 3, 37, 22, 26, 16, 13, 50, 1, 17, 19, 31, 31, 38, 6, 35, 38]
[9, 9, 19, 9, 23, 17, 20, 0, 16, 8, 44, 19, 6, 15, 10, 26, 2, 40, 37, 42, 45, 10, 46, 20, 36, 16, 43, 23, 7, 44, 32, 9, 11]
[18, 29, 16, 4, 26, 9, 28, 16, 0, 43, 27, 35, 3, 43, 24, 47, 28, 38, 11, 11, 3, 17, 30, 42, 16, 42, 36, 26, 10, 32, 21, 23, 47]
[25, 29, 48, 5, 43, 14, 19, 8, 43, 0, 40, 2, 5, 28, 46, 20, 37, 40, 0, 4, 14, 1, 50, 7, 16, 20, 27, 13, 13, 39, 12, 22, 13]
[18, 14, 18, 47, 49, 13, 32, 44, 27, 40, 0, 48, 23, 0, 21, 25, 13, 22, 47, 36, 18, 8, 40, 28, 25, 40, 5, 38, 47, 35, 31, 44, 7]
[39, 10, 5, 27, 34, 19, 47, 19, 35, 2, 48, 0, 9, 6, 1, 47, 14, 16, 25, 12, 5, 19, 46, 35, 42, 47, 19, 16, 32, 9, 31, 0, 5]
[22, 31, 0, 42, 37, 23, 32, 6, 3, 5, 23, 9, 0, 14, 29, 38, 36, 18, 1, 41, 21, 34, 23, 26, 42, 46, 20, 0, 11, 21, 38, 42, 17]
[33, 47, 26, 41, 29, 10, 40, 15, 43, 28, 0, 6, 14, 0, 38, 39, 5, 27, 31, 15, 31, 28, 4, 29, 15, 43, 9, 8, 14, 20, 27, 18, 4]
[15, 28, 17, 26, 30, 48, 1, 10, 24, 46, 21, 1, 29, 38, 0, 43, 2, 26, 2, 21, 28, 43, 33, 44, 19, 47, 30, 39, 25, 31, 9, 46, 39]
[44, 15, 7, 19, 11, 49, 44, 26, 47, 20, 25, 47, 38, 39, 43, 0, 10, 38, 23, 39, 32, 47, 26, 2, 49, 3, 40, 48, 1, 16, 1, 31, 10]
[44, 4, 49, 8, 12, 42, 17, 2, 28, 37, 13, 14, 36, 5, 2, 10, 0, 23, 35, 37, 15, 44, 38, 40, 15, 26, 10, 25, 37, 14, 26, 0, 36]
[34, 0, 40, 31, 42, 28, 3, 40, 38, 40, 22, 16, 18, 27, 26, 38, 23, 0, 48, 34, 47, 19, 5, 28, 47, 44, 14, 48, 16, 16, 5, 37, 14]
[21, 23, 38, 41, 13, 18, 37, 37, 11, 0, 47, 25, 1, 31, 2, 23, 35, 48, 0, 4, 44, 35, 30, 32, 36, 30, 17, 49, 0, 16, 4, 30, 43]
[20, 18, 48, 40, 21, 15, 22, 42, 11, 4, 36, 12, 41, 15, 21, 39, 37, 34, 4, 0, 48, 39, 5, 29, 9, 22, 23, 22, 32, 9, 39, 50, 6]
[14, 17, 25, 15, 46, 1, 26, 45, 3, 14, 18, 5, 21, 31, 28, 32, 15, 47, 44, 48, 0, 34, 0, 49, 13, 34, 42, 22, 40, 9, 0, 50, 9]
[14, 1, 24, 5, 33, 21, 16, 10, 17, 1, 8, 19, 34, 28, 43, 47, 44, 19, 35, 39, 34, 0, 4, 17, 13, 21, 15, 10, 15, 50, 1, 30, 22]
[27, 34, 49, 45, 45, 39, 13, 46, 30, 50, 40, 46, 23, 4, 33, 26, 38, 5, 30, 5, 0, 4, 0, 28, 20, 30, 5, 50, 24, 9, 17, 42, 21]
[38, 11, 50, 38, 1, 1, 50, 20, 42, 7, 28, 35, 26, 29, 44, 2, 40, 28, 32, 29, 49, 17, 28, 0, 44, 32, 27, 20, 35, 18, 23, 24, 28]
