N1,N2,...,Nx
[0, 35, 46, 33, 13, 10, 11, 4, 17, 32, 38, 12, 36, 2, 33, 28, 19, 24, 26, 12, 28, 12, 2, 24, 33, 1, 9, 13, 48, 41, 0, 35, 34, 22, 29, 5, 22, 13, 36, 16, 32, 30, 23, 26, 23, 42, 25, 30, 12, 21, 14, 17, 26, 32, 34, 15, 43, 45, 44, 36, 49, 15, 44, 26, 6, 38, 15, 43, 46, 5, 7, 30, 35, 48, 6, 19, 32, 10, 27, 12, 17, 50, 28, 9, 6, 19, 31, 12, 18, 37, 27, 44, 24, 11, 5, 38, 7, 27, 40, 40, 47, 8, 37, 21, 1, 11, 38, 10, 18, 10]
[35, 0, 12, 36, 23, 50, 0, 12, 37, 48, 16, 24, 31, 26, 44, 44, 12, 32, 43, 15, 47, 47, 22, 39, 43, 27, 14, 34, 31, 2, 24, 15, 38, 41, 48, 35, 2, 43, 3, 34, 6, 45, 5, 20, 48, 13, 35, 47, 1, 31, 19, 30, 13, 47, 25, 8, 23, 38, 24, 6, 3, 27, 22, 24, 36, 17, 21, 18, 33, 28, 43, 35, 4, 7, 48, 37, 31, 18, 17, 34, 40, 43, 5, 4, 43, 30, 20, 45, 44, 12, 3, 0, 42, 21, 22, 6, 24, 14, 45, 10, 22, 37, 11, 48, 42, 9, 32, 49, 32, 18]
[46, 12, 0, 32, 22, 20, 23, 33, 23, 33, 48, 42, 4, 22, 22, 40, 28, 16, 1, 26, 44, 24, 41, 23, 43, 43, 5, 4, 22, 8, 26, 15, 22, 26, 38, 39, 4, 36, 25, 18, 1, 13, 45, 30, 17, 20, 15, 15, 36, 1, 28, 42, 49, 42, 35, 31, 1, 20, 2, 45, 40, 3, 5, 1, 30, 41, 14, 44, 33, 20, 50, 22, 3, 4, 43, 15, 26, 42, 38, 12, 28, 6, 39, 48, 15, 33, 24, 32, 22, 40, 29, 16, 37, 15, 22, 40, 4, 15, 31, 38, 37, 41, 32, 44, 18, 50, 13, 11, 43, 24]
[33, 36, 32, 0, 46, 9, 46, 42, 48, 33, 6, 38, 17, 36, 8, 44, 46, 12, 38, 30, 6, 1, 29, 41, 27, 0, 44, 8, 23, 35, 48, 29, 44, 23, 19, 24, 27, 17, 33, 24, 30, 32, 43, 14, 45, 27, 32, 9, 25, 1, 18, 6, 7, 15, 44, 34, 15, 11, 3, 1, 21, 16, 38, 35, 12, 12, 21, 32, 6, 5, 21, 19, 20, 5, 5, 16, 30, 46, 35, 4, 0, 2, 46, 26, 31, 12, 19, 50, 40, 27, 16, 33, 35, 12, 32, 3, 49, 47, 32, 46, 6, 7, 18, 20, 30, 18, 36, 35, 30, 38]
[13, 23, 22, 46, 0, 15, 5, 26, 25, 50, 14, 49, 28, 5, 30, 41, 11, 32, 0, 46, 20, 2, 25, 41, 18, 40, 35, 27, 3, 0, 21, 42, 33, 11, 10, 47, 16, 29, 20, 46, 25, 47, 49, 33, 2, 32, 3, 37, 39, 49, 14, 46, 45, 39, 16, 46, 46, 38, 39, 34, 9, 27, 6, 6, 33, 31, 26, 14, 9, 30, 29, 4, 9, 22, 3, 32, 4, 41, 3, 44, 31, 30, 37, 42, 29, 33, 5, 3, 36, 36, 2, 50, 9, 6, 33, 10, 50, 40, 39, 11, 1, 48, 0, 5, 43, 39, 45, 47, 25, 41]
[10, 50, 20, 9, 15, 0, 26, 15, 19, 17, 28, 26, 4, 23, 50, 0, 18, 38, 20, 23, 9, 26, 0, 26, 9, 32, 23, 6, 1, 3, 24, 50, 3, 23, 38, 4, 22, 38, 39, 28, 6, 22, 39, 13, 6, 13, 22, 49, 5, 31, 6, 8, 27, 48, 11, 20, 4, 19, 42, 29, 30, 22, 50, 15, 12, 24, 47, 22, 40, 14, 45, 1, 14, 44, 33, 26, 10, 42, 24, 16, 3, 38, 6, 9, 27, 5, 13, 5, 33, 39, 15, 27, 35, 48, 1, 33, 38, 39, 4, 1, 8, 8, 45, 29, 40, 32, 28, 20, 24, 28]
[11, 0, 23, 46, 5, 26, 0, 34, 8, 27, 39, 46, 49, 30, 29, 33, 14, 0, 46, 21, 42, 10, 21, 41, 5, 4, 30, 7, 17, 25, 20, 24, 29, 44, 34, 10, 36, 39, 31, 4, 18, 29, 19, 31, 29, 1, 10, 8, 36, 41, 27, 43, 18, 31, 19, 6, 21, 13, 28, 18, 23, 45, 16, 27, 32, 23, 31, 49, 15, 50, 4, 21, 31, 4, 50, 25, 2, 28, 7, 48, 31, 11, 5, 27, 40, 22, 24, 48, 30, 23, 34, 6, 40, 44, 29, 27, 42, 48, 20, 48, 47, 50, 40, 13, 9, 1, 29, 3, 43, 34]
[4, 12, 33, 42, 26, 15, 34, 0, 1, 0, 6, 39, 29, 34, 37, 19, 2, 36, 45, 21, 1, 12, 10, 50, 26, 30, 36, 9, 32, 29, 46, 33, 0, 47, 2, 41, 3, 26, 13, 25, 35, 41, 32, 41, 0, 3, 28, 42, 44, 7, 9, 10, 20, 23, 4, 50, 32, 7, 38, 44, 46, 3, 11, 49, 47, 9, 37, 20, 22, 29, 9, 34, 38, 48, 40, 30, 42, 23, 32, 15, 13, 45, 19, 22, 20, 42, 46, 25, 1, 26, 5, 19, 20, 40, 16, 22, 49, 22, 45, 17, 12, 35, 16, 14, 41, 41, 17, 43, 2, 7]
[17, 37, 23, 48, 25, 19, 8, 1, 0, 10, 19, 42, 7, 5, 31, 18, 2, 28, 39, 19, 29, 37, 0, 34, 25, 1, 29, 21, 48, 49, 10, 12, 39, 7, 13, 28, 47, 14, 34, 12, 28, 21, 8, 10, 26, 23, 46, 16, 50, 8, 14, 30, 28, 33, 50, 7, 3, 21, 48, 46, 4, 38, 26, 36, 4, 6, 38, 3, 18, 6, 49, 27, 30, 9, 36, 17, 38, 41, 30, 21, 34, 28, 2, 43, 0, 24, 13, 15, 33, 47, 25, 21, 50, 17, 39, 20, 6, 8, 8, 36, 28, 42, 13, 39, 34, 39, 47, 8, 44, 40]
[32, 48, 33, 33, 50, 17, 27, 0, 10, 0, 8, 31, 2, 48, 41, 31, 11, 14, 35, 14, 33, 1, 15, 46, 4, 47, 12, 46, 45, 5, 21, 5, 11, 34, 25, 2, 36, 46, 12, 49, 26, 41, 21, 2, 28, 10, 4, 35, 19, 11, 30, 34, 25, 40, 39, 7, 49, 50, 41, 1, 23, 46, 5, 18, 36, 32, 10, 38, 15, 20, 47, 45, 3, 35, 26, 24, 21, 14, 7, 2, 25, 3, 41, 15, 37, 45, 28, 23, 37, 17, 39, 26, 0, 50, 25, 48, 21, 44, 48, 48, 28, 46, 14, 28, 20, 9, 36, 25, 31, 34]
[38, 16, 48, 6, 14, 28, 39, 6, 19, 8, 0, 18, 47, 40, 11, 48, 20, 45, 27, 19, 7, 15, 18, 12, 43, 15, 14, 0, 15, 33, 6, 6, 18, 12, 40, 0, 28, 31, 23, 10, 30, 1, 3, 10, 7, 39, 40, 21, 38, 41, 31, 22, 25, 5, 36, 37, 16, 2, 34, 19, 14, 43, 9, 6, 32, 46, 50, 38, 21, 27, 21, 27, 15, 26, 24, 1, 44, 29, 47, 44, 13, 31, 5, 8, 9, 21, 32, 40, 7, 26, 47, 34, 38, 44, 18, 40, 21, 38, 8, 14, 27, 30, 50, 42, 12, 38, 27, 49, 7, 21]
[12, 24, 42, 38, 49, 26, 46, 39, 42, 31, 18, 0, 34, 2, 27, 43, 8, 11, 40, 25, 46, 49, 39, 6, 20, 3, 39, 11, 19, 39, 0, 28, 43, 38, 47, 46, 8, 43, 29, 21, 38, 15, 34, 7, 17, 38, 23, 14, 42, 37, 8, 3, 14, 48, 38, 18, 45, 6, 34, 45, 1, 10, 49, 28, 4, 50, 3, 31, 35, 48, 44, 22, 46, 24, 22, 20, 23, 44, 24, 24, 14, 46, 28, 32, 12, 15, 33, 32, 41, 0, 47, 37, 26, 26, 2, 15, 31, 40, 15, 2, 50, 5, 25, 23, 29, 47, 44, 21, 5, 5]
