N1,N2,...,Nx
[0, 12, 43, 18, 19, 23, 3, 23, 30, 17, 36, 37, 13, 22, 1, 8, 8, 18, 12, 41, 24, 11, 5, 6, 31, 1, 38, 12, 20, 48, 26, 32, 15, 23, 21, 21, 4, 50, 11, 23, 8, 36, 23, 34, 10, 10, 4, 28, 12, 43, 12, 38, 48, 14, 13, 8, 39, 4, 41, 7, 39, 14, 25, 32, 7, 28, 38, 11, 2, 28, 50, 45, 23, 39, 14, 48, 17, 8, 40, 34, 0, 36, 36, 12, 25, 1, 37, 36, 42, 21, 50, 29, 1, 42, 12, 49, 41, 2, 15, 9, 46]
[12, 0, 18, 50, 30, 27, 13, 46, 33, 47, 46, 39, 31, 42, 1, 16, 14, 31, 4, 9, 34, 45, 35, 16, 14, 25, 10, 22, 8, 33, 22, 23, 30, 48, 32, 24, 35, 44, 21, 48, 39, 11, 42, 3, 41, 38, 28, 6, 21, 40, 10, 22, 27, 44, 18, 33, 39, 44, 28, 32, 3, 49, 14, 46, 33, 14, 12, 10, 30, 5, 11, 44, 30, 14, 26, 29, 43, 50, 4, 6, 24, 22, 15, 50, 27, 12, 21, 16, 42, 8, 37, 8, 39, 27, 10, 19, 27, 44, 11, 18, 24]
[43, 18, 0, 41, 25, 16, 5, 11, 47, 12, 7, 22, 18, 40, 27, 36, 39, 26, 38, 37, 1, 17, 29, 32, 19, 37, 42, 50, 42, 44, 3, 27, 42, 17, 28, 24, 39, 38, 36, 40, 45, 34, 22, 49, 45, 21, 45, 45, 8, 48, 12, 33, 48, 30, 34, 20, 18, 2, 8, 39, 18, 38, 28, 25, 42, 15, 37, 4, 7, 20, 47, 6, 9, 14, 28, 12, 9, 38, 25, 31, 37, 47, 44, 35, 12, 28, 28, 50, 9, 27, 17, 11, 29, 2, 33, 42, 40, 49, 33, 33, 20]
[18, 50, 41, 0, 21, 14, 2, 49, 50, 4, 32, 47, 28, 10, 41, 19, 26, 39, 48, 45, 11, 35, 7, 5, 39, 0, 24, 19, 24, 45, 29, 1, 50, 45, 6, 33, 21, 50, 23, 2, 23, 44, 6, 10, 37, 41, 7, 30, 32, 4, 35, 3, 9, 39, 16, 31, 2, 49, 35, 10, 16, 27, 32, 15, 42, 13, 3, 25, 2, 11, 33, 46, 39, 46, 22, 2, 25, 2, 48, 34, 2, 12, 28, 47, 27, 35, 37, 16, 48, 2, 20, 7, 29, 6, 28, 16, 12, 10, 9, 5, 42]
[19, 30, 25, 21, 0, 28, 26, 46, 44, 42, 48, 48, 42, 2, 42, 23, 9, 37, 7, 43, 2, 32, 35, 29, 20, 40, 17, 42, 31, 7, 48, 18, 8, 37, 25, 12, 8, 17, 41, 49, 48, 12, 34, 12, 40, 11, 20, 26, 42, 3, 11, 42, 40, 7, 39, 28, 13, 5, 31, 12, 6, 15, 44, 25, 13, 2, 50, 35, 48, 23, 12, 7, 3, 7, 40, 44, 20, 27, 43, 43, 34, 34, 8, 37, 22, 33, 36, 37, 25, 4, 4, 7, 45, 2, 26, 7, 32, 6, 10, 43, 0]
[23, 27, 16, 14, 28, 0, 31, 27, 18, 8, 11, 18, 44, 32, 13, 11, 12, 23, 39, 50, 33, 40, 30, 6, 15, 31, 30, 31, 7, 3, 11, 3, 26, 28, 39, 11, 38, 0, 3, 43, 50, 14, 44, 23, 10, 26, 4, 23, 31, 27, 19, 11, 31, 28, 13, 7, 5, 26, 0, 36, 43, 24, 37, 46, 46, 16, 11, 13, 16, 25, 26, 6, 50, 19, 30, 12, 3, 29, 12, 26, 27, 5, 10, 10, 25, 39, 26, 39, 49, 0, 49, 31, 17, 50, 7, 26, 26, 30, 10, 26, 3]
[3, 13, 5, 2, 26, 31, 0, 4, 39, 15, 41, 16, 46, 10, 42, 30, 14, 50, 45, 33, 2, 37, 16, 22, 17, 14, 4, 0, 26, 20, 46, 35, 28, 36, 41, 44, 13, 26, 48, 16, 26, 39, 0, 25, 34, 13, 48, 14, 38, 35, 3, 48, 50, 20, 4, 24, 47, 20, 49, 50, 50, 1, 25, 46, 19, 21, 10, 20, 2, 28, 48, 40, 1, 11, 4, 21, 24, 6, 11, 16, 47, 7, 47, 23, 17, 26, 42, 12, 29, 50, 24, 36, 34, 4, 15, 39, 7, 42, 19, 42, 6]
[23, 46, 11, 49, 46, 27, 4, 0, 34, 22, 48, 12, 39, 48, 21, 19, 46, 23, 14, 35, 37, 4, 33, 28, 36, 45, 27, 15, 21, 7, 5, 36, 14, 46, 3, 46, 31, 27, 12, 17, 37, 25, 1, 17, 19, 40, 39, 12, 4, 14, 26, 50, 2, 21, 19, 45, 12, 33, 11, 6, 42, 48, 38, 36, 4, 40, 43, 38, 24, 9, 39, 35, 30, 44, 30, 38, 0, 34, 38, 32, 33, 24, 42, 36, 42, 48, 11, 24, 29, 36, 16, 24, 30, 8, 43, 1, 1, 30, 43, 3, 39]
[30, 33, 47, 50, 44, 18, 39, 34, 0, 12, 29, 27, 35, 16, 18, 0, 0, 11, 34, 18, 36, 39, 32, 26, 7, 35, 47, 25, 11, 41, 17, 35, 2, 7, 38, 32, 19, 45, 16, 14, 37, 9, 2, 28, 18, 6, 1, 36, 46, 0, 17, 19, 16, 11, 7, 47, 24, 19, 27, 8, 5, 14, 36, 12, 6, 27, 28, 39, 13, 46, 34, 9, 11, 11, 22, 37, 24, 40, 31, 16, 27, 8, 18, 47, 3, 19, 25, 31, 9, 25, 12, 42, 12, 38, 2, 9, 19, 11, 5, 36, 17]
[17, 47, 12, 4, 42, 8, 15, 22, 12, 0, 22, 36, 37, 15, 31, 28, 49, 4, 47, 32, 2, 34, 42, 41, 41, 41, 26, 34, 12, 44, 39, 21, 35, 9, 46, 38, 22, 29, 48, 24, 4, 36, 2, 44, 17, 8, 46, 37, 13, 45, 37, 50, 22, 29, 40, 4, 13, 8, 17, 45, 0, 32, 39, 24, 3, 28, 9, 39, 40, 21, 43, 5, 44, 49, 27, 37, 17, 3, 42, 25, 26, 36, 18, 32, 16, 36, 3, 36, 34, 17, 0, 30, 18, 8, 49, 50, 45, 1, 11, 34, 36]
