N1,N2,...,Nx
[0, 31, 48, 0, 2, 32, 37, 28, 31, 48, 16, 25, 3, 28, 8, 26, 50, 8, 29, 6, 42, 42, 16, 19, 40, 40, 43, 41, 22, 34, 23, 39, 28, 34, 34, 42, 18, 42, 10, 48, 50, 39, 21, 8, 12, 7, 43, 30, 45, 48, 18, 5, 44, 16, 29, 20, 20, 41, 39, 21, 48, 28, 35, 7, 22, 19, 46, 6, 33, 26, 16, 48, 22, 13, 45, 15, 40, 18, 13, 12, 42, 48, 1, 49, 46, 35, 15, 1, 41, 45, 24, 48, 45, 39, 8, 47, 24, 4, 50, 2, 11, 7, 8, 33, 33, 2, 41, 30, 27, 45, 50, 8, 37, 26, 32, 17, 15, 22, 27, 30, 40, 30, 26, 0, 16, 9, 21, 27, 11, 38, 31, 49, 6, 19, 21, 48]
[31, 0, 9, 24, 45, 13, 46, 26, 49, 38, 34, 46, 43, 21, 5, 2, 5, 49, 12, 24, 5, 36, 16, 37, 16, 30, 19, 47, 38, 15, 50, 48, 34, 43, 19, 34, 1, 4, 37, 27, 43, 7, 46, 36, 2, 50, 44, 28, 1, 27, 26, 16, 6, 47, 38, 41, 43, 8, 35, 23, 5, 7, 33, 20, 16, 49, 45, 6, 38, 34, 17, 16, 37, 20, 18, 1, 11, 26, 40, 19, 34, 15, 23, 50, 48, 27, 40, 10, 49, 19, 49, 6, 10, 2, 2, 5, 14, 36, 45, 36, 15, 23, 15, 11, 13, 11, 48, 0, 2, 2, 44, 47, 25, 13, 0, 41, 19, 35, 31, 31, 42, 10, 38, 15, 46, 8, 14, 31, 31, 44, 9, 46, 5, 0, 41, 3]
[48, 9, 0, 14, 33, 25, 22, 35, 2, 13, 20, 4, 49, 48, 37, 27, 3, 31, 24, 47, 49, 36, 34, 31, 46, 8, 19, 18, 26, 33, 46, 50, 10, 8, 9, 8, 10, 38, 15, 29, 42, 26, 7, 44, 1, 35, 14, 9, 34, 43, 25, 19, 20, 48, 4, 35, 45, 34, 0, 12, 42, 47, 1, 4, 0, 16, 34, 29, 49, 46, 7, 10, 39, 6, 31, 15, 46, 19, 45, 27, 29, 9, 42, 35, 40, 30, 31, 37, 24, 48, 24, 13, 47, 49, 36, 15, 42, 40, 3, 38, 36, 20, 3, 3, 24, 39, 0, 37, 41, 43, 31, 47, 3, 47, 44, 45, 19, 0, 36, 16, 47, 3, 17, 5, 7, 27, 24, 25, 15, 42, 17, 9, 33, 0, 5, 22]
[0, 24, 14, 0, 1, 17, 33, 24, 26, 34, 10, 47, 25, 22, 0, 42, 21, 25, 29, 14, 2, 29, 27, 17, 18, 43, 6, 7, 30, 45, 36, 32, 8, 4, 44, 13, 46, 28, 35, 49, 45, 32, 40, 46, 11, 28, 44, 27, 28, 6, 10, 35, 12, 43, 45, 47, 27, 40, 4, 11, 38, 43, 41, 7, 20, 13, 19, 10, 37, 8, 37, 35, 29, 16, 40, 24, 29, 31, 3, 47, 12, 1, 14, 2, 26, 23, 38, 38, 47, 23, 31, 5, 30, 13, 44, 48, 7, 21, 2, 26, 45, 15, 41, 33, 13, 6, 43, 20, 28, 17, 34, 38, 26, 13, 49, 23, 43, 9, 2, 49, 22, 15, 8, 36, 34, 5, 26, 29, 22, 30, 6, 42, 4, 48, 26, 26]
[2, 45, 33, 1, 0, 19, 5, 7, 16, 13, 19, 18, 8, 37, 4, 14, 4, 19, 10, 4, 37, 19, 3, 3, 43, 49, 11, 20, 21, 29, 48, 13, 7, 44, 29, 28, 24, 42, 3, 14, 11, 49, 4, 11, 47, 25, 28, 1, 9, 19, 31, 9, 45, 17, 50, 3, 18, 30, 2, 33, 35, 0, 0, 34, 46, 37, 16, 4, 14, 40, 36, 42, 18, 21, 38, 5, 47, 9, 6, 3, 14, 18, 25, 4, 5, 10, 7, 22, 7, 45, 45, 21, 33, 43, 19, 35, 0, 23, 5, 18, 37, 4, 4, 13, 20, 47, 3, 21, 7, 9, 21, 29, 33, 11, 0, 48, 14, 18, 22, 18, 19, 22, 50, 2, 27, 34, 20, 43, 12, 4, 30, 19, 33, 38, 17, 21]
[32, 13, 25, 17, 19, 0, 33, 47, 38, 43, 4, 39, 38, 49, 14, 13, 19, 28, 14, 41, 14, 19, 8, 33, 8, 31, 32, 13, 35, 49, 39, 44, 5, 14, 12, 40, 1, 15, 42, 39, 26, 24, 25, 38, 25, 5, 5, 17, 34, 2, 12, 7, 23, 40, 1, 37, 13, 47, 15, 28, 43, 19, 12, 29, 23, 28, 0, 40, 22, 21, 11, 21, 19, 29, 12, 20, 40, 50, 16, 43, 46, 43, 43, 26, 3, 27, 15, 32, 50, 40, 9, 43, 16, 41, 24, 3, 50, 42, 15, 4, 4, 0, 15, 43, 21, 3, 22, 13, 43, 11, 13, 31, 35, 44, 12, 18, 11, 38, 14, 36, 22, 14, 49, 18, 20, 18, 41, 23, 14, 2, 2, 29, 40, 43, 0, 7]
[37, 46, 22, 33, 5, 33, 0, 42, 3, 45, 2, 22, 44, 29, 37, 11, 50, 5, 33, 6, 25, 36, 25, 17, 36, 14, 42, 44, 14, 34, 44, 16, 46, 30, 50, 38, 45, 9, 26, 29, 34, 39, 40, 40, 29, 37, 24, 48, 39, 16, 11, 7, 38, 12, 5, 9, 7, 5, 5, 25, 50, 22, 24, 0, 17, 5, 19, 28, 18, 43, 41, 33, 42, 10, 20, 2, 20, 39, 11, 28, 31, 48, 10, 46, 12, 50, 24, 23, 45, 21, 22, 27, 48, 22, 38, 48, 25, 19, 47, 13, 35, 43, 9, 31, 27, 48, 33, 46, 38, 48, 36, 20, 47, 26, 33, 13, 30, 24, 4, 11, 9, 45, 20, 46, 8, 27, 31, 12, 23, 39, 4, 44, 47, 24, 19, 17]
[28, 26, 35, 24, 7, 47, 42, 0, 22, 36, 21, 0, 45, 35, 17, 23, 43, 36, 0, 2, 29, 28, 33, 21, 24, 36, 19, 8, 18, 38, 15, 9, 40, 8, 5, 25, 24, 15, 0, 19, 6, 21, 20, 29, 1, 1, 20, 37, 27, 47, 26, 45, 23, 28, 4, 36, 10, 8, 13, 37, 34, 39, 20, 43, 43, 16, 34, 6, 32, 25, 13, 28, 8, 43, 7, 15, 32, 45, 49, 17, 2, 38, 37, 9, 29, 14, 17, 14, 37, 3, 38, 15, 39, 47, 3, 33, 11, 42, 34, 4, 26, 43, 43, 12, 2, 37, 9, 1, 11, 20, 18, 6, 0, 47, 40, 41, 16, 29, 12, 6, 29, 4, 17, 5, 37, 13, 49, 20, 30, 19, 20, 9, 36, 9, 47, 26]
[31, 49, 2, 26, 16, 38, 3, 22, 0, 10, 31, 1, 20, 6, 42, 35, 33, 43, 4, 37, 10, 4, 50, 10, 2, 33, 45, 23, 2, 17, 50, 10, 8, 30, 10, 8, 9, 29, 25, 47, 23, 9, 34, 35, 45, 31, 41, 12, 20, 6, 10, 46, 5, 32, 45, 13, 10, 16, 37, 4, 24, 19, 32, 35, 41, 12, 34, 23, 42, 42, 18, 40, 46, 36, 36, 37, 44, 46, 5, 18, 32, 36, 10, 49, 37, 43, 38, 20, 34, 8, 4, 44, 41, 50, 43, 5, 29, 26, 50, 32, 28, 42, 38, 50, 19, 11, 6, 6, 19, 47, 13, 26, 29, 9, 20, 35, 23, 25, 28, 12, 24, 19, 42, 12, 32, 21, 31, 6, 37, 21, 15, 18, 29, 40, 49, 16]
[48, 38, 13, 34, 13, 43, 45, 36, 10, 0, 1, 10, 3, 6, 4, 14, 39, 38, 0, 11, 47, 30, 7, 9, 38, 34, 3, 19, 12, 45, 25, 20, 19, 35, 4, 18, 43, 3, 21, 21, 48, 15, 48, 41, 16, 29, 21, 3, 11, 10, 37, 11, 30, 43, 9, 50, 34, 29, 44, 50, 39, 16, 6, 21, 39, 38, 32, 28, 45, 3, 49, 32, 30, 7, 45, 40, 17, 31, 22, 19, 18, 22, 45, 28, 21, 41, 39, 13, 36, 3, 2, 0, 18, 35, 43, 15, 6, 38, 25, 17, 18, 5, 14, 14, 5, 11, 13, 9, 43, 34, 9, 6, 36, 42, 47, 7, 41, 44, 37, 27, 19, 36, 20, 48, 29, 1, 46, 30, 10, 37, 23, 22, 33, 19, 39, 42]
