N1,N2,...,Nx
[0, 38, 33, 5, 40, 37, 15, 47, 35, 47, 29, 38, 34, 19, 18, 34, 19, 47, 16, 21, 35, 36, 28, 9, 30, 24, 13, 3, 20, 42, 35, 2, 8, 13, 50, 31, 34, 6, 44, 0, 4, 39, 25, 3, 15, 25, 7, 8, 21, 19, 34, 43, 25, 30, 34, 34, 14, 20, 16, 39, 15, 13, 28, 19, 22, 38, 9, 38, 12, 22, 40, 20, 45, 18, 34, 32, 8, 27, 31, 10, 36, 6, 45, 43, 18, 4, 25, 6, 35, 25, 10, 33, 21, 38, 23, 24, 44, 11, 9, 23, 25, 39, 10, 25, 39, 2, 37, 18, 24, 46, 10, 12, 41, 1, 14, 39, 4, 37, 42, 10, 38, 43, 39, 14, 7, 23]
[38, 0, 48, 17, 11, 16, 37, 10, 13, 22, 36, 3, 28, 29, 27, 40, 35, 1, 12, 20, 50, 13, 36, 3, 19, 2, 3, 43, 25, 24, 30, 32, 8, 47, 12, 9, 26, 14, 17, 37, 9, 28, 23, 25, 20, 19, 44, 38, 12, 34, 30, 40, 5, 50, 4, 50, 4, 44, 41, 20, 33, 37, 49, 47, 48, 37, 28, 12, 8, 48, 18, 49, 31, 13, 44, 37, 16, 49, 20, 3, 40, 2, 32, 25, 14, 22, 37, 45, 15, 45, 17, 20, 17, 24, 22, 22, 41, 42, 31, 39, 10, 7, 14, 45, 27, 8, 42, 14, 49, 11, 41, 36, 44, 27, 46, 23, 20, 6, 33, 25, 0, 19, 14, 39, 34, 43]
[33, 48, 0, 30, 21, 38, 49, 1, 43, 32, 24, 45, 40, 5, 40, 31, 14, 47, 10, 40, 9, 6, 7, 21, 49, 23, 32, 35, 21, 0, 48, 39, 30, 5, 6, 4, 21, 39, 17, 18, 1, 35, 47, 21, 7, 24, 44, 48, 48, 29, 33, 21, 16, 15, 10, 4, 4, 22, 4, 16, 11, 6, 5, 34, 30, 17, 5, 30, 33, 12, 28, 42, 7, 6, 37, 28, 41, 37, 12, 19, 6, 11, 8, 28, 30, 19, 36, 12, 31, 19, 22, 39, 26, 39, 23, 4, 29, 5, 20, 29, 29, 9, 20, 44, 29, 17, 15, 35, 8, 30, 14, 18, 29, 5, 26, 25, 2, 25, 18, 14, 35, 16, 11, 2, 35, 32]
[5, 17, 30, 0, 20, 48, 38, 36, 38, 5, 16, 44, 40, 28, 30, 12, 41, 24, 6, 37, 26, 7, 46, 47, 15, 34, 36, 39, 30, 16, 15, 25, 3, 22, 18, 26, 40, 50, 42, 26, 26, 1, 47, 20, 29, 38, 31, 36, 25, 31, 15, 13, 14, 34, 6, 20, 24, 3, 23, 46, 3, 10, 29, 23, 26, 31, 3, 3, 47, 28, 26, 26, 27, 7, 24, 49, 24, 25, 48, 25, 18, 4, 9, 32, 35, 31, 24, 4, 4, 43, 34, 46, 28, 8, 11, 35, 27, 38, 7, 17, 3, 3, 28, 34, 36, 40, 21, 12, 21, 45, 6, 16, 28, 42, 25, 0, 22, 0, 41, 11, 49, 2, 35, 47, 39, 26]
[40, 11, 21, 20, 0, 4, 40, 3, 17, 39, 39, 14, 12, 4, 3, 21, 0, 8, 17, 7, 50, 41, 43, 28, 15, 25, 6, 41, 13, 9, 7, 24, 47, 43, 26, 28, 5, 25, 50, 41, 38, 23, 18, 15, 49, 42, 31, 4, 10, 43, 25, 43, 12, 6, 1, 45, 50, 31, 37, 43, 38, 9, 18, 42, 42, 20, 48, 34, 3, 1, 12, 48, 29, 29, 45, 17, 30, 27, 20, 39, 44, 25, 37, 15, 44, 33, 20, 8, 21, 36, 35, 28, 28, 24, 16, 37, 35, 44, 32, 3, 14, 41, 46, 9, 27, 47, 32, 22, 48, 35, 42, 16, 16, 8, 33, 24, 18, 6, 35, 26, 32, 26, 16, 35, 22, 34]
[37, 16, 38, 48, 4, 0, 33, 2, 44, 45, 2, 43, 38, 35, 40, 11, 19, 46, 27, 33, 48, 19, 11, 30, 0, 23, 7, 37, 1, 42, 1, 34, 19, 48, 3, 12, 50, 23, 3, 24, 3, 44, 8, 10, 9, 21, 42, 14, 5, 18, 6, 46, 17, 27, 20, 32, 50, 17, 26, 46, 31, 21, 41, 31, 22, 33, 33, 16, 38, 3, 45, 33, 18, 14, 38, 33, 38, 25, 48, 38, 4, 45, 27, 22, 14, 18, 6, 14, 4, 25, 32, 27, 23, 44, 50, 26, 20, 3, 42, 5, 3, 41, 38, 25, 32, 20, 46, 2, 38, 7, 1, 12, 33, 16, 45, 35, 25, 2, 12, 19, 38, 7, 0, 10, 36, 11]
[15, 37, 49, 38, 40, 33, 0, 30, 49, 15, 44, 16, 44, 37, 11, 5, 47, 24, 2, 8, 28, 35, 42, 2, 46, 0, 27, 19, 49, 22, 6, 39, 49, 19, 16, 50, 3, 23, 13, 25, 23, 7, 40, 44, 22, 30, 6, 40, 11, 31, 43, 6, 23, 7, 27, 11, 31, 33, 31, 27, 47, 27, 45, 47, 25, 36, 45, 47, 42, 6, 43, 40, 2, 17, 25, 12, 23, 27, 2, 50, 37, 27, 17, 1, 35, 1, 2, 28, 25, 27, 47, 30, 2, 41, 15, 1, 13, 9, 6, 38, 29, 16, 8, 12, 17, 47, 47, 30, 28, 5, 40, 27, 20, 50, 15, 41, 23, 29, 26, 9, 16, 36, 42, 4, 16, 13]
[47, 10, 1, 36, 3, 2, 30, 0, 34, 45, 6, 22, 43, 25, 46, 25, 8, 32, 29, 16, 45, 50, 39, 33, 22, 27, 24, 41, 26, 37, 9, 42, 29, 7, 33, 12, 26, 38, 13, 26, 33, 15, 4, 37, 20, 36, 18, 32, 11, 14, 34, 30, 16, 34, 34, 17, 48, 4, 20, 43, 28, 8, 21, 11, 23, 27, 0, 2, 26, 3, 6, 23, 41, 27, 25, 47, 26, 7, 19, 16, 16, 36, 24, 42, 37, 46, 18, 26, 6, 29, 19, 16, 36, 11, 20, 2, 44, 4, 14, 2, 37, 24, 36, 44, 44, 35, 20, 32, 29, 9, 45, 46, 35, 5, 38, 30, 46, 48, 6, 12, 34, 23, 48, 44, 22, 37]
[35, 13, 43, 38, 17, 44, 49, 34, 0, 40, 46, 7, 0, 22, 12, 16, 13, 17, 32, 12, 0, 42, 26, 37, 40, 20, 1, 7, 50, 8, 26, 20, 19, 23, 34, 13, 31, 22, 8, 39, 41, 3, 1, 34, 43, 44, 50, 29, 3, 42, 29, 45, 14, 8, 41, 50, 37, 30, 6, 39, 32, 38, 5, 30, 39, 41, 38, 37, 47, 45, 25, 19, 8, 26, 38, 20, 17, 23, 7, 25, 26, 37, 0, 33, 19, 13, 40, 42, 9, 9, 30, 18, 9, 2, 1, 28, 41, 5, 48, 36, 29, 3, 31, 35, 38, 16, 7, 38, 10, 5, 20, 33, 39, 34, 26, 49, 41, 23, 43, 30, 35, 1, 36, 38, 30, 9]
[47, 22, 32, 5, 39, 45, 15, 45, 40, 0, 21, 25, 21, 41, 12, 36, 49, 42, 22, 37, 36, 42, 39, 42, 17, 23, 9, 19, 6, 33, 16, 15, 3, 23, 37, 2, 45, 41, 6, 2, 9, 19, 18, 32, 28, 35, 36, 11, 42, 15, 33, 31, 25, 3, 18, 21, 6, 5, 8, 33, 29, 25, 9, 16, 27, 47, 7, 9, 15, 3, 13, 33, 2, 20, 4, 3, 21, 41, 38, 41, 49, 9, 8, 38, 47, 11, 9, 47, 16, 11, 38, 5, 13, 26, 21, 3, 38, 11, 50, 37, 16, 25, 26, 49, 2, 46, 15, 9, 46, 45, 22, 49, 23, 18, 44, 36, 31, 23, 32, 12, 26, 14, 21, 18, 39, 22]
