N1,N2,...,Nx
[0, 11, 23, 20, 48, 18, 25, 18, 40, 28, 42, 33, 11, 33, 12, 13, 45, 13, 8, 31, 5, 18, 1, 14, 31, 23, 24, 35, 9, 23, 23, 29, 43, 25, 28, 25, 12, 33, 19, 37, 20, 33, 29, 48, 12, 3, 40, 18, 49, 26, 28, 41, 48, 26, 3, 39, 8, 3, 18, 36, 12, 46, 18, 11, 24, 23, 1, 39, 10, 44, 17, 32, 47, 15, 32, 16, 3, 16, 5, 32, 8, 10, 12, 8, 43, 47, 26, 15, 47, 1, 41, 32, 12, 18, 17, 14, 49, 2, 14, 40, 29, 27, 41, 7, 17, 3, 41, 38, 44, 39, 6, 16, 48, 45, 9, 30, 49, 37, 41, 23, 33]
[11, 0, 23, 32, 9, 33, 36, 32, 16, 43, 27, 41, 48, 10, 16, 48, 23, 13, 18, 26, 35, 2, 16, 11, 0, 18, 40, 23, 22, 21, 27, 0, 2, 34, 42, 50, 8, 44, 23, 37, 42, 19, 21, 33, 9, 20, 43, 12, 7, 3, 48, 2, 19, 8, 39, 24, 10, 36, 23, 40, 13, 38, 40, 9, 44, 22, 11, 49, 20, 0, 14, 28, 32, 27, 28, 33, 13, 12, 24, 19, 25, 8, 34, 39, 38, 28, 50, 45, 4, 31, 12, 14, 11, 50, 18, 9, 13, 22, 44, 43, 17, 15, 46, 26, 6, 34, 40, 20, 2, 22, 20, 21, 24, 0, 13, 31, 41, 2, 25, 21, 25]
[23, 23, 0, 36, 11, 11, 20, 19, 15, 35, 4, 25, 38, 45, 37, 12, 0, 22, 33, 31, 20, 19, 10, 34, 37, 13, 24, 38, 30, 14, 3, 33, 33, 30, 15, 30, 39, 32, 28, 48, 32, 41, 48, 31, 43, 31, 21, 42, 47, 26, 17, 39, 37, 37, 39, 24, 42, 19, 46, 50, 12, 23, 47, 6, 20, 43, 49, 50, 19, 35, 2, 34, 8, 25, 35, 27, 49, 43, 0, 39, 48, 14, 13, 46, 40, 39, 10, 16, 28, 28, 46, 16, 35, 32, 47, 39, 6, 17, 6, 9, 29, 50, 15, 20, 39, 4, 35, 29, 31, 27, 10, 2, 10, 31, 43, 44, 30, 19, 29, 10, 4]
[20, 32, 36, 0, 11, 44, 8, 17, 1, 50, 36, 3, 19, 3, 9, 44, 28, 22, 26, 48, 34, 45, 13, 7, 48, 24, 15, 31, 50, 26, 27, 30, 13, 15, 41, 30, 31, 33, 7, 26, 9, 12, 6, 19, 2, 46, 27, 45, 21, 3, 10, 31, 45, 47, 50, 18, 43, 15, 17, 35, 3, 21, 8, 36, 2, 5, 37, 44, 36, 48, 34, 23, 41, 0, 3, 6, 1, 24, 28, 18, 23, 7, 26, 14, 19, 14, 43, 3, 33, 9, 2, 30, 21, 6, 4, 7, 31, 25, 31, 49, 16, 30, 7, 26, 47, 39, 18, 12, 19, 3, 21, 35, 25, 33, 3, 5, 50, 41, 28, 42, 49]
[48, 9, 11, 11, 0, 44, 0, 1, 35, 48, 1, 22, 17, 3, 50, 40, 33, 7, 41, 23, 16, 0, 50, 34, 44, 19, 42, 7, 4, 40, 32, 3, 13, 3, 31, 9, 7, 26, 36, 45, 28, 44, 43, 27, 2, 40, 45, 47, 30, 4, 48, 5, 22, 4, 33, 30, 45, 1, 18, 25, 5, 47, 35, 49, 46, 9, 34, 20, 35, 38, 14, 17, 28, 47, 38, 6, 34, 29, 24, 36, 34, 27, 48, 0, 46, 30, 16, 35, 11, 23, 28, 31, 37, 42, 47, 14, 48, 20, 32, 16, 0, 5, 48, 7, 26, 4, 45, 17, 47, 31, 49, 23, 6, 30, 3, 20, 3, 1, 2, 18, 50]
[18, 33, 11, 44, 44, 0, 19, 47, 39, 1, 34, 42, 3, 28, 9, 37, 29, 43, 47, 10, 24, 42, 50, 5, 20, 11, 30, 41, 23, 38, 20, 36, 11, 36, 4, 42, 38, 10, 48, 23, 39, 29, 22, 40, 23, 27, 20, 30, 1, 50, 4, 35, 5, 48, 42, 36, 34, 29, 20, 40, 24, 46, 12, 43, 43, 17, 40, 19, 2, 45, 24, 25, 8, 11, 6, 37, 40, 50, 28, 38, 42, 23, 36, 18, 39, 40, 1, 13, 12, 50, 14, 2, 33, 47, 24, 20, 45, 36, 22, 6, 50, 22, 14, 14, 3, 6, 23, 21, 3, 44, 46, 40, 26, 3, 25, 1, 37, 16, 12, 11, 24]
[25, 36, 20, 8, 0, 19, 0, 22, 22, 16, 24, 34, 20, 26, 29, 13, 40, 14, 5, 46, 41, 21, 43, 33, 16, 39, 12, 16, 21, 22, 42, 49, 33, 21, 47, 25, 45, 9, 11, 46, 4, 22, 39, 37, 36, 5, 27, 34, 1, 30, 43, 2, 46, 17, 22, 28, 43, 27, 15, 40, 0, 36, 18, 14, 19, 36, 26, 20, 6, 40, 50, 31, 14, 43, 42, 6, 15, 33, 30, 16, 49, 33, 39, 45, 47, 21, 38, 3, 36, 8, 15, 27, 5, 22, 42, 29, 1, 29, 24, 32, 31, 42, 50, 15, 7, 19, 2, 4, 19, 45, 15, 2, 7, 13, 33, 26, 1, 49, 34, 45, 40]
[18, 32, 19, 17, 1, 47, 22, 0, 1, 38, 26, 40, 14, 41, 33, 19, 24, 24, 7, 8, 22, 13, 15, 14, 23, 16, 37, 42, 11, 44, 36, 24, 17, 49, 10, 47, 23, 39, 26, 36, 27, 5, 28, 14, 9, 25, 47, 37, 13, 20, 38, 1, 25, 20, 9, 1, 18, 45, 43, 18, 12, 35, 4, 5, 47, 38, 47, 6, 10, 27, 29, 28, 47, 13, 36, 6, 23, 50, 43, 48, 43, 42, 36, 15, 27, 7, 13, 30, 24, 50, 13, 18, 45, 31, 19, 36, 49, 34, 5, 22, 7, 43, 27, 27, 21, 32, 40, 15, 45, 44, 17, 21, 21, 35, 2, 23, 2, 39, 13, 45, 42]
[40, 16, 15, 1, 35, 39, 22, 1, 0, 24, 12, 33, 5, 11, 46, 27, 12, 38, 44, 34, 10, 2, 31, 45, 49, 21, 31, 37, 17, 32, 47, 41, 11, 13, 39, 7, 27, 17, 15, 46, 41, 49, 34, 4, 17, 30, 23, 24, 18, 37, 15, 1, 21, 35, 3, 22, 16, 16, 12, 38, 33, 32, 45, 18, 26, 14, 23, 17, 8, 13, 35, 50, 4, 0, 24, 5, 28, 47, 43, 14, 19, 29, 7, 17, 24, 40, 11, 5, 15, 6, 6, 39, 35, 14, 48, 8, 11, 18, 27, 0, 22, 19, 28, 40, 37, 20, 20, 16, 35, 15, 11, 44, 30, 35, 46, 28, 29, 13, 11, 13, 10]
[28, 43, 35, 50, 48, 1, 16, 38, 24, 0, 19, 50, 14, 40, 29, 29, 36, 40, 36, 28, 26, 6, 47, 44, 48, 27, 42, 40, 15, 17, 33, 47, 21, 50, 17, 12, 37, 3, 23, 44, 2, 25, 14, 31, 33, 36, 47, 0, 16, 13, 41, 32, 27, 47, 21, 2, 7, 30, 29, 15, 35, 11, 33, 14, 18, 21, 15, 48, 46, 38, 1, 37, 27, 35, 3, 43, 43, 38, 29, 26, 21, 1, 0, 7, 35, 20, 44, 24, 25, 32, 0, 44, 9, 38, 42, 19, 49, 44, 19, 44, 18, 49, 35, 16, 23, 7, 28, 27, 27, 26, 11, 2, 43, 25, 21, 31, 4, 14, 6, 4, 35]
