N1,N2,...,Nx
[0, 7, 38, 5, 28, 14, 12, 38, 31, 39, 40, 38, 7, 25, 25, 7, 33, 45, 43, 37, 5, 24, 39, 22, 30, 14, 5, 31, 25, 21, 43, 6, 38, 18, 37, 30, 50, 41, 34, 5, 13, 44, 13, 31, 42, 21, 30, 18, 35, 5, 3, 3, 47, 28, 3, 7, 5, 48, 22, 2, 7, 23, 24, 7, 2, 12, 46, 4, 5, 18, 5, 44, 37, 27, 39, 0, 40, 45, 30, 16, 31, 36, 42, 33, 33, 23, 36, 41, 17, 21, 48, 25, 17, 45, 16, 28, 11, 27, 21, 15, 16, 34, 45, 29, 39, 22]
[7, 0, 17, 35, 41, 31, 3, 4, 38, 47, 20, 23, 9, 24, 2, 4, 27, 14, 21, 32, 23, 19, 40, 42, 22, 50, 28, 46, 14, 25, 0, 21, 35, 6, 15, 34, 24, 13, 49, 49, 28, 3, 46, 22, 28, 30, 30, 8, 41, 37, 16, 16, 47, 30, 32, 23, 41, 44, 21, 18, 20, 48, 35, 30, 33, 13, 23, 18, 6, 46, 36, 38, 43, 31, 23, 21, 46, 11, 27, 48, 4, 22, 32, 3, 13, 10, 11, 47, 1, 28, 36, 39, 42, 24, 2, 44, 10, 23, 8, 47, 9, 3, 6, 41, 23, 50]
[38, 17, 0, 40, 9, 10, 20, 49, 44, 19, 42, 14, 4, 30, 16, 30, 11, 48, 3, 13, 44, 22, 47, 19, 38, 24, 24, 40, 16, 44, 23, 4, 13, 33, 21, 8, 43, 21, 24, 17, 26, 3, 29, 13, 11, 11, 24, 26, 31, 1, 20, 25, 17, 28, 15, 14, 23, 24, 23, 23, 29, 27, 10, 26, 4, 37, 2, 39, 26, 22, 11, 50, 20, 42, 49, 19, 12, 32, 25, 41, 13, 12, 34, 40, 29, 15, 6, 17, 17, 45, 43, 10, 37, 15, 9, 10, 33, 20, 29, 29, 8, 31, 40, 40, 32, 7]
[5, 35, 40, 0, 2, 39, 42, 40, 46, 24, 43, 23, 16, 0, 10, 33, 34, 16, 21, 13, 30, 48, 1, 42, 10, 24, 33, 38, 9, 29, 20, 0, 35, 31, 34, 30, 47, 1, 39, 45, 10, 31, 0, 16, 44, 41, 22, 13, 12, 45, 39, 33, 40, 31, 0, 4, 17, 1, 17, 24, 39, 2, 2, 18, 9, 14, 6, 15, 34, 12, 41, 25, 38, 27, 14, 5, 12, 47, 31, 39, 29, 13, 28, 17, 32, 15, 35, 49, 0, 31, 22, 31, 1, 48, 2, 27, 3, 45, 14, 17, 39, 29, 28, 13, 14, 50]
[28, 41, 9, 2, 0, 15, 0, 29, 0, 24, 37, 28, 35, 1, 47, 2, 10, 36, 23, 23, 11, 0, 28, 50, 44, 1, 21, 22, 49, 36, 30, 11, 3, 49, 37, 34, 22, 14, 38, 31, 48, 27, 30, 20, 30, 22, 42, 20, 49, 5, 16, 42, 38, 46, 20, 50, 18, 16, 45, 2, 27, 41, 30, 38, 20, 2, 47, 28, 26, 9, 25, 48, 28, 21, 27, 46, 30, 8, 44, 12, 8, 47, 32, 5, 7, 29, 44, 10, 14, 24, 47, 17, 15, 10, 36, 32, 13, 31, 21, 29, 15, 7, 36, 35, 4, 47]
[14, 31, 10, 39, 15, 0, 14, 43, 42, 34, 50, 20, 20, 19, 41, 29, 41, 0, 6, 26, 31, 38, 34, 14, 43, 31, 34, 45, 27, 6, 23, 24, 0, 10, 30, 50, 11, 27, 5, 5, 41, 29, 38, 35, 6, 4, 34, 34, 26, 46, 16, 30, 8, 16, 42, 14, 34, 12, 11, 2, 24, 6, 22, 30, 1, 46, 19, 3, 22, 41, 47, 37, 19, 43, 35, 48, 39, 39, 31, 20, 24, 18, 7, 8, 29, 1, 35, 18, 38, 50, 5, 34, 24, 34, 43, 39, 12, 45, 19, 16, 46, 18, 24, 29, 29, 10]
[12, 3, 20, 42, 0, 14, 0, 37, 44, 1, 31, 25, 30, 43, 38, 44, 1, 30, 1, 38, 22, 0, 16, 21, 38, 14, 17, 18, 20, 49, 3, 40, 44, 36, 32, 20, 14, 17, 22, 10, 27, 22, 4, 33, 13, 28, 13, 42, 23, 20, 40, 23, 14, 42, 43, 25, 26, 5, 0, 37, 43, 32, 27, 20, 23, 37, 21, 19, 4, 42, 43, 50, 5, 34, 22, 31, 45, 28, 4, 7, 7, 35, 37, 42, 14, 34, 47, 43, 41, 9, 49, 45, 33, 38, 42, 13, 10, 15, 8, 47, 43, 44, 29, 20, 45, 24]
[38, 4, 49, 40, 29, 43, 37, 0, 41, 12, 32, 3, 31, 23, 33, 21, 33, 38, 4, 9, 14, 20, 48, 13, 22, 38, 5, 42, 38, 3, 33, 3, 1, 25, 20, 19, 49, 27, 8, 40, 20, 25, 27, 33, 46, 40, 46, 50, 3, 40, 12, 18, 8, 40, 14, 10, 17, 23, 25, 8, 14, 13, 13, 45, 17, 50, 41, 20, 40, 30, 10, 12, 43, 17, 50, 4, 10, 38, 2, 49, 44, 49, 4, 50, 17, 15, 50, 11, 46, 18, 11, 38, 50, 6, 29, 15, 19, 34, 14, 15, 18, 15, 16, 34, 12, 19]
[31, 38, 44, 46, 0, 42, 44, 41, 0, 8, 13, 26, 7, 28, 44, 29, 25, 16, 15, 37, 39, 6, 11, 27, 28, 15, 10, 15, 44, 18, 42, 25, 37, 0, 25, 18, 30, 47, 34, 43, 3, 50, 40, 7, 44, 50, 49, 22, 43, 44, 31, 21, 22, 34, 46, 2, 13, 18, 7, 13, 37, 48, 4, 36, 10, 47, 29, 3, 37, 41, 20, 13, 49, 12, 33, 15, 34, 48, 6, 13, 33, 28, 11, 7, 48, 2, 48, 31, 4, 0, 35, 38, 39, 45, 29, 36, 14, 23, 33, 28, 23, 43, 40, 50, 1, 28]
[39, 47, 19, 24, 24, 34, 1, 12, 8, 0, 1, 50, 21, 42, 14, 15, 1, 46, 10, 48, 28, 8, 48, 26, 0, 22, 7, 40, 5, 12, 26, 37, 6, 18, 20, 50, 23, 21, 32, 37, 40, 30, 36, 11, 28, 48, 3, 45, 17, 7, 45, 26, 1, 15, 21, 8, 18, 12, 0, 10, 11, 19, 24, 24, 37, 50, 34, 47, 28, 42, 3, 26, 13, 42, 47, 38, 35, 41, 42, 47, 20, 40, 18, 18, 2, 21, 26, 28, 43, 20, 30, 0, 12, 16, 13, 18, 49, 9, 47, 35, 49, 2, 22, 16, 32, 27]
