N1,N2,...,Nx
[0, 1, 21, 27, 0, 16, 23, 24, 14, 6, 37, 13, 24, 18, 0, 8, 19, 32, 22, 10, 30, 3, 42, 20, 9, 32, 40, 45, 16, 13, 8, 49, 2, 10, 15, 33, 44, 28, 37, 45, 47, 8, 0, 34, 16, 30, 24, 7, 16, 12, 4, 14, 40, 5, 38, 14, 0, 4, 49, 34, 17, 34, 1, 18, 39, 19, 50, 43, 46, 49, 21, 31, 35, 44, 39]
[1, 0, 6, 29, 11, 13, 25, 21, 2, 12, 14, 0, 20, 38, 38, 43, 27, 50, 15, 42, 30, 38, 24, 32, 34, 27, 19, 1, 41, 18, 4, 45, 20, 30, 26, 50, 23, 8, 38, 16, 14, 42, 17, 46, 45, 1, 37, 41, 19, 9, 25, 26, 33, 44, 1, 14, 43, 5, 7, 6, 47, 11, 38, 19, 28, 7, 14, 50, 2, 13, 34, 46, 29, 16, 39]
[21, 6, 0, 37, 19, 33, 5, 37, 46, 10, 35, 20, 26, 22, 29, 10, 32, 6, 46, 0, 47, 39, 36, 20, 12, 29, 44, 18, 1, 36, 34, 17, 40, 28, 15, 9, 6, 12, 29, 45, 30, 47, 3, 44, 32, 41, 28, 1, 7, 23, 46, 2, 12, 15, 18, 10, 43, 29, 38, 20, 24, 28, 2, 22, 21, 6, 47, 31, 19, 43, 50, 18, 11, 36, 5]
[27, 29, 37, 0, 7, 11, 18, 11, 13, 48, 26, 38, 36, 30, 14, 21, 23, 38, 20, 2, 15, 32, 5, 9, 50, 36, 26, 21, 36, 49, 7, 12, 24, 19, 43, 8, 8, 13, 26, 33, 10, 3, 4, 9, 5, 3, 19, 4, 29, 20, 45, 10, 18, 0, 46, 21, 18, 36, 18, 9, 28, 11, 49, 15, 6, 35, 20, 37, 33, 4, 34, 19, 12, 14, 9]
[0, 11, 19, 7, 0, 17, 44, 43, 14, 26, 39, 25, 37, 22, 40, 37, 11, 5, 21, 14, 5, 50, 24, 9, 15, 8, 35, 4, 7, 27, 50, 45, 13, 5, 5, 13, 49, 44, 27, 50, 40, 9, 21, 11, 30, 1, 2, 25, 8, 33, 12, 31, 40, 13, 40, 29, 17, 28, 50, 20, 49, 39, 29, 24, 8, 35, 3, 13, 14, 8, 13, 30, 35, 17, 50]
[16, 13, 33, 11, 17, 0, 12, 41, 25, 36, 18, 37, 3, 1, 14, 19, 37, 46, 37, 1, 45, 12, 4, 49, 20, 10, 17, 12, 7, 14, 35, 47, 25, 25, 6, 15, 45, 26, 32, 43, 31, 32, 35, 26, 37, 1, 18, 23, 33, 4, 38, 38, 7, 16, 15, 36, 39, 22, 21, 4, 13, 7, 12, 33, 26, 0, 45, 3, 21, 48, 5, 10, 35, 21, 43]
[23, 25, 5, 18, 44, 12, 0, 41, 45, 18, 17, 38, 43, 43, 45, 8, 34, 15, 50, 46, 24, 30, 4, 27, 35, 4, 2, 21, 45, 16, 13, 41, 25, 49, 47, 11, 50, 0, 42, 4, 9, 19, 25, 3, 39, 21, 12, 31, 4, 11, 42, 46, 18, 38, 5, 32, 7, 21, 43, 47, 29, 34, 21, 1, 30, 13, 23, 38, 43, 2, 14, 39, 40, 46, 17]
[24, 21, 37, 11, 43, 41, 41, 0, 5, 6, 7, 36, 3, 20, 8, 3, 28, 34, 2, 41, 42, 7, 30, 41, 34, 38, 23, 17, 41, 42, 44, 44, 2, 16, 24, 38, 38, 6, 33, 11, 12, 25, 6, 5, 16, 3, 15, 2, 13, 4, 35, 11, 22, 35, 31, 34, 13, 15, 31, 24, 28, 31, 28, 41, 35, 7, 44, 0, 13, 44, 18, 10, 3, 27, 20]
[14, 2, 46, 13, 14, 25, 45, 5, 0, 46, 42, 27, 9, 38, 14, 24, 17, 42, 11, 32, 23, 30, 45, 35, 23, 36, 15, 0, 31, 33, 7, 10, 18, 36, 20, 5, 27, 9, 48, 11, 3, 16, 5, 45, 6, 48, 12, 15, 19, 42, 40, 24, 12, 24, 44, 21, 35, 44, 28, 16, 19, 40, 10, 50, 11, 40, 36, 28, 31, 40, 36, 20, 41, 43, 2]
[6, 12, 10, 48, 26, 36, 18, 6, 46, 0, 45, 44, 49, 29, 42, 31, 2, 16, 2, 36, 27, 29, 9, 10, 22, 44, 29, 41, 42, 34, 26, 6, 42, 39, 33, 49, 30, 8, 0, 47, 1, 39, 29, 41, 6, 4, 13, 15, 38, 17, 28, 14, 11, 49, 38, 47, 34, 22, 29, 47, 14, 5, 0, 33, 2, 17, 44, 45, 23, 16, 15, 24, 26, 4, 35]
