N1,N2,...,Nx
[0, 17, 3, 2, 31, 49, 30, 21, 49, 16, 25, 43, 42, 10, 26, 34, 34, 43, 48, 47, 2, 38, 26, 34, 32, 43, 11, 7, 31, 34, 25, 3, 31, 8, 33, 12, 43, 48, 15, 35, 25, 43, 14, 29, 50, 3, 1, 14, 17, 13, 44, 21, 45, 12, 14, 32, 7, 14, 6, 35, 31, 14, 28, 29, 4, 30, 46, 34, 15, 42, 41, 34, 44, 8, 5, 17, 11, 23, 42, 32, 0, 45, 14, 17, 16, 6, 37, 23, 10, 48, 33, 0, 7, 47, 29, 39, 1, 40, 41, 39, 5, 10, 37, 39, 49, 5, 16, 24, 41, 41, 26, 48, 31, 0, 18, 12, 2, 26, 45, 2, 37, 28, 44, 27, 25, 41, 27, 48, 37, 28, 45, 9, 46, 10, 5, 16, 1, 36, 50, 31, 20, 41, 13, 7, 15, 15, 7, 35, 6, 28, 17, 23, 9, 16, 37, 30, 27, 23, 18, 33, 16, 28, 39, 19, 34, 7, 44, 45, 42, 8, 28, 2, 30, 13, 18, 31, 8, 47, 49, 21, 50, 26, 31, 2, 18, 19, 49, 17, 4, 7, 34, 40, 40]
[17, 0, 5, 26, 47, 41, 42, 46, 25, 5, 25, 15, 26, 37, 0, 15, 21, 38, 43, 35, 14, 45, 30, 8, 31, 16, 3, 34, 33, 5, 18, 7, 2, 43, 28, 16, 47, 36, 2, 47, 18, 24, 18, 46, 45, 44, 28, 38, 0, 37, 22, 32, 4, 41, 44, 11, 42, 39, 43, 47, 6, 23, 14, 38, 49, 21, 35, 49, 31, 41, 9, 0, 47, 34, 42, 10, 50, 44, 49, 24, 50, 6, 24, 21, 15, 46, 7, 9, 17, 39, 12, 7, 14, 13, 18, 24, 41, 36, 34, 23, 20, 23, 31, 29, 40, 19, 29, 17, 17, 49, 30, 36, 30, 17, 45, 19, 29, 4, 30, 16, 41, 8, 47, 45, 37, 37, 40, 43, 40, 34, 39, 2, 34, 2, 45, 12, 50, 15, 34, 29, 28, 14, 11, 12, 47, 13, 20, 42, 49, 25, 13, 20, 23, 26, 47, 5, 26, 31, 49, 37, 18, 14, 20, 8, 15, 35, 13, 38, 4, 43, 17, 30, 49, 48, 16, 44, 2, 10, 41, 14, 0, 28, 44, 24, 31, 9, 45, 1, 41, 1, 41, 41, 47]
[3, 5, 0, 42, 8, 40, 25, 8, 12, 3, 11, 29, 27, 37, 12, 11, 0, 42, 12, 48, 20, 9, 25, 35, 1, 13, 46, 33, 21, 41, 21, 49, 27, 32, 40, 17, 9, 24, 33, 39, 4, 2, 50, 8, 33, 15, 7, 11, 14, 11, 28, 27, 39, 32, 15, 19, 42, 18, 11, 22, 1, 32, 44, 46, 37, 19, 46, 38, 25, 4, 3, 44, 12, 26, 35, 16, 36, 43, 29, 42, 13, 12, 28, 10, 13, 31, 34, 37, 37, 15, 48, 27, 43, 7, 41, 48, 42, 40, 10, 21, 27, 46, 9, 31, 25, 14, 16, 18, 30, 13, 8, 45, 23, 1, 39, 48, 39, 10, 4, 28, 47, 20, 6, 18, 19, 21, 49, 16, 9, 6, 7, 29, 7, 21, 41, 26, 38, 15, 8, 47, 31, 35, 50, 42, 11, 0, 1, 15, 19, 2, 29, 24, 2, 4, 5, 42, 41, 34, 23, 0, 48, 22, 0, 17, 8, 23, 14, 42, 41, 45, 4, 0, 49, 49, 35, 36, 33, 40, 26, 31, 41, 12, 9, 6, 22, 13, 6, 47, 47, 11, 7, 19, 45]
[2, 26, 42, 0, 47, 36, 3, 49, 40, 20, 50, 15, 26, 7, 1, 46, 34, 50, 26, 9, 33, 23, 39, 7, 4, 22, 40, 25, 44, 25, 43, 23, 32, 4, 41, 5, 45, 46, 14, 21, 6, 3, 36, 6, 23, 20, 27, 19, 32, 37, 0, 18, 25, 5, 2, 5, 11, 20, 50, 49, 33, 40, 25, 41, 48, 17, 22, 12, 28, 46, 50, 34, 36, 19, 3, 21, 21, 44, 26, 2, 22, 33, 37, 30, 31, 33, 3, 19, 35, 16, 20, 13, 26, 42, 30, 18, 0, 26, 14, 11, 30, 37, 19, 12, 11, 1, 31, 6, 8, 27, 45, 36, 17, 13, 23, 7, 33, 37, 38, 2, 22, 36, 50, 6, 11, 28, 24, 8, 1, 1, 40, 10, 18, 27, 16, 39, 43, 33, 13, 49, 6, 5, 32, 39, 14, 24, 22, 22, 34, 3, 14, 36, 0, 36, 10, 30, 36, 4, 20, 43, 15, 29, 45, 26, 11, 16, 43, 36, 20, 11, 48, 14, 3, 37, 17, 19, 10, 27, 29, 20, 29, 44, 46, 23, 30, 41, 3, 36, 47, 4, 12, 19, 2]
[31, 47, 8, 47, 0, 24, 30, 11, 25, 7, 3, 12, 2, 45, 37, 6, 24, 1, 5, 17, 27, 15, 25, 6, 17, 3, 32, 28, 28, 19, 14, 27, 40, 5, 39, 5, 45, 23, 3, 26, 6, 6, 36, 48, 7, 39, 49, 12, 3, 4, 43, 22, 50, 40, 14, 20, 34, 44, 43, 14, 49, 28, 50, 16, 20, 9, 28, 35, 11, 15, 22, 27, 12, 10, 33, 25, 3, 39, 46, 37, 34, 35, 1, 15, 47, 40, 10, 11, 2, 29, 38, 17, 32, 30, 24, 48, 23, 40, 19, 49, 7, 39, 36, 5, 19, 44, 14, 5, 6, 3, 22, 6, 43, 46, 24, 35, 47, 39, 31, 7, 44, 17, 45, 11, 1, 23, 19, 20, 41, 13, 43, 25, 15, 0, 35, 39, 49, 0, 47, 25, 24, 3, 45, 13, 46, 34, 47, 37, 30, 30, 2, 47, 17, 40, 0, 36, 39, 7, 23, 7, 14, 4, 30, 20, 18, 24, 38, 14, 38, 29, 31, 18, 24, 14, 8, 23, 5, 35, 7, 29, 38, 16, 25, 3, 47, 45, 22, 7, 39, 6, 48, 3, 28]
[49, 41, 40, 36, 24, 0, 2, 19, 41, 18, 14, 25, 38, 27, 49, 40, 42, 11, 0, 35, 15, 2, 0, 40, 34, 44, 33, 47, 2, 28, 24, 36, 17, 42, 2, 36, 29, 48, 28, 8, 41, 9, 10, 49, 29, 21, 0, 42, 6, 7, 35, 22, 27, 22, 22, 25, 38, 40, 1, 32, 50, 21, 44, 40, 42, 49, 4, 6, 44, 27, 45, 34, 23, 35, 47, 19, 16, 15, 48, 3, 14, 9, 41, 8, 7, 0, 4, 3, 40, 32, 45, 5, 17, 42, 14, 29, 6, 15, 11, 22, 12, 9, 10, 44, 14, 6, 33, 18, 39, 46, 15, 27, 11, 14, 4, 25, 7, 43, 7, 19, 29, 31, 28, 18, 24, 14, 49, 17, 2, 23, 11, 8, 24, 17, 8, 11, 12, 4, 16, 35, 28, 19, 37, 7, 16, 26, 31, 23, 39, 1, 47, 27, 14, 11, 25, 41, 8, 22, 34, 43, 18, 9, 23, 47, 9, 3, 15, 14, 0, 13, 22, 13, 44, 23, 37, 36, 13, 24, 36, 39, 50, 48, 1, 46, 15, 16, 26, 45, 48, 43, 37, 32, 27]
[30, 42, 25, 3, 30, 2, 0, 17, 33, 5, 25, 6, 45, 32, 23, 1, 34, 35, 25, 41, 33, 16, 47, 21, 28, 15, 31, 50, 5, 14, 30, 26, 18, 30, 26, 34, 16, 38, 10, 18, 27, 23, 40, 43, 29, 44, 49, 5, 24, 26, 43, 4, 49, 13, 16, 5, 11, 19, 49, 43, 9, 19, 36, 47, 30, 11, 44, 16, 24, 14, 26, 1, 9, 41, 31, 13, 24, 11, 45, 34, 28, 23, 45, 39, 16, 4, 14, 36, 15, 28, 40, 30, 34, 20, 23, 5, 19, 35, 36, 18, 36, 34, 38, 42, 19, 42, 19, 29, 27, 9, 24, 1, 47, 50, 18, 27, 15, 14, 50, 25, 18, 42, 0, 17, 13, 27, 15, 30, 12, 30, 27, 36, 31, 6, 19, 41, 41, 31, 7, 41, 3, 25, 37, 44, 18, 12, 28, 21, 19, 50, 31, 47, 8, 23, 35, 28, 17, 39, 10, 34, 17, 25, 32, 38, 39, 24, 7, 27, 22, 41, 8, 8, 16, 30, 50, 29, 14, 27, 47, 7, 17, 30, 45, 14, 14, 18, 49, 8, 19, 17, 3, 26, 8]
[21, 46, 8, 49, 11, 19, 17, 0, 3, 8, 2, 10, 28, 17, 17, 42, 7, 13, 1, 20, 45, 17, 27, 45, 22, 22, 3, 46, 19, 39, 33, 45, 16, 30, 22, 22, 1, 18, 26, 30, 45, 23, 45, 13, 15, 50, 38, 34, 26, 37, 35, 26, 12, 38, 41, 16, 33, 29, 49, 6, 3, 25, 43, 44, 23, 27, 36, 31, 16, 25, 17, 12, 40, 30, 46, 37, 8, 47, 13, 34, 49, 25, 29, 14, 38, 41, 5, 14, 39, 5, 21, 31, 5, 46, 6, 21, 3, 33, 8, 43, 39, 20, 18, 39, 15, 0, 42, 48, 43, 43, 10, 40, 23, 32, 39, 7, 0, 19, 43, 38, 13, 27, 31, 22, 15, 48, 1, 33, 43, 0, 48, 5, 32, 40, 10, 43, 6, 50, 9, 38, 36, 46, 1, 42, 6, 29, 14, 39, 47, 13, 20, 47, 47, 25, 46, 13, 31, 9, 39, 19, 49, 13, 11, 49, 9, 35, 8, 7, 3, 38, 33, 24, 42, 17, 28, 15, 18, 33, 1, 43, 13, 19, 4, 0, 46, 49, 50, 12, 18, 3, 19, 39, 15]
[49, 25, 12, 40, 25, 41, 33, 3, 0, 13, 20, 43, 25, 14, 0, 11, 14, 20, 31, 9, 5, 7, 3, 36, 32, 35, 10, 6, 43, 26, 2, 48, 40, 5, 16, 7, 44, 20, 20, 47, 1, 16, 7, 33, 10, 0, 5, 36, 22, 26, 27, 5, 5, 15, 46, 11, 33, 34, 42, 2, 43, 6, 37, 36, 35, 50, 29, 40, 18, 6, 30, 39, 4, 3, 35, 19, 15, 22, 17, 28, 43, 14, 34, 46, 8, 50, 48, 47, 33, 20, 5, 24, 32, 0, 4, 5, 39, 19, 18, 4, 39, 22, 10, 42, 26, 50, 3, 31, 37, 26, 11, 20, 31, 46, 36, 32, 9, 9, 38, 3, 33, 32, 5, 19, 12, 29, 29, 2, 33, 49, 26, 44, 15, 33, 34, 22, 42, 48, 1, 7, 19, 15, 8, 31, 21, 8, 44, 34, 13, 25, 49, 22, 38, 3, 49, 31, 32, 37, 29, 16, 21, 17, 50, 50, 12, 13, 26, 18, 17, 17, 13, 36, 2, 48, 46, 15, 23, 21, 35, 12, 8, 25, 43, 32, 11, 27, 41, 41, 35, 20, 11, 2, 8]
[16, 5, 3, 20, 7, 18, 5, 8, 13, 0, 19, 46, 43, 9, 49, 15, 50, 16, 16, 46, 15, 31, 27, 0, 32, 34, 50, 19, 0, 18, 16, 39, 50, 49, 12, 5, 24, 28, 13, 4, 17, 30, 3, 0, 48, 27, 42, 50, 36, 48, 35, 50, 28, 45, 16, 30, 16, 40, 39, 17, 8, 44, 19, 16, 46, 33, 47, 21, 45, 14, 48, 41, 9, 37, 8, 4, 19, 21, 43, 14, 17, 10, 47, 44, 32, 25, 34, 41, 19, 1, 27, 14, 49, 21, 16, 9, 28, 49, 48, 16, 47, 39, 7, 24, 2, 45, 2, 8, 21, 46, 3, 11, 28, 22, 49, 31, 49, 5, 37, 26, 11, 8, 9, 14, 28, 23, 41, 0, 15, 10, 27, 46, 34, 0, 7, 14, 17, 14, 16, 28, 18, 48, 26, 6, 29, 46, 30, 13, 0, 1, 36, 5, 1, 20, 32, 7, 36, 45, 49, 27, 30, 24, 44, 35, 29, 22, 7, 15, 11, 21, 7, 33, 20, 41, 39, 6, 4, 8, 31, 36, 30, 30, 40, 48, 41, 44, 18, 11, 39, 3, 38, 19, 26]
