N1,N2,...,Nx
[0, 16, 2, 12, 40, 44, 13, 38, 17, 1, 44, 38, 34, 9, 42, 33, 48, 11, 35]
[16, 0, 2, 47, 3, 14, 14, 50, 14, 33, 42, 47, 40, 3, 46, 43, 17, 19, 36]
[2, 2, 0, 4, 39, 35, 6, 33, 46, 18, 36, 39, 7, 18, 8, 16, 39, 18, 34]
[12, 47, 4, 0, 14, 49, 15, 20, 39, 44, 4, 29, 15, 8, 35, 23, 15, 13, 5]
[40, 3, 39, 14, 0, 4, 39, 15, 49, 21, 16, 8, 33, 3, 24, 11, 47, 32, 7]
[44, 14, 35, 49, 4, 0, 3, 48, 10, 19, 17, 33, 6, 18, 3, 28, 29, 21, 31]
[13, 14, 6, 15, 39, 3, 0, 17, 30, 16, 15, 37, 43, 15, 40, 11, 7, 48, 11]
[38, 50, 33, 20, 15, 48, 17, 0, 11, 33, 36, 17, 30, 42, 28, 42, 38, 41, 1]
[17, 14, 46, 39, 49, 10, 30, 11, 0, 17, 9, 47, 5, 3, 8, 31, 13, 12, 44]
[1, 33, 18, 44, 21, 19, 16, 33, 17, 0, 21, 20, 6, 29, 45, 41, 44, 23, 50]
[44, 42, 36, 4, 16, 17, 15, 36, 9, 21, 0, 40, 10, 1, 25, 50, 38, 1, 12]
[38, 47, 39, 29, 8, 33, 37, 17, 47, 20, 40, 0, 17, 37, 11, 35, 18, 8, 15]
[34, 40, 7, 15, 33, 6, 43, 30, 5, 6, 10, 17, 0, 48, 11, 25, 0, 26, 43]
[9, 3, 18, 8, 3, 18, 15, 42, 3, 29, 1, 37, 48, 0, 30, 10, 33, 36, 32]
[42, 46, 8, 35, 24, 3, 40, 28, 8, 45, 25, 11, 11, 30, 0, 15, 32, 0, 16]
[33, 43, 16, 23, 11, 28, 11, 42, 31, 41, 50, 35, 25, 10, 15, 0, 24, 48, 30]
[48, 17, 39, 15, 47, 29, 7, 38, 13, 44, 38, 18, 0, 33, 32, 24, 0, 27, 15]
[11, 19, 18, 13, 32, 21, 48, 41, 12, 23, 1, 8, 26, 36, 0, 48, 27, 0, 13]
[35, 36, 34, 5, 7, 31, 11, 1, 44, 50, 12, 15, 43, 32, 16, 30, 15, 13, 0]
