N1,N2,...,Nx
[0, 12, 26, 1, 25, 32, 29, 5, 28, 18, 2, 13, 2, 0, 4, 5, 31, 45, 4, 18, 34, 42, 45, 46, 19, 22, 1, 39, 50, 50, 21, 50, 36, 2, 50, 42, 50, 0, 12, 17, 50, 37, 30, 3, 49, 37, 9, 32, 32, 27, 20, 13, 24, 17, 0, 3, 43, 19, 19, 30, 31, 37, 39, 47, 48, 27, 10, 10, 13, 34, 24, 32, 11, 35, 13, 34, 44, 40, 7, 20, 30, 33, 39, 46, 13, 35]
[12, 0, 49, 35, 36, 16, 10, 29, 30, 5, 16, 49, 31, 11, 37, 37, 16, 47, 22, 1, 8, 43, 31, 11, 24, 42, 30, 3, 28, 42, 50, 48, 30, 11, 45, 50, 0, 32, 18, 30, 10, 15, 27, 32, 48, 45, 47, 33, 12, 36, 43, 35, 39, 40, 16, 11, 21, 24, 11, 33, 27, 45, 26, 43, 9, 10, 39, 36, 6, 32, 7, 46, 18, 5, 18, 19, 30, 25, 9, 27, 35, 44, 12, 4, 50, 20]
[26, 49, 0, 34, 34, 8, 22, 2, 25, 7, 38, 23, 5, 18, 27, 16, 34, 4, 5, 48, 17, 20, 23, 11, 43, 24, 23, 42, 2, 24, 1, 23, 39, 43, 0, 14, 31, 35, 20, 18, 0, 50, 35, 21, 28, 46, 41, 39, 15, 20, 0, 33, 32, 4, 25, 33, 48, 31, 30, 6, 34, 30, 38, 16, 38, 31, 17, 40, 10, 33, 19, 5, 43, 23, 21, 49, 48, 1, 25, 35, 11, 50, 41, 1, 25, 6]
[1, 35, 34, 0, 23, 21, 6, 40, 40, 37, 10, 19, 40, 0, 4, 45, 7, 37, 17, 21, 26, 19, 4, 11, 43, 8, 31, 36, 35, 18, 10, 11, 22, 48, 30, 18, 8, 18, 35, 19, 8, 0, 31, 27, 5, 5, 4, 48, 47, 0, 28, 21, 36, 21, 0, 28, 26, 43, 18, 44, 13, 36, 48, 8, 48, 47, 41, 34, 42, 39, 8, 27, 5, 37, 37, 11, 41, 47, 36, 36, 11, 38, 18, 31, 32, 43]
[25, 36, 34, 23, 0, 25, 26, 12, 22, 18, 35, 36, 1, 18, 32, 32, 33, 35, 24, 33, 2, 18, 30, 38, 48, 11, 5, 8, 35, 48, 14, 17, 49, 16, 0, 8, 39, 10, 35, 48, 48, 11, 2, 27, 4, 42, 17, 48, 15, 44, 36, 2, 19, 37, 22, 17, 43, 3, 14, 26, 14, 35, 1, 26, 19, 50, 42, 4, 29, 9, 31, 8, 17, 15, 28, 3, 36, 17, 32, 27, 5, 30, 27, 0, 21, 9]
[32, 16, 8, 21, 25, 0, 13, 11, 12, 24, 26, 46, 5, 41, 48, 28, 24, 0, 26, 1, 32, 10, 24, 23, 25, 48, 46, 41, 21, 40, 25, 18, 25, 43, 37, 43, 13, 45, 5, 45, 46, 41, 36, 30, 37, 43, 4, 41, 24, 14, 44, 26, 18, 46, 34, 46, 15, 19, 21, 4, 30, 17, 43, 26, 10, 34, 2, 28, 1, 21, 43, 0, 23, 8, 22, 7, 50, 16, 48, 6, 0, 36, 46, 47, 24, 5]
[29, 10, 22, 6, 26, 13, 0, 14, 40, 7, 22, 1, 44, 17, 48, 36, 19, 37, 28, 9, 37, 38, 6, 25, 30, 15, 4, 49, 18, 22, 40, 37, 36, 29, 24, 36, 43, 24, 3, 34, 40, 35, 46, 50, 12, 28, 48, 1, 26, 43, 0, 33, 6, 43, 43, 18, 46, 8, 0, 3, 22, 21, 19, 42, 29, 5, 12, 4, 41, 22, 28, 19, 40, 25, 45, 45, 12, 11, 45, 11, 13, 21, 14, 2, 5, 45]
[5, 29, 2, 40, 12, 11, 14, 0, 12, 30, 24, 18, 0, 47, 19, 12, 29, 45, 41, 2, 5, 25, 13, 22, 10, 11, 30, 15, 10, 46, 40, 19, 31, 30, 17, 45, 25, 22, 41, 13, 30, 13, 3, 5, 49, 1, 5, 8, 1, 11, 21, 18, 7, 25, 41, 25, 40, 27, 23, 36, 19, 8, 4, 19, 12, 22, 19, 16, 48, 15, 50, 11, 45, 28, 14, 41, 6, 42, 30, 14, 46, 43, 18, 30, 48, 31]
[28, 30, 25, 40, 22, 12, 40, 12, 0, 0, 39, 7, 21, 19, 33, 35, 1, 41, 22, 19, 46, 43, 1, 37, 43, 39, 50, 16, 11, 1, 48, 47, 17, 26, 27, 12, 45, 41, 25, 21, 14, 3, 6, 46, 22, 0, 29, 17, 22, 16, 30, 0, 42, 44, 35, 21, 14, 31, 35, 26, 5, 27, 4, 45, 36, 12, 47, 6, 8, 0, 44, 19, 21, 4, 5, 0, 17, 46, 24, 26, 28, 28, 8, 46, 21, 9]
[18, 5, 7, 37, 18, 24, 7, 30, 0, 0, 48, 23, 15, 48, 2, 41, 4, 22, 0, 48, 6, 30, 28, 4, 49, 0, 39, 29, 16, 38, 48, 22, 6, 4, 30, 17, 43, 39, 48, 46, 34, 38, 29, 5, 28, 32, 49, 20, 42, 6, 2, 3, 49, 10, 19, 9, 33, 11, 46, 25, 45, 25, 27, 14, 8, 44, 40, 8, 32, 37, 28, 44, 41, 11, 14, 4, 17, 34, 13, 34, 15, 24, 47, 11, 28, 7]
[2, 16, 38, 10, 35, 26, 22, 24, 39, 48, 0, 34, 4, 42, 16, 37, 41, 37, 4, 16, 50, 38, 1, 31, 17, 23, 19, 39, 12, 4, 37, 10, 6, 47, 39, 5, 46, 49, 30, 19, 8, 46, 21, 8, 11, 47, 21, 12, 50, 0, 13, 13, 49, 33, 5, 16, 35, 27, 0, 6, 44, 5, 25, 12, 48, 46, 14, 21, 31, 18, 45, 20, 17, 42, 16, 20, 10, 45, 23, 4, 34, 22, 32, 24, 25, 24]
[13, 49, 23, 19, 36, 46, 1, 18, 7, 23, 34, 0, 16, 41, 35, 42, 17, 38, 6, 41, 22, 9, 50, 29, 40, 4, 11, 49, 44, 3, 8, 49, 40, 21, 15, 40, 44, 7, 7, 6, 14, 0, 47, 12, 28, 26, 14, 21, 15, 37, 29, 37, 11, 4, 36, 22, 0, 45, 16, 23, 6, 8, 36, 19, 48, 34, 21, 7, 37, 0, 16, 45, 16, 14, 41, 34, 32, 29, 19, 21, 10, 30, 40, 16, 16, 26]
[2, 31, 5, 40, 1, 5, 44, 0, 21, 15, 4, 16, 0, 47, 50, 40, 3, 29, 49, 47, 44, 39, 15, 30, 44, 50, 6, 46, 5, 30, 39, 27, 21, 11, 11, 45, 33, 42, 43, 10, 18, 39, 6, 24, 40, 25, 41, 47, 36, 42, 22, 46, 50, 22, 14, 37, 25, 9, 33, 42, 10, 4, 10, 42, 1, 47, 3, 9, 18, 16, 37, 37, 30, 26, 24, 9, 19, 9, 12, 5, 22, 35, 16, 38, 45, 18]
