N1,N2,...,Nx
[0, 14, 32, 1, 6, 24, 40, 37, 25, 15, 4, 10, 11, 2, 45, 32, 48, 16, 5, 45, 9, 20, 6, 42, 41, 3, 33, 24, 44, 18, 31, 23, 21, 16, 32, 30, 5, 15, 35, 48, 35, 42, 34, 11, 1, 20, 49, 19, 13]
[14, 0, 31, 27, 34, 40, 38, 8, 16, 49, 24, 18, 36, 42, 30, 41, 30, 32, 37, 36, 40, 40, 48, 25, 36, 12, 4, 49, 43, 4, 15, 27, 0, 32, 28, 16, 22, 33, 46, 30, 34, 41, 49, 17, 40, 14, 19, 35, 43]
[32, 31, 0, 48, 16, 25, 7, 44, 16, 8, 31, 4, 32, 47, 29, 49, 6, 28, 19, 12, 31, 9, 33, 31, 40, 39, 33, 25, 23, 38, 23, 25, 48, 45, 50, 36, 34, 37, 5, 22, 9, 27, 31, 49, 44, 18, 18, 42, 48]
[1, 27, 48, 0, 6, 39, 14, 7, 23, 12, 30, 6, 5, 34, 45, 31, 2, 34, 28, 21, 11, 2, 22, 8, 46, 13, 2, 35, 23, 25, 23, 39, 20, 25, 16, 13, 43, 50, 43, 7, 1, 22, 27, 13, 31, 40, 21, 32, 12]
[6, 34, 16, 6, 0, 35, 27, 11, 1, 39, 8, 11, 44, 33, 22, 49, 36, 29, 10, 42, 38, 39, 35, 46, 46, 36, 27, 29, 15, 47, 0, 34, 13, 39, 18, 3, 25, 16, 29, 18, 41, 45, 36, 39, 46, 26, 41, 25, 9]
[24, 40, 25, 39, 35, 0, 33, 10, 24, 21, 50, 50, 30, 7, 10, 39, 36, 22, 32, 43, 5, 35, 27, 22, 39, 1, 43, 24, 30, 29, 18, 18, 14, 27, 22, 19, 48, 37, 39, 12, 20, 47, 11, 3, 16, 6, 20, 37, 36]
[40, 38, 7, 14, 27, 33, 0, 14, 45, 43, 5, 27, 29, 3, 32, 38, 20, 42, 20, 5, 15, 42, 16, 23, 33, 34, 30, 11, 19, 9, 43, 12, 36, 45, 42, 39, 39, 23, 47, 36, 14, 14, 40, 22, 10, 47, 38, 0, 20]
[37, 8, 44, 7, 11, 10, 14, 0, 0, 25, 45, 6, 26, 7, 42, 25, 6, 10, 9, 36, 28, 26, 50, 14, 45, 1, 33, 32, 3, 10, 23, 29, 22, 22, 46, 33, 9, 45, 43, 9, 35, 39, 28, 41, 48, 28, 6, 20, 47]
[25, 16, 16, 23, 1, 24, 45, 0, 0, 11, 4, 39, 10, 16, 42, 1, 24, 7, 38, 14, 43, 34, 33, 25, 20, 1, 8, 31, 26, 43, 0, 0, 33, 50, 24, 37, 42, 38, 5, 7, 38, 45, 43, 20, 34, 16, 7, 40, 0]
[15, 49, 8, 12, 39, 21, 43, 25, 11, 0, 9, 9, 15, 38, 37, 3, 48, 21, 47, 18, 26, 6, 0, 26, 22, 31, 6, 38, 8, 22, 33, 22, 16, 38, 16, 36, 2, 41, 16, 34, 46, 32, 23, 11, 34, 20, 43, 2, 34]
[4, 24, 31, 30, 8, 50, 5, 45, 4, 9, 0, 49, 46, 0, 36, 27, 41, 26, 4, 23, 0, 18, 18, 34, 39, 37, 4, 46, 16, 27, 4, 25, 40, 42, 11, 0, 24, 35, 12, 3, 41, 42, 46, 44, 1, 2, 37, 27, 37]
[10, 18, 4, 6, 11, 50, 27, 6, 39, 9, 49, 0, 36, 30, 13, 4, 19, 43, 46, 50, 10, 47, 22, 44, 0, 30, 8, 9, 46, 27, 1, 33, 34, 32, 26, 41, 4, 10, 30, 31, 25, 14, 26, 43, 23, 41, 48, 11, 0]
[11, 36, 32, 5, 44, 30, 29, 26, 10, 15, 46, 36, 0, 47, 18, 29, 36, 7, 22, 13, 47, 34, 29, 12, 3, 16, 10, 23, 38, 30, 15, 31, 38, 8, 50, 15, 21, 9, 17, 17, 23, 46, 26, 18, 42, 12, 23, 5, 50]
[2, 42, 47, 34, 33, 7, 3, 7, 16, 38, 0, 30, 47, 0, 23, 16, 2, 31, 14, 16, 10, 33, 50, 22, 19, 3, 23, 48, 9, 39, 9, 19, 1, 47, 13, 34, 9, 22, 26, 46, 10, 37, 12, 6, 0, 29, 4, 7, 50]
[45, 30, 29, 45, 22, 10, 32, 42, 42, 37, 36, 13, 18, 23, 0, 47, 3, 8, 11, 31, 15, 10, 49, 2, 13, 16, 50, 27, 20, 45, 37, 38, 13, 40, 9, 35, 46, 8, 39, 4, 6, 6, 50, 7, 9, 48, 6, 5, 14]
[32, 41, 49, 31, 49, 39, 38, 25, 1, 3, 27, 4, 29, 16, 47, 0, 50, 8, 11, 1, 39, 31, 18, 48, 14, 10, 39, 35, 8, 16, 18, 20, 15, 13, 22, 4, 21, 16, 41, 45, 48, 36, 49, 11, 16, 3, 4, 25, 16]
[48, 30, 6, 2, 36, 36, 20, 6, 24, 48, 41, 19, 36, 2, 3, 50, 0, 38, 28, 7, 47, 43, 50, 10, 20, 34, 30, 1, 4, 32, 2, 48, 24, 15, 10, 46, 40, 14, 39, 2, 22, 11, 14, 42, 35, 3, 29, 24, 26]
[16, 32, 28, 34, 29, 22, 42, 10, 7, 21, 26, 43, 7, 31, 8, 8, 38, 0, 17, 45, 50, 45, 42, 25, 26, 43, 9, 47, 41, 7, 47, 17, 3, 13, 2, 5, 43, 46, 3, 8, 41, 39, 29, 8, 33, 4, 33, 18, 20]
