N1,N2,...,Nx
[0, 19, 35, 1, 39, 2, 3, 36, 46, 9, 24, 10, 24, 6, 33, 3, 29, 48, 50, 35, 6, 19, 22, 5, 0, 13, 46, 44, 50, 48, 2, 44, 9, 47, 14, 1, 33, 15, 39, 8, 28, 35, 3, 36, 9, 10, 2, 14, 27, 45, 31, 0, 13, 18, 41, 31, 13, 1, 6, 22, 18, 19, 17, 37, 11, 17, 50, 26, 18, 11, 3, 18, 12, 21, 34, 35, 13, 28, 22, 20, 46, 2, 8, 11]
[19, 0, 50, 21, 31, 29, 31, 25, 42, 16, 32, 44, 34, 22, 50, 17, 19, 10, 4, 48, 2, 21, 14, 33, 40, 35, 15, 41, 30, 9, 34, 35, 42, 48, 46, 14, 24, 18, 4, 40, 18, 1, 3, 39, 39, 4, 5, 17, 41, 33, 8, 35, 15, 34, 42, 43, 13, 29, 41, 25, 36, 4, 29, 28, 16, 28, 19, 37, 20, 6, 27, 5, 3, 26, 38, 2, 40, 42, 30, 49, 38, 32, 6, 10]
[35, 50, 0, 39, 28, 30, 2, 47, 7, 13, 25, 36, 27, 0, 50, 45, 17, 8, 1, 0, 15, 1, 28, 10, 27, 24, 36, 0, 23, 6, 23, 27, 36, 2, 45, 46, 25, 16, 48, 47, 1, 25, 20, 19, 45, 28, 15, 17, 39, 1, 0, 27, 35, 29, 19, 1, 13, 43, 46, 7, 10, 21, 36, 25, 11, 50, 5, 26, 27, 42, 14, 3, 50, 17, 35, 6, 31, 15, 13, 43, 6, 28, 34, 31]
[1, 21, 39, 0, 47, 30, 12, 6, 40, 15, 3, 46, 4, 26, 48, 5, 18, 7, 45, 21, 10, 20, 33, 1, 14, 14, 18, 17, 25, 42, 46, 6, 3, 5, 37, 3, 50, 5, 19, 33, 11, 23, 2, 24, 43, 25, 37, 17, 16, 30, 1, 0, 48, 41, 21, 21, 14, 4, 31, 44, 30, 48, 11, 5, 37, 20, 37, 26, 13, 32, 38, 45, 45, 20, 32, 50, 3, 27, 24, 19, 47, 11, 13, 12]
[39, 31, 28, 47, 0, 16, 12, 50, 14, 41, 9, 2, 44, 47, 13, 15, 15, 31, 8, 13, 15, 23, 29, 9, 49, 49, 13, 36, 7, 23, 26, 35, 31, 14, 1, 28, 22, 35, 1, 20, 18, 48, 3, 43, 32, 31, 42, 40, 13, 16, 34, 32, 45, 28, 33, 38, 32, 0, 19, 24, 14, 10, 44, 41, 42, 18, 49, 42, 27, 1, 0, 12, 37, 37, 13, 31, 18, 3, 16, 4, 40, 12, 41, 31]
[2, 29, 30, 30, 16, 0, 31, 3, 38, 31, 13, 27, 5, 39, 34, 28, 1, 27, 11, 4, 14, 9, 38, 14, 30, 37, 18, 6, 21, 25, 26, 30, 14, 43, 32, 5, 23, 27, 39, 22, 27, 10, 19, 3, 7, 40, 44, 50, 48, 50, 3, 29, 15, 32, 2, 27, 23, 18, 9, 34, 40, 24, 1, 20, 19, 49, 8, 49, 1, 32, 38, 25, 19, 40, 24, 3, 47, 38, 50, 1, 12, 22, 23, 22]
[3, 31, 2, 12, 12, 31, 0, 44, 36, 15, 11, 39, 12, 0, 29, 19, 7, 15, 49, 28, 1, 50, 39, 25, 34, 35, 31, 45, 16, 35, 26, 29, 7, 5, 23, 6, 39, 43, 36, 5, 25, 3, 25, 37, 34, 33, 37, 16, 35, 23, 47, 25, 33, 30, 12, 4, 1, 45, 3, 1, 6, 5, 39, 9, 16, 20, 21, 16, 41, 20, 8, 27, 15, 17, 19, 49, 40, 13, 0, 50, 42, 45, 33, 9]
[36, 25, 47, 6, 50, 3, 44, 0, 43, 1, 6, 18, 50, 18, 3, 28, 31, 26, 21, 28, 35, 42, 27, 10, 29, 20, 40, 30, 38, 10, 43, 10, 6, 45, 27, 29, 43, 34, 5, 22, 30, 43, 19, 0, 41, 38, 40, 41, 42, 23, 3, 25, 30, 28, 36, 18, 35, 34, 31, 0, 35, 6, 17, 31, 44, 14, 12, 9, 15, 19, 27, 44, 9, 31, 29, 43, 41, 34, 4, 37, 33, 0, 49, 32]
[46, 42, 7, 40, 14, 38, 36, 43, 0, 9, 26, 4, 21, 12, 0, 45, 0, 35, 30, 32, 0, 9, 8, 13, 19, 11, 17, 46, 18, 3, 13, 20, 40, 1, 35, 29, 49, 26, 12, 2, 21, 43, 22, 3, 29, 42, 6, 36, 40, 50, 43, 45, 14, 38, 38, 46, 16, 26, 6, 15, 4, 7, 19, 14, 38, 20, 0, 30, 8, 32, 12, 32, 12, 49, 12, 36, 23, 25, 11, 3, 21, 8, 23, 20]
[9, 16, 13, 15, 41, 31, 15, 1, 9, 0, 19, 0, 33, 17, 32, 19, 21, 24, 43, 33, 27, 49, 49, 7, 45, 6, 36, 15, 2, 1, 28, 14, 46, 28, 28, 2, 46, 49, 32, 15, 39, 24, 13, 8, 24, 37, 3, 50, 15, 44, 32, 20, 45, 33, 33, 38, 20, 36, 19, 24, 33, 47, 39, 41, 14, 36, 49, 6, 29, 37, 22, 36, 25, 11, 28, 43, 47, 47, 36, 31, 33, 33, 4, 36]
