N1,N2,...,Nx
[0, 17, 30, 25, 32, 35, 30, 44, 16, 31, 16, 45, 29, 42, 13, 14, 21, 49, 21, 22, 36, 27]
[17, 0, 38, 41, 31, 40, 26, 21, 23, 32, 27, 2, 24, 22, 2, 12, 30, 8, 15, 2, 44, 31]
[30, 38, 0, 41, 32, 10, 14, 45, 40, 25, 32, 3, 49, 20, 28, 41, 35, 40, 38, 48, 47, 2]
[25, 41, 41, 0, 19, 22, 35, 24, 19, 11, 21, 23, 10, 25, 22, 35, 20, 14, 5, 36, 42, 5]
[32, 31, 32, 19, 0, 5, 26, 40, 0, 23, 2, 45, 28, 22, 27, 13, 45, 23, 32, 4, 48, 15]
[35, 40, 10, 22, 5, 0, 36, 48, 11, 13, 25, 44, 19, 19, 31, 11, 8, 10, 12, 22, 31, 42]
[30, 26, 14, 35, 26, 36, 0, 50, 15, 31, 24, 23, 12, 16, 36, 5, 11, 30, 5, 44, 4, 46]
[44, 21, 45, 24, 40, 48, 50, 0, 14, 25, 38, 19, 47, 28, 25, 48, 47, 0, 35, 47, 50, 7]
[16, 23, 40, 19, 0, 11, 15, 14, 0, 6, 13, 13, 18, 27, 36, 36, 3, 31, 1, 11, 21, 48]
[31, 32, 25, 11, 23, 13, 31, 25, 6, 0, 48, 22, 26, 40, 26, 21, 0, 9, 24, 37, 3, 26]
[16, 27, 32, 21, 2, 25, 24, 38, 13, 48, 0, 23, 37, 44, 31, 31, 43, 49, 42, 45, 50, 50]
[45, 2, 3, 23, 45, 44, 23, 19, 13, 22, 23, 0, 44, 12, 6, 44, 8, 3, 37, 44, 14, 26]
[29, 24, 49, 10, 28, 19, 12, 47, 18, 26, 37, 44, 0, 19, 12, 40, 16, 8, 27, 48, 50, 29]
[42, 22, 20, 25, 22, 19, 16, 28, 27, 40, 44, 12, 19, 0, 3, 11, 29, 22, 24, 24, 42, 17]
[13, 2, 28, 22, 27, 31, 36, 25, 36, 26, 31, 6, 12, 3, 0, 21, 50, 17, 37, 5, 26, 39]
[14, 12, 41, 35, 13, 11, 5, 48, 36, 21, 31, 44, 40, 11, 21, 0, 50, 37, 11, 47, 42, 25]
[21, 30, 35, 20, 45, 8, 11, 47, 3, 0, 43, 8, 16, 29, 50, 50, 0, 15, 50, 11, 17, 29]
[49, 8, 40, 14, 23, 10, 30, 0, 31, 9, 49, 3, 8, 22, 17, 37, 15, 0, 42, 21, 18, 7]
[21, 15, 38, 5, 32, 12, 5, 35, 1, 24, 42, 37, 27, 24, 37, 11, 50, 42, 0, 33, 30, 35]
[22, 2, 48, 36, 4, 22, 44, 47, 11, 37, 45, 44, 48, 24, 5, 47, 11, 21, 33, 0, 7, 37]
[36, 44, 47, 42, 48, 31, 4, 50, 21, 3, 50, 14, 50, 42, 26, 42, 17, 18, 30, 7, 0, 15]
[27, 31, 2, 5, 15, 42, 46, 7, 48, 26, 50, 26, 29, 17, 39, 25, 29, 7, 35, 37, 15, 0]
