N1,N2,...,Nx
[0, 11, 50, 46, 41, 38, 21, 46, 28, 30, 43, 10, 14, 41, 2, 12, 14, 50, 10, 43, 28, 49, 17, 23, 25, 12, 2, 44, 42, 9, 25, 21, 24, 2, 36, 29, 33, 18, 38, 42, 31, 28, 44, 5, 28, 37, 37, 48, 23, 17, 39, 2, 42, 45, 2, 30, 13, 20, 46, 39, 17, 11, 14, 32, 6, 38, 8, 48, 37, 45, 43, 48, 16, 46]
[11, 0, 34, 20, 27, 45, 17, 7, 31, 3, 16, 2, 39, 38, 3, 38, 8, 37, 29, 12, 28, 11, 43, 17, 47, 20, 25, 20, 20, 7, 44, 46, 46, 23, 0, 34, 35, 18, 16, 19, 34, 44, 44, 8, 33, 28, 43, 44, 44, 14, 11, 29, 39, 35, 19, 18, 23, 19, 39, 50, 11, 45, 45, 39, 15, 3, 33, 8, 8, 43, 38, 11, 29, 25]
[50, 34, 0, 34, 50, 29, 8, 50, 16, 37, 1, 50, 38, 1, 43, 33, 34, 43, 30, 21, 26, 14, 26, 12, 0, 27, 29, 42, 47, 33, 44, 41, 38, 31, 49, 6, 0, 23, 42, 48, 29, 10, 33, 33, 16, 9, 22, 14, 46, 45, 8, 11, 6, 48, 17, 50, 41, 44, 23, 23, 36, 16, 43, 49, 32, 46, 39, 32, 50, 28, 37, 28, 35, 12]
[46, 20, 34, 0, 7, 13, 2, 25, 12, 13, 2, 48, 47, 46, 10, 17, 16, 30, 1, 19, 24, 10, 40, 31, 15, 11, 48, 14, 7, 42, 5, 38, 24, 28, 4, 43, 29, 43, 2, 33, 34, 39, 32, 36, 21, 8, 46, 12, 38, 43, 22, 12, 35, 20, 39, 21, 20, 5, 14, 39, 31, 38, 25, 22, 44, 11, 46, 29, 20, 19, 16, 23, 10, 22]
[41, 27, 50, 7, 0, 3, 30, 30, 50, 13, 28, 48, 49, 23, 8, 4, 36, 10, 14, 47, 0, 50, 11, 48, 30, 18, 9, 35, 0, 47, 2, 50, 9, 44, 7, 13, 5, 44, 21, 38, 26, 5, 39, 23, 11, 0, 14, 15, 17, 27, 6, 14, 32, 0, 20, 20, 48, 21, 16, 6, 15, 18, 5, 48, 45, 12, 9, 5, 20, 40, 40, 36, 42, 48]
[38, 45, 29, 13, 3, 0, 36, 11, 42, 48, 42, 29, 49, 34, 7, 46, 6, 4, 44, 19, 8, 32, 10, 8, 9, 12, 38, 16, 32, 41, 16, 15, 38, 34, 11, 42, 11, 40, 21, 21, 19, 18, 3, 14, 38, 18, 23, 40, 27, 35, 38, 15, 21, 38, 50, 50, 2, 15, 44, 43, 45, 13, 48, 15, 49, 40, 40, 20, 2, 48, 8, 40, 35, 8]
[21, 17, 8, 2, 30, 36, 0, 36, 20, 22, 38, 36, 27, 1, 27, 2, 29, 13, 44, 6, 47, 12, 17, 1, 6, 26, 9, 50, 34, 20, 34, 18, 10, 17, 23, 46, 18, 42, 42, 18, 35, 23, 15, 46, 14, 5, 32, 49, 50, 28, 14, 43, 35, 48, 24, 45, 48, 14, 20, 37, 50, 5, 41, 8, 36, 1, 7, 2, 4, 45, 38, 0, 23, 45]
[46, 7, 50, 25, 30, 11, 36, 0, 26, 46, 33, 14, 36, 21, 13, 24, 16, 31, 18, 36, 21, 48, 4, 16, 13, 3, 14, 21, 35, 29, 10, 36, 13, 19, 13, 28, 8, 44, 20, 2, 35, 23, 7, 3, 9, 21, 48, 38, 29, 25, 33, 25, 21, 20, 41, 42, 50, 10, 16, 25, 15, 13, 38, 24, 23, 41, 5, 40, 45, 0, 30, 48, 46, 29]
[28, 31, 16, 12, 50, 42, 20, 26, 0, 1, 32, 46, 48, 25, 24, 35, 14, 46, 25, 31, 1, 0, 44, 0, 1, 2, 7, 29, 15, 46, 41, 43, 34, 20, 19, 28, 50, 0, 45, 6, 6, 37, 47, 43, 5, 41, 37, 17, 26, 43, 28, 0, 4, 3, 2, 30, 41, 0, 37, 41, 21, 10, 3, 2, 39, 43, 28, 23, 26, 22, 29, 34, 2, 10]
[30, 3, 37, 13, 13, 48, 22, 46, 1, 0, 35, 2, 40, 37, 33, 20, 0, 1, 33, 22, 4, 3, 20, 10, 15, 23, 36, 7, 18, 7, 14, 16, 37, 37, 25, 7, 4, 14, 13, 35, 27, 3, 18, 12, 21, 4, 6, 40, 36, 31, 15, 48, 9, 10, 44, 34, 47, 34, 32, 34, 13, 22, 43, 36, 29, 3, 1, 43, 18, 44, 15, 45, 38, 44]
[43, 16, 1, 2, 28, 42, 38, 33, 32, 35, 0, 16, 8, 3, 2, 35, 17, 12, 14, 15, 33, 4, 38, 32, 35, 45, 14, 25, 45, 46, 16, 5, 7, 20, 33, 37, 36, 37, 27, 21, 21, 41, 42, 1, 16, 33, 36, 24, 18, 21, 32, 12, 10, 32, 26, 23, 23, 37, 18, 43, 22, 40, 38, 20, 42, 21, 8, 28, 24, 37, 13, 32, 22, 44]
[10, 2, 50, 48, 48, 29, 36, 14, 46, 2, 16, 0, 21, 36, 2, 5, 25, 40, 20, 49, 45, 46, 1, 46, 49, 34, 50, 2, 32, 0, 23, 1, 4, 26, 28, 2, 0, 0, 40, 32, 22, 33, 10, 31, 25, 38, 42, 1, 24, 22, 19, 16, 28, 32, 11, 22, 8, 29, 44, 37, 43, 11, 45, 26, 23, 45, 6, 41, 42, 1, 10, 27, 45, 48]
[14, 39, 38, 47, 49, 49, 27, 36, 48, 40, 8, 21, 0, 19, 50, 16, 21, 13, 46, 10, 35, 37, 33, 39, 45, 7, 37, 20, 43, 49, 33, 37, 35, 20, 38, 6, 15, 37, 20, 18, 3, 8, 28, 20, 8, 33, 32, 19, 32, 27, 48, 21, 23, 0, 10, 28, 9, 4, 8, 43, 3, 24, 38, 14, 20, 35, 15, 31, 5, 47, 18, 28, 5, 7]
[41, 38, 1, 46, 23, 34, 1, 21, 25, 37, 3, 36, 19, 0, 49, 5, 42, 15, 28, 7, 31, 44, 36, 32, 25, 27, 49, 39, 3, 42, 43, 16, 23, 27, 8, 43, 43, 44, 34, 24, 29, 9, 23, 41, 36, 34, 29, 45, 45, 24, 28, 24, 32, 45, 14, 28, 43, 1, 49, 50, 30, 34, 19, 14, 2, 48, 14, 15, 13, 35, 38, 50, 21, 23]
[2, 3, 43, 10, 8, 7, 27, 13, 24, 33, 2, 2, 50, 49, 0, 27, 25, 45, 32, 28, 4, 8, 39, 44, 37, 34, 32, 19, 5, 20, 14, 36, 11, 50, 5, 45, 47, 22, 50, 5, 37, 20, 32, 17, 42, 2, 23, 40, 28, 41, 8, 50, 6, 27, 44, 25, 43, 38, 15, 39, 0, 31, 8, 36, 29, 42, 21, 27, 39, 10, 32, 25, 8, 44]
[12, 38, 33, 17, 4, 46, 2, 24, 35, 20, 35, 5, 16, 5, 27, 0, 12, 2, 38, 43, 5, 10, 13, 20, 33, 23, 7, 46, 40, 30, 16, 1, 34, 33, 49, 17, 17, 5, 25, 13, 14, 14, 31, 2, 0, 49, 25, 23, 21, 28, 26, 33, 10, 37, 46, 9, 19, 7, 3, 20, 3, 44, 20, 4, 32, 7, 30, 21, 48, 17, 37, 2, 40, 19]
[14, 8, 34, 16, 36, 6, 29, 16, 14, 0, 17, 25, 21, 42, 25, 12, 0, 45, 50, 42, 24, 34, 12, 12, 15, 49, 33, 42, 29, 2, 29, 23, 34, 30, 22, 24, 27, 28, 20, 4, 36, 4, 23, 7, 10, 32, 34, 29, 21, 1, 29, 28, 31, 43, 20, 1, 31, 14, 10, 34, 14, 27, 12, 0, 48, 43, 15, 9, 40, 20, 10, 44, 31, 31]
[50, 37, 43, 30, 10, 4, 13, 31, 46, 1, 12, 40, 13, 15, 45, 2, 45, 0, 35, 45, 47, 25, 7, 2, 30, 15, 27, 7, 12, 40, 27, 18, 0, 12, 45, 10, 10, 32, 40, 22, 50, 42, 29, 19, 10, 20, 13, 14, 2, 18, 11, 32, 0, 26, 36, 38, 39, 13, 18, 41, 20, 30, 13, 21, 30, 3, 14, 29, 45, 7, 12, 0, 40, 6]
[10, 29, 30, 1, 14, 44, 44, 18, 25, 33, 14, 20, 46, 28, 32, 38, 50, 35, 0, 21, 44, 6, 46, 45, 6, 47, 45, 43, 39, 19, 35, 39, 20, 26, 4, 50, 8, 7, 36, 31, 2, 15, 38, 30, 4, 31, 38, 25, 17, 45, 48, 44, 11, 42, 29, 6, 13, 22, 15, 14, 35, 10, 26, 4, 43, 17, 1, 31, 28, 28, 24, 20, 30, 2]
[43, 12, 21, 19, 47, 19, 6, 36, 31, 22, 15, 49, 10, 7, 28, 43, 42, 45, 21, 0, 22, 8, 14, 45, 21, 0, 1, 22, 43, 20, 42, 33, 33, 24, 0, 20, 10, 14, 9, 33, 3, 49, 35, 37, 6, 13, 27, 15, 3, 12, 26, 17, 22, 27, 35, 4, 8, 20, 4, 28, 2, 45, 10, 2, 36, 29, 48, 1, 35, 38, 5, 0, 47, 6]
[28, 28, 26, 24, 0, 8, 47, 21, 1, 4, 33, 45, 35, 31, 4, 5, 24, 47, 44, 22, 0, 16, 43, 37, 32, 29, 42, 36, 2, 31, 46, 6, 23, 34, 49, 45, 46, 26, 37, 2, 14, 16, 32, 41, 47, 36, 18, 34, 39, 15, 8, 47, 29, 22, 49, 38, 1, 40, 42, 37, 12, 18, 31, 16, 49, 20, 22, 21, 36, 26, 50, 47, 18, 50]
[49, 11, 14, 10, 50, 32, 12, 48, 0, 3, 4, 46, 37, 44, 8, 10, 34, 25, 6, 8, 16, 0, 34, 12, 6, 25, 18, 24, 24, 44, 3, 20, 34, 40, 48, 48, 11, 34, 6, 30, 0, 31, 39, 1, 24, 3, 14, 47, 44, 5, 20, 35, 10, 36, 50, 0, 1, 32, 4, 26, 23, 28, 31, 45, 26, 0, 2, 27, 35, 20, 35, 36, 1, 40]
[17, 43, 26, 40, 11, 10, 17, 4, 44, 20, 38, 1, 33, 36, 39, 13, 12, 7, 46, 14, 43, 34, 0, 39, 19, 6, 31, 42, 40, 26, 5, 49, 8, 8, 43, 16, 1, 24, 23, 12, 40, 22, 37, 23, 49, 1, 17, 45, 20, 17, 43, 20, 9, 7, 46, 23, 4, 7, 45, 0, 17, 10, 39, 7, 32, 38, 3, 4, 10, 48, 38, 22, 38, 36]
