N1,N2,...,Nx
[0, 19, 49, 9, 41, 44, 36, 29, 49, 29, 44, 44, 35, 18, 37, 20, 23, 21, 50, 43, 2, 18, 16, 42, 28, 6, 35, 0, 29, 7, 49, 36, 30, 48, 27, 24, 33, 25, 48, 38, 34, 35, 1, 49, 15, 38, 29, 22, 8, 13, 9, 37, 44, 40, 48]
[19, 0, 29, 48, 8, 28, 32, 30, 3, 29, 30, 27, 48, 19, 15, 44, 29, 24, 4, 47, 22, 32, 41, 8, 12, 26, 25, 46, 12, 4, 13, 36, 27, 1, 45, 45, 40, 32, 1, 32, 1, 44, 16, 50, 42, 18, 48, 39, 41, 45, 9, 24, 13, 25, 9]
[49, 29, 0, 6, 1, 4, 23, 40, 19, 34, 5, 12, 6, 31, 25, 36, 50, 16, 21, 31, 25, 25, 50, 14, 40, 30, 10, 5, 24, 6, 42, 10, 22, 22, 18, 50, 5, 41, 50, 17, 31, 36, 50, 15, 26, 18, 28, 27, 33, 34, 15, 45, 1, 24, 45]
[9, 48, 6, 0, 3, 0, 47, 7, 40, 27, 37, 47, 40, 28, 17, 23, 40, 5, 6, 7, 31, 44, 40, 43, 28, 18, 10, 7, 47, 19, 6, 17, 36, 30, 19, 6, 45, 11, 36, 43, 40, 18, 23, 32, 7, 49, 37, 34, 5, 12, 16, 13, 38, 36, 10]
[41, 8, 1, 3, 0, 19, 13, 37, 0, 26, 34, 34, 48, 48, 37, 22, 41, 15, 39, 31, 11, 42, 9, 13, 50, 1, 7, 50, 48, 13, 25, 36, 49, 50, 33, 39, 37, 45, 20, 0, 27, 19, 0, 49, 37, 43, 17, 27, 42, 14, 50, 12, 38, 4, 26]
[44, 28, 4, 0, 19, 0, 6, 40, 42, 32, 30, 20, 34, 3, 27, 28, 34, 22, 36, 18, 11, 5, 36, 27, 28, 16, 26, 45, 34, 21, 23, 7, 50, 19, 18, 0, 19, 45, 47, 43, 12, 33, 18, 39, 35, 50, 0, 14, 37, 41, 33, 42, 10, 36, 18]
[36, 32, 23, 47, 13, 6, 0, 32, 23, 46, 41, 35, 7, 44, 16, 45, 29, 7, 32, 40, 7, 26, 30, 35, 50, 10, 48, 48, 17, 22, 45, 49, 33, 17, 42, 23, 48, 25, 21, 6, 2, 20, 13, 31, 36, 25, 13, 35, 3, 27, 29, 7, 19, 7, 13]
[29, 30, 40, 7, 37, 40, 32, 0, 7, 7, 50, 36, 1, 42, 15, 3, 47, 5, 24, 11, 3, 45, 27, 45, 16, 42, 49, 27, 13, 50, 7, 25, 9, 18, 25, 33, 49, 30, 24, 1, 23, 35, 2, 8, 13, 9, 27, 19, 36, 29, 37, 12, 48, 3, 32]
[49, 3, 19, 40, 0, 42, 23, 7, 0, 31, 6, 13, 30, 19, 41, 48, 31, 2, 14, 44, 29, 9, 42, 7, 8, 4, 14, 46, 0, 16, 9, 41, 20, 9, 6, 48, 39, 13, 2, 2, 39, 4, 50, 3, 44, 6, 20, 18, 47, 42, 21, 42, 45, 39, 12]
[29, 29, 34, 27, 26, 32, 46, 7, 31, 0, 44, 42, 9, 43, 10, 32, 7, 2, 28, 13, 46, 29, 11, 30, 19, 47, 38, 11, 21, 21, 24, 15, 2, 42, 36, 36, 13, 31, 7, 23, 38, 24, 29, 7, 29, 15, 21, 25, 22, 24, 45, 20, 12, 34, 37]
[44, 30, 5, 37, 34, 30, 41, 50, 6, 44, 0, 50, 0, 7, 46, 39, 27, 1, 43, 34, 14, 0, 23, 28, 30, 50, 37, 38, 3, 31, 29, 26, 27, 34, 0, 39, 25, 33, 29, 28, 37, 37, 10, 27, 30, 40, 28, 50, 31, 42, 41, 50, 9, 44, 25]
