N1,N2,...,Nx
[0, 6, 10, 6, 29, 10, 33, 28, 10, 21, 14, 47, 21, 32, 32, 4, 22, 44, 46, 37, 29, 45, 1, 0, 40, 40, 37, 0, 1, 19, 45, 13, 48, 4, 34, 36, 43, 15, 0, 1, 28, 3, 34, 6, 39, 4, 23, 14, 29, 47, 45, 1, 39, 32, 49, 26, 8, 46, 19, 46, 39, 38, 29, 8, 12, 16, 9, 7, 49, 4, 15, 29, 12, 37, 28, 5, 20, 49, 5, 34, 21, 41, 36, 41, 47, 8, 3, 26, 46, 45, 4, 6, 16]
[6, 0, 26, 41, 42, 49, 33, 8, 41, 12, 25, 47, 5, 11, 20, 23, 21, 31, 13, 7, 14, 25, 5, 38, 5, 0, 43, 11, 45, 40, 32, 32, 44, 20, 4, 20, 8, 12, 22, 35, 20, 30, 20, 36, 0, 26, 11, 16, 17, 39, 34, 25, 37, 19, 43, 8, 2, 20, 16, 26, 40, 0, 42, 16, 12, 48, 10, 15, 32, 26, 23, 19, 31, 37, 23, 44, 10, 35, 8, 42, 49, 17, 14, 45, 50, 42, 30, 11, 0, 50, 25, 23, 36]
[10, 26, 0, 14, 9, 31, 23, 28, 10, 20, 43, 44, 39, 21, 11, 25, 36, 36, 9, 5, 32, 39, 33, 36, 12, 8, 27, 43, 9, 39, 18, 41, 41, 22, 20, 33, 10, 19, 49, 38, 16, 45, 37, 26, 10, 35, 25, 48, 11, 26, 25, 25, 8, 0, 0, 27, 37, 33, 27, 31, 24, 20, 0, 17, 7, 25, 36, 30, 39, 14, 33, 7, 25, 32, 21, 27, 13, 10, 40, 33, 49, 13, 22, 28, 20, 34, 7, 24, 32, 21, 28, 18, 31]
[6, 41, 14, 0, 8, 16, 16, 27, 3, 6, 43, 32, 37, 33, 13, 36, 37, 33, 42, 2, 5, 7, 9, 3, 2, 47, 50, 18, 3, 29, 11, 3, 9, 50, 19, 16, 10, 36, 12, 29, 30, 4, 12, 3, 0, 28, 36, 12, 48, 49, 27, 36, 2, 50, 6, 46, 47, 13, 49, 22, 25, 10, 17, 1, 43, 32, 43, 31, 47, 6, 28, 9, 39, 17, 34, 29, 20, 7, 20, 38, 46, 30, 7, 11, 21, 14, 32, 4, 14, 31, 34, 17, 14]
[29, 42, 9, 8, 0, 33, 28, 20, 42, 30, 49, 43, 34, 20, 5, 6, 12, 5, 9, 48, 42, 4, 35, 4, 7, 10, 41, 32, 0, 18, 10, 14, 41, 6, 25, 10, 47, 7, 13, 10, 42, 2, 25, 9, 0, 40, 15, 37, 22, 46, 45, 47, 30, 18, 4, 8, 21, 20, 32, 35, 43, 15, 37, 40, 22, 43, 16, 19, 45, 29, 30, 35, 14, 36, 47, 2, 25, 33, 48, 43, 22, 34, 39, 27, 20, 44, 16, 49, 17, 37, 20, 14, 4]
[10, 49, 31, 16, 33, 0, 19, 24, 37, 10, 38, 23, 29, 47, 13, 50, 7, 28, 46, 25, 31, 26, 25, 21, 15, 35, 40, 40, 1, 43, 6, 36, 28, 45, 50, 46, 50, 38, 24, 27, 31, 0, 3, 8, 38, 34, 4, 17, 22, 32, 16, 37, 8, 48, 24, 48, 28, 23, 50, 50, 23, 21, 6, 43, 9, 21, 2, 23, 25, 24, 46, 48, 0, 11, 9, 21, 39, 11, 19, 29, 24, 50, 10, 43, 11, 38, 25, 10, 23, 6, 48, 1, 19]
[33, 33, 23, 16, 28, 19, 0, 47, 7, 1, 29, 48, 3, 0, 45, 13, 50, 0, 30, 31, 50, 8, 14, 10, 48, 27, 4, 38, 1, 29, 24, 35, 28, 27, 6, 36, 16, 14, 17, 17, 8, 29, 46, 37, 50, 15, 45, 43, 33, 47, 26, 43, 0, 28, 45, 25, 10, 14, 50, 11, 14, 44, 10, 2, 18, 8, 33, 14, 1, 44, 1, 19, 34, 6, 20, 6, 32, 32, 16, 43, 9, 5, 11, 35, 17, 10, 18, 22, 30, 22, 28, 5, 32]
[28, 8, 28, 27, 20, 24, 47, 0, 44, 13, 19, 27, 2, 6, 25, 49, 38, 8, 24, 12, 10, 18, 13, 43, 22, 29, 45, 33, 34, 45, 8, 20, 28, 35, 14, 14, 0, 29, 20, 12, 22, 35, 1, 45, 9, 3, 32, 41, 30, 12, 33, 8, 22, 18, 23, 41, 16, 46, 49, 23, 42, 35, 10, 38, 9, 8, 1, 1, 29, 4, 48, 45, 23, 27, 36, 32, 29, 32, 42, 40, 25, 43, 8, 12, 48, 19, 18, 1, 29, 19, 15, 7, 42]
[10, 41, 10, 3, 42, 37, 7, 44, 0, 25, 24, 11, 22, 23, 13, 25, 21, 50, 27, 18, 15, 4, 2, 33, 11, 30, 18, 26, 39, 12, 5, 22, 42, 44, 17, 3, 46, 13, 32, 27, 50, 43, 23, 21, 47, 44, 48, 38, 21, 16, 6, 35, 39, 27, 37, 14, 21, 37, 18, 31, 46, 39, 8, 8, 33, 49, 7, 30, 0, 33, 43, 15, 45, 46, 25, 43, 12, 25, 35, 21, 33, 19, 48, 30, 28, 35, 34, 1, 39, 45, 28, 33, 38]
[21, 12, 20, 6, 30, 10, 1, 13, 25, 0, 47, 4, 15, 0, 48, 1, 42, 20, 9, 7, 46, 39, 20, 39, 15, 0, 27, 12, 47, 32, 11, 20, 20, 46, 27, 43, 19, 16, 1, 10, 26, 42, 8, 19, 0, 14, 29, 25, 2, 5, 46, 38, 16, 13, 8, 24, 30, 19, 18, 28, 1, 9, 33, 30, 7, 28, 12, 0, 26, 24, 50, 16, 44, 7, 18, 45, 38, 34, 0, 30, 35, 21, 2, 50, 13, 5, 9, 1, 19, 19, 35, 29, 18]
