N1,N2,...,Nx
[0, 41, 42, 22, 32, 8, 45, 6, 39, 39, 41, 13, 50, 19, 36, 33, 49, 40, 18, 48, 5, 45, 7, 37, 33, 4, 23, 12, 48, 37, 14, 48, 25, 13, 33, 36, 33, 44, 20, 41, 6, 2, 29]
[41, 0, 24, 31, 33, 42, 5, 28, 10, 22, 13, 42, 45, 44, 1, 17, 33, 7, 11, 0, 22, 36, 40, 35, 43, 7, 40, 22, 4, 44, 26, 26, 0, 33, 39, 2, 37, 5, 42, 46, 15, 9, 27]
[42, 24, 0, 14, 38, 37, 32, 34, 5, 42, 28, 20, 42, 34, 19, 47, 2, 17, 46, 38, 30, 48, 21, 1, 48, 21, 7, 40, 21, 31, 40, 39, 20, 25, 44, 0, 10, 48, 46, 41, 34, 0, 45]
[22, 31, 14, 0, 9, 25, 9, 24, 5, 28, 0, 44, 39, 13, 28, 12, 41, 15, 38, 45, 23, 31, 33, 16, 30, 47, 21, 38, 29, 29, 46, 12, 48, 28, 38, 2, 35, 7, 48, 16, 3, 32, 26]
[32, 33, 38, 9, 0, 50, 0, 29, 26, 48, 32, 18, 22, 1, 38, 26, 35, 9, 32, 25, 8, 18, 18, 6, 31, 31, 47, 7, 48, 15, 29, 48, 48, 16, 14, 25, 17, 35, 29, 31, 20, 10, 12]
[8, 42, 37, 25, 50, 0, 5, 30, 14, 26, 0, 13, 37, 2, 8, 3, 31, 9, 36, 0, 33, 45, 13, 9, 33, 50, 36, 33, 50, 50, 31, 1, 42, 43, 11, 28, 37, 17, 28, 39, 10, 10, 22]
[45, 5, 32, 9, 0, 5, 0, 48, 45, 49, 20, 29, 9, 3, 30, 48, 4, 7, 18, 5, 30, 13, 34, 11, 39, 4, 49, 6, 1, 14, 45, 45, 28, 39, 33, 10, 4, 35, 4, 38, 48, 45, 26]
[6, 28, 34, 24, 29, 30, 48, 0, 20, 23, 38, 31, 12, 17, 41, 42, 4, 36, 31, 37, 7, 41, 38, 48, 1, 12, 33, 8, 50, 43, 21, 6, 25, 14, 41, 36, 12, 19, 43, 10, 24, 42, 44]
[39, 10, 5, 5, 26, 14, 45, 20, 0, 27, 1, 19, 35, 42, 50, 50, 4, 24, 31, 6, 34, 10, 22, 25, 6, 47, 38, 40, 13, 28, 36, 25, 18, 24, 0, 4, 0, 15, 38, 4, 3, 36, 9]
[39, 22, 42, 28, 48, 26, 49, 23, 27, 0, 1, 37, 2, 6, 26, 20, 32, 29, 43, 12, 14, 23, 10, 49, 50, 40, 21, 44, 35, 32, 5, 28, 43, 10, 25, 25, 45, 12, 16, 1, 24, 38, 41]
[41, 13, 28, 0, 32, 0, 20, 38, 1, 1, 0, 25, 43, 25, 30, 42, 27, 22, 25, 15, 48, 41, 13, 7, 36, 29, 17, 16, 30, 24, 10, 42, 5, 1, 12, 20, 9, 38, 21, 42, 19, 12, 21]
[13, 42, 20, 44, 18, 13, 29, 31, 19, 37, 25, 0, 43, 43, 23, 41, 46, 21, 38, 5, 47, 35, 36, 33, 48, 3, 39, 26, 50, 34, 3, 49, 12, 24, 42, 9, 34, 26, 3, 3, 22, 37, 24]
[50, 45, 42, 39, 22, 37, 9, 12, 35, 2, 43, 43, 0, 47, 18, 28, 17, 35, 10, 29, 14, 32, 8, 6, 4, 41, 18, 13, 9, 31, 49, 46, 0, 10, 42, 4, 34, 46, 24, 0, 2, 28, 20]
[19, 44, 34, 13, 1, 2, 3, 17, 42, 6, 25, 43, 47, 0, 42, 41, 46, 5, 1, 31, 7, 49, 9, 22, 17, 3, 26, 38, 42, 31, 13, 10, 20, 29, 42, 31, 18, 17, 41, 42, 47, 5, 12]
[36, 1, 19, 28, 38, 8, 30, 41, 50, 26, 30, 23, 18, 42, 0, 10, 29, 14, 43, 19, 50, 12, 50, 46, 43, 44, 13, 49, 7, 34, 2, 25, 22, 10, 22, 49, 30, 29, 33, 47, 42, 5, 17]
[33, 17, 47, 12, 26, 3, 48, 42, 50, 20, 42, 41, 28, 41, 10, 0, 2, 3, 32, 44, 7, 48, 24, 38, 4, 2, 46, 3, 11, 21, 46, 25, 45, 36, 39, 41, 43, 34, 19, 25, 49, 20, 34]
[49, 33, 2, 41, 35, 31, 4, 4, 4, 32, 27, 46, 17, 46, 29, 2, 0, 34, 30, 38, 26, 2, 17, 3, 9, 31, 42, 21, 38, 24, 35, 39, 35, 50, 37, 31, 47, 29, 42, 50, 11, 24, 50]
[40, 7, 17, 15, 9, 9, 7, 36, 24, 29, 22, 21, 35, 5, 14, 3, 34, 0, 25, 3, 42, 50, 33, 6, 8, 47, 1, 34, 14, 10, 14, 49, 15, 11, 28, 13, 9, 18, 9, 11, 14, 20, 3]
[18, 11, 46, 38, 32, 36, 18, 31, 31, 43, 25, 38, 10, 1, 43, 32, 30, 25, 0, 10, 36, 9, 8, 25, 13, 49, 3, 32, 2, 22, 5, 23, 30, 28, 5, 16, 19, 13, 43, 43, 40, 43, 5]
[48, 0, 38, 45, 25, 0, 5, 37, 6, 12, 15, 5, 29, 31, 19, 44, 38, 3, 10, 0, 35, 9, 2, 6, 12, 49, 12, 30, 34, 4, 42, 46, 17, 0, 24, 48, 30, 36, 2, 35, 18, 20, 33]
[5, 22, 30, 23, 8, 33, 30, 7, 34, 14, 48, 47, 14, 7, 50, 7, 26, 42, 36, 35, 0, 33, 16, 10, 34, 37, 10, 49, 44, 17, 28, 0, 31, 37, 4, 7, 1, 16, 42, 34, 4, 42, 43]
[45, 36, 48, 31, 18, 45, 13, 41, 10, 23, 41, 35, 32, 49, 12, 48, 2, 50, 9, 9, 33, 0, 15, 8, 13, 16, 43, 17, 36, 11, 49, 24, 31, 44, 40, 50, 0, 34, 46, 5, 47, 4, 0]
[7, 40, 21, 33, 18, 13, 34, 38, 22, 10, 13, 36, 8, 9, 50, 24, 17, 33, 8, 2, 16, 15, 0, 5, 3, 21, 3, 26, 34, 31, 45, 33, 5, 7, 9, 7, 8, 4, 4, 44, 29, 9, 30]
[37, 35, 1, 16, 6, 9, 11, 48, 25, 49, 7, 33, 6, 22, 46, 38, 3, 6, 25, 6, 10, 8, 5, 0, 32, 34, 13, 49, 0, 15, 17, 10, 48, 49, 36, 45, 18, 25, 46, 12, 42, 15, 4]
[33, 43, 48, 30, 31, 33, 39, 1, 6, 50, 36, 48, 4, 17, 43, 4, 9, 8, 13, 12, 34, 13, 3, 32, 0, 30, 27, 9, 40, 37, 48, 34, 17, 37, 50, 10, 5, 12, 49, 46, 45, 37, 3]
[4, 7, 21, 47, 31, 50, 4, 12, 47, 40, 29, 3, 41, 3, 44, 2, 31, 47, 49, 49, 37, 16, 21, 34, 30, 0, 41, 17, 43, 4, 25, 12, 13, 10, 50, 35, 45, 13, 4, 9, 6, 49, 40]
[23, 40, 7, 21, 47, 36, 49, 33, 38, 21, 17, 39, 18, 26, 13, 46, 42, 1, 3, 12, 10, 43, 3, 13, 27, 41, 0, 7, 43, 3, 43, 43, 16, 34, 37, 3, 39, 29, 32, 48, 34, 18, 24]
[12, 22, 40, 38, 7, 33, 6, 8, 40, 44, 16, 26, 13, 38, 49, 3, 21, 34, 32, 30, 49, 17, 26, 49, 9, 17, 7, 0, 8, 7, 30, 2, 22, 35, 5, 26, 39, 40, 45, 21, 46, 29, 36]
[48, 4, 21, 29, 48, 50, 1, 50, 13, 35, 30, 50, 9, 42, 7, 11, 38, 14, 2, 34, 44, 36, 34, 0, 40, 43, 43, 8, 0, 38, 23, 17, 46, 34, 10, 19, 45, 36, 12, 24, 8, 47, 12]
[37, 44, 31, 29, 15, 50, 14, 43, 28, 32, 24, 34, 31, 31, 34, 21, 24, 10, 22, 4, 17, 11, 31, 15, 37, 4, 3, 7, 38, 0, 34, 15, 46, 23, 12, 38, 30, 29, 37, 19, 6, 3, 47]
[14, 26, 40, 46, 29, 31, 45, 21, 36, 5, 10, 3, 49, 13, 2, 46, 35, 14, 5, 42, 28, 49, 45, 17, 48, 25, 43, 30, 23, 34, 0, 13, 46, 29, 36, 22, 16, 23, 49, 8, 11, 21, 46]
[48, 26, 39, 12, 48, 1, 45, 6, 25, 28, 42, 49, 46, 10, 25, 25, 39, 49, 23, 46, 0, 24, 33, 10, 34, 12, 43, 2, 17, 15, 13, 0, 49, 30, 9, 34, 5, 12, 25, 43, 27, 49, 18]
[25, 0, 20, 48, 48, 42, 28, 25, 18, 43, 5, 12, 0, 20, 22, 45, 35, 15, 30, 17, 31, 31, 5, 48, 17, 13, 16, 22, 46, 46, 46, 49, 0, 38, 26, 32, 21, 34, 30, 31, 37, 5, 8]
[13, 33, 25, 28, 16, 43, 39, 14, 24, 10, 1, 24, 10, 29, 10, 36, 50, 11, 28, 0, 37, 44, 7, 49, 37, 10, 34, 35, 34, 23, 29, 30, 38, 0, 13, 12, 18, 25, 48, 47, 5, 28, 50]
[33, 39, 44, 38, 14, 11, 33, 41, 0, 25, 12, 42, 42, 42, 22, 39, 37, 28, 5, 24, 4, 40, 9, 36, 50, 50, 37, 5, 10, 12, 36, 9, 26, 13, 0, 37, 35, 44, 26, 4, 46, 1, 1]
[36, 2, 0, 2, 25, 28, 10, 36, 4, 25, 20, 9, 4, 31, 49, 41, 31, 13, 16, 48, 7, 50, 7, 45, 10, 35, 3, 26, 19, 38, 22, 34, 32, 12, 37, 0, 47, 36, 6, 16, 9, 15, 0]
[33, 37, 10, 35, 17, 37, 4, 12, 0, 45, 9, 34, 34, 18, 30, 43, 47, 9, 19, 30, 1, 0, 8, 18, 5, 45, 39, 39, 45, 30, 16, 5, 21, 18, 35, 47, 0, 22, 24, 27, 48, 49, 31]
[44, 5, 48, 7, 35, 17, 35, 19, 15, 12, 38, 26, 46, 17, 29, 34, 29, 18, 13, 36, 16, 34, 4, 25, 12, 13, 29, 40, 36, 29, 23, 12, 34, 25, 44, 36, 22, 0, 38, 25, 13, 23, 1]
[20, 42, 46, 48, 29, 28, 4, 43, 38, 16, 21, 3, 24, 41, 33, 19, 42, 9, 43, 2, 42, 46, 4, 46, 49, 4, 32, 45, 12, 37, 49, 25, 30, 48, 26, 6, 24, 38, 0, 1, 32, 13, 23]
[41, 46, 41, 16, 31, 39, 38, 10, 4, 1, 42, 3, 0, 42, 47, 25, 50, 11, 43, 35, 34, 5, 44, 12, 46, 9, 48, 21, 24, 19, 8, 43, 31, 47, 4, 16, 27, 25, 1, 0, 20, 30, 37]
[6, 15, 34, 3, 20, 10, 48, 24, 3, 24, 19, 22, 2, 47, 42, 49, 11, 14, 40, 18, 4, 47, 29, 42, 45, 6, 34, 46, 8, 6, 11, 27, 37, 5, 46, 9, 48, 13, 32, 20, 0, 37, 10]
[2, 9, 0, 32, 10, 10, 45, 42, 36, 38, 12, 37, 28, 5, 5, 20, 24, 20, 43, 20, 42, 4, 9, 15, 37, 49, 18, 29, 47, 3, 21, 49, 5, 28, 1, 15, 49, 23, 13, 30, 37, 0, 35]
[29, 27, 45, 26, 12, 22, 26, 44, 9, 41, 21, 24, 20, 12, 17, 34, 50, 3, 5, 33, 43, 0, 30, 4, 3, 40, 24, 36, 12, 47, 46, 18, 8, 50, 1, 0, 31, 1, 23, 37, 10, 35, 0]
