N1,N2,...,Nx
[0, 33, 11, 48, 27, 15, 41, 42, 49, 28, 39, 32, 26, 3, 8, 0, 38, 3, 3, 50, 43, 24, 13, 16, 18, 30, 50, 14, 18, 23, 33, 49, 10, 26, 19, 42, 43, 2, 16, 15, 28, 15, 9, 5, 34, 19, 34, 29, 4, 22, 6, 36, 6, 16, 39, 12, 35, 31, 30, 7, 30, 50, 2, 47, 26, 50, 28, 32, 12, 18, 17, 12, 17, 4, 36, 40, 41, 31, 30, 4, 38, 20, 12, 42, 30, 26, 27, 18, 11, 7, 31, 9, 27, 23, 11, 1, 0, 47, 11, 32, 44, 14, 49, 27, 10, 23, 36, 16, 48, 20, 29, 0, 7, 45, 30, 33, 0, 1, 36, 46, 11, 4, 13, 5, 25, 4, 50, 6, 10, 17, 16, 11, 48, 41, 40, 8, 29, 8, 23, 40, 4, 33, 32, 28, 27, 42, 40, 18, 39, 5, 8, 31, 31, 44, 15]
[33, 0, 11, 44, 49, 33, 36, 49, 28, 47, 0, 24, 8, 8, 3, 33, 21, 13, 7, 17, 25, 23, 11, 1, 31, 12, 0, 49, 30, 24, 46, 27, 31, 44, 7, 24, 44, 26, 4, 2, 15, 19, 37, 30, 37, 41, 34, 14, 18, 41, 49, 32, 40, 22, 34, 30, 31, 2, 18, 38, 1, 0, 27, 41, 43, 6, 8, 34, 15, 5, 26, 25, 6, 20, 31, 24, 36, 15, 32, 6, 13, 29, 43, 23, 47, 38, 41, 7, 5, 49, 11, 24, 35, 14, 17, 44, 24, 36, 48, 36, 12, 2, 46, 30, 5, 44, 48, 1, 42, 25, 43, 38, 22, 17, 25, 6, 17, 2, 37, 24, 44, 5, 44, 32, 48, 13, 9, 9, 9, 20, 33, 22, 17, 28, 16, 7, 46, 31, 16, 21, 42, 43, 38, 6, 44, 32, 29, 39, 45, 30, 17, 4, 7, 5, 39]
[11, 11, 0, 23, 15, 26, 16, 8, 49, 18, 38, 21, 2, 36, 19, 43, 17, 46, 11, 3, 23, 0, 46, 42, 32, 30, 0, 24, 46, 38, 37, 15, 38, 31, 7, 43, 49, 33, 47, 46, 31, 12, 29, 21, 35, 32, 37, 20, 44, 30, 35, 10, 12, 37, 0, 46, 25, 13, 0, 33, 20, 30, 23, 47, 4, 25, 23, 37, 46, 23, 35, 42, 16, 16, 35, 43, 39, 15, 10, 46, 30, 46, 2, 16, 4, 21, 38, 41, 47, 37, 15, 6, 44, 1, 13, 38, 8, 18, 11, 39, 2, 37, 44, 0, 48, 23, 8, 0, 32, 33, 49, 14, 12, 6, 10, 28, 3, 49, 33, 48, 32, 6, 19, 32, 49, 26, 26, 10, 38, 33, 8, 24, 19, 34, 13, 0, 48, 47, 0, 46, 47, 35, 18, 3, 34, 21, 39, 25, 22, 29, 5, 45, 3, 17, 12]
[48, 44, 23, 0, 20, 7, 13, 45, 45, 15, 30, 32, 25, 30, 3, 37, 49, 41, 11, 13, 34, 41, 36, 7, 50, 16, 38, 2, 27, 15, 16, 31, 13, 15, 41, 6, 19, 25, 40, 43, 25, 26, 32, 7, 8, 34, 33, 24, 30, 3, 48, 14, 15, 16, 17, 49, 36, 10, 27, 42, 49, 40, 17, 41, 10, 24, 6, 40, 1, 22, 12, 20, 10, 4, 43, 31, 27, 40, 19, 16, 44, 29, 37, 16, 30, 13, 27, 23, 40, 2, 30, 46, 35, 3, 24, 32, 23, 31, 28, 30, 2, 11, 22, 9, 42, 24, 44, 35, 12, 28, 41, 31, 49, 42, 9, 22, 2, 14, 38, 38, 45, 49, 36, 19, 29, 3, 12, 42, 44, 42, 15, 44, 39, 43, 28, 38, 46, 29, 25, 20, 23, 44, 32, 22, 8, 13, 18, 31, 2, 28, 5, 9, 37, 26, 15]
[27, 49, 15, 20, 0, 25, 11, 31, 21, 27, 9, 20, 19, 36, 9, 30, 11, 3, 12, 35, 17, 26, 16, 46, 4, 42, 47, 38, 20, 38, 2, 14, 38, 25, 35, 26, 36, 36, 21, 16, 2, 15, 35, 28, 20, 4, 13, 7, 50, 46, 35, 22, 27, 31, 33, 40, 18, 3, 30, 36, 44, 23, 21, 24, 40, 25, 33, 22, 32, 18, 17, 18, 31, 40, 49, 0, 8, 49, 9, 45, 31, 11, 36, 16, 36, 49, 2, 30, 1, 37, 6, 5, 20, 42, 1, 19, 22, 0, 48, 12, 0, 38, 1, 5, 26, 18, 21, 13, 41, 28, 48, 17, 29, 26, 20, 6, 42, 4, 5, 27, 20, 22, 10, 27, 29, 13, 15, 48, 22, 46, 45, 2, 9, 22, 7, 24, 44, 38, 39, 2, 13, 39, 28, 13, 42, 37, 28, 5, 44, 5, 40, 4, 16, 7, 42]
[15, 33, 26, 7, 25, 0, 7, 19, 48, 24, 30, 41, 47, 15, 33, 28, 47, 33, 11, 7, 7, 20, 37, 4, 23, 24, 46, 33, 29, 23, 12, 13, 42, 32, 41, 36, 32, 23, 7, 26, 37, 8, 20, 17, 32, 30, 43, 21, 25, 15, 34, 39, 0, 39, 6, 3, 49, 13, 16, 23, 50, 18, 40, 44, 26, 27, 41, 38, 19, 27, 7, 38, 36, 0, 33, 50, 42, 1, 29, 49, 4, 30, 38, 4, 46, 32, 46, 25, 40, 9, 2, 29, 30, 21, 16, 8, 28, 28, 48, 19, 5, 12, 10, 26, 9, 41, 38, 11, 46, 31, 7, 49, 12, 8, 16, 42, 27, 12, 48, 37, 7, 18, 4, 38, 26, 17, 15, 14, 13, 47, 38, 14, 13, 27, 37, 3, 30, 10, 21, 10, 30, 10, 41, 9, 43, 12, 2, 44, 12, 42, 0, 11, 26, 30, 7]
[41, 36, 16, 13, 11, 7, 0, 48, 1, 25, 40, 13, 9, 46, 34, 1, 22, 22, 5, 30, 35, 26, 4, 33, 6, 0, 17, 37, 29, 17, 28, 36, 25, 33, 20, 43, 2, 12, 27, 4, 31, 9, 25, 6, 3, 2, 30, 32, 34, 22, 50, 15, 39, 27, 18, 6, 39, 28, 7, 22, 21, 41, 28, 27, 6, 5, 37, 27, 27, 47, 32, 21, 19, 14, 1, 49, 49, 17, 45, 17, 22, 40, 20, 40, 14, 36, 14, 20, 39, 7, 32, 7, 5, 36, 39, 38, 17, 33, 1, 21, 29, 30, 42, 39, 7, 38, 13, 35, 46, 12, 12, 5, 14, 28, 10, 22, 47, 39, 33, 2, 12, 3, 19, 0, 10, 21, 14, 8, 33, 32, 34, 3, 29, 33, 39, 11, 50, 16, 27, 5, 44, 14, 46, 6, 5, 26, 27, 19, 26, 29, 25, 18, 39, 44, 15]
[42, 49, 8, 45, 31, 19, 48, 0, 11, 30, 10, 42, 36, 28, 6, 13, 5, 40, 44, 44, 20, 4, 26, 26, 22, 35, 16, 17, 48, 25, 36, 0, 31, 2, 15, 32, 47, 19, 21, 4, 50, 0, 41, 21, 42, 15, 1, 13, 4, 13, 9, 35, 47, 41, 50, 2, 5, 30, 16, 1, 3, 25, 16, 47, 38, 39, 18, 35, 5, 15, 18, 47, 8, 30, 11, 31, 6, 10, 5, 37, 16, 43, 35, 28, 36, 28, 9, 40, 44, 10, 34, 33, 50, 35, 14, 49, 10, 40, 24, 0, 46, 6, 10, 42, 6, 0, 3, 48, 47, 22, 43, 21, 45, 33, 35, 36, 29, 21, 36, 30, 17, 11, 26, 17, 42, 31, 6, 17, 32, 26, 21, 30, 9, 34, 18, 35, 16, 11, 23, 42, 26, 37, 7, 36, 49, 43, 13, 7, 3, 43, 11, 24, 2, 21, 8]
[49, 28, 49, 45, 21, 48, 1, 11, 0, 26, 39, 18, 4, 49, 41, 35, 28, 40, 1, 12, 11, 39, 7, 40, 3, 21, 10, 44, 26, 33, 48, 48, 7, 8, 25, 13, 32, 43, 9, 6, 23, 16, 42, 32, 4, 44, 28, 44, 29, 48, 34, 49, 20, 0, 35, 41, 39, 4, 6, 36, 15, 16, 37, 12, 25, 39, 45, 13, 0, 2, 17, 38, 19, 30, 34, 32, 35, 35, 37, 48, 45, 35, 36, 46, 16, 22, 10, 42, 40, 16, 46, 25, 13, 25, 0, 10, 43, 31, 1, 20, 19, 30, 45, 16, 3, 27, 40, 8, 11, 38, 35, 0, 24, 42, 35, 26, 14, 21, 0, 9, 43, 32, 43, 38, 35, 35, 47, 44, 14, 18, 44, 4, 26, 44, 5, 21, 10, 3, 16, 29, 19, 13, 10, 6, 21, 44, 19, 17, 10, 24, 41, 16, 35, 5, 25]
[28, 47, 18, 15, 27, 24, 25, 30, 26, 0, 31, 12, 46, 3, 33, 39, 5, 23, 48, 46, 46, 16, 25, 32, 18, 14, 44, 16, 46, 2, 19, 49, 37, 9, 10, 44, 47, 16, 29, 19, 42, 23, 42, 26, 5, 27, 19, 49, 6, 30, 27, 35, 38, 46, 45, 29, 42, 31, 16, 15, 20, 10, 47, 13, 21, 35, 31, 34, 19, 25, 27, 44, 32, 15, 7, 1, 23, 33, 4, 6, 7, 21, 18, 16, 27, 44, 47, 12, 1, 17, 47, 31, 37, 28, 12, 29, 18, 0, 0, 10, 47, 12, 8, 28, 26, 15, 5, 25, 36, 43, 14, 37, 36, 30, 20, 2, 22, 14, 28, 12, 32, 29, 24, 26, 27, 46, 41, 23, 40, 27, 31, 33, 34, 14, 5, 48, 42, 43, 48, 17, 50, 27, 20, 5, 20, 30, 35, 12, 8, 2, 41, 33, 15, 28, 14]
