N1,N2,...,Nx
[0, 12, 39, 50, 4, 47, 27, 43, 29, 43, 2, 13, 13, 1, 36, 41, 15, 23, 44, 17, 20, 5, 31, 46, 27, 15, 12, 39, 27, 21, 14, 32, 47, 49, 3, 45, 49, 7, 22, 0, 29, 41, 31, 17, 32, 33, 3, 8, 27, 46, 40, 49, 43, 35, 37, 5, 11, 25, 20, 11, 2, 3, 43, 5, 20, 37, 27, 28, 42, 7, 47, 26, 1, 19, 47, 15, 33, 12, 17, 28, 37, 44, 48, 49, 33, 7, 14, 14, 28, 20, 46, 12, 11, 5, 12, 43, 47, 14, 40, 26, 7, 41, 13, 15, 17, 12, 2, 40, 31, 36, 46, 42, 43, 47, 38, 41, 14, 3, 43, 46, 6, 39, 16, 10, 40, 15, 9, 20, 32, 2, 9, 1, 15, 18, 45, 9, 25, 46, 32, 28, 9, 50, 3, 32, 29, 17, 41, 20, 7]
[12, 0, 9, 24, 30, 30, 27, 33, 36, 10, 18, 31, 35, 7, 32, 24, 31, 22, 26, 20, 35, 39, 26, 28, 13, 27, 16, 49, 26, 17, 22, 21, 43, 27, 46, 2, 32, 16, 48, 3, 50, 38, 36, 41, 48, 43, 11, 3, 16, 35, 9, 8, 46, 22, 49, 25, 45, 35, 30, 49, 9, 7, 11, 46, 12, 35, 40, 17, 11, 20, 24, 30, 16, 36, 6, 39, 6, 18, 38, 27, 15, 10, 50, 5, 23, 7, 23, 24, 5, 39, 30, 36, 32, 18, 18, 25, 2, 8, 7, 46, 7, 36, 39, 26, 48, 11, 27, 7, 34, 15, 19, 0, 27, 26, 47, 13, 11, 30, 41, 10, 33, 0, 38, 28, 17, 19, 13, 2, 31, 32, 40, 12, 17, 39, 4, 49, 16, 35, 37, 40, 47, 27, 10, 4, 39, 48, 36, 40, 20]
[39, 9, 0, 29, 14, 15, 9, 1, 23, 48, 40, 28, 39, 19, 43, 34, 14, 47, 42, 25, 13, 14, 5, 6, 32, 30, 44, 4, 39, 15, 11, 37, 20, 0, 25, 16, 3, 42, 41, 11, 46, 26, 4, 3, 1, 2, 4, 50, 50, 9, 32, 41, 49, 9, 45, 21, 13, 3, 18, 35, 41, 22, 14, 41, 46, 6, 14, 12, 17, 31, 43, 13, 16, 19, 30, 6, 7, 18, 37, 36, 28, 34, 36, 42, 34, 44, 14, 7, 12, 31, 38, 0, 49, 6, 13, 30, 34, 24, 40, 43, 21, 23, 26, 16, 25, 44, 21, 32, 28, 26, 9, 36, 39, 33, 11, 48, 26, 23, 18, 1, 17, 43, 33, 7, 42, 39, 21, 15, 2, 35, 49, 1, 24, 38, 1, 23, 18, 25, 8, 19, 4, 2, 3, 47, 0, 15, 33, 3, 36]
[50, 24, 29, 0, 10, 11, 41, 32, 38, 8, 39, 8, 19, 0, 48, 8, 16, 20, 27, 7, 15, 41, 15, 7, 9, 13, 3, 42, 25, 19, 6, 22, 49, 14, 26, 19, 24, 39, 40, 38, 18, 22, 15, 9, 1, 23, 2, 34, 50, 41, 35, 36, 21, 40, 31, 33, 5, 0, 33, 29, 2, 47, 35, 16, 26, 3, 27, 13, 31, 33, 17, 34, 30, 49, 41, 22, 36, 29, 4, 25, 34, 31, 3, 23, 19, 23, 13, 10, 26, 46, 20, 32, 47, 37, 14, 6, 11, 25, 37, 33, 50, 12, 43, 42, 1, 30, 20, 31, 11, 30, 10, 9, 26, 9, 5, 46, 13, 12, 47, 6, 40, 47, 21, 11, 0, 16, 12, 3, 44, 41, 29, 39, 34, 28, 37, 30, 28, 47, 31, 32, 17, 50, 6, 34, 4, 24, 5, 4, 1]
[4, 30, 14, 10, 0, 3, 21, 10, 48, 50, 5, 6, 14, 9, 17, 22, 9, 9, 50, 8, 30, 22, 0, 49, 39, 22, 35, 36, 33, 48, 6, 14, 36, 33, 25, 11, 14, 22, 19, 27, 33, 7, 39, 45, 17, 28, 2, 37, 41, 30, 4, 35, 3, 12, 48, 32, 28, 45, 49, 35, 48, 19, 36, 40, 21, 5, 23, 42, 39, 21, 29, 9, 14, 8, 10, 44, 47, 41, 0, 6, 33, 7, 7, 26, 34, 29, 27, 24, 12, 36, 36, 35, 34, 35, 22, 14, 49, 31, 10, 21, 24, 42, 26, 36, 37, 8, 6, 1, 27, 2, 2, 6, 44, 25, 39, 2, 0, 47, 32, 50, 25, 45, 36, 1, 31, 27, 35, 14, 44, 31, 33, 6, 21, 29, 47, 43, 19, 48, 46, 27, 18, 2, 38, 32, 17, 32, 35, 43, 31]
[47, 30, 15, 11, 3, 0, 7, 5, 8, 2, 45, 41, 30, 46, 45, 5, 47, 38, 39, 49, 33, 21, 26, 47, 0, 1, 43, 49, 4, 42, 13, 8, 5, 33, 1, 10, 13, 31, 18, 43, 42, 16, 3, 36, 23, 38, 36, 36, 48, 36, 16, 24, 32, 31, 36, 22, 40, 5, 29, 48, 19, 45, 14, 16, 11, 27, 33, 33, 8, 29, 8, 4, 28, 13, 10, 50, 45, 28, 33, 20, 34, 3, 34, 12, 19, 15, 1, 34, 41, 10, 19, 22, 35, 3, 7, 21, 10, 37, 27, 7, 45, 36, 10, 28, 28, 22, 7, 47, 36, 50, 29, 1, 12, 26, 33, 13, 43, 29, 12, 16, 41, 28, 37, 25, 6, 8, 20, 42, 11, 8, 1, 45, 6, 33, 20, 33, 22, 20, 28, 12, 12, 29, 34, 47, 24, 27, 32, 26, 25]
[27, 27, 9, 41, 21, 7, 0, 8, 40, 22, 34, 2, 6, 50, 10, 37, 34, 42, 19, 5, 47, 38, 24, 40, 41, 6, 40, 16, 10, 28, 12, 44, 10, 49, 31, 39, 23, 6, 25, 25, 23, 36, 11, 3, 37, 45, 49, 37, 48, 35, 7, 47, 29, 35, 24, 13, 27, 33, 17, 45, 5, 23, 29, 41, 47, 25, 6, 47, 17, 14, 37, 1, 17, 11, 25, 46, 37, 5, 13, 29, 26, 38, 44, 1, 8, 16, 18, 36, 1, 0, 44, 8, 9, 5, 36, 24, 8, 21, 30, 35, 22, 42, 33, 23, 3, 48, 24, 44, 47, 37, 28, 37, 46, 7, 32, 8, 10, 46, 24, 27, 23, 28, 36, 38, 40, 31, 44, 36, 21, 6, 13, 7, 45, 41, 35, 48, 8, 7, 43, 9, 8, 36, 38, 0, 17, 25, 28, 27, 14]
[43, 33, 1, 32, 10, 5, 8, 0, 42, 49, 21, 42, 13, 0, 35, 44, 37, 5, 19, 41, 23, 22, 4, 33, 37, 31, 30, 27, 33, 23, 29, 19, 13, 16, 44, 36, 40, 36, 0, 1, 36, 24, 2, 5, 49, 7, 23, 37, 38, 33, 36, 8, 37, 2, 34, 18, 21, 47, 26, 22, 25, 46, 46, 44, 32, 43, 34, 31, 6, 46, 50, 19, 9, 28, 34, 1, 13, 11, 29, 3, 14, 1, 31, 47, 11, 25, 48, 14, 7, 23, 25, 41, 49, 32, 17, 18, 11, 40, 40, 24, 43, 3, 46, 44, 39, 27, 33, 14, 23, 36, 5, 4, 1, 40, 30, 18, 7, 20, 19, 32, 7, 14, 33, 36, 3, 17, 6, 50, 43, 33, 43, 26, 43, 31, 38, 34, 49, 44, 43, 19, 23, 36, 6, 45, 19, 15, 50, 17, 41]
[29, 36, 23, 38, 48, 8, 40, 42, 0, 10, 6, 44, 38, 32, 19, 17, 29, 24, 4, 7, 46, 13, 38, 48, 4, 46, 47, 28, 24, 0, 24, 26, 32, 27, 23, 14, 43, 19, 38, 24, 17, 40, 30, 44, 31, 41, 29, 48, 1, 6, 1, 44, 24, 1, 8, 47, 31, 34, 6, 36, 50, 19, 38, 7, 0, 5, 11, 31, 11, 43, 16, 24, 17, 34, 38, 24, 10, 25, 10, 32, 11, 19, 0, 31, 44, 2, 21, 7, 43, 30, 31, 6, 47, 9, 13, 45, 2, 12, 19, 6, 18, 46, 9, 32, 44, 7, 3, 32, 22, 43, 4, 15, 30, 7, 20, 14, 23, 40, 35, 36, 34, 50, 4, 20, 20, 45, 5, 20, 29, 34, 7, 31, 22, 44, 28, 39, 8, 42, 29, 42, 26, 41, 33, 47, 16, 3, 44, 34, 41]
[43, 10, 48, 8, 50, 2, 22, 49, 10, 0, 19, 9, 0, 33, 10, 35, 15, 11, 15, 37, 43, 0, 6, 19, 13, 7, 38, 44, 17, 15, 9, 32, 37, 47, 49, 38, 42, 16, 34, 20, 3, 37, 22, 30, 23, 34, 18, 25, 41, 50, 44, 3, 12, 46, 50, 42, 23, 23, 34, 37, 45, 47, 49, 0, 10, 8, 12, 16, 29, 38, 18, 19, 26, 29, 18, 30, 5, 37, 16, 14, 42, 36, 50, 27, 30, 2, 23, 14, 9, 47, 10, 18, 21, 27, 46, 42, 50, 42, 48, 10, 41, 2, 37, 50, 28, 16, 42, 45, 37, 2, 46, 31, 24, 22, 4, 1, 16, 48, 28, 12, 18, 1, 46, 30, 36, 34, 50, 10, 41, 35, 32, 3, 23, 33, 25, 3, 17, 8, 39, 8, 33, 32, 17, 9, 3, 5, 15, 33, 32]
