N1,N2,...,Nx
[0, 32, 42, 17, 21, 33, 39, 5, 30, 8, 0, 36, 25, 23, 26, 10, 11, 29, 38, 18, 41, 46, 38, 44, 7, 11, 6, 0, 22, 22, 24, 47, 22, 6, 49, 9, 31, 39, 2, 2, 48, 49, 32, 11, 36, 44, 4, 30, 46, 37, 40, 11, 2, 20, 30, 45, 34, 1, 0, 25, 9, 28, 21, 8, 0, 45, 2, 15, 41, 19, 46, 19, 18, 32, 17, 9, 16, 12, 10, 49, 11, 11, 26, 42, 36, 31, 28, 50, 10, 1, 30, 18, 47, 20, 3, 17, 18, 14, 16, 36, 39, 5, 30, 22, 50, 41, 49, 21, 49, 47, 40, 24, 25, 31, 29, 48, 15]
[32, 0, 5, 48, 40, 22, 2, 2, 35, 11, 27, 5, 21, 19, 27, 2, 33, 18, 19, 36, 50, 32, 19, 19, 2, 38, 12, 12, 27, 45, 32, 22, 48, 24, 17, 31, 29, 12, 26, 48, 45, 45, 42, 35, 40, 10, 45, 9, 30, 45, 3, 42, 46, 13, 7, 10, 43, 30, 27, 14, 2, 27, 24, 49, 35, 41, 12, 45, 7, 21, 18, 32, 34, 41, 49, 14, 3, 18, 3, 3, 10, 50, 33, 48, 1, 39, 10, 13, 48, 34, 32, 30, 15, 13, 19, 43, 17, 28, 37, 44, 17, 26, 17, 41, 15, 2, 9, 14, 2, 37, 37, 1, 4, 22, 13, 4, 25]
[42, 5, 0, 18, 6, 30, 33, 32, 0, 38, 3, 18, 7, 20, 9, 17, 7, 27, 12, 31, 50, 43, 2, 38, 18, 26, 0, 14, 24, 17, 28, 35, 1, 11, 47, 10, 45, 31, 46, 44, 41, 41, 28, 27, 33, 8, 13, 47, 48, 48, 27, 19, 39, 7, 33, 31, 12, 19, 46, 12, 31, 46, 49, 38, 41, 17, 10, 48, 40, 25, 33, 36, 0, 25, 40, 44, 45, 34, 12, 44, 48, 29, 21, 46, 7, 6, 36, 13, 22, 21, 44, 27, 8, 13, 3, 38, 47, 35, 40, 9, 33, 44, 21, 26, 12, 13, 9, 41, 28, 42, 2, 5, 31, 15, 45, 13, 14]
[17, 48, 18, 0, 36, 16, 34, 44, 39, 27, 16, 13, 41, 40, 12, 7, 29, 23, 8, 37, 41, 39, 16, 30, 0, 23, 17, 8, 44, 41, 24, 17, 23, 2, 24, 42, 21, 46, 34, 38, 6, 10, 44, 2, 12, 13, 24, 42, 41, 32, 44, 16, 39, 4, 40, 31, 29, 21, 29, 17, 33, 28, 42, 34, 9, 49, 42, 48, 38, 15, 33, 14, 41, 32, 42, 7, 4, 50, 3, 0, 5, 46, 32, 48, 21, 20, 16, 42, 42, 35, 48, 9, 23, 2, 6, 16, 4, 18, 47, 30, 43, 23, 32, 3, 29, 19, 39, 35, 33, 46, 1, 10, 24, 29, 49, 37, 4]
[21, 40, 6, 36, 0, 4, 42, 0, 33, 4, 31, 38, 8, 38, 12, 16, 22, 5, 41, 49, 34, 34, 6, 9, 15, 30, 4, 5, 10, 34, 31, 11, 8, 12, 38, 7, 44, 10, 48, 43, 31, 12, 29, 32, 10, 19, 40, 14, 33, 32, 47, 38, 46, 18, 19, 29, 1, 37, 14, 35, 50, 26, 10, 28, 46, 27, 35, 43, 15, 43, 17, 36, 22, 15, 13, 24, 31, 26, 46, 24, 4, 20, 1, 13, 47, 45, 46, 28, 44, 23, 25, 50, 36, 5, 17, 17, 40, 22, 30, 19, 46, 46, 18, 5, 15, 25, 46, 31, 10, 49, 13, 4, 36, 23, 45, 31, 14]
[33, 22, 30, 16, 4, 0, 6, 17, 46, 6, 12, 22, 16, 44, 5, 9, 16, 30, 25, 3, 22, 47, 3, 20, 32, 1, 23, 39, 11, 32, 31, 12, 14, 50, 43, 1, 2, 16, 14, 43, 24, 0, 11, 22, 6, 48, 45, 15, 19, 4, 28, 3, 38, 0, 25, 7, 42, 33, 29, 46, 17, 29, 8, 5, 17, 22, 17, 24, 0, 41, 47, 23, 17, 1, 46, 34, 5, 15, 31, 39, 2, 30, 9, 13, 28, 32, 50, 0, 47, 6, 7, 7, 34, 41, 40, 2, 36, 48, 9, 17, 30, 13, 27, 14, 9, 10, 37, 18, 18, 43, 3, 21, 46, 40, 39, 15, 43]
[39, 2, 33, 34, 42, 6, 0, 48, 3, 46, 4, 30, 46, 10, 27, 25, 44, 6, 6, 2, 30, 11, 3, 7, 18, 35, 25, 42, 19, 19, 38, 0, 47, 29, 39, 24, 25, 19, 49, 31, 31, 42, 50, 14, 12, 8, 5, 9, 28, 41, 8, 19, 41, 22, 28, 45, 10, 32, 44, 49, 43, 3, 22, 10, 0, 26, 2, 42, 14, 41, 18, 0, 41, 8, 29, 3, 5, 39, 16, 33, 11, 20, 34, 9, 15, 28, 33, 49, 43, 4, 0, 37, 45, 25, 34, 6, 4, 33, 22, 43, 38, 27, 47, 18, 18, 20, 42, 37, 15, 30, 21, 0, 18, 21, 44, 39, 32]
[5, 2, 32, 44, 0, 17, 48, 0, 22, 4, 31, 34, 21, 45, 18, 28, 14, 40, 2, 16, 2, 4, 25, 40, 40, 4, 11, 42, 36, 28, 23, 5, 29, 5, 21, 41, 39, 14, 42, 32, 10, 3, 13, 6, 43, 16, 1, 9, 41, 1, 20, 31, 43, 13, 49, 41, 26, 2, 21, 45, 50, 19, 21, 23, 38, 12, 16, 38, 33, 22, 6, 3, 3, 47, 46, 30, 32, 0, 17, 32, 11, 34, 21, 23, 7, 22, 43, 16, 17, 40, 18, 40, 3, 26, 1, 25, 9, 20, 31, 27, 8, 20, 35, 22, 37, 34, 11, 48, 41, 35, 42, 44, 22, 44, 18, 41, 2]
[30, 35, 0, 39, 33, 46, 3, 22, 0, 9, 0, 19, 40, 36, 49, 14, 25, 44, 25, 28, 49, 37, 34, 6, 23, 24, 1, 37, 1, 0, 45, 43, 40, 29, 38, 20, 39, 50, 22, 44, 42, 9, 4, 0, 2, 30, 9, 9, 30, 9, 1, 14, 22, 22, 44, 5, 36, 17, 43, 23, 43, 6, 2, 18, 41, 7, 38, 11, 43, 13, 11, 47, 2, 20, 17, 21, 22, 21, 1, 23, 3, 20, 12, 36, 3, 41, 15, 9, 20, 25, 5, 33, 14, 41, 0, 47, 35, 3, 44, 18, 32, 30, 35, 11, 38, 23, 41, 26, 29, 41, 26, 28, 15, 17, 29, 10, 48]
[8, 11, 38, 27, 4, 6, 46, 4, 9, 0, 20, 21, 23, 49, 42, 45, 26, 22, 35, 35, 11, 33, 26, 11, 14, 29, 9, 13, 47, 29, 48, 22, 31, 42, 40, 20, 14, 32, 14, 4, 3, 9, 43, 5, 20, 31, 22, 24, 19, 21, 3, 25, 49, 46, 44, 19, 14, 9, 45, 48, 17, 30, 4, 42, 34, 46, 23, 17, 0, 6, 21, 27, 11, 29, 30, 8, 43, 14, 36, 17, 41, 31, 19, 47, 45, 3, 24, 7, 18, 15, 28, 24, 12, 0, 11, 6, 18, 15, 37, 10, 23, 7, 29, 30, 47, 26, 47, 42, 42, 38, 4, 29, 21, 13, 32, 35, 13]
