N1,N2,...,Nx
[0, 49, 20, 16, 16, 2, 20, 24, 33, 34, 43, 19, 27, 40, 15, 30, 29, 10, 29, 29, 2, 29, 31, 3, 5, 5, 47, 28, 26, 8, 49, 10, 12, 17, 26, 40, 10, 24, 42, 50, 15, 49, 24, 28, 9, 4, 34, 30, 43, 21, 31, 50, 27, 12, 15, 31, 0, 5, 31, 21, 48, 24, 50, 36, 35, 33, 1, 49, 15, 12, 11, 14, 44, 43, 1, 49, 47, 47, 29, 19, 14, 40, 28, 41, 19, 40, 17, 23, 28, 41, 16, 3, 24, 34, 31, 7, 27, 31, 24, 48, 17, 25, 1, 3, 22, 9, 18, 15, 48, 13, 3, 25, 3, 43, 13, 11, 12, 38, 43, 2]
[49, 0, 14, 24, 19, 26, 3, 35, 43, 19, 50, 20, 27, 25, 8, 19, 37, 7, 27, 32, 29, 15, 38, 47, 48, 15, 6, 2, 17, 4, 9, 23, 19, 25, 24, 14, 49, 3, 3, 24, 24, 39, 33, 16, 22, 24, 27, 25, 13, 12, 24, 37, 1, 8, 2, 38, 41, 25, 50, 38, 46, 37, 9, 50, 45, 44, 4, 1, 21, 39, 6, 34, 5, 42, 15, 48, 18, 5, 29, 42, 19, 3, 2, 11, 26, 14, 33, 37, 4, 45, 23, 45, 26, 8, 14, 33, 14, 40, 29, 25, 24, 28, 38, 29, 17, 16, 24, 9, 27, 48, 10, 19, 20, 5, 22, 3, 49, 34, 35, 26]
[20, 14, 0, 38, 5, 13, 28, 43, 30, 27, 32, 33, 2, 11, 40, 21, 23, 10, 1, 23, 44, 0, 6, 27, 13, 17, 44, 17, 24, 18, 44, 32, 22, 48, 15, 3, 39, 45, 2, 25, 36, 42, 3, 17, 7, 7, 48, 19, 36, 16, 32, 20, 26, 9, 22, 14, 22, 38, 44, 8, 24, 5, 35, 19, 17, 27, 31, 13, 3, 18, 41, 26, 7, 26, 45, 21, 27, 27, 2, 46, 43, 23, 19, 46, 31, 40, 12, 9, 6, 46, 1, 50, 38, 12, 33, 8, 30, 37, 13, 3, 19, 40, 1, 38, 41, 7, 1, 13, 14, 49, 34, 2, 20, 33, 31, 23, 19, 40, 9, 47]
[16, 24, 38, 0, 5, 24, 19, 38, 27, 43, 16, 20, 47, 34, 1, 12, 45, 25, 20, 2, 16, 26, 10, 34, 22, 49, 9, 42, 44, 50, 26, 22, 35, 1, 7, 6, 24, 4, 45, 39, 16, 3, 7, 33, 36, 39, 40, 35, 49, 43, 11, 6, 2, 2, 45, 31, 9, 16, 6, 46, 27, 35, 36, 33, 8, 24, 1, 34, 33, 14, 0, 47, 11, 13, 21, 38, 24, 23, 42, 24, 21, 6, 45, 38, 30, 16, 14, 10, 7, 15, 7, 43, 21, 46, 32, 49, 36, 20, 21, 7, 2, 24, 27, 4, 10, 46, 15, 37, 31, 14, 48, 28, 42, 13, 40, 7, 15, 8, 12, 10]
[16, 19, 5, 5, 0, 4, 17, 31, 1, 46, 12, 1, 49, 47, 4, 0, 32, 0, 6, 48, 27, 44, 31, 39, 26, 5, 46, 18, 14, 25, 27, 48, 48, 19, 44, 7, 1, 6, 23, 34, 32, 30, 9, 49, 3, 26, 41, 28, 9, 41, 46, 1, 40, 48, 7, 31, 11, 19, 38, 12, 43, 18, 43, 6, 20, 22, 6, 18, 37, 28, 21, 16, 22, 19, 32, 19, 49, 40, 11, 38, 9, 37, 7, 37, 47, 30, 45, 34, 39, 25, 41, 28, 32, 43, 3, 35, 43, 1, 34, 29, 2, 32, 18, 14, 46, 6, 47, 43, 2, 21, 42, 36, 24, 20, 1, 23, 11, 46, 16, 45]
[2, 26, 13, 24, 4, 0, 45, 20, 0, 28, 8, 41, 44, 4, 29, 41, 18, 4, 34, 0, 34, 38, 22, 43, 23, 38, 45, 32, 9, 47, 50, 47, 42, 15, 32, 21, 0, 6, 6, 17, 35, 1, 37, 50, 2, 37, 12, 25, 46, 50, 10, 48, 18, 5, 0, 32, 5, 15, 20, 30, 20, 50, 29, 2, 20, 34, 38, 5, 47, 18, 35, 23, 31, 15, 43, 1, 3, 50, 20, 47, 20, 41, 15, 18, 14, 12, 7, 41, 39, 34, 39, 27, 25, 18, 19, 13, 33, 44, 6, 11, 26, 43, 31, 34, 15, 25, 27, 48, 44, 22, 9, 11, 37, 6, 3, 45, 14, 48, 23, 34]
[20, 3, 28, 19, 17, 45, 0, 46, 49, 6, 7, 9, 48, 36, 50, 14, 0, 37, 0, 31, 38, 38, 31, 14, 12, 29, 15, 4, 2, 5, 4, 37, 31, 42, 48, 25, 17, 20, 5, 8, 9, 35, 46, 8, 41, 23, 15, 24, 14, 37, 44, 9, 4, 26, 22, 26, 25, 8, 3, 17, 36, 20, 36, 21, 13, 19, 48, 9, 42, 36, 26, 50, 48, 30, 16, 15, 30, 50, 7, 45, 31, 40, 35, 49, 30, 6, 0, 6, 20, 37, 27, 17, 38, 49, 23, 8, 41, 33, 21, 38, 2, 9, 10, 2, 1, 19, 43, 41, 6, 29, 39, 35, 26, 49, 11, 41, 40, 48, 32, 39]
[24, 35, 43, 38, 31, 20, 46, 0, 42, 42, 36, 10, 8, 5, 10, 34, 16, 43, 22, 17, 0, 45, 37, 50, 29, 48, 13, 32, 41, 38, 16, 26, 20, 23, 22, 26, 17, 25, 18, 34, 31, 31, 28, 10, 50, 8, 41, 25, 1, 33, 17, 3, 31, 3, 27, 32, 16, 38, 9, 23, 30, 26, 37, 35, 43, 48, 49, 4, 1, 21, 41, 15, 36, 1, 46, 35, 22, 26, 4, 26, 15, 25, 41, 33, 7, 3, 14, 0, 14, 21, 4, 13, 24, 3, 48, 21, 7, 37, 0, 35, 28, 47, 26, 6, 30, 22, 12, 1, 37, 12, 5, 5, 8, 40, 20, 8, 1, 5, 23, 19]
[33, 43, 30, 27, 1, 0, 49, 42, 0, 7, 12, 41, 25, 44, 6, 23, 38, 42, 42, 16, 46, 50, 41, 50, 21, 48, 41, 20, 28, 13, 11, 19, 28, 22, 24, 34, 9, 47, 15, 3, 42, 11, 22, 24, 35, 9, 33, 28, 0, 17, 40, 43, 41, 17, 20, 36, 37, 6, 24, 45, 48, 33, 36, 50, 15, 48, 22, 14, 42, 0, 3, 18, 39, 0, 16, 24, 36, 12, 29, 18, 1, 45, 34, 1, 49, 38, 10, 11, 21, 14, 6, 40, 20, 40, 8, 39, 12, 36, 24, 17, 10, 18, 48, 23, 16, 2, 9, 24, 24, 35, 26, 19, 41, 12, 4, 33, 17, 35, 31, 39]
[34, 19, 27, 43, 46, 28, 6, 42, 7, 0, 15, 38, 1, 32, 18, 38, 8, 8, 33, 45, 0, 27, 19, 14, 5, 49, 13, 28, 46, 1, 10, 12, 38, 26, 22, 12, 43, 46, 22, 7, 38, 44, 4, 48, 7, 18, 7, 3, 9, 8, 47, 14, 0, 35, 39, 39, 42, 36, 40, 19, 14, 41, 28, 24, 11, 24, 44, 29, 35, 23, 49, 42, 49, 1, 24, 48, 12, 19, 32, 5, 13, 24, 24, 1, 42, 36, 24, 33, 28, 29, 5, 28, 40, 29, 5, 6, 8, 20, 10, 2, 46, 2, 4, 30, 42, 8, 26, 7, 12, 20, 14, 45, 47, 25, 23, 41, 20, 9, 4, 15]
