N1,N2,...,Nx
[0, 1, 36, 27, 24, 12, 12, 21, 13, 7, 33, 6, 44, 42, 17, 15, 29, 4, 47, 18, 41, 35, 27, 40]
[1, 0, 13, 40, 42, 37, 0, 11, 12, 42, 50, 11, 5, 3, 42, 36, 36, 49, 49, 12, 43, 21, 41, 42]
[36, 13, 0, 43, 18, 13, 48, 46, 21, 13, 11, 0, 23, 3, 47, 32, 9, 22, 32, 17, 27, 44, 14, 25]
[27, 40, 43, 0, 37, 41, 48, 48, 34, 24, 22, 39, 20, 18, 37, 27, 50, 46, 22, 0, 15, 10, 45, 18]
[24, 42, 18, 37, 0, 14, 11, 10, 45, 19, 11, 28, 32, 49, 28, 45, 5, 45, 39, 47, 30, 22, 16, 42]
[12, 37, 13, 41, 14, 0, 46, 25, 48, 31, 42, 31, 9, 0, 28, 8, 25, 47, 7, 2, 2, 14, 0, 35]
[12, 0, 48, 48, 11, 46, 0, 43, 8, 3, 19, 40, 33, 20, 11, 50, 49, 47, 29, 45, 10, 45, 15, 38]
[21, 11, 46, 48, 10, 25, 43, 0, 2, 25, 43, 43, 8, 18, 13, 12, 29, 28, 0, 3, 7, 7, 20, 20]
[13, 12, 21, 34, 45, 48, 8, 2, 0, 41, 16, 18, 50, 25, 12, 25, 21, 40, 0, 7, 46, 44, 0, 0]
[7, 42, 13, 24, 19, 31, 3, 25, 41, 0, 36, 12, 35, 33, 4, 1, 41, 3, 36, 20, 40, 38, 47, 19]
[33, 50, 11, 22, 11, 42, 19, 43, 16, 36, 0, 18, 32, 11, 10, 45, 37, 5, 25, 12, 35, 30, 44, 50]
[6, 11, 0, 39, 28, 31, 40, 43, 18, 12, 18, 0, 49, 21, 2, 12, 22, 21, 2, 16, 15, 21, 36, 42]
[44, 5, 23, 20, 32, 9, 33, 8, 50, 35, 32, 49, 0, 44, 25, 42, 28, 39, 25, 9, 34, 7, 27, 13]
[42, 3, 3, 18, 49, 0, 20, 18, 25, 33, 11, 21, 44, 0, 23, 27, 38, 2, 39, 18, 6, 22, 39, 50]
[17, 42, 47, 37, 28, 28, 11, 13, 12, 4, 10, 2, 25, 23, 0, 48, 23, 41, 32, 16, 35, 17, 28, 6]
[15, 36, 32, 27, 45, 8, 50, 12, 25, 1, 45, 12, 42, 27, 48, 0, 0, 16, 34, 4, 17, 2, 4, 38]
[29, 36, 9, 50, 5, 25, 49, 29, 21, 41, 37, 22, 28, 38, 23, 0, 0, 7, 28, 3, 23, 18, 12, 18]
[4, 49, 22, 46, 45, 47, 47, 28, 40, 3, 5, 21, 39, 2, 41, 16, 7, 0, 1, 11, 41, 37, 43, 16]
[47, 49, 32, 22, 39, 7, 29, 0, 0, 36, 25, 2, 25, 39, 32, 34, 28, 1, 0, 1, 21, 13, 3, 35]
[18, 12, 17, 0, 47, 2, 45, 3, 7, 20, 12, 16, 9, 18, 16, 4, 3, 11, 1, 0, 30, 46, 15, 11]
[41, 43, 27, 15, 30, 2, 10, 7, 46, 40, 35, 15, 34, 6, 35, 17, 23, 41, 21, 30, 0, 38, 6, 18]
[35, 21, 44, 10, 22, 14, 45, 7, 44, 38, 30, 21, 7, 22, 17, 2, 18, 37, 13, 46, 38, 0, 41, 44]
[27, 41, 14, 45, 16, 0, 15, 20, 0, 47, 44, 36, 27, 39, 28, 4, 12, 43, 3, 15, 6, 41, 0, 31]
[40, 42, 25, 18, 42, 35, 38, 20, 0, 19, 50, 42, 13, 50, 6, 38, 18, 16, 35, 11, 18, 44, 31, 0]
