N1,N2,...,Nx
[0, 43, 22, 13, 19, 46, 3, 1, 14, 41, 48, 42, 2, 40, 9, 9, 32]
[43, 0, 32, 46, 18, 32, 46, 9, 7, 2, 2, 1, 36, 31, 32, 49, 7]
[22, 32, 0, 15, 5, 32, 50, 2, 23, 46, 32, 41, 34, 2, 11, 23, 50]
[13, 46, 15, 0, 33, 42, 11, 30, 28, 30, 29, 39, 49, 3, 12, 49, 0]
[19, 18, 5, 33, 0, 24, 3, 39, 15, 11, 14, 31, 10, 2, 8, 46, 1]
[46, 32, 32, 42, 24, 0, 2, 35, 12, 31, 35, 22, 28, 5, 41, 28, 43]
[3, 46, 50, 11, 3, 2, 0, 48, 30, 6, 39, 15, 28, 26, 42, 50, 10]
[1, 9, 2, 30, 39, 35, 48, 0, 38, 11, 35, 14, 7, 20, 16, 21, 35]
[14, 7, 23, 28, 15, 12, 30, 38, 0, 2, 12, 47, 11, 8, 16, 13, 11]
[41, 2, 46, 30, 11, 31, 6, 11, 2, 0, 21, 10, 41, 37, 1, 10, 50]
[48, 2, 32, 29, 14, 35, 39, 35, 12, 21, 0, 23, 9, 48, 45, 4, 18]
[42, 1, 41, 39, 31, 22, 15, 14, 47, 10, 23, 0, 49, 6, 17, 0, 24]
[2, 36, 34, 49, 10, 28, 28, 7, 11, 41, 9, 49, 0, 7, 1, 40, 6]
[40, 31, 2, 3, 2, 5, 26, 20, 8, 37, 48, 6, 7, 0, 11, 21, 28]
[9, 32, 11, 12, 8, 41, 42, 16, 16, 1, 45, 17, 1, 11, 0, 7, 41]
[9, 49, 23, 49, 46, 28, 50, 21, 13, 10, 4, 0, 40, 21, 7, 0, 27]
[32, 7, 50, 0, 1, 43, 10, 35, 11, 50, 18, 24, 6, 28, 41, 27, 0]
