N1,N2,...,Nx
[0, 16, 49, 15, 26, 24, 38, 26, 21, 32, 50, 47, 39, 37, 40]
[16, 0, 48, 0, 19, 43, 16, 16, 33, 5, 22, 7, 15, 24, 27]
[49, 48, 0, 26, 36, 42, 12, 11, 3, 26, 46, 20, 25, 31, 15]
[15, 0, 26, 0, 37, 39, 40, 19, 25, 7, 10, 39, 50, 12, 50]
[26, 19, 36, 37, 0, 46, 4, 7, 8, 14, 16, 14, 45, 6, 41]
[24, 43, 42, 39, 46, 0, 44, 36, 39, 12, 20, 39, 34, 24, 25]
[38, 16, 12, 40, 4, 44, 0, 2, 46, 26, 9, 46, 28, 22, 42]
[26, 16, 11, 19, 7, 36, 2, 0, 36, 21, 35, 22, 11, 50, 23]
[21, 33, 3, 25, 8, 39, 46, 36, 0, 46, 43, 8, 14, 22, 2]
[32, 5, 26, 7, 14, 12, 26, 21, 46, 0, 12, 6, 29, 13, 7]
[50, 22, 46, 10, 16, 20, 9, 35, 43, 12, 0, 28, 44, 19, 6]
[47, 7, 20, 39, 14, 39, 46, 22, 8, 6, 28, 0, 48, 7, 37]
[39, 15, 25, 50, 45, 34, 28, 11, 14, 29, 44, 48, 0, 49, 40]
[37, 24, 31, 12, 6, 24, 22, 50, 22, 13, 19, 7, 49, 0, 31]
[40, 27, 15, 50, 41, 25, 42, 23, 2, 7, 6, 37, 40, 31, 0]
