N1,N2,...,Nx
[0, 15, 45, 19, 14, 44, 33, 4, 6, 29, 7, 41, 48, 45, 34, 33, 6, 17, 9, 49, 13, 27, 23, 18, 21, 6, 3, 37, 34, 17, 25, 39, 33, 32, 34, 4, 35, 46, 10, 10, 34, 33, 28, 3, 47, 48, 7, 31, 10, 19, 16, 22, 50, 42, 50, 35, 49, 46, 27, 16, 3, 15, 33, 47, 23, 36, 11, 15, 40, 28, 36, 17, 13, 50, 50, 40, 13, 41, 50, 2, 42, 30, 46, 29, 31, 10, 16, 38, 41, 20, 45, 38, 27, 26, 5, 12, 41, 13, 5, 11, 50, 40, 1, 36, 28, 33, 31, 22, 24, 14, 34, 44, 27, 15, 13, 31, 42, 17, 31, 23, 33, 15, 17, 23]
[15, 0, 9, 16, 7, 27, 25, 34, 11, 49, 30, 20, 40, 5, 15, 15, 23, 9, 17, 50, 44, 1, 45, 0, 6, 4, 27, 6, 18, 29, 8, 7, 14, 0, 30, 23, 24, 21, 29, 20, 36, 47, 43, 16, 36, 6, 23, 24, 28, 6, 30, 13, 15, 30, 18, 3, 20, 45, 14, 3, 45, 42, 32, 24, 48, 47, 49, 33, 48, 11, 12, 23, 8, 45, 46, 27, 12, 5, 50, 31, 1, 29, 42, 10, 49, 40, 6, 9, 1, 14, 8, 1, 42, 48, 4, 42, 34, 50, 19, 34, 10, 40, 4, 36, 3, 0, 11, 44, 3, 49, 24, 37, 16, 36, 36, 41, 12, 35, 9, 35, 5, 12, 14, 46]
[45, 9, 0, 8, 29, 24, 10, 36, 15, 20, 45, 37, 20, 27, 15, 41, 11, 39, 43, 32, 21, 3, 22, 35, 34, 15, 33, 5, 19, 2, 8, 21, 34, 31, 29, 35, 3, 36, 12, 31, 37, 49, 43, 48, 21, 6, 17, 19, 12, 10, 43, 36, 11, 23, 36, 31, 50, 30, 13, 31, 1, 50, 12, 36, 9, 49, 5, 8, 17, 32, 22, 34, 44, 14, 34, 9, 15, 19, 2, 31, 12, 34, 1, 47, 9, 23, 43, 10, 49, 25, 0, 40, 18, 26, 29, 48, 27, 46, 24, 15, 9, 7, 8, 17, 32, 34, 50, 12, 4, 35, 25, 33, 26, 12, 8, 39, 2, 16, 30, 0, 23, 26, 46, 33]
[19, 16, 8, 0, 0, 32, 40, 8, 23, 6, 42, 10, 11, 26, 11, 32, 42, 36, 31, 20, 45, 33, 29, 16, 44, 0, 35, 30, 6, 45, 15, 23, 16, 25, 21, 46, 39, 18, 7, 4, 31, 10, 39, 11, 35, 39, 8, 49, 33, 0, 29, 25, 10, 12, 29, 7, 19, 10, 35, 6, 27, 42, 34, 13, 20, 16, 24, 36, 17, 17, 13, 37, 42, 4, 22, 17, 40, 35, 44, 4, 1, 2, 1, 20, 25, 47, 17, 0, 23, 16, 5, 46, 50, 36, 10, 29, 16, 39, 16, 18, 4, 49, 7, 31, 4, 43, 24, 2, 48, 5, 11, 11, 5, 18, 33, 14, 10, 47, 6, 19, 49, 45, 1, 35]
[14, 7, 29, 0, 0, 40, 0, 27, 10, 23, 6, 25, 48, 33, 32, 13, 18, 12, 20, 29, 13, 48, 11, 19, 4, 40, 9, 11, 41, 45, 45, 14, 8, 50, 20, 18, 39, 12, 3, 38, 46, 29, 17, 31, 43, 44, 32, 19, 26, 37, 12, 13, 20, 37, 5, 25, 3, 34, 1, 47, 45, 34, 8, 19, 41, 33, 13, 1, 18, 38, 43, 32, 48, 14, 14, 46, 39, 26, 1, 33, 29, 26, 40, 48, 22, 46, 49, 31, 40, 48, 39, 28, 8, 30, 25, 43, 49, 7, 50, 6, 38, 3, 33, 43, 5, 15, 16, 20, 30, 5, 28, 24, 19, 22, 33, 49, 2, 9, 13, 24, 3, 50, 7, 21]
[44, 27, 24, 32, 40, 0, 8, 1, 2, 47, 21, 11, 10, 49, 43, 6, 46, 17, 22, 16, 0, 7, 20, 38, 20, 45, 42, 38, 47, 41, 21, 47, 47, 45, 23, 21, 14, 29, 6, 19, 3, 29, 6, 13, 39, 33, 14, 45, 14, 26, 11, 12, 35, 0, 35, 2, 35, 7, 12, 36, 5, 28, 40, 9, 8, 11, 16, 31, 4, 40, 4, 22, 43, 36, 18, 9, 8, 49, 26, 45, 48, 16, 39, 33, 5, 32, 45, 10, 7, 0, 5, 8, 2, 17, 39, 27, 24, 3, 8, 32, 10, 13, 21, 30, 15, 7, 22, 3, 7, 15, 13, 25, 3, 26, 7, 31, 48, 30, 41, 8, 30, 30, 15, 47]
[33, 25, 10, 40, 0, 8, 0, 12, 42, 18, 18, 8, 13, 46, 35, 50, 28, 24, 27, 49, 14, 26, 3, 9, 34, 4, 9, 2, 47, 48, 45, 23, 40, 45, 2, 32, 6, 38, 48, 40, 20, 47, 28, 31, 10, 28, 20, 4, 45, 24, 27, 27, 40, 21, 24, 40, 24, 48, 3, 41, 49, 43, 31, 21, 31, 8, 37, 5, 47, 33, 24, 45, 49, 2, 18, 21, 33, 17, 43, 9, 32, 8, 26, 17, 36, 14, 12, 20, 24, 43, 47, 8, 39, 42, 28, 12, 10, 27, 16, 29, 30, 23, 1, 1, 8, 28, 41, 17, 7, 43, 49, 29, 15, 24, 50, 15, 38, 19, 1, 5, 20, 27, 31, 1]
[4, 34, 36, 8, 27, 1, 12, 0, 32, 0, 38, 23, 41, 30, 29, 46, 4, 10, 48, 28, 29, 5, 3, 4, 43, 15, 0, 31, 0, 49, 13, 25, 15, 24, 36, 37, 41, 39, 42, 25, 16, 16, 23, 49, 26, 5, 30, 46, 12, 11, 18, 11, 49, 19, 43, 32, 36, 18, 26, 15, 7, 42, 28, 14, 19, 32, 13, 42, 43, 13, 22, 36, 26, 5, 39, 8, 24, 45, 22, 39, 30, 50, 9, 37, 8, 23, 0, 30, 48, 34, 29, 10, 46, 27, 19, 48, 20, 38, 9, 47, 4, 3, 19, 35, 16, 41, 9, 5, 29, 12, 27, 37, 24, 8, 47, 19, 21, 33, 16, 7, 42, 16, 34, 43]
[6, 11, 15, 23, 10, 2, 42, 32, 0, 34, 3, 39, 26, 32, 0, 48, 34, 14, 13, 50, 27, 49, 42, 49, 5, 4, 6, 45, 26, 20, 1, 42, 1, 45, 16, 33, 30, 45, 40, 17, 28, 6, 19, 19, 30, 39, 41, 39, 31, 43, 7, 30, 30, 27, 33, 32, 15, 35, 50, 33, 48, 35, 2, 44, 36, 44, 34, 46, 6, 27, 40, 19, 21, 1, 11, 26, 7, 2, 0, 15, 25, 47, 45, 39, 23, 19, 30, 32, 10, 34, 6, 49, 49, 5, 14, 48, 31, 46, 15, 36, 44, 9, 46, 22, 24, 4, 18, 42, 13, 9, 0, 21, 33, 44, 26, 15, 5, 28, 42, 22, 43, 25, 27, 14]
[29, 49, 20, 6, 23, 47, 18, 0, 34, 0, 19, 46, 23, 0, 50, 13, 49, 46, 38, 45, 30, 27, 14, 29, 7, 1, 8, 34, 36, 8, 9, 25, 42, 50, 10, 33, 48, 23, 26, 42, 3, 6, 26, 35, 37, 32, 42, 42, 28, 15, 28, 7, 31, 33, 44, 34, 1, 25, 37, 3, 1, 32, 20, 22, 37, 19, 33, 27, 50, 33, 36, 26, 13, 33, 32, 0, 11, 33, 16, 40, 37, 19, 43, 5, 49, 19, 10, 12, 21, 18, 11, 7, 13, 8, 34, 9, 39, 13, 46, 19, 21, 17, 31, 7, 4, 27, 22, 35, 36, 27, 19, 9, 37, 15, 9, 34, 43, 17, 44, 24, 0, 33, 10, 34]
