N1,N2,...,Nx
[0, 10, 46, 21, 0, 18, 23, 10, 4, 32, 37, 3, 46, 0, 16, 39, 32, 31, 31, 16, 13, 8, 15, 47, 25, 16, 17, 5, 46, 29, 10, 10, 26, 36, 25, 27, 2, 36, 14, 17, 30, 11, 19, 28, 41, 6, 21, 26, 18, 21, 0, 13, 10, 20, 18, 46, 35, 1, 29, 47, 10, 41, 47, 26, 35, 25, 2, 32, 50, 29, 28, 9, 21, 9, 46, 4, 39, 22, 48, 43, 20, 1]
[10, 0, 8, 50, 13, 39, 21, 50, 43, 2, 18, 6, 48, 41, 49, 14, 6, 10, 8, 45, 13, 0, 44, 6, 7, 45, 34, 16, 27, 0, 19, 35, 37, 43, 20, 3, 23, 20, 39, 34, 41, 10, 14, 35, 8, 17, 47, 19, 9, 27, 5, 9, 9, 46, 17, 7, 8, 28, 25, 43, 26, 1, 16, 19, 40, 45, 33, 14, 43, 21, 42, 20, 6, 25, 0, 39, 8, 9, 4, 9, 5, 25]
[46, 8, 0, 14, 10, 47, 25, 50, 25, 4, 1, 44, 17, 37, 37, 36, 3, 36, 2, 31, 37, 14, 6, 22, 4, 42, 22, 33, 34, 37, 21, 0, 34, 16, 25, 14, 30, 18, 9, 16, 23, 46, 45, 1, 8, 24, 36, 24, 35, 43, 0, 4, 15, 37, 40, 3, 17, 48, 3, 31, 22, 10, 33, 27, 40, 30, 11, 4, 12, 26, 27, 18, 38, 2, 50, 2, 44, 3, 16, 29, 39, 28]
[21, 50, 14, 0, 40, 38, 39, 23, 39, 17, 48, 0, 4, 10, 36, 48, 10, 26, 7, 8, 34, 40, 6, 20, 10, 50, 25, 21, 21, 23, 8, 34, 39, 26, 26, 39, 42, 21, 25, 17, 30, 24, 41, 35, 3, 14, 45, 24, 8, 14, 10, 12, 36, 19, 19, 5, 36, 22, 10, 47, 22, 28, 6, 44, 24, 40, 32, 2, 5, 11, 48, 41, 13, 26, 43, 3, 8, 27, 32, 11, 46, 27]
[0, 13, 10, 40, 0, 44, 43, 10, 36, 1, 18, 46, 49, 41, 28, 36, 50, 27, 0, 1, 35, 9, 47, 37, 44, 15, 14, 32, 7, 22, 22, 2, 10, 32, 7, 6, 41, 5, 14, 23, 36, 15, 37, 20, 2, 19, 21, 34, 41, 10, 0, 4, 37, 36, 49, 14, 40, 48, 41, 11, 33, 26, 7, 29, 24, 27, 26, 2, 18, 2, 35, 24, 3, 13, 40, 47, 11, 21, 27, 21, 5, 1]
[18, 39, 47, 38, 44, 0, 44, 44, 43, 48, 23, 0, 41, 7, 17, 11, 42, 20, 23, 16, 49, 15, 49, 16, 21, 17, 3, 47, 20, 49, 45, 29, 14, 42, 11, 44, 40, 9, 17, 49, 46, 23, 45, 6, 18, 28, 26, 9, 25, 45, 48, 45, 20, 49, 28, 13, 12, 17, 14, 23, 10, 1, 21, 39, 1, 26, 14, 15, 0, 44, 37, 18, 22, 36, 4, 23, 7, 9, 46, 28, 22, 45]
[23, 21, 25, 39, 43, 44, 0, 32, 6, 46, 4, 13, 1, 11, 0, 36, 39, 33, 29, 20, 35, 48, 20, 24, 38, 17, 32, 7, 2, 45, 29, 21, 1, 14, 22, 0, 31, 22, 12, 22, 24, 13, 48, 37, 12, 38, 6, 24, 27, 46, 9, 22, 19, 10, 10, 50, 23, 0, 15, 6, 10, 9, 38, 7, 4, 31, 26, 33, 19, 10, 36, 32, 16, 43, 27, 6, 27, 43, 9, 18, 8, 7]
[10, 50, 50, 23, 10, 44, 32, 0, 10, 3, 41, 17, 4, 3, 11, 8, 28, 29, 6, 0, 3, 9, 38, 10, 25, 24, 46, 13, 19, 5, 17, 7, 36, 45, 33, 41, 33, 1, 26, 25, 34, 18, 29, 0, 24, 4, 38, 14, 8, 47, 7, 19, 31, 31, 18, 20, 8, 13, 33, 48, 34, 1, 23, 7, 6, 28, 9, 19, 41, 3, 36, 38, 31, 41, 45, 17, 31, 20, 16, 36, 50, 18]
[4, 43, 25, 39, 36, 43, 6, 10, 0, 26, 30, 15, 2, 44, 11, 46, 16, 30, 9, 29, 33, 14, 3, 3, 2, 30, 44, 18, 14, 32, 46, 17, 8, 14, 26, 18, 17, 30, 8, 45, 44, 20, 6, 4, 9, 45, 10, 40, 42, 44, 41, 3, 41, 46, 36, 50, 33, 50, 48, 36, 33, 11, 4, 24, 41, 27, 43, 46, 34, 21, 15, 45, 22, 10, 31, 34, 5, 38, 3, 9, 18, 29]
[32, 2, 4, 17, 1, 48, 46, 3, 26, 0, 12, 50, 3, 20, 27, 10, 29, 33, 23, 24, 2, 27, 32, 11, 6, 26, 39, 29, 32, 39, 22, 20, 44, 28, 48, 19, 47, 22, 26, 27, 8, 3, 6, 24, 25, 31, 41, 16, 31, 42, 35, 45, 0, 1, 30, 30, 46, 49, 30, 39, 43, 1, 12, 19, 38, 15, 40, 29, 29, 6, 2, 23, 2, 41, 19, 43, 38, 5, 14, 23, 2, 2]
