N1,N2,...,Nx
[0, 16, 29, 47, 22, 49, 47, 28, 5, 12, 33, 14, 20, 32, 21, 10, 28, 26, 23, 10, 37]
[16, 0, 43, 45, 31, 25, 16, 2, 4, 44, 37, 50, 17, 29, 45, 25, 50, 30, 7, 46, 15]
[29, 43, 0, 31, 9, 21, 43, 33, 34, 2, 3, 8, 7, 29, 34, 46, 40, 5, 47, 43, 39]
[47, 45, 31, 0, 13, 43, 16, 33, 27, 28, 31, 10, 29, 48, 31, 43, 15, 12, 18, 10, 11]
[22, 31, 9, 13, 0, 17, 24, 1, 14, 30, 3, 18, 24, 43, 49, 25, 16, 10, 8, 20, 0]
[49, 25, 21, 43, 17, 0, 41, 14, 18, 6, 37, 1, 50, 13, 1, 1, 9, 17, 44, 32, 17]
[47, 16, 43, 16, 24, 41, 0, 8, 15, 3, 7, 39, 32, 11, 48, 13, 21, 29, 34, 49, 49]
[28, 2, 33, 33, 1, 14, 8, 0, 50, 45, 22, 32, 12, 7, 25, 18, 16, 18, 11, 31, 21]
[5, 4, 34, 27, 14, 18, 15, 50, 0, 0, 2, 9, 23, 4, 10, 3, 9, 3, 10, 1, 25]
[12, 44, 2, 28, 30, 6, 3, 45, 0, 0, 30, 2, 41, 37, 13, 1, 45, 16, 4, 30, 25]
[33, 37, 3, 31, 3, 37, 7, 22, 2, 30, 0, 0, 22, 8, 16, 9, 44, 25, 18, 4, 42]
[14, 50, 8, 10, 18, 1, 39, 32, 9, 2, 0, 0, 3, 44, 1, 49, 32, 45, 15, 32, 11]
[20, 17, 7, 29, 24, 50, 32, 12, 23, 41, 22, 3, 0, 47, 30, 50, 32, 43, 41, 25, 36]
[32, 29, 29, 48, 43, 13, 11, 7, 4, 37, 8, 44, 47, 0, 37, 27, 38, 0, 34, 11, 4]
[21, 45, 34, 31, 49, 1, 48, 25, 10, 13, 16, 1, 30, 37, 0, 1, 26, 46, 13, 32, 14]
[10, 25, 46, 43, 25, 1, 13, 18, 3, 1, 9, 49, 50, 27, 1, 0, 36, 48, 43, 28, 29]
[28, 50, 40, 15, 16, 9, 21, 16, 9, 45, 44, 32, 32, 38, 26, 36, 0, 19, 0, 8, 10]
[26, 30, 5, 12, 10, 17, 29, 18, 3, 16, 25, 45, 43, 0, 46, 48, 19, 0, 50, 8, 12]
[23, 7, 47, 18, 8, 44, 34, 11, 10, 4, 18, 15, 41, 34, 13, 43, 0, 50, 0, 35, 1]
[10, 46, 43, 10, 20, 32, 49, 31, 1, 30, 4, 32, 25, 11, 32, 28, 8, 8, 35, 0, 4]
[37, 15, 39, 11, 0, 17, 49, 21, 25, 25, 42, 11, 36, 4, 14, 29, 10, 12, 1, 4, 0]
