N1,N2,...,Nx
[0, 29, 21, 17, 19, 20, 21, 38, 48, 5, 9, 30, 16, 19, 19, 26, 11, 23, 27, 11, 9, 33, 18, 32, 47, 5, 11, 35, 8, 43, 26, 7, 21, 5, 12, 6, 1, 48, 45, 43, 25, 9, 38, 47, 39, 46, 34, 46, 2, 4, 21, 34, 5, 34, 29, 17, 40, 4, 23, 19, 37, 47, 40, 1]
[29, 0, 22, 41, 24, 40, 28, 21, 49, 25, 1, 48, 44, 17, 3, 12, 38, 0, 46, 28, 41, 49, 39, 35, 25, 30, 10, 35, 36, 2, 1, 36, 18, 27, 19, 23, 36, 43, 28, 40, 11, 24, 43, 19, 26, 0, 30, 21, 17, 9, 19, 2, 47, 28, 36, 41, 26, 16, 36, 30, 14, 27, 7, 12]
[21, 22, 0, 6, 35, 37, 3, 23, 38, 7, 24, 2, 11, 30, 48, 10, 44, 15, 30, 49, 11, 0, 47, 42, 42, 41, 45, 42, 11, 4, 27, 45, 24, 1, 28, 31, 32, 4, 42, 48, 5, 10, 17, 10, 14, 28, 45, 6, 21, 25, 24, 32, 21, 23, 31, 28, 16, 46, 5, 23, 44, 25, 16, 27]
[17, 41, 6, 0, 19, 50, 32, 10, 37, 39, 39, 10, 35, 20, 36, 27, 28, 19, 48, 21, 48, 46, 47, 40, 47, 39, 22, 45, 48, 32, 5, 41, 35, 43, 7, 38, 26, 42, 37, 24, 46, 38, 7, 47, 30, 13, 9, 39, 42, 25, 13, 32, 9, 37, 12, 46, 49, 29, 5, 10, 45, 34, 42, 4]
[19, 24, 35, 19, 0, 46, 22, 38, 41, 30, 11, 38, 34, 19, 49, 49, 22, 19, 31, 16, 2, 39, 5, 39, 45, 34, 17, 19, 10, 37, 29, 46, 45, 44, 34, 12, 9, 40, 17, 13, 14, 20, 19, 4, 4, 38, 34, 37, 15, 1, 4, 15, 12, 2, 3, 16, 41, 35, 17, 31, 7, 5, 40, 16]
[20, 40, 37, 50, 46, 0, 17, 40, 48, 8, 33, 39, 41, 48, 20, 32, 18, 30, 49, 11, 7, 39, 32, 24, 36, 19, 50, 30, 11, 29, 29, 13, 43, 29, 6, 32, 31, 7, 27, 32, 22, 10, 42, 50, 47, 44, 45, 22, 47, 34, 24, 6, 6, 34, 25, 28, 49, 43, 13, 5, 6, 39, 4, 2]
[21, 28, 3, 32, 22, 17, 0, 18, 35, 20, 7, 44, 6, 23, 23, 2, 38, 19, 9, 41, 21, 28, 31, 3, 26, 36, 20, 20, 46, 34, 4, 18, 30, 48, 14, 10, 16, 16, 14, 20, 4, 16, 9, 47, 43, 0, 28, 21, 42, 5, 43, 22, 23, 38, 33, 49, 18, 11, 26, 22, 21, 13, 47, 2]
[38, 21, 23, 10, 38, 40, 18, 0, 19, 6, 35, 43, 31, 43, 46, 19, 0, 29, 47, 35, 11, 41, 42, 15, 29, 7, 5, 29, 38, 23, 7, 40, 15, 10, 44, 30, 34, 45, 45, 8, 26, 24, 11, 40, 36, 17, 14, 42, 28, 38, 47, 11, 10, 48, 3, 15, 4, 49, 44, 31, 4, 28, 8, 26]
[48, 49, 38, 37, 41, 48, 35, 19, 0, 2, 4, 4, 44, 25, 1, 14, 12, 9, 44, 18, 43, 12, 44, 21, 3, 7, 32, 8, 40, 5, 9, 34, 46, 49, 49, 43, 13, 47, 17, 23, 12, 13, 3, 20, 42, 0, 16, 6, 5, 50, 17, 48, 10, 38, 16, 13, 4, 48, 14, 36, 45, 7, 34, 13]
[5, 25, 7, 39, 30, 8, 20, 6, 2, 0, 32, 47, 20, 47, 10, 22, 30, 26, 3, 26, 3, 29, 4, 38, 32, 4, 5, 37, 5, 11, 46, 47, 50, 36, 1, 48, 9, 24, 24, 32, 39, 45, 30, 27, 10, 22, 31, 27, 1, 2, 1, 24, 39, 29, 17, 16, 40, 23, 23, 41, 30, 5, 43, 1]
[9, 1, 24, 39, 11, 33, 7, 35, 4, 32, 0, 36, 35, 6, 28, 15, 21, 16, 49, 25, 47, 48, 17, 44, 10, 1, 3, 37, 3, 12, 37, 25, 6, 46, 27, 20, 28, 22, 46, 26, 15, 12, 3, 13, 25, 32, 19, 38, 33, 38, 33, 19, 9, 49, 38, 49, 14, 41, 29, 27, 41, 10, 25, 20]
[30, 48, 2, 10, 38, 39, 44, 43, 4, 47, 36, 0, 0, 22, 10, 3, 7, 15, 36, 25, 40, 1, 22, 30, 10, 20, 35, 39, 33, 22, 41, 5, 17, 46, 22, 17, 15, 46, 39, 26, 38, 39, 44, 5, 19, 40, 8, 50, 33, 46, 23, 31, 20, 42, 50, 50, 25, 12, 1, 45, 21, 29, 34, 12]
[16, 44, 11, 35, 34, 41, 6, 31, 44, 20, 35, 0, 0, 45, 47, 15, 25, 36, 8, 11, 14, 36, 8, 6, 43, 7, 25, 7, 44, 7, 30, 34, 25, 50, 2, 11, 9, 46, 10, 24, 42, 18, 50, 21, 50, 39, 45, 49, 47, 12, 21, 38, 20, 14, 11, 41, 6, 12, 21, 12, 41, 29, 35, 11]
[19, 17, 30, 20, 19, 48, 23, 43, 25, 47, 6, 22, 45, 0, 13, 4, 4, 11, 37, 30, 40, 19, 11, 10, 3, 0, 4, 41, 43, 8, 13, 22, 45, 0, 34, 11, 1, 49, 30, 47, 19, 31, 22, 0, 40, 4, 46, 23, 1, 38, 41, 11, 35, 24, 33, 7, 15, 48, 14, 8, 25, 48, 19, 47]
[19, 3, 48, 36, 49, 20, 23, 46, 1, 10, 28, 10, 47, 13, 0, 2, 39, 45, 37, 4, 46, 5, 33, 39, 37, 33, 38, 15, 45, 12, 36, 46, 50, 15, 15, 15, 47, 0, 19, 18, 38, 15, 8, 38, 32, 39, 10, 16, 40, 17, 6, 43, 43, 32, 49, 35, 21, 6, 13, 15, 7, 10, 47, 36]
[26, 12, 10, 27, 49, 32, 2, 19, 14, 22, 15, 3, 15, 4, 2, 0, 25, 23, 16, 30, 50, 29, 8, 39, 21, 37, 50, 27, 48, 34, 27, 22, 38, 37, 41, 40, 12, 39, 38, 13, 7, 10, 46, 35, 39, 46, 4, 42, 5, 8, 6, 18, 37, 5, 15, 44, 25, 33, 23, 27, 10, 25, 34, 14]
[11, 38, 44, 28, 22, 18, 38, 0, 12, 30, 21, 7, 25, 4, 39, 25, 0, 28, 34, 44, 42, 42, 3, 35, 44, 8, 18, 29, 48, 21, 40, 22, 0, 17, 35, 28, 21, 10, 3, 49, 46, 17, 5, 3, 45, 26, 5, 21, 47, 30, 50, 1, 16, 19, 29, 45, 10, 4, 19, 46, 37, 24, 41, 11]
[23, 0, 15, 19, 19, 30, 19, 29, 9, 26, 16, 15, 36, 11, 45, 23, 28, 0, 19, 11, 38, 30, 28, 0, 8, 29, 5, 48, 21, 40, 22, 23, 47, 19, 41, 10, 35, 37, 41, 4, 42, 37, 48, 28, 22, 42, 16, 36, 32, 13, 50, 45, 44, 47, 19, 48, 19, 47, 34, 9, 6, 30, 49, 34]
[27, 46, 30, 48, 31, 49, 9, 47, 44, 3, 49, 36, 8, 37, 37, 16, 34, 19, 0, 44, 23, 41, 13, 3, 7, 47, 10, 7, 28, 20, 1, 38, 26, 7, 19, 0, 48, 2, 49, 45, 17, 19, 15, 3, 32, 19, 2, 42, 14, 43, 22, 23, 18, 18, 12, 37, 36, 38, 28, 3, 42, 25, 36, 9]
[11, 28, 49, 21, 16, 11, 41, 35, 18, 26, 25, 25, 11, 30, 4, 30, 44, 11, 44, 0, 19, 33, 38, 10, 39, 30, 44, 9, 9, 32, 48, 14, 14, 19, 1, 14, 1, 11, 22, 27, 43, 39, 28, 49, 40, 29, 0, 37, 16, 5, 24, 0, 35, 29, 28, 12, 14, 37, 2, 22, 0, 21, 5, 19]
