N1,N2,...,Nx
[0, 1, 27, 10, 0, 35, 24, 27, 18, 44, 24, 25, 36, 3, 13, 41, 9, 35, 19, 0, 2, 7, 50, 47, 26, 30, 26, 9, 2, 49, 8, 36, 42, 34, 5, 17, 17, 1, 32, 25, 29, 16, 6, 47, 24, 10, 21, 32, 9, 29, 24, 37, 9, 29, 42, 25, 42, 37]
[1, 0, 28, 28, 34, 4, 21, 11, 1, 3, 13, 35, 21, 46, 27, 25, 44, 5, 32, 46, 34, 6, 5, 18, 29, 49, 24, 29, 21, 37, 21, 34, 44, 32, 25, 39, 0, 27, 13, 31, 13, 36, 44, 14, 27, 36, 36, 0, 41, 44, 11, 43, 36, 22, 14, 39, 16, 43]
[27, 28, 0, 32, 25, 7, 42, 20, 23, 12, 48, 11, 34, 24, 17, 36, 47, 26, 10, 25, 0, 2, 23, 43, 22, 21, 0, 0, 2, 7, 48, 28, 0, 14, 10, 16, 49, 16, 38, 46, 7, 21, 34, 37, 49, 29, 8, 7, 12, 43, 6, 23, 22, 36, 0, 48, 44, 39]
[10, 28, 32, 0, 33, 6, 42, 7, 29, 7, 36, 33, 34, 6, 10, 47, 7, 15, 50, 33, 8, 39, 14, 12, 39, 26, 38, 42, 40, 34, 19, 17, 49, 33, 45, 21, 6, 10, 26, 8, 42, 21, 4, 11, 30, 32, 40, 49, 20, 4, 42, 50, 11, 27, 42, 15, 26, 30]
[0, 34, 25, 33, 0, 11, 31, 32, 41, 1, 3, 18, 13, 5, 48, 35, 26, 38, 25, 9, 14, 24, 38, 7, 25, 45, 41, 5, 28, 27, 50, 7, 23, 7, 21, 46, 48, 14, 6, 38, 47, 22, 23, 46, 4, 17, 11, 9, 27, 41, 42, 37, 36, 3, 28, 7, 33, 39]
[35, 4, 7, 6, 11, 0, 11, 0, 26, 3, 24, 24, 42, 23, 26, 3, 2, 47, 47, 39, 2, 42, 43, 2, 2, 18, 6, 29, 5, 19, 44, 18, 14, 27, 17, 36, 41, 47, 43, 12, 8, 20, 10, 16, 28, 1, 19, 9, 24, 42, 36, 6, 20, 25, 21, 17, 47, 3]
[24, 21, 42, 42, 31, 11, 0, 32, 37, 1, 39, 45, 39, 25, 46, 24, 11, 1, 18, 13, 1, 4, 24, 41, 26, 14, 10, 30, 44, 13, 45, 0, 14, 17, 3, 0, 7, 48, 50, 21, 35, 22, 15, 17, 17, 48, 35, 26, 34, 38, 39, 22, 22, 3, 17, 37, 49, 31]
[27, 11, 20, 7, 32, 0, 32, 0, 21, 26, 44, 7, 45, 48, 29, 26, 43, 49, 45, 28, 38, 6, 5, 7, 3, 3, 20, 7, 16, 30, 4, 47, 28, 27, 30, 1, 6, 8, 7, 21, 38, 23, 17, 42, 46, 3, 16, 16, 3, 22, 5, 2, 44, 0, 23, 31, 46, 31]
[18, 1, 23, 29, 41, 26, 37, 21, 0, 25, 35, 38, 30, 10, 40, 12, 28, 12, 6, 13, 49, 41, 34, 37, 9, 6, 18, 16, 35, 50, 46, 5, 25, 43, 12, 23, 38, 46, 43, 44, 46, 19, 30, 45, 24, 1, 24, 24, 34, 35, 15, 41, 29, 43, 43, 9, 38, 22]
[44, 3, 12, 7, 1, 3, 1, 26, 25, 0, 36, 6, 25, 38, 27, 3, 36, 3, 44, 41, 48, 10, 47, 28, 13, 49, 4, 4, 47, 18, 39, 5, 41, 28, 0, 6, 7, 10, 3, 46, 25, 24, 13, 39, 32, 24, 42, 46, 2, 5, 31, 10, 26, 47, 29, 5, 34, 22]
