N1,N2,...,Nx
[0, 50, 49, 16, 27, 14, 41, 21, 24, 46, 41, 8, 45, 45, 34, 22, 15, 2, 20, 25, 31, 25, 29, 13, 30, 28, 39, 10, 39, 34, 35, 40, 40, 9, 45, 20, 45, 10, 1, 31, 40, 7, 42, 33, 25, 27, 42, 6, 14, 30, 25, 28, 2, 43, 43, 12, 18, 23, 50, 39, 7, 11]
[50, 0, 11, 32, 13, 1, 39, 12, 36, 10, 31, 26, 43, 37, 6, 16, 3, 45, 46, 31, 43, 45, 21, 13, 32, 21, 11, 8, 32, 27, 12, 49, 29, 32, 20, 0, 16, 2, 17, 21, 3, 31, 46, 18, 3, 4, 44, 12, 17, 28, 21, 7, 42, 25, 34, 20, 46, 13, 9, 1, 47, 17]
[49, 11, 0, 36, 47, 44, 7, 41, 29, 6, 38, 1, 19, 46, 9, 45, 42, 5, 16, 28, 25, 7, 14, 7, 31, 44, 2, 15, 30, 45, 0, 18, 37, 1, 39, 15, 11, 6, 33, 43, 0, 5, 27, 32, 29, 13, 44, 31, 46, 48, 26, 43, 8, 10, 10, 33, 35, 12, 1, 28, 45, 8]
[16, 32, 36, 0, 4, 37, 24, 4, 25, 2, 4, 5, 12, 39, 6, 22, 27, 15, 15, 25, 5, 21, 6, 38, 46, 0, 26, 42, 43, 28, 5, 40, 32, 20, 16, 27, 3, 23, 47, 34, 20, 22, 11, 11, 28, 20, 25, 40, 33, 20, 4, 23, 0, 38, 24, 3, 14, 37, 46, 31, 35, 31]
[27, 13, 47, 4, 0, 50, 43, 39, 3, 11, 41, 17, 39, 18, 8, 37, 48, 17, 17, 9, 11, 9, 21, 46, 20, 44, 36, 12, 33, 0, 26, 46, 18, 36, 24, 31, 6, 27, 32, 38, 38, 39, 19, 34, 15, 39, 6, 3, 28, 12, 12, 37, 12, 47, 36, 9, 39, 6, 8, 17, 22, 2]
[14, 1, 44, 37, 50, 0, 15, 43, 43, 3, 47, 44, 2, 19, 11, 43, 45, 20, 5, 5, 15, 8, 16, 50, 37, 34, 36, 6, 30, 14, 14, 39, 23, 38, 30, 30, 3, 29, 10, 46, 38, 38, 27, 12, 3, 13, 29, 38, 10, 4, 0, 26, 33, 40, 41, 31, 28, 42, 16, 50, 22, 40]
[41, 39, 7, 24, 43, 15, 0, 49, 4, 41, 48, 0, 0, 15, 37, 16, 16, 19, 1, 24, 9, 24, 29, 16, 28, 34, 22, 30, 7, 1, 46, 46, 15, 32, 10, 2, 35, 20, 48, 18, 44, 8, 25, 37, 7, 31, 31, 37, 9, 19, 40, 43, 29, 36, 27, 9, 31, 4, 21, 17, 30, 10]
[21, 12, 41, 4, 39, 43, 49, 0, 25, 9, 27, 43, 2, 41, 22, 25, 42, 23, 31, 32, 28, 28, 33, 22, 34, 1, 22, 38, 23, 43, 11, 33, 20, 1, 44, 20, 8, 19, 32, 37, 22, 19, 6, 40, 5, 27, 34, 1, 2, 8, 22, 6, 26, 14, 23, 7, 37, 16, 30, 31, 12, 23]
[24, 36, 29, 25, 3, 43, 4, 25, 0, 9, 1, 16, 35, 14, 2, 35, 16, 27, 15, 12, 11, 50, 41, 38, 11, 43, 43, 15, 40, 43, 13, 19, 46, 1, 0, 48, 36, 43, 44, 46, 1, 46, 31, 12, 34, 29, 42, 43, 34, 42, 16, 41, 44, 28, 11, 43, 8, 30, 21, 50, 15, 25]
[46, 10, 6, 2, 11, 3, 41, 9, 9, 0, 37, 49, 38, 29, 34, 25, 48, 11, 25, 2, 38, 40, 38, 9, 15, 27, 46, 40, 35, 23, 39, 30, 2, 39, 44, 27, 2, 34, 16, 12, 25, 12, 15, 27, 47, 28, 19, 35, 30, 29, 47, 5, 47, 11, 45, 15, 48, 42, 8, 25, 4, 44]
[41, 31, 38, 4, 41, 47, 48, 27, 1, 37, 0, 15, 36, 16, 44, 11, 39, 14, 14, 17, 50, 28, 33, 40, 11, 11, 46, 10, 12, 32, 18, 20, 38, 8, 0, 7, 47, 40, 48, 24, 9, 46, 5, 34, 16, 39, 9, 40, 33, 17, 38, 25, 21, 15, 39, 36, 50, 14, 1, 32, 8, 39]
[8, 26, 1, 5, 17, 44, 0, 43, 16, 49, 15, 0, 1, 22, 13, 35, 28, 9, 18, 43, 49, 40, 3, 11, 22, 24, 15, 21, 0, 46, 10, 10, 0, 36, 17, 8, 47, 0, 16, 14, 23, 42, 34, 14, 1, 2, 45, 4, 12, 35, 22, 18, 40, 37, 36, 35, 47, 49, 15, 24, 4, 5]
[45, 43, 19, 12, 39, 2, 0, 2, 35, 38, 36, 1, 0, 18, 33, 29, 31, 40, 29, 38, 3, 32, 22, 13, 37, 41, 26, 32, 17, 14, 2, 21, 21, 24, 35, 30, 23, 9, 8, 19, 49, 45, 34, 6, 49, 35, 44, 48, 5, 25, 4, 18, 33, 40, 14, 1, 23, 12, 29, 27, 17, 48]
[45, 37, 46, 39, 18, 19, 15, 41, 14, 29, 16, 22, 18, 0, 23, 49, 7, 13, 35, 30, 39, 36, 44, 25, 33, 34, 30, 14, 1, 41, 32, 18, 47, 22, 14, 39, 41, 13, 9, 49, 31, 10, 5, 36, 35, 11, 17, 4, 1, 11, 13, 28, 40, 43, 40, 32, 34, 25, 15, 0, 26, 10]
[34, 6, 9, 6, 8, 11, 37, 22, 2, 34, 44, 13, 33, 23, 0, 30, 45, 1, 27, 20, 19, 37, 11, 35, 46, 6, 37, 7, 21, 23, 49, 50, 25, 26, 6, 35, 49, 9, 37, 12, 45, 48, 0, 22, 49, 45, 43, 12, 48, 1, 48, 5, 49, 34, 15, 4, 25, 3, 17, 33, 2, 24]
[22, 16, 45, 22, 37, 43, 16, 25, 35, 25, 11, 35, 29, 49, 30, 0, 42, 47, 10, 28, 49, 49, 50, 12, 8, 22, 11, 37, 44, 28, 37, 23, 25, 5, 40, 43, 24, 8, 28, 48, 7, 6, 20, 48, 2, 9, 16, 31, 40, 29, 32, 7, 10, 48, 14, 13, 50, 1, 1, 20, 22, 4]
[15, 3, 42, 27, 48, 45, 16, 42, 16, 48, 39, 28, 31, 7, 45, 42, 0, 45, 40, 30, 40, 19, 39, 19, 25, 6, 1, 19, 31, 3, 33, 50, 34, 12, 23, 5, 8, 47, 6, 23, 37, 34, 19, 47, 9, 2, 39, 29, 17, 28, 41, 42, 50, 37, 50, 47, 15, 23, 29, 12, 0, 36]
[2, 45, 5, 15, 17, 20, 19, 23, 27, 11, 14, 9, 40, 13, 1, 47, 45, 0, 42, 34, 32, 12, 2, 9, 36, 24, 13, 2, 5, 41, 26, 8, 5, 33, 30, 23, 41, 34, 26, 17, 11, 29, 21, 0, 20, 35, 31, 19, 17, 35, 18, 22, 11, 33, 15, 28, 25, 9, 50, 4, 40, 41]
[20, 46, 16, 15, 17, 5, 1, 31, 15, 25, 14, 18, 29, 35, 27, 10, 40, 42, 0, 16, 0, 21, 49, 34, 48, 37, 40, 30, 30, 36, 6, 40, 28, 2, 29, 43, 24, 14, 22, 31, 21, 33, 13, 16, 25, 35, 28, 37, 48, 5, 31, 6, 11, 11, 8, 11, 21, 16, 35, 32, 28, 2]
[25, 31, 28, 25, 9, 5, 24, 32, 12, 2, 17, 43, 38, 30, 20, 28, 30, 34, 16, 0, 15, 18, 11, 35, 0, 8, 50, 43, 18, 26, 35, 13, 16, 9, 22, 18, 32, 32, 25, 49, 25, 46, 42, 47, 50, 19, 3, 43, 33, 44, 32, 3, 24, 40, 7, 31, 24, 22, 7, 30, 8, 25]
[31, 43, 25, 5, 11, 15, 9, 28, 11, 38, 50, 49, 3, 39, 19, 49, 40, 32, 0, 15, 0, 18, 5, 2, 37, 20, 30, 38, 10, 21, 9, 19, 6, 36, 19, 17, 6, 20, 36, 1, 2, 2, 38, 27, 5, 3, 21, 4, 2, 10, 38, 30, 34, 16, 29, 17, 37, 29, 50, 3, 25, 21]
[25, 45, 7, 21, 9, 8, 24, 28, 50, 40, 28, 40, 32, 36, 37, 49, 19, 12, 21, 18, 18, 0, 10, 10, 41, 5, 45, 18, 14, 38, 42, 43, 49, 16, 44, 8, 27, 47, 43, 6, 21, 42, 25, 16, 30, 31, 2, 7, 41, 32, 31, 8, 12, 39, 31, 26, 31, 24, 49, 24, 20, 5]
[29, 21, 14, 6, 21, 16, 29, 33, 41, 38, 33, 3, 22, 44, 11, 50, 39, 2, 49, 11, 5, 10, 0, 40, 31, 14, 49, 17, 17, 18, 0, 12, 29, 24, 14, 33, 6, 12, 31, 28, 11, 17, 14, 48, 9, 31, 6, 49, 47, 49, 50, 24, 38, 50, 7, 46, 49, 18, 33, 32, 8, 46]
[13, 13, 7, 38, 46, 50, 16, 22, 38, 9, 40, 11, 13, 25, 35, 12, 19, 9, 34, 35, 2, 10, 40, 0, 2, 36, 38, 16, 11, 28, 31, 7, 40, 18, 19, 34, 43, 2, 18, 39, 5, 44, 35, 14, 25, 7, 13, 48, 12, 1, 45, 15, 7, 48, 6, 40, 3, 30, 10, 35, 27, 27]
[30, 32, 31, 46, 20, 37, 28, 34, 11, 15, 11, 22, 37, 33, 46, 8, 25, 36, 48, 0, 37, 41, 31, 2, 0, 9, 42, 4, 28, 49, 44, 30, 46, 32, 29, 3, 13, 39, 11, 36, 43, 50, 22, 45, 14, 44, 8, 27, 0, 49, 43, 45, 46, 37, 21, 44, 4, 33, 16, 39, 12, 30]
[28, 21, 44, 0, 44, 34, 34, 1, 43, 27, 11, 24, 41, 34, 6, 22, 6, 24, 37, 8, 20, 5, 14, 36, 9, 0, 8, 46, 30, 2, 10, 14, 2, 2, 44, 41, 14, 38, 10, 0, 40, 27, 24, 8, 49, 30, 30, 33, 35, 44, 9, 23, 16, 19, 44, 23, 50, 11, 25, 0, 8, 38]
[39, 11, 2, 26, 36, 36, 22, 22, 43, 46, 46, 15, 26, 30, 37, 11, 1, 13, 40, 50, 30, 45, 49, 38, 42, 8, 0, 5, 41, 16, 47, 47, 20, 5, 49, 31, 5, 6, 49, 15, 34, 12, 31, 13, 3, 38, 20, 6, 27, 15, 12, 13, 40, 48, 2, 47, 24, 31, 18, 8, 18, 35]
[10, 8, 15, 42, 12, 6, 30, 38, 15, 40, 10, 21, 32, 14, 7, 37, 19, 2, 30, 43, 38, 18, 17, 16, 4, 46, 5, 0, 8, 19, 35, 28, 49, 50, 16, 49, 49, 3, 34, 34, 2, 6, 30, 33, 3, 15, 11, 42, 35, 21, 34, 0, 14, 40, 9, 45, 19, 25, 28, 43, 31, 41]
[39, 32, 30, 43, 33, 30, 7, 23, 40, 35, 12, 0, 17, 1, 21, 44, 31, 5, 30, 18, 10, 14, 17, 11, 28, 30, 41, 8, 0, 45, 11, 31, 39, 5, 41, 36, 14, 39, 34, 0, 49, 35, 10, 2, 28, 14, 44, 2, 25, 15, 21, 12, 9, 12, 50, 44, 17, 23, 16, 22, 46, 17]
