N1,N2,...,Nx
[0, 13, 32, 11, 42, 15, 17, 46, 28, 3, 3, 43, 34, 12, 25, 24, 7, 30, 21, 18, 15, 17, 30, 48, 23, 21, 19, 30, 4, 16, 13, 40, 5, 48, 40, 11, 25, 1, 25, 10, 33, 18, 35, 34, 16, 50, 31, 0, 48, 50, 26, 24, 36, 48, 7, 35, 40, 42, 31, 0, 36, 16, 15, 47, 4, 3, 38, 23, 32, 50, 23, 45, 12, 9, 24, 31, 8, 50, 1, 48, 4, 38, 10]
[13, 0, 11, 36, 42, 3, 42, 26, 37, 15, 2, 5, 0, 34, 20, 11, 32, 39, 38, 46, 1, 13, 32, 44, 28, 27, 8, 33, 35, 35, 4, 30, 0, 45, 35, 8, 11, 4, 50, 46, 19, 20, 36, 50, 26, 23, 37, 23, 37, 14, 38, 3, 44, 2, 37, 13, 42, 31, 28, 1, 11, 36, 40, 28, 14, 33, 9, 30, 42, 21, 19, 26, 17, 8, 38, 21, 45, 20, 31, 40, 9, 4, 24]
[32, 11, 0, 48, 5, 1, 22, 15, 28, 2, 50, 9, 4, 13, 21, 18, 1, 23, 10, 36, 16, 1, 41, 8, 28, 47, 50, 6, 13, 29, 39, 3, 10, 7, 37, 43, 9, 37, 33, 41, 28, 17, 39, 18, 8, 6, 27, 31, 0, 17, 28, 5, 1, 4, 42, 12, 14, 7, 11, 24, 33, 45, 21, 15, 2, 18, 11, 41, 19, 10, 38, 50, 4, 50, 11, 28, 39, 28, 50, 34, 18, 33, 14]
[11, 36, 48, 0, 47, 17, 46, 42, 26, 0, 1, 8, 39, 28, 31, 47, 31, 9, 42, 13, 49, 8, 39, 24, 36, 8, 22, 2, 40, 10, 2, 25, 47, 16, 13, 26, 40, 36, 37, 4, 37, 21, 33, 38, 46, 39, 32, 42, 6, 40, 46, 13, 1, 49, 27, 47, 28, 13, 48, 30, 17, 32, 50, 6, 14, 0, 14, 20, 19, 32, 3, 37, 8, 39, 38, 3, 32, 26, 18, 31, 1, 5, 4]
[42, 42, 5, 47, 0, 44, 10, 20, 26, 46, 36, 20, 40, 50, 38, 44, 21, 15, 27, 29, 42, 48, 12, 32, 36, 4, 22, 43, 3, 29, 37, 26, 20, 9, 38, 42, 2, 10, 28, 43, 31, 12, 47, 37, 29, 8, 23, 31, 5, 35, 20, 45, 18, 33, 41, 6, 44, 43, 43, 14, 48, 48, 2, 46, 25, 3, 20, 41, 32, 39, 26, 21, 36, 15, 45, 31, 13, 20, 1, 35, 23, 18, 22]
[15, 3, 1, 17, 44, 0, 18, 26, 10, 13, 38, 27, 46, 25, 35, 19, 38, 37, 6, 2, 7, 9, 14, 50, 22, 40, 23, 3, 35, 2, 0, 14, 35, 12, 19, 41, 49, 47, 18, 22, 38, 11, 36, 34, 28, 16, 4, 0, 32, 37, 49, 34, 49, 17, 41, 11, 18, 12, 13, 8, 47, 45, 1, 2, 40, 6, 26, 0, 31, 3, 14, 37, 13, 20, 36, 25, 28, 34, 50, 10, 16, 36, 13]
[17, 42, 22, 46, 10, 18, 0, 9, 46, 20, 17, 11, 5, 17, 33, 19, 23, 48, 16, 45, 44, 39, 7, 8, 33, 22, 21, 32, 15, 17, 49, 33, 35, 14, 49, 27, 29, 10, 14, 15, 19, 27, 0, 23, 27, 36, 28, 14, 18, 32, 38, 3, 10, 19, 44, 8, 46, 14, 6, 41, 43, 16, 37, 16, 25, 19, 30, 36, 49, 36, 28, 10, 27, 49, 0, 37, 14, 37, 29, 4, 43, 17, 20]
[46, 26, 15, 42, 20, 26, 9, 0, 18, 29, 0, 32, 44, 34, 43, 9, 15, 9, 38, 22, 20, 34, 39, 26, 21, 39, 2, 24, 19, 45, 44, 3, 48, 26, 19, 45, 33, 44, 13, 9, 37, 26, 20, 49, 38, 4, 49, 47, 4, 43, 50, 36, 28, 37, 13, 15, 28, 17, 8, 3, 38, 29, 20, 1, 42, 16, 14, 29, 1, 39, 6, 36, 0, 39, 33, 1, 35, 41, 49, 19, 39, 0, 1]
[28, 37, 28, 26, 26, 10, 46, 18, 0, 19, 0, 3, 43, 5, 3, 24, 28, 9, 46, 10, 12, 36, 2, 14, 34, 19, 19, 7, 7, 46, 30, 27, 10, 0, 39, 40, 5, 11, 43, 4, 38, 12, 11, 4, 14, 28, 12, 9, 21, 36, 29, 23, 49, 49, 11, 47, 28, 14, 26, 11, 27, 26, 37, 50, 18, 6, 33, 2, 46, 24, 4, 22, 17, 22, 18, 37, 47, 7, 8, 48, 10, 8, 14]
[3, 15, 2, 0, 46, 13, 20, 29, 19, 0, 17, 46, 46, 0, 48, 25, 6, 21, 3, 37, 40, 27, 41, 35, 29, 46, 21, 44, 37, 33, 40, 46, 43, 15, 35, 9, 46, 23, 31, 31, 43, 39, 48, 12, 37, 12, 17, 29, 28, 38, 47, 4, 31, 46, 4, 35, 20, 6, 14, 34, 39, 7, 27, 25, 14, 18, 27, 37, 31, 36, 6, 32, 43, 5, 2, 17, 27, 30, 6, 12, 32, 30, 39]
[3, 2, 50, 1, 36, 38, 17, 0, 0, 17, 0, 46, 34, 17, 3, 33, 9, 29, 17, 43, 14, 44, 5, 30, 41, 48, 31, 22, 38, 28, 30, 27, 41, 2, 1, 1, 48, 15, 29, 39, 19, 8, 39, 48, 35, 19, 0, 0, 7, 15, 8, 28, 19, 12, 34, 23, 28, 17, 9, 1, 3, 29, 26, 19, 35, 4, 4, 41, 3, 26, 40, 12, 14, 6, 35, 9, 46, 21, 43, 12, 31, 19, 13]
[43, 5, 9, 8, 20, 27, 11, 32, 3, 46, 46, 0, 10, 9, 20, 34, 22, 26, 31, 14, 19, 31, 36, 32, 7, 9, 47, 20, 15, 36, 16, 8, 29, 28, 44, 11, 5, 50, 17, 50, 36, 22, 13, 39, 22, 28, 8, 1, 27, 14, 21, 39, 17, 12, 29, 12, 15, 34, 5, 27, 20, 20, 34, 49, 45, 44, 18, 34, 44, 29, 25, 30, 4, 12, 21, 38, 40, 12, 35, 40, 3, 26, 28]
