N1,N2,...,Nx
[0, 30, 30, 10, 15, 39, 23, 0, 7, 6, 18, 24, 38, 38, 4, 28, 41, 30, 41, 37, 26, 32, 31, 19, 39, 28, 41, 12, 36, 44, 5, 39, 6, 31, 29, 11, 22, 16, 1, 12, 30, 0, 50, 36, 48, 37, 12, 16, 33, 40, 6, 34, 44, 43, 43, 10, 47, 9, 47, 5, 7, 39, 38, 28, 6, 32, 48, 36, 42, 17, 27, 33, 22, 21, 31, 47, 45, 3, 47, 41, 20, 35, 34, 24, 45, 19, 27, 19, 37, 22, 31, 19, 25, 19, 1, 25, 50, 29, 40, 21, 42, 31, 28, 50, 31, 47, 36, 25, 48, 5, 48, 22, 34, 33, 4, 6, 25, 43, 10, 38, 45, 25, 44, 17, 6, 10, 26, 23, 0, 25, 4, 49, 28, 46, 33, 47, 43, 45, 18, 48, 46, 9, 48, 47, 28, 33, 24, 39, 20, 27, 23, 0, 47, 35, 17, 39, 1, 40, 45, 25, 37, 50, 42, 37, 35, 38]
[30, 0, 38, 0, 39, 48, 17, 23, 20, 46, 25, 23, 47, 11, 3, 10, 10, 19, 44, 10, 9, 14, 26, 45, 6, 22, 11, 14, 32, 31, 36, 26, 11, 5, 0, 5, 46, 33, 48, 10, 22, 10, 37, 29, 39, 8, 2, 13, 6, 6, 13, 4, 21, 35, 34, 35, 7, 41, 46, 36, 26, 41, 5, 43, 3, 44, 16, 37, 27, 7, 47, 27, 4, 13, 40, 14, 18, 18, 6, 31, 42, 33, 40, 10, 20, 19, 20, 30, 48, 23, 22, 18, 19, 36, 49, 10, 11, 0, 13, 14, 30, 46, 38, 14, 14, 50, 15, 30, 22, 20, 39, 21, 11, 32, 5, 50, 35, 44, 1, 5, 38, 33, 21, 27, 4, 50, 46, 37, 41, 35, 2, 15, 15, 46, 13, 36, 22, 31, 36, 13, 27, 32, 28, 50, 25, 45, 31, 0, 41, 7, 12, 44, 8, 23, 20, 0, 24, 23, 34, 9, 48, 26, 49, 41, 7, 32]
[30, 38, 0, 8, 16, 41, 5, 50, 32, 12, 48, 23, 48, 48, 12, 18, 0, 21, 50, 39, 19, 26, 21, 26, 29, 0, 32, 20, 26, 26, 34, 35, 38, 7, 9, 13, 40, 44, 40, 16, 47, 25, 45, 10, 0, 6, 9, 43, 35, 39, 35, 40, 34, 20, 25, 46, 29, 1, 5, 38, 41, 24, 44, 3, 13, 36, 37, 29, 23, 41, 45, 45, 38, 32, 29, 44, 30, 13, 2, 33, 17, 47, 35, 20, 34, 36, 12, 26, 45, 32, 9, 21, 45, 13, 37, 43, 13, 19, 12, 22, 7, 41, 15, 15, 30, 20, 47, 8, 33, 38, 18, 38, 47, 48, 6, 46, 47, 0, 34, 37, 13, 0, 2, 30, 24, 49, 25, 47, 19, 28, 18, 46, 3, 13, 17, 27, 27, 34, 28, 50, 43, 34, 42, 2, 26, 9, 30, 34, 2, 15, 17, 37, 1, 37, 48, 16, 6, 5, 36, 7, 48, 2, 22, 19, 25, 49]
[10, 0, 8, 0, 0, 4, 40, 46, 28, 16, 42, 11, 48, 31, 42, 21, 10, 20, 34, 49, 11, 23, 38, 25, 30, 7, 26, 14, 15, 15, 35, 15, 6, 11, 39, 49, 6, 2, 0, 33, 39, 20, 12, 9, 30, 7, 45, 37, 2, 5, 13, 20, 10, 40, 31, 39, 19, 33, 29, 48, 43, 42, 10, 35, 27, 9, 29, 26, 33, 32, 35, 11, 2, 8, 11, 20, 41, 47, 15, 23, 42, 7, 43, 5, 30, 10, 15, 50, 0, 44, 25, 42, 10, 20, 22, 22, 44, 28, 5, 9, 34, 2, 48, 15, 8, 12, 41, 24, 13, 23, 44, 44, 34, 27, 28, 20, 15, 18, 50, 11, 41, 25, 36, 34, 50, 7, 48, 32, 14, 41, 33, 8, 17, 50, 36, 14, 24, 43, 16, 43, 31, 1, 11, 6, 3, 50, 34, 49, 21, 1, 10, 8, 9, 27, 44, 6, 49, 33, 26, 18, 14, 20, 15, 2, 29, 22]
[15, 39, 16, 0, 0, 15, 46, 15, 43, 49, 42, 14, 41, 20, 30, 35, 21, 9, 13, 29, 43, 32, 22, 8, 15, 26, 33, 25, 41, 12, 39, 47, 9, 24, 48, 27, 6, 13, 4, 19, 7, 22, 17, 26, 29, 21, 37, 48, 39, 39, 12, 30, 49, 23, 43, 27, 10, 38, 14, 24, 39, 33, 32, 21, 28, 39, 49, 4, 47, 49, 22, 14, 45, 19, 45, 40, 49, 5, 31, 4, 38, 13, 31, 39, 44, 5, 34, 15, 6, 29, 1, 13, 18, 15, 48, 9, 38, 33, 0, 15, 34, 27, 21, 18, 45, 1, 43, 40, 4, 43, 32, 10, 12, 6, 31, 49, 3, 24, 47, 42, 46, 22, 5, 19, 16, 4, 29, 45, 32, 26, 22, 31, 27, 28, 40, 23, 49, 21, 11, 23, 24, 42, 14, 3, 25, 21, 45, 42, 16, 40, 14, 28, 7, 9, 33, 43, 48, 3, 36, 6, 20, 32, 3, 24, 11, 23]
[39, 48, 41, 4, 15, 0, 7, 13, 46, 44, 50, 7, 0, 9, 49, 42, 45, 3, 7, 12, 28, 29, 42, 23, 27, 16, 23, 0, 21, 41, 21, 46, 32, 2, 25, 43, 28, 27, 10, 5, 12, 8, 43, 45, 19, 6, 45, 21, 5, 15, 29, 38, 0, 30, 42, 24, 3, 3, 17, 29, 45, 21, 6, 19, 3, 8, 33, 12, 23, 40, 42, 44, 46, 44, 18, 7, 42, 15, 12, 24, 4, 44, 23, 26, 22, 3, 30, 16, 21, 19, 0, 23, 49, 47, 6, 48, 38, 23, 14, 15, 48, 31, 46, 19, 36, 13, 29, 1, 3, 49, 24, 16, 12, 24, 29, 18, 2, 17, 3, 5, 48, 34, 13, 46, 46, 0, 23, 7, 32, 37, 23, 48, 3, 9, 29, 39, 14, 14, 19, 24, 2, 31, 43, 4, 18, 47, 15, 20, 19, 36, 3, 9, 16, 37, 44, 40, 18, 2, 24, 32, 26, 34, 38, 50, 11, 33]
[23, 17, 5, 40, 46, 7, 0, 2, 22, 8, 42, 43, 16, 13, 7, 24, 50, 0, 45, 12, 48, 40, 19, 0, 22, 49, 28, 31, 39, 17, 28, 48, 32, 49, 4, 6, 7, 25, 0, 25, 47, 37, 9, 3, 25, 40, 27, 32, 31, 22, 9, 20, 22, 20, 5, 31, 35, 32, 16, 6, 3, 12, 31, 41, 50, 8, 9, 38, 20, 42, 8, 40, 18, 50, 13, 25, 14, 14, 19, 39, 12, 29, 35, 48, 3, 15, 8, 50, 19, 15, 46, 50, 12, 47, 20, 37, 20, 47, 4, 3, 4, 21, 11, 17, 20, 9, 27, 49, 17, 10, 42, 24, 8, 11, 35, 1, 46, 17, 17, 23, 46, 28, 16, 13, 21, 3, 33, 46, 20, 5, 0, 34, 21, 8, 8, 41, 14, 4, 38, 16, 13, 9, 39, 28, 8, 29, 37, 4, 10, 4, 35, 50, 14, 27, 45, 6, 42, 18, 37, 4, 33, 47, 46, 18, 27, 44]
[0, 23, 50, 46, 15, 13, 2, 0, 50, 16, 3, 50, 39, 48, 43, 43, 44, 10, 16, 11, 26, 22, 27, 0, 12, 12, 2, 20, 47, 10, 1, 2, 23, 42, 26, 16, 47, 7, 0, 21, 41, 43, 31, 1, 50, 11, 37, 19, 9, 41, 10, 4, 18, 48, 31, 44, 1, 24, 5, 46, 43, 23, 18, 1, 39, 21, 41, 48, 10, 40, 19, 2, 50, 15, 5, 22, 50, 16, 3, 46, 17, 1, 26, 32, 14, 34, 47, 34, 5, 35, 49, 18, 41, 27, 31, 12, 12, 9, 28, 35, 45, 4, 47, 23, 27, 36, 7, 27, 32, 22, 37, 28, 13, 20, 2, 11, 16, 20, 6, 41, 15, 24, 13, 36, 26, 23, 45, 18, 18, 34, 2, 48, 40, 33, 34, 30, 26, 20, 39, 13, 38, 37, 30, 1, 28, 8, 41, 44, 14, 8, 11, 20, 50, 2, 22, 27, 43, 11, 3, 39, 6, 8, 31, 20, 20, 6]
[7, 20, 32, 28, 43, 46, 22, 50, 0, 50, 33, 46, 12, 28, 27, 20, 49, 27, 30, 31, 1, 17, 24, 45, 21, 16, 3, 45, 13, 26, 27, 48, 14, 12, 31, 12, 25, 13, 28, 15, 22, 12, 37, 4, 34, 39, 7, 23, 28, 6, 34, 19, 46, 37, 16, 50, 21, 22, 49, 16, 13, 10, 33, 16, 38, 24, 33, 27, 41, 33, 50, 10, 13, 43, 40, 9, 0, 49, 36, 32, 29, 32, 37, 33, 41, 48, 17, 26, 4, 31, 26, 12, 25, 42, 7, 32, 12, 34, 35, 29, 34, 29, 32, 29, 33, 31, 42, 16, 15, 23, 7, 11, 37, 9, 7, 31, 47, 49, 33, 0, 31, 46, 29, 11, 45, 28, 43, 28, 27, 47, 2, 15, 41, 35, 23, 45, 44, 14, 4, 28, 22, 38, 50, 44, 25, 31, 26, 26, 43, 43, 47, 16, 2, 22, 8, 22, 47, 26, 39, 34, 31, 25, 3, 22, 41, 7]
[6, 46, 12, 16, 49, 44, 8, 16, 50, 0, 22, 17, 0, 15, 40, 12, 22, 3, 0, 43, 30, 37, 24, 7, 47, 17, 27, 44, 11, 44, 45, 21, 48, 13, 38, 7, 13, 5, 43, 41, 20, 33, 6, 46, 10, 31, 47, 30, 35, 43, 49, 9, 20, 9, 45, 22, 9, 36, 18, 24, 35, 0, 43, 21, 19, 23, 49, 10, 9, 28, 27, 37, 7, 46, 10, 4, 5, 19, 22, 36, 35, 18, 41, 12, 46, 44, 20, 43, 4, 10, 8, 19, 31, 9, 38, 0, 6, 50, 8, 10, 34, 12, 33, 47, 46, 16, 2, 23, 0, 16, 15, 49, 40, 0, 17, 25, 29, 36, 19, 12, 48, 32, 42, 13, 45, 22, 48, 3, 43, 31, 23, 21, 16, 46, 31, 10, 44, 28, 21, 37, 5, 49, 42, 38, 31, 44, 32, 27, 39, 1, 29, 12, 27, 7, 44, 44, 35, 25, 46, 19, 23, 3, 36, 30, 32, 44]
