N1,N2,...,Nx
[0, 20, 27, 27, 43, 43, 3, 25, 21, 50, 20, 33, 25, 18, 42, 14, 44, 48, 27, 7, 8, 5, 42, 10, 36, 5, 14, 24, 29, 2, 9, 29, 22, 14, 8, 47, 46, 29, 25, 37, 9, 32, 18, 38, 36, 4, 27, 23, 18, 11, 7, 7, 17, 3, 10, 7, 40]
[20, 0, 8, 2, 27, 6, 18, 17, 36, 43, 19, 9, 5, 29, 5, 25, 19, 28, 13, 18, 17, 38, 21, 23, 45, 29, 6, 49, 16, 46, 11, 11, 17, 50, 27, 12, 36, 30, 31, 26, 40, 43, 27, 3, 44, 28, 35, 10, 13, 39, 27, 16, 42, 45, 24, 16, 28]
[27, 8, 0, 12, 29, 17, 14, 42, 19, 50, 11, 5, 18, 5, 31, 3, 17, 26, 8, 18, 39, 3, 0, 11, 31, 37, 45, 15, 31, 18, 25, 43, 4, 38, 3, 29, 27, 9, 15, 14, 17, 3, 16, 4, 27, 43, 35, 7, 32, 27, 38, 34, 21, 10, 2, 1, 3]
[27, 2, 12, 0, 31, 2, 44, 18, 36, 42, 39, 4, 48, 19, 36, 13, 17, 34, 12, 50, 30, 46, 41, 35, 16, 39, 16, 46, 11, 46, 33, 45, 36, 26, 19, 15, 4, 38, 33, 25, 22, 14, 21, 28, 16, 21, 29, 9, 38, 17, 26, 41, 25, 36, 13, 25, 9]
[43, 27, 29, 31, 0, 13, 31, 49, 32, 42, 39, 47, 46, 47, 17, 8, 45, 49, 15, 19, 19, 18, 5, 0, 24, 40, 0, 22, 17, 38, 31, 24, 42, 28, 33, 5, 24, 41, 29, 11, 1, 8, 31, 17, 24, 36, 40, 32, 36, 31, 9, 0, 37, 41, 38, 42, 26]
[43, 6, 17, 2, 13, 0, 38, 22, 36, 12, 10, 34, 23, 50, 28, 44, 42, 13, 10, 4, 26, 16, 39, 23, 9, 11, 2, 0, 36, 13, 34, 49, 36, 23, 50, 13, 3, 1, 42, 30, 1, 18, 47, 7, 28, 19, 5, 23, 11, 13, 7, 38, 43, 14, 3, 9, 1]
[3, 18, 14, 44, 31, 38, 0, 23, 45, 36, 17, 30, 3, 11, 3, 2, 4, 34, 45, 22, 34, 16, 30, 31, 29, 46, 12, 7, 24, 12, 29, 1, 16, 13, 13, 2, 5, 8, 7, 36, 23, 9, 20, 15, 48, 26, 9, 39, 18, 35, 5, 40, 17, 41, 9, 28, 11]
[25, 17, 42, 18, 49, 22, 23, 0, 15, 27, 38, 23, 32, 20, 22, 36, 4, 35, 45, 32, 23, 14, 20, 38, 16, 4, 32, 13, 5, 32, 4, 16, 11, 17, 29, 25, 48, 2, 5, 9, 31, 33, 44, 27, 49, 34, 7, 38, 29, 48, 40, 13, 43, 16, 33, 32, 37]
[21, 36, 19, 36, 32, 36, 45, 15, 0, 1, 26, 6, 23, 38, 9, 30, 36, 48, 47, 39, 21, 13, 23, 7, 47, 11, 5, 22, 5, 10, 23, 7, 49, 8, 25, 39, 22, 13, 49, 13, 33, 31, 28, 12, 46, 19, 35, 39, 11, 48, 43, 42, 5, 50, 16, 25, 18]
[50, 43, 50, 42, 42, 12, 36, 27, 1, 0, 50, 29, 29, 8, 25, 37, 19, 7, 44, 32, 44, 26, 3, 43, 37, 22, 23, 5, 12, 7, 26, 13, 49, 11, 36, 41, 21, 23, 49, 2, 41, 45, 2, 40, 5, 17, 29, 48, 41, 30, 31, 42, 32, 13, 6, 20, 13]
[20, 19, 11, 39, 39, 10, 17, 38, 26, 50, 0, 4, 20, 12, 40, 15, 46, 28, 39, 30, 20, 6, 40, 22, 15, 34, 10, 5, 31, 17, 0, 6, 12, 16, 46, 9, 9, 41, 45, 9, 18, 40, 35, 36, 42, 31, 43, 49, 3, 10, 3, 47, 44, 33, 24, 10, 5]
[33, 9, 5, 4, 47, 34, 30, 23, 6, 29, 4, 0, 11, 15, 43, 14, 30, 14, 27, 4, 43, 6, 44, 5, 13, 20, 14, 23, 24, 2, 27, 28, 42, 4, 20, 49, 40, 25, 25, 49, 19, 28, 34, 15, 24, 41, 43, 10, 30, 13, 46, 37, 26, 22, 3, 11, 7]
[25, 5, 18, 48, 46, 23, 3, 32, 23, 29, 20, 11, 0, 12, 50, 4, 12, 33, 12, 22, 25, 2, 32, 14, 25, 7, 12, 40, 25, 17, 17, 46, 30, 2, 10, 20, 24, 4, 5, 21, 35, 17, 40, 16, 18, 13, 22, 35, 0, 50, 36, 6, 48, 44, 35, 8, 15]
[18, 29, 5, 19, 47, 50, 11, 20, 38, 8, 12, 15, 12, 0, 17, 14, 22, 36, 9, 22, 3, 3, 4, 43, 42, 27, 13, 37, 13, 29, 45, 34, 7, 24, 7, 49, 45, 30, 1, 47, 26, 6, 9, 29, 35, 4, 43, 4, 45, 15, 43, 16, 12, 4, 16, 49, 6]
[42, 5, 31, 36, 17, 28, 3, 22, 9, 25, 40, 43, 50, 17, 0, 38, 31, 30, 15, 8, 22, 0, 43, 9, 18, 50, 20, 15, 39, 11, 13, 2, 20, 42, 17, 22, 48, 11, 22, 44, 24, 20, 22, 30, 18, 15, 36, 48, 3, 42, 41, 22, 23, 6, 33, 37, 21]
[14, 25, 3, 13, 8, 44, 2, 36, 30, 37, 15, 14, 4, 14, 38, 0, 37, 41, 24, 32, 45, 1, 25, 43, 17, 12, 39, 8, 41, 14, 38, 38, 11, 32, 14, 0, 18, 30, 11, 26, 4, 20, 22, 7, 31, 31, 18, 9, 24, 13, 18, 41, 7, 49, 17, 16, 2]
[44, 19, 17, 17, 45, 42, 4, 4, 36, 19, 46, 30, 12, 22, 31, 37, 0, 28, 48, 12, 8, 38, 34, 32, 18, 46, 35, 36, 18, 33, 36, 5, 30, 19, 2, 45, 11, 0, 32, 45, 8, 24, 17, 2, 25, 25, 0, 43, 18, 44, 41, 9, 21, 21, 18, 33, 35]
[48, 28, 26, 34, 49, 13, 34, 35, 48, 7, 28, 14, 33, 36, 30, 41, 28, 0, 27, 36, 21, 30, 21, 29, 10, 16, 34, 13, 31, 6, 15, 6, 50, 46, 27, 35, 50, 42, 11, 49, 45, 35, 39, 23, 11, 27, 32, 49, 16, 35, 17, 29, 24, 10, 15, 27, 16]
[27, 13, 8, 12, 15, 10, 45, 45, 47, 44, 39, 27, 12, 9, 15, 24, 48, 27, 0, 18, 32, 16, 47, 41, 4, 28, 21, 10, 42, 50, 26, 27, 20, 8, 12, 41, 47, 49, 40, 42, 50, 5, 18, 41, 12, 38, 19, 23, 50, 22, 27, 5, 43, 24, 10, 12, 44]
[7, 18, 18, 50, 19, 4, 22, 32, 39, 32, 30, 4, 22, 22, 8, 32, 12, 36, 18, 0, 1, 17, 34, 16, 47, 33, 17, 38, 9, 19, 24, 22, 18, 48, 50, 2, 21, 44, 1, 34, 41, 42, 14, 38, 6, 24, 21, 8, 33, 5, 27, 26, 19, 49, 36, 32, 6]
[8, 17, 39, 30, 19, 26, 34, 23, 21, 44, 20, 43, 25, 3, 22, 45, 8, 21, 32, 1, 0, 28, 34, 47, 7, 43, 0, 48, 17, 40, 33, 38, 50, 23, 41, 9, 8, 29, 38, 29, 1, 37, 29, 44, 5, 49, 25, 20, 20, 24, 34, 47, 14, 46, 48, 50, 35]
