N1,N2,...,Nx
[0, 2, 8, 29, 16, 38, 2, 27, 39, 7, 29, 39, 36, 9, 6, 21, 9, 13, 15, 15, 43, 24, 21, 43, 11, 9, 6, 29, 3, 37, 15, 6, 12, 18, 18, 45, 34, 36, 22, 11, 15, 13, 30, 9, 4, 15, 35, 45, 26, 19, 6, 29, 8, 24, 40, 46, 35, 2, 10, 9, 8, 33, 2, 31, 17, 17, 23, 14, 12, 13, 37, 44, 23, 5, 22, 30, 34, 14, 6, 5, 47, 2, 19, 12, 35, 2, 40, 25, 3, 45, 12, 43, 39, 3, 3, 38, 50, 38, 2, 0, 0, 49, 27, 47, 46, 31, 17, 10, 32, 30, 37, 28, 9, 29, 19, 21, 0, 50, 38, 29, 41, 46, 12, 1, 17, 20, 47, 12, 25, 25, 30, 6, 31, 0, 27, 7, 36, 17, 22, 13, 31, 22, 32, 6, 8, 8, 12, 35, 8, 12, 42, 13, 48, 3]
[2, 0, 31, 10, 37, 1, 0, 26, 16, 11, 7, 8, 24, 3, 10, 3, 19, 45, 16, 43, 8, 43, 27, 40, 40, 0, 18, 13, 47, 39, 17, 40, 37, 21, 46, 4, 24, 24, 3, 47, 11, 23, 31, 36, 31, 40, 7, 17, 43, 22, 45, 28, 39, 11, 42, 38, 50, 25, 27, 16, 18, 7, 38, 18, 28, 32, 37, 3, 49, 23, 33, 37, 9, 18, 25, 35, 22, 16, 30, 8, 21, 11, 41, 14, 27, 36, 17, 9, 43, 21, 7, 15, 19, 28, 24, 16, 5, 28, 6, 16, 28, 30, 37, 35, 27, 46, 26, 18, 25, 24, 17, 24, 34, 1, 47, 32, 36, 23, 4, 46, 8, 33, 49, 1, 21, 20, 45, 24, 3, 0, 27, 8, 13, 30, 47, 12, 34, 17, 47, 14, 31, 37, 34, 48, 36, 19, 45, 18, 44, 4, 25, 50, 41, 37]
[8, 31, 0, 11, 41, 0, 3, 38, 2, 16, 13, 33, 7, 15, 45, 6, 20, 2, 32, 7, 9, 11, 29, 33, 32, 32, 15, 21, 23, 19, 25, 42, 50, 26, 2, 49, 38, 31, 13, 3, 31, 31, 11, 28, 19, 15, 24, 24, 7, 3, 0, 35, 34, 42, 48, 5, 36, 16, 33, 12, 21, 50, 27, 45, 5, 48, 27, 43, 38, 46, 4, 25, 38, 45, 32, 12, 45, 4, 6, 31, 40, 7, 29, 22, 14, 36, 29, 30, 2, 15, 25, 50, 14, 8, 46, 4, 17, 39, 44, 15, 33, 21, 26, 3, 11, 48, 48, 26, 17, 45, 1, 7, 44, 30, 7, 3, 48, 3, 31, 34, 17, 45, 10, 4, 16, 23, 31, 29, 45, 19, 26, 15, 8, 12, 13, 15, 34, 27, 46, 26, 24, 7, 5, 18, 26, 30, 21, 14, 5, 40, 1, 33, 21, 47]
[29, 10, 11, 0, 38, 17, 48, 9, 10, 10, 50, 9, 36, 44, 21, 15, 46, 36, 25, 13, 38, 9, 10, 6, 49, 31, 30, 14, 21, 13, 17, 21, 15, 25, 26, 11, 34, 6, 40, 38, 50, 39, 28, 45, 15, 42, 17, 13, 42, 47, 27, 13, 0, 27, 35, 35, 28, 19, 49, 3, 47, 10, 8, 11, 46, 10, 32, 37, 46, 37, 22, 20, 28, 42, 3, 18, 24, 6, 16, 34, 12, 36, 19, 45, 42, 5, 31, 17, 14, 43, 45, 27, 6, 38, 45, 1, 34, 14, 32, 7, 4, 12, 32, 26, 29, 35, 17, 16, 21, 7, 14, 46, 3, 42, 14, 16, 5, 0, 28, 38, 4, 0, 32, 26, 48, 15, 8, 15, 18, 14, 30, 26, 1, 44, 21, 12, 44, 35, 44, 16, 1, 17, 7, 26, 34, 22, 4, 22, 22, 4, 24, 12, 32, 7]
[16, 37, 41, 38, 0, 45, 48, 49, 7, 48, 42, 20, 41, 28, 33, 3, 1, 21, 26, 35, 45, 43, 30, 12, 33, 28, 4, 49, 26, 46, 15, 44, 17, 18, 41, 42, 29, 29, 47, 41, 39, 33, 17, 9, 32, 15, 18, 37, 0, 11, 24, 50, 20, 10, 6, 33, 2, 22, 42, 12, 8, 8, 24, 13, 14, 40, 44, 0, 4, 29, 32, 21, 7, 42, 41, 27, 50, 22, 6, 16, 13, 6, 27, 15, 5, 18, 15, 10, 17, 33, 29, 15, 11, 46, 45, 12, 49, 23, 41, 27, 5, 10, 49, 21, 15, 28, 10, 24, 40, 24, 43, 3, 43, 21, 45, 21, 46, 47, 41, 36, 9, 5, 17, 5, 23, 50, 2, 8, 35, 3, 36, 33, 25, 14, 7, 3, 29, 8, 31, 32, 24, 47, 30, 13, 31, 28, 23, 43, 24, 46, 48, 30, 21, 50]
[38, 1, 0, 17, 45, 0, 28, 6, 8, 14, 19, 15, 8, 22, 18, 6, 18, 31, 19, 39, 47, 2, 7, 39, 30, 38, 31, 38, 22, 11, 22, 2, 1, 46, 7, 13, 29, 26, 17, 19, 24, 1, 46, 49, 42, 39, 12, 44, 38, 16, 50, 48, 48, 1, 42, 11, 26, 33, 31, 27, 2, 30, 32, 24, 0, 20, 17, 13, 15, 41, 25, 12, 18, 16, 48, 7, 10, 15, 6, 26, 35, 18, 32, 43, 35, 24, 14, 25, 31, 9, 3, 23, 39, 37, 46, 17, 45, 24, 32, 39, 21, 4, 27, 43, 4, 47, 0, 32, 1, 32, 17, 16, 24, 32, 3, 50, 5, 37, 45, 3, 0, 41, 41, 45, 41, 3, 11, 1, 6, 46, 10, 22, 33, 22, 40, 19, 24, 4, 10, 30, 1, 27, 10, 11, 29, 47, 48, 41, 3, 6, 22, 38, 47, 5]
[2, 0, 3, 48, 48, 28, 0, 49, 24, 10, 27, 31, 0, 43, 20, 22, 37, 26, 42, 27, 47, 10, 21, 5, 6, 14, 34, 34, 50, 33, 25, 45, 1, 3, 13, 22, 0, 12, 43, 35, 23, 34, 31, 30, 3, 3, 21, 46, 10, 19, 31, 45, 22, 45, 50, 23, 12, 40, 21, 31, 4, 33, 12, 48, 15, 36, 43, 42, 34, 9, 33, 31, 7, 4, 43, 23, 5, 14, 15, 47, 32, 15, 0, 44, 41, 1, 2, 25, 40, 50, 40, 17, 14, 26, 18, 22, 16, 5, 42, 22, 35, 23, 20, 47, 9, 25, 3, 30, 6, 8, 40, 50, 18, 24, 15, 2, 11, 12, 14, 2, 22, 24, 43, 38, 35, 22, 39, 9, 46, 17, 3, 39, 0, 10, 15, 29, 24, 14, 3, 17, 17, 37, 2, 21, 10, 32, 20, 43, 43, 17, 47, 44, 22, 41]
[27, 26, 38, 9, 49, 6, 49, 0, 0, 18, 24, 27, 27, 16, 0, 3, 18, 43, 33, 19, 45, 42, 18, 38, 3, 1, 22, 27, 23, 13, 5, 35, 15, 9, 34, 27, 40, 48, 22, 23, 13, 2, 4, 25, 50, 47, 33, 21, 26, 4, 26, 39, 17, 39, 18, 9, 27, 29, 37, 50, 21, 8, 23, 39, 42, 40, 15, 11, 37, 20, 36, 44, 30, 36, 19, 22, 0, 35, 44, 10, 32, 37, 24, 14, 32, 7, 48, 11, 14, 42, 31, 12, 33, 6, 49, 10, 15, 29, 43, 8, 0, 48, 38, 43, 2, 26, 5, 39, 23, 16, 24, 4, 40, 16, 30, 5, 22, 50, 49, 0, 15, 48, 38, 1, 15, 17, 3, 17, 28, 4, 18, 50, 45, 16, 18, 20, 11, 17, 31, 41, 26, 45, 42, 27, 34, 7, 34, 6, 47, 31, 36, 44, 40, 21]
[39, 16, 2, 10, 7, 8, 24, 0, 0, 8, 20, 32, 3, 2, 21, 19, 3, 18, 0, 43, 5, 30, 17, 41, 19, 19, 47, 45, 11, 29, 46, 2, 43, 47, 2, 16, 30, 40, 25, 48, 22, 17, 48, 11, 44, 2, 4, 44, 47, 33, 21, 48, 43, 50, 10, 47, 41, 21, 44, 12, 39, 32, 11, 24, 20, 36, 47, 30, 31, 21, 9, 20, 22, 18, 17, 39, 42, 8, 29, 17, 9, 35, 7, 16, 50, 13, 39, 31, 44, 30, 7, 26, 3, 34, 24, 50, 17, 0, 40, 6, 45, 7, 16, 41, 30, 4, 31, 33, 47, 32, 18, 31, 24, 22, 10, 3, 3, 39, 16, 3, 22, 21, 24, 31, 18, 29, 11, 50, 24, 26, 23, 29, 25, 10, 29, 3, 20, 11, 5, 25, 48, 32, 35, 3, 44, 31, 28, 42, 34, 7, 18, 50, 12, 30]
[7, 11, 16, 10, 48, 14, 10, 18, 8, 0, 16, 8, 28, 33, 24, 1, 37, 26, 47, 28, 29, 4, 32, 44, 36, 45, 2, 13, 5, 10, 39, 20, 46, 15, 23, 44, 44, 48, 30, 50, 26, 4, 19, 43, 21, 40, 45, 13, 37, 12, 25, 8, 50, 47, 33, 29, 38, 14, 19, 18, 6, 8, 33, 34, 24, 30, 38, 27, 25, 39, 34, 1, 5, 46, 30, 46, 23, 8, 22, 1, 49, 44, 48, 16, 43, 5, 26, 3, 4, 11, 14, 50, 48, 7, 7, 45, 44, 10, 3, 44, 28, 36, 46, 15, 21, 25, 20, 20, 16, 24, 2, 4, 33, 14, 22, 20, 14, 18, 10, 9, 19, 40, 40, 23, 8, 14, 41, 21, 9, 15, 45, 8, 4, 4, 8, 8, 42, 3, 0, 26, 15, 8, 43, 7, 16, 32, 7, 38, 49, 9, 6, 36, 2, 36]
