N1,N2,...,Nx
[0, 35, 48, 36, 23, 30, 12, 18, 32, 12, 39, 26, 36, 22, 30, 9, 16, 23, 18, 33, 1, 16, 2, 28, 26, 8, 14, 21, 34, 29, 25, 1, 31, 4, 9, 33, 11, 28, 32, 4, 35, 23, 27, 39, 0, 20, 43, 48, 47, 33, 16, 33, 34, 38, 11, 28, 21, 9, 13, 50, 3, 30, 16, 7, 2, 14, 23, 5, 21, 23, 50, 29, 15, 13, 11, 49, 27, 32, 21, 30, 39, 30, 39, 48, 20, 23, 0, 47, 17, 20, 7, 34, 25, 50, 1, 1, 17, 30, 14, 19, 16, 15, 4, 1, 26, 50, 39, 4, 6, 32, 21, 39, 47, 11, 9, 8, 15, 37, 42, 31, 34, 29, 7, 47, 8, 32, 44, 7, 32, 1, 11, 46, 12, 24, 34, 46, 24, 3, 49, 29]
[35, 0, 38, 13, 0, 45, 40, 45, 22, 4, 34, 25, 39, 33, 48, 43, 35, 7, 3, 32, 15, 39, 42, 30, 26, 47, 49, 4, 23, 15, 20, 42, 33, 6, 18, 36, 40, 4, 18, 34, 35, 26, 50, 5, 42, 30, 38, 34, 0, 38, 32, 26, 23, 4, 7, 47, 23, 50, 45, 21, 30, 27, 19, 30, 35, 47, 46, 28, 41, 11, 16, 50, 15, 15, 19, 48, 29, 35, 22, 32, 43, 23, 47, 9, 15, 1, 26, 31, 19, 7, 35, 29, 8, 4, 26, 15, 19, 19, 12, 20, 17, 6, 49, 45, 26, 12, 39, 11, 11, 21, 39, 15, 47, 2, 20, 11, 4, 5, 49, 13, 45, 11, 46, 9, 48, 0, 17, 17, 32, 40, 28, 36, 50, 25, 20, 16, 27, 39, 30, 31]
[48, 38, 0, 28, 21, 42, 11, 40, 15, 14, 6, 23, 50, 7, 48, 47, 11, 7, 36, 1, 33, 16, 46, 19, 50, 23, 35, 44, 20, 4, 11, 8, 32, 43, 33, 33, 9, 6, 20, 40, 19, 16, 6, 49, 12, 18, 8, 27, 1, 37, 12, 25, 41, 8, 46, 45, 27, 7, 30, 11, 47, 16, 48, 48, 23, 35, 24, 44, 8, 12, 50, 2, 50, 33, 17, 20, 30, 44, 22, 18, 47, 9, 47, 34, 17, 25, 41, 46, 22, 13, 29, 38, 19, 32, 36, 45, 5, 32, 42, 29, 44, 21, 24, 36, 31, 7, 35, 14, 38, 14, 0, 35, 4, 33, 12, 34, 17, 19, 35, 12, 18, 50, 9, 45, 48, 41, 11, 14, 22, 16, 8, 12, 15, 39, 14, 7, 9, 33, 16, 25]
[36, 13, 28, 0, 29, 25, 33, 3, 26, 6, 17, 33, 26, 0, 48, 15, 9, 11, 28, 2, 3, 19, 33, 38, 44, 29, 24, 15, 2, 23, 1, 23, 48, 5, 29, 0, 2, 41, 42, 16, 25, 34, 27, 21, 36, 34, 41, 22, 31, 30, 43, 1, 17, 15, 3, 4, 23, 4, 35, 49, 40, 39, 14, 29, 41, 16, 33, 17, 27, 36, 6, 43, 9, 33, 43, 18, 2, 13, 22, 4, 37, 29, 34, 42, 43, 34, 3, 29, 44, 38, 47, 9, 11, 40, 29, 15, 21, 8, 10, 20, 7, 1, 2, 38, 38, 11, 39, 15, 45, 38, 26, 24, 7, 20, 3, 16, 40, 4, 21, 33, 1, 28, 18, 23, 26, 36, 44, 9, 14, 7, 3, 21, 29, 42, 0, 37, 22, 41, 14, 1]
[23, 0, 21, 29, 0, 44, 34, 39, 21, 42, 30, 19, 32, 11, 20, 18, 30, 31, 26, 15, 13, 16, 31, 22, 19, 12, 31, 46, 23, 19, 37, 3, 24, 43, 14, 32, 50, 19, 36, 28, 8, 45, 49, 28, 38, 4, 50, 22, 42, 45, 33, 30, 36, 31, 46, 11, 50, 0, 30, 18, 2, 2, 17, 3, 22, 39, 11, 9, 42, 28, 35, 2, 15, 7, 18, 44, 2, 30, 6, 12, 35, 46, 4, 5, 10, 11, 5, 6, 43, 42, 47, 14, 26, 25, 15, 32, 49, 49, 48, 15, 27, 45, 25, 3, 26, 1, 16, 50, 25, 13, 25, 1, 11, 42, 10, 20, 42, 17, 44, 10, 40, 0, 39, 1, 11, 29, 36, 50, 20, 10, 35, 30, 20, 47, 41, 29, 17, 15, 43, 8]
[30, 45, 42, 25, 44, 0, 7, 1, 28, 34, 1, 0, 36, 14, 23, 3, 4, 41, 7, 31, 36, 36, 34, 30, 19, 48, 16, 43, 47, 8, 19, 20, 41, 29, 26, 1, 4, 28, 8, 41, 36, 15, 23, 4, 4, 41, 21, 48, 33, 2, 20, 32, 6, 35, 34, 18, 36, 37, 5, 0, 0, 12, 21, 40, 16, 1, 50, 40, 6, 6, 21, 43, 21, 35, 40, 49, 38, 30, 44, 48, 19, 33, 0, 38, 32, 39, 34, 16, 15, 27, 5, 33, 30, 42, 15, 40, 40, 43, 39, 2, 40, 21, 33, 38, 36, 26, 41, 4, 49, 36, 26, 22, 41, 24, 29, 9, 20, 11, 7, 23, 8, 44, 6, 33, 21, 28, 25, 27, 44, 36, 27, 46, 13, 17, 16, 29, 39, 26, 49, 33]
[12, 40, 11, 33, 34, 7, 0, 3, 17, 28, 18, 25, 3, 49, 12, 31, 34, 22, 34, 9, 3, 38, 28, 22, 19, 26, 5, 48, 10, 50, 35, 49, 6, 37, 28, 42, 28, 43, 33, 40, 25, 35, 38, 48, 20, 39, 42, 35, 25, 33, 9, 40, 4, 27, 35, 10, 0, 44, 23, 7, 21, 30, 12, 10, 2, 16, 28, 10, 10, 48, 8, 10, 15, 15, 22, 37, 9, 23, 44, 45, 14, 21, 24, 10, 43, 8, 8, 36, 23, 29, 15, 15, 47, 39, 5, 45, 4, 45, 33, 43, 38, 18, 12, 17, 41, 2, 2, 13, 33, 2, 19, 26, 28, 21, 36, 26, 47, 28, 17, 25, 26, 44, 50, 29, 44, 12, 18, 15, 31, 0, 28, 32, 5, 1, 16, 9, 3, 49, 50, 34]
[18, 45, 40, 3, 39, 1, 3, 0, 11, 5, 10, 25, 4, 7, 15, 38, 37, 8, 31, 34, 11, 18, 32, 16, 11, 33, 4, 25, 44, 5, 1, 23, 20, 1, 6, 40, 49, 44, 4, 20, 23, 40, 36, 41, 4, 21, 13, 13, 15, 13, 41, 46, 41, 32, 10, 37, 42, 41, 7, 28, 43, 10, 42, 45, 17, 32, 29, 5, 30, 38, 43, 7, 36, 44, 37, 40, 10, 22, 15, 30, 22, 3, 30, 10, 46, 27, 45, 9, 19, 41, 1, 45, 38, 27, 21, 32, 6, 28, 42, 27, 39, 28, 35, 44, 50, 47, 32, 23, 21, 11, 45, 0, 36, 14, 24, 50, 27, 31, 29, 50, 2, 47, 5, 33, 41, 11, 7, 7, 10, 29, 24, 44, 15, 35, 37, 39, 32, 11, 9, 26]
[32, 22, 15, 26, 21, 28, 17, 11, 0, 12, 10, 23, 8, 32, 42, 22, 30, 49, 31, 7, 2, 26, 44, 43, 50, 8, 26, 27, 7, 40, 50, 38, 25, 37, 3, 30, 24, 21, 2, 3, 46, 10, 20, 5, 10, 27, 21, 49, 32, 11, 42, 43, 13, 19, 10, 13, 5, 6, 38, 36, 19, 44, 12, 20, 22, 17, 39, 5, 7, 41, 38, 46, 46, 16, 19, 1, 33, 9, 47, 33, 3, 14, 22, 4, 48, 4, 20, 34, 38, 18, 2, 25, 28, 38, 20, 19, 50, 8, 19, 40, 41, 4, 34, 22, 48, 18, 7, 40, 35, 31, 16, 24, 15, 5, 49, 46, 8, 9, 28, 12, 19, 38, 44, 34, 18, 48, 24, 31, 3, 17, 9, 34, 33, 33, 12, 7, 18, 38, 36, 33]
[12, 4, 14, 6, 42, 34, 28, 5, 12, 0, 22, 47, 5, 10, 10, 7, 24, 8, 36, 15, 31, 9, 4, 20, 32, 24, 2, 15, 22, 21, 2, 15, 41, 22, 49, 34, 50, 5, 50, 38, 29, 21, 19, 23, 45, 35, 38, 37, 1, 25, 31, 30, 11, 48, 21, 10, 23, 8, 39, 43, 11, 12, 47, 13, 18, 14, 42, 7, 30, 9, 14, 38, 14, 16, 37, 20, 13, 21, 28, 17, 21, 26, 13, 40, 13, 40, 38, 35, 26, 10, 41, 39, 41, 25, 1, 6, 45, 0, 14, 7, 3, 1, 6, 10, 47, 3, 37, 5, 49, 41, 43, 46, 25, 45, 32, 47, 3, 4, 30, 20, 20, 23, 17, 2, 10, 27, 7, 12, 47, 7, 41, 39, 49, 19, 37, 43, 29, 41, 7, 37]
