N1,N2,...,Nx
[0, 47, 8, 8, 30, 40, 22, 15, 25, 33, 0, 20, 38, 4, 50, 3, 30, 27, 3, 11, 36, 24, 2, 40, 28, 46, 35, 23, 40, 38, 41, 1, 6, 47, 30, 24, 22, 0, 32, 14, 46, 50, 1, 39, 21, 21, 1, 14, 36, 18, 27, 6, 42, 22, 18, 49, 26, 38, 46, 13, 46, 41, 47, 4, 10, 7, 15, 9, 34, 49, 7, 40, 43, 24, 10, 16, 1, 35, 31, 4, 8, 33, 0, 32, 48, 22, 0, 41, 36, 43, 43, 33, 43, 9]
[47, 0, 40, 33, 36, 6, 48, 9, 6, 42, 8, 20, 20, 11, 39, 19, 21, 45, 30, 39, 9, 31, 47, 19, 20, 32, 22, 7, 2, 11, 7, 36, 31, 27, 29, 26, 20, 20, 40, 25, 6, 47, 5, 36, 13, 47, 20, 46, 23, 26, 3, 35, 43, 48, 10, 40, 24, 34, 43, 23, 50, 30, 29, 17, 26, 5, 37, 39, 39, 47, 48, 2, 49, 46, 32, 9, 8, 38, 43, 17, 12, 17, 32, 37, 31, 2, 12, 45, 27, 35, 8, 26, 46, 38]
[8, 40, 0, 11, 41, 39, 33, 39, 46, 32, 30, 22, 37, 10, 14, 9, 44, 29, 8, 45, 34, 9, 15, 0, 49, 38, 10, 19, 49, 3, 41, 8, 11, 16, 46, 1, 48, 40, 43, 36, 2, 31, 11, 30, 42, 11, 4, 7, 30, 48, 13, 32, 4, 7, 20, 41, 50, 15, 12, 24, 49, 20, 29, 4, 38, 1, 33, 20, 23, 29, 37, 27, 42, 28, 43, 5, 24, 27, 40, 45, 26, 31, 7, 25, 31, 36, 32, 16, 19, 2, 9, 34, 38, 34]
[8, 33, 11, 0, 3, 24, 31, 7, 23, 46, 9, 36, 26, 45, 44, 8, 15, 41, 34, 15, 48, 2, 21, 7, 17, 39, 17, 37, 22, 14, 18, 40, 26, 30, 20, 10, 37, 37, 47, 16, 25, 1, 48, 39, 10, 42, 33, 31, 42, 17, 13, 31, 17, 14, 6, 21, 28, 5, 46, 42, 43, 36, 43, 1, 18, 16, 43, 6, 48, 30, 30, 5, 24, 34, 49, 1, 25, 16, 41, 1, 41, 45, 13, 20, 25, 30, 32, 5, 12, 33, 10, 48, 5, 30]
[30, 36, 41, 3, 0, 46, 30, 12, 2, 11, 16, 21, 24, 9, 29, 13, 33, 42, 43, 16, 43, 5, 23, 17, 8, 3, 45, 3, 11, 36, 32, 27, 27, 7, 48, 44, 45, 39, 36, 3, 35, 32, 39, 7, 28, 4, 20, 32, 21, 40, 32, 39, 11, 35, 37, 5, 41, 49, 4, 20, 22, 31, 27, 28, 25, 10, 44, 19, 28, 30, 46, 34, 12, 22, 27, 14, 31, 46, 5, 6, 10, 32, 10, 13, 3, 3, 0, 46, 46, 15, 45, 1, 14, 3]
[40, 6, 39, 24, 46, 0, 13, 48, 48, 25, 4, 34, 39, 12, 43, 12, 43, 9, 0, 13, 43, 17, 32, 19, 0, 22, 43, 20, 31, 45, 31, 9, 1, 16, 21, 22, 13, 6, 21, 29, 8, 4, 0, 23, 36, 36, 3, 34, 20, 2, 33, 25, 33, 4, 7, 28, 5, 18, 49, 2, 23, 46, 41, 8, 29, 28, 23, 26, 30, 9, 9, 30, 19, 49, 39, 11, 39, 32, 28, 18, 30, 40, 20, 5, 10, 17, 9, 43, 3, 18, 20, 50, 12, 28]
[22, 48, 33, 31, 30, 13, 0, 47, 46, 34, 5, 49, 21, 45, 14, 35, 30, 4, 32, 10, 42, 43, 27, 41, 2, 29, 16, 22, 27, 34, 7, 42, 30, 43, 43, 29, 28, 45, 39, 50, 44, 48, 38, 5, 12, 49, 49, 0, 19, 44, 0, 15, 36, 34, 43, 35, 44, 39, 45, 36, 15, 19, 9, 23, 17, 16, 31, 6, 6, 37, 25, 36, 30, 41, 21, 36, 4, 44, 10, 8, 44, 16, 4, 28, 25, 29, 23, 10, 8, 2, 6, 13, 32, 10]
[15, 9, 39, 7, 12, 48, 47, 0, 2, 14, 4, 13, 19, 3, 50, 23, 14, 25, 32, 24, 0, 5, 37, 6, 8, 2, 40, 20, 22, 4, 38, 36, 32, 21, 50, 32, 49, 49, 8, 3, 10, 31, 44, 2, 34, 31, 29, 35, 13, 1, 33, 39, 6, 2, 6, 50, 16, 21, 0, 6, 25, 41, 26, 43, 49, 14, 0, 9, 46, 38, 12, 22, 46, 7, 42, 7, 1, 45, 26, 27, 5, 42, 3, 34, 22, 13, 22, 10, 1, 6, 37, 35, 25, 34]
[25, 6, 46, 23, 2, 48, 46, 2, 0, 17, 28, 50, 0, 13, 45, 2, 32, 38, 24, 15, 45, 25, 38, 32, 4, 13, 14, 25, 25, 2, 15, 31, 49, 37, 47, 39, 30, 34, 43, 42, 45, 35, 20, 25, 40, 16, 0, 36, 46, 32, 46, 21, 48, 21, 44, 38, 37, 46, 26, 18, 22, 50, 10, 43, 23, 43, 40, 36, 28, 28, 28, 5, 23, 10, 38, 30, 7, 36, 30, 46, 16, 39, 47, 35, 21, 17, 34, 19, 23, 4, 7, 22, 23, 28]
[33, 42, 32, 46, 11, 25, 34, 14, 17, 0, 2, 34, 18, 46, 14, 40, 10, 25, 47, 49, 42, 37, 40, 5, 31, 40, 12, 8, 47, 21, 9, 46, 2, 6, 41, 12, 19, 1, 1, 33, 50, 46, 47, 6, 42, 13, 33, 14, 2, 9, 34, 48, 38, 42, 2, 9, 9, 47, 11, 12, 41, 42, 19, 48, 7, 10, 1, 24, 45, 9, 50, 49, 11, 44, 37, 42, 39, 49, 26, 3, 26, 14, 45, 39, 16, 27, 5, 34, 12, 12, 29, 29, 20, 26]
