N1,N2,...,Nx
[0, 9, 39, 36, 44, 50, 6, 18, 19, 45, 37, 24, 22, 35, 20, 10, 2, 43, 14, 21, 44, 24, 0, 1, 31, 34, 14, 50, 18, 9, 3, 25, 3, 5, 24, 26, 41, 31, 21, 35, 44, 29, 23, 18, 9, 0, 23, 6, 2, 28, 4, 10, 38, 29, 30, 38, 17, 28, 5, 20, 46, 0, 4, 34, 27, 42, 14, 40, 0, 22, 27, 20, 24, 7, 32, 40, 28, 31, 24, 30, 17, 26, 24, 37, 30, 22, 14, 49, 49, 44, 42, 4, 48, 27, 15, 46, 32, 48, 42, 48, 14, 35, 49, 28, 28, 45, 50, 10, 33, 14, 12, 22, 2, 49, 0, 6, 43, 44, 8, 34, 44, 36, 38, 23, 2, 20, 10, 26]
[9, 0, 42, 49, 16, 31, 17, 19, 44, 12, 20, 1, 21, 34, 46, 36, 17, 18, 43, 2, 19, 16, 10, 31, 29, 14, 20, 16, 24, 33, 43, 1, 22, 28, 0, 43, 17, 13, 6, 10, 27, 17, 34, 4, 33, 5, 49, 5, 15, 12, 31, 37, 17, 39, 28, 1, 26, 38, 16, 47, 42, 29, 32, 20, 10, 50, 35, 34, 29, 49, 8, 20, 12, 35, 18, 14, 44, 8, 44, 37, 5, 2, 27, 28, 47, 28, 33, 11, 17, 22, 38, 49, 15, 48, 13, 42, 3, 38, 44, 29, 41, 18, 5, 31, 37, 28, 1, 25, 49, 36, 4, 6, 46, 20, 40, 44, 37, 40, 44, 29, 7, 22, 14, 15, 35, 48, 25, 28]
[39, 42, 0, 25, 34, 41, 17, 25, 16, 14, 22, 26, 25, 36, 31, 1, 16, 10, 40, 36, 18, 35, 41, 21, 31, 4, 24, 47, 33, 22, 35, 32, 17, 41, 45, 18, 30, 15, 23, 6, 28, 33, 23, 43, 17, 39, 2, 29, 25, 44, 40, 14, 4, 6, 14, 29, 45, 37, 19, 21, 7, 10, 15, 18, 37, 34, 47, 24, 23, 18, 29, 39, 16, 24, 42, 31, 43, 21, 4, 8, 38, 6, 6, 19, 37, 43, 19, 3, 24, 32, 39, 29, 4, 33, 36, 29, 45, 13, 18, 25, 10, 16, 2, 18, 13, 22, 33, 23, 1, 36, 20, 40, 37, 9, 0, 7, 8, 42, 27, 9, 49, 1, 2, 5, 37, 3, 33, 39]
[36, 49, 25, 0, 16, 30, 34, 36, 50, 4, 8, 44, 47, 20, 26, 49, 8, 21, 9, 48, 4, 3, 46, 0, 29, 48, 36, 20, 28, 16, 21, 10, 18, 20, 1, 44, 5, 27, 14, 38, 41, 35, 35, 41, 24, 27, 45, 30, 21, 6, 19, 43, 26, 32, 25, 47, 45, 45, 9, 17, 5, 50, 35, 39, 46, 42, 11, 42, 48, 20, 33, 1, 19, 1, 13, 6, 10, 44, 35, 24, 32, 8, 35, 25, 17, 35, 30, 17, 47, 15, 35, 44, 8, 50, 36, 26, 10, 50, 15, 35, 27, 27, 20, 14, 36, 8, 19, 41, 48, 23, 45, 31, 50, 37, 33, 35, 30, 17, 35, 20, 49, 29, 10, 8, 42, 0, 29, 15]
[44, 16, 34, 16, 0, 21, 20, 34, 2, 27, 45, 27, 15, 36, 37, 1, 30, 27, 7, 22, 29, 2, 7, 38, 22, 10, 49, 19, 49, 27, 10, 41, 17, 15, 29, 38, 8, 27, 49, 46, 18, 19, 21, 50, 11, 10, 39, 0, 35, 36, 1, 45, 45, 34, 20, 13, 16, 36, 6, 18, 20, 9, 9, 50, 11, 42, 34, 21, 37, 46, 14, 25, 14, 38, 45, 8, 23, 3, 2, 38, 12, 30, 37, 24, 36, 13, 47, 47, 12, 30, 18, 11, 5, 15, 10, 40, 28, 50, 38, 21, 17, 21, 12, 11, 25, 16, 34, 50, 18, 14, 44, 23, 5, 7, 5, 50, 13, 16, 48, 23, 21, 2, 30, 31, 43, 19, 31, 12]
[50, 31, 41, 30, 21, 0, 27, 21, 49, 50, 31, 36, 26, 18, 47, 5, 5, 27, 41, 26, 49, 37, 31, 17, 3, 40, 34, 20, 25, 26, 6, 28, 38, 35, 38, 34, 11, 17, 37, 42, 26, 1, 31, 12, 5, 23, 50, 13, 37, 47, 15, 40, 49, 33, 17, 14, 10, 7, 31, 10, 24, 30, 38, 2, 12, 44, 10, 13, 49, 30, 50, 49, 31, 50, 3, 20, 22, 1, 47, 6, 43, 45, 49, 1, 5, 31, 50, 31, 49, 42, 26, 13, 43, 29, 19, 32, 15, 35, 44, 43, 21, 7, 2, 11, 18, 43, 44, 38, 14, 20, 3, 1, 24, 12, 34, 50, 14, 25, 28, 47, 6, 44, 33, 43, 47, 37, 25, 15]
[6, 17, 17, 34, 20, 27, 0, 20, 45, 10, 19, 29, 14, 21, 18, 24, 42, 32, 25, 3, 25, 22, 43, 29, 47, 44, 38, 1, 12, 50, 27, 10, 3, 38, 50, 35, 46, 8, 10, 45, 49, 25, 4, 37, 48, 36, 19, 30, 31, 8, 24, 0, 15, 12, 15, 27, 38, 28, 14, 50, 22, 17, 32, 37, 10, 6, 44, 22, 1, 50, 29, 34, 14, 45, 32, 8, 44, 39, 30, 30, 40, 47, 20, 46, 14, 50, 45, 5, 11, 32, 39, 0, 43, 8, 27, 37, 48, 33, 42, 25, 1, 49, 31, 39, 33, 24, 17, 16, 20, 1, 8, 41, 1, 4, 2, 44, 45, 11, 28, 30, 30, 9, 13, 4, 22, 20, 37, 1]
[18, 19, 25, 36, 34, 21, 20, 0, 24, 15, 41, 24, 14, 37, 11, 2, 38, 30, 49, 0, 5, 1, 13, 43, 10, 37, 45, 24, 8, 25, 42, 9, 16, 11, 43, 32, 14, 0, 1, 19, 32, 15, 3, 24, 38, 50, 10, 0, 34, 41, 40, 12, 38, 8, 31, 13, 5, 29, 20, 5, 26, 36, 21, 4, 36, 49, 18, 16, 3, 40, 12, 48, 33, 27, 41, 46, 40, 18, 23, 42, 32, 49, 48, 8, 49, 40, 19, 31, 41, 42, 10, 6, 18, 29, 28, 36, 42, 42, 48, 46, 32, 34, 3, 17, 45, 29, 36, 25, 5, 28, 1, 15, 15, 2, 32, 11, 39, 41, 10, 23, 10, 1, 47, 37, 17, 9, 1, 19]
[19, 44, 16, 50, 2, 49, 45, 24, 0, 50, 37, 42, 27, 10, 34, 10, 18, 16, 10, 47, 28, 24, 41, 0, 3, 21, 10, 4, 25, 38, 11, 37, 41, 34, 36, 22, 4, 49, 12, 34, 10, 19, 40, 22, 19, 45, 9, 27, 37, 48, 17, 10, 42, 42, 16, 16, 17, 22, 26, 11, 31, 5, 6, 45, 43, 26, 48, 25, 47, 49, 13, 28, 5, 15, 20, 32, 40, 27, 43, 3, 29, 3, 21, 45, 39, 36, 29, 42, 31, 15, 7, 33, 30, 39, 10, 20, 48, 17, 16, 0, 36, 30, 28, 46, 17, 28, 8, 26, 11, 44, 50, 3, 37, 43, 2, 40, 27, 14, 41, 43, 17, 19, 11, 18, 26, 6, 29, 7]
[45, 12, 14, 4, 27, 50, 10, 15, 50, 0, 7, 31, 48, 45, 38, 3, 13, 12, 47, 21, 34, 25, 28, 29, 10, 4, 40, 28, 11, 49, 36, 21, 5, 18, 38, 46, 14, 29, 31, 10, 3, 24, 5, 36, 41, 41, 3, 35, 28, 10, 5, 5, 1, 1, 6, 3, 37, 12, 2, 33, 5, 4, 37, 48, 20, 32, 8, 10, 17, 47, 43, 0, 37, 10, 41, 29, 27, 16, 8, 11, 18, 5, 36, 43, 13, 12, 23, 28, 42, 12, 2, 24, 1, 0, 39, 45, 25, 47, 29, 2, 13, 26, 22, 13, 33, 1, 35, 23, 29, 6, 17, 39, 0, 38, 11, 7, 21, 6, 40, 50, 40, 48, 44, 42, 35, 3, 25, 50]
