N1,N2,...,Nx
[0, 44, 23, 46, 42, 46, 23, 10, 10, 13, 38, 38, 48, 42, 23, 25, 36, 4, 42, 7, 11, 39, 22, 23, 37, 8, 3, 22, 11, 49, 4, 46, 31, 38, 5, 50, 32, 23, 27, 43]
[44, 0, 16, 40, 11, 38, 46, 7, 39, 15, 9, 8, 15, 28, 14, 1, 5, 1, 43, 32, 8, 7, 23, 2, 49, 1, 22, 23, 16, 46, 48, 20, 43, 35, 7, 2, 4, 23, 12, 46]
[23, 16, 0, 29, 3, 4, 43, 44, 6, 24, 5, 15, 25, 28, 38, 48, 0, 47, 15, 45, 3, 39, 24, 7, 1, 22, 6, 6, 36, 43, 14, 22, 23, 22, 49, 47, 30, 31, 37, 24]
[46, 40, 29, 0, 8, 20, 24, 32, 43, 10, 50, 8, 46, 22, 4, 14, 40, 11, 29, 28, 20, 36, 17, 20, 45, 3, 35, 31, 16, 40, 42, 27, 7, 45, 38, 7, 12, 24, 1, 4]
[42, 11, 3, 8, 0, 36, 15, 29, 40, 36, 15, 28, 13, 44, 48, 12, 31, 17, 25, 40, 45, 3, 9, 39, 48, 43, 9, 22, 26, 27, 35, 19, 14, 37, 6, 31, 35, 8, 17, 24]
[46, 38, 4, 20, 36, 0, 41, 26, 41, 28, 18, 35, 14, 42, 41, 46, 33, 44, 20, 3, 13, 43, 21, 45, 3, 32, 32, 14, 46, 3, 5, 37, 21, 30, 22, 25, 49, 31, 27, 14]
[23, 46, 43, 24, 15, 41, 0, 38, 39, 40, 47, 17, 25, 33, 49, 11, 48, 10, 24, 45, 23, 13, 31, 21, 3, 22, 23, 29, 3, 7, 39, 42, 12, 25, 10, 31, 0, 17, 1, 12]
[10, 7, 44, 32, 29, 26, 38, 0, 48, 28, 17, 14, 30, 22, 25, 47, 41, 46, 38, 46, 16, 28, 46, 28, 21, 41, 24, 47, 48, 19, 35, 38, 43, 31, 32, 21, 45, 49, 36, 39]
[10, 39, 6, 43, 40, 41, 39, 48, 0, 5, 33, 6, 17, 33, 38, 16, 44, 43, 30, 16, 39, 45, 47, 19, 24, 18, 46, 40, 48, 36, 48, 44, 49, 21, 31, 9, 39, 46, 2, 31]
[13, 15, 24, 10, 36, 28, 40, 28, 5, 0, 18, 35, 32, 44, 18, 38, 4, 16, 25, 25, 35, 37, 15, 26, 44, 10, 17, 19, 23, 29, 31, 42, 28, 15, 13, 17, 34, 30, 41, 21]
[38, 9, 5, 50, 15, 18, 47, 17, 33, 18, 0, 2, 30, 43, 46, 31, 45, 4, 20, 0, 35, 5, 40, 31, 47, 1, 20, 15, 4, 30, 32, 5, 22, 4, 6, 24, 43, 39, 22, 46]
[38, 8, 15, 8, 28, 35, 17, 14, 6, 35, 2, 0, 43, 10, 45, 3, 10, 38, 0, 10, 4, 6, 2, 5, 18, 46, 41, 5, 7, 34, 41, 6, 7, 24, 36, 15, 7, 33, 22, 30]
