N1,N2,...,Nx
[0, 1, 18, 45, 30, 42, 25, 14, 39, 12, 1, 43, 40, 49, 6, 14, 30, 46, 47, 5, 4, 33, 31, 14, 20, 38, 44, 32, 26, 28, 28]
[1, 0, 29, 35, 45, 41, 26, 46, 31, 36, 43, 9, 44, 0, 18, 49, 44, 45, 42, 8, 13, 4, 40, 2, 4, 33, 22, 14, 10, 1, 47]
[18, 29, 0, 43, 36, 1, 36, 35, 9, 2, 18, 2, 39, 30, 6, 19, 21, 22, 34, 31, 34, 27, 50, 0, 30, 34, 50, 44, 0, 12, 32]
[45, 35, 43, 0, 17, 1, 41, 15, 16, 36, 36, 11, 36, 12, 24, 30, 42, 21, 48, 24, 14, 19, 24, 31, 38, 33, 38, 19, 49, 2, 12]
[30, 45, 36, 17, 0, 33, 26, 8, 0, 44, 33, 31, 1, 37, 35, 14, 48, 7, 32, 15, 49, 15, 45, 1, 2, 20, 48, 0, 46, 18, 10]
[42, 41, 1, 1, 33, 0, 10, 19, 25, 47, 10, 42, 17, 48, 42, 17, 11, 38, 46, 49, 24, 33, 12, 40, 31, 14, 24, 37, 41, 44, 28]
[25, 26, 36, 41, 26, 10, 0, 32, 0, 24, 0, 11, 3, 49, 15, 46, 9, 16, 21, 14, 47, 28, 39, 28, 36, 6, 12, 33, 11, 28, 24]
[14, 46, 35, 15, 8, 19, 32, 0, 27, 12, 22, 41, 18, 23, 27, 2, 19, 24, 38, 0, 5, 22, 4, 31, 9, 37, 18, 44, 13, 36, 31]
[39, 31, 9, 16, 0, 25, 0, 27, 0, 4, 38, 39, 31, 38, 1, 39, 20, 14, 3, 0, 5, 30, 3, 24, 49, 47, 3, 11, 6, 23, 4]
[12, 36, 2, 36, 44, 47, 24, 12, 4, 0, 4, 28, 19, 22, 18, 11, 30, 17, 9, 10, 40, 3, 32, 27, 43, 40, 30, 32, 14, 49, 47]
[1, 43, 18, 36, 33, 10, 0, 22, 38, 4, 0, 34, 4, 13, 43, 20, 49, 48, 38, 6, 12, 13, 24, 12, 45, 33, 19, 5, 4, 14, 28]
[43, 9, 2, 11, 31, 42, 11, 41, 39, 28, 34, 0, 33, 21, 43, 20, 48, 16, 3, 14, 2, 3, 13, 17, 31, 45, 3, 18, 12, 32, 21]
