N1,N2,...,Nx
[0, 36, 11, 7, 39, 20, 1, 22, 30, 29, 45, 29, 2, 34, 29, 43, 5, 4, 38, 45, 14, 7, 42, 47, 27, 15, 6, 35, 14, 17, 10, 33, 43, 27, 49, 6, 33, 23, 43, 40, 44, 10, 4, 13, 25, 40, 24, 22, 45, 22, 48, 23, 21, 44, 44, 22, 42, 22, 17, 21, 15, 36, 1, 50, 38, 26, 36, 2, 28, 42, 41, 1, 33, 7, 25, 3, 25, 32, 46, 29, 14, 10, 24, 35, 36, 16, 5, 16, 31, 48, 14, 19, 11, 13, 16, 42, 49, 15]
[36, 0, 14, 28, 28, 38, 26, 0, 7, 23, 15, 27, 48, 34, 35, 4, 50, 3, 14, 10, 30, 0, 33, 48, 42, 43, 45, 43, 49, 11, 37, 45, 13, 28, 10, 30, 27, 47, 49, 9, 31, 15, 33, 5, 44, 43, 34, 23, 18, 20, 28, 48, 18, 5, 11, 8, 19, 34, 24, 28, 17, 10, 33, 32, 33, 30, 34, 42, 25, 35, 27, 0, 24, 27, 38, 19, 4, 47, 10, 37, 41, 31, 34, 35, 16, 36, 22, 26, 49, 29, 7, 27, 9, 49, 14, 28, 29, 26]
[11, 14, 0, 50, 27, 10, 2, 13, 44, 46, 15, 41, 16, 34, 42, 5, 23, 23, 10, 31, 24, 26, 16, 3, 34, 26, 36, 22, 32, 3, 11, 23, 32, 37, 34, 15, 11, 37, 10, 10, 47, 1, 14, 26, 34, 29, 21, 1, 0, 45, 17, 34, 32, 26, 0, 12, 0, 9, 4, 48, 49, 10, 6, 20, 9, 28, 5, 47, 25, 2, 15, 12, 36, 17, 8, 43, 20, 18, 22, 15, 34, 50, 35, 35, 29, 36, 11, 9, 10, 4, 9, 30, 44, 2, 27, 29, 7, 2]
[7, 28, 50, 0, 18, 10, 4, 35, 47, 22, 8, 5, 11, 13, 29, 26, 33, 12, 31, 45, 37, 21, 9, 25, 49, 17, 2, 28, 6, 9, 40, 26, 44, 32, 11, 46, 31, 4, 41, 17, 16, 42, 35, 3, 9, 31, 10, 36, 27, 17, 37, 23, 10, 16, 2, 16, 43, 35, 30, 50, 4, 46, 42, 25, 23, 5, 18, 7, 41, 39, 25, 6, 42, 34, 7, 38, 48, 21, 13, 3, 47, 46, 7, 9, 19, 16, 12, 16, 10, 4, 18, 49, 36, 2, 43, 50, 23, 28]
[39, 28, 27, 18, 0, 41, 25, 43, 24, 4, 39, 7, 48, 24, 31, 34, 46, 0, 23, 11, 19, 6, 46, 16, 41, 14, 25, 19, 11, 31, 25, 32, 47, 39, 20, 46, 2, 42, 42, 27, 9, 40, 48, 13, 30, 9, 34, 44, 5, 22, 16, 42, 7, 49, 4, 9, 1, 8, 26, 29, 11, 42, 24, 12, 3, 15, 13, 26, 42, 7, 19, 15, 28, 34, 0, 5, 13, 10, 15, 33, 9, 40, 30, 29, 44, 1, 17, 18, 0, 19, 33, 50, 8, 19, 36, 44, 13, 15]
[20, 38, 10, 10, 41, 0, 9, 18, 40, 28, 11, 15, 29, 33, 35, 3, 0, 25, 0, 18, 4, 5, 6, 27, 22, 1, 38, 24, 12, 33, 4, 25, 8, 24, 6, 28, 36, 26, 2, 17, 8, 34, 30, 37, 0, 4, 41, 41, 39, 11, 26, 21, 46, 15, 7, 12, 10, 14, 24, 13, 10, 39, 38, 26, 41, 27, 18, 21, 22, 50, 5, 8, 33, 6, 31, 23, 9, 9, 41, 12, 28, 39, 4, 21, 43, 47, 47, 42, 14, 28, 4, 49, 21, 39, 40, 30, 38, 48]
[1, 26, 2, 4, 25, 9, 0, 19, 37, 43, 45, 15, 14, 30, 41, 17, 10, 50, 14, 13, 50, 41, 36, 48, 32, 46, 15, 12, 47, 25, 32, 12, 49, 40, 5, 34, 28, 44, 48, 41, 2, 42, 15, 5, 37, 43, 24, 9, 48, 40, 22, 25, 16, 50, 12, 16, 35, 37, 14, 1, 7, 5, 36, 16, 28, 3, 0, 23, 19, 48, 45, 38, 28, 0, 41, 31, 49, 2, 13, 47, 46, 45, 46, 3, 24, 10, 8, 1, 42, 42, 32, 13, 18, 3, 46, 14, 26, 13]
[22, 0, 13, 35, 43, 18, 19, 0, 44, 42, 15, 40, 31, 48, 42, 0, 18, 40, 5, 14, 44, 8, 9, 31, 21, 16, 30, 38, 5, 36, 6, 4, 22, 36, 6, 34, 23, 30, 27, 41, 39, 48, 23, 46, 15, 12, 30, 37, 34, 45, 15, 9, 25, 46, 49, 10, 11, 24, 33, 35, 24, 16, 24, 33, 23, 25, 27, 39, 25, 39, 40, 20, 2, 1, 10, 2, 40, 31, 6, 40, 18, 19, 4, 39, 18, 22, 0, 38, 30, 15, 15, 18, 28, 38, 5, 42, 16, 9]
[30, 7, 44, 47, 24, 40, 37, 44, 0, 8, 26, 38, 37, 16, 16, 13, 11, 36, 50, 45, 23, 28, 24, 40, 44, 22, 39, 34, 37, 18, 45, 29, 2, 43, 11, 4, 20, 0, 27, 47, 20, 48, 18, 5, 41, 0, 45, 34, 33, 1, 11, 19, 16, 20, 18, 18, 24, 36, 26, 34, 39, 39, 32, 43, 21, 39, 46, 43, 29, 40, 32, 32, 14, 23, 17, 22, 45, 27, 1, 24, 8, 4, 45, 15, 14, 31, 45, 1, 2, 10, 13, 1, 2, 5, 43, 33, 24, 8]
[29, 23, 46, 22, 4, 28, 43, 42, 8, 0, 11, 35, 40, 5, 2, 2, 10, 44, 23, 6, 4, 19, 16, 0, 48, 37, 44, 46, 46, 24, 31, 36, 39, 49, 43, 49, 39, 26, 14, 33, 40, 28, 5, 30, 43, 6, 1, 44, 41, 25, 14, 7, 45, 9, 24, 9, 10, 48, 47, 29, 24, 27, 6, 41, 44, 38, 24, 23, 40, 27, 50, 31, 45, 35, 39, 8, 14, 11, 7, 40, 31, 17, 32, 46, 49, 19, 45, 32, 20, 11, 4, 5, 24, 37, 41, 24, 19, 43]
