N1,N2,...,Nx
[0, 33, 40, 18, 6, 32, 5, 15, 22, 0, 49, 45, 35, 11, 47, 17, 5, 33, 6, 25, 41, 30, 28, 35, 41, 34, 37, 43]
[33, 0, 47, 22, 50, 20, 18, 1, 44, 39, 5, 50, 20, 35, 13, 6, 48, 37, 34, 10, 19, 33, 37, 30, 19, 33, 47, 38]
[40, 47, 0, 41, 21, 30, 21, 47, 41, 46, 39, 1, 42, 35, 4, 48, 17, 12, 6, 29, 4, 50, 1, 45, 33, 13, 21, 40]
[18, 22, 41, 0, 8, 4, 7, 33, 9, 0, 40, 34, 49, 15, 37, 41, 26, 36, 47, 12, 14, 2, 6, 24, 1, 50, 40, 17]
[6, 50, 21, 8, 0, 34, 7, 5, 17, 28, 30, 39, 13, 6, 48, 10, 29, 26, 21, 19, 4, 48, 34, 44, 18, 37, 31, 50]
[32, 20, 30, 4, 34, 0, 1, 32, 9, 21, 26, 41, 21, 22, 7, 28, 9, 29, 43, 23, 48, 7, 31, 11, 42, 17, 44, 22]
[5, 18, 21, 7, 7, 1, 0, 27, 37, 14, 37, 28, 21, 48, 0, 32, 42, 28, 19, 11, 25, 11, 47, 4, 46, 19, 27, 36]
[15, 1, 47, 33, 5, 32, 27, 0, 39, 40, 13, 14, 32, 23, 45, 13, 28, 34, 2, 49, 36, 43, 21, 47, 44, 42, 14, 7]
[22, 44, 41, 9, 17, 9, 37, 39, 0, 37, 46, 43, 36, 30, 15, 48, 34, 23, 49, 41, 18, 46, 47, 37, 17, 22, 16, 23]
[0, 39, 46, 0, 28, 21, 14, 40, 37, 0, 44, 30, 34, 40, 21, 37, 33, 39, 48, 9, 4, 23, 19, 34, 49, 31, 17, 40]
[49, 5, 39, 40, 30, 26, 37, 13, 46, 44, 0, 44, 30, 1, 6, 23, 16, 50, 22, 19, 26, 38, 39, 21, 35, 19, 34, 8]
[45, 50, 1, 34, 39, 41, 28, 14, 43, 30, 44, 0, 25, 4, 13, 44, 4, 35, 0, 24, 30, 29, 0, 23, 14, 41, 32, 11]
[35, 20, 42, 49, 13, 21, 21, 32, 36, 34, 30, 25, 0, 16, 32, 15, 1, 4, 17, 15, 1, 47, 26, 31, 46, 7, 15, 1]
[11, 35, 35, 15, 6, 22, 48, 23, 30, 40, 1, 4, 16, 0, 38, 0, 19, 14, 2, 26, 33, 3, 18, 44, 39, 47, 20, 17]
[47, 13, 4, 37, 48, 7, 0, 45, 15, 21, 6, 13, 32, 38, 0, 42, 9, 25, 46, 11, 48, 49, 31, 26, 16, 31, 18, 8]
[17, 6, 48, 41, 10, 28, 32, 13, 48, 37, 23, 44, 15, 0, 42, 0, 42, 26, 36, 38, 21, 40, 39, 4, 4, 5, 26, 5]
[5, 48, 17, 26, 29, 9, 42, 28, 34, 33, 16, 4, 1, 19, 9, 42, 0, 22, 29, 34, 7, 29, 21, 27, 4, 27, 7, 44]
[33, 37, 12, 36, 26, 29, 28, 34, 23, 39, 50, 35, 4, 14, 25, 26, 22, 0, 30, 15, 10, 6, 14, 24, 19, 12, 36, 20]
[6, 34, 6, 47, 21, 43, 19, 2, 49, 48, 22, 0, 17, 2, 46, 36, 29, 30, 0, 33, 16, 45, 39, 36, 22, 31, 30, 47]
[25, 10, 29, 12, 19, 23, 11, 49, 41, 9, 19, 24, 15, 26, 11, 38, 34, 15, 33, 0, 13, 49, 22, 21, 35, 34, 43, 11]
[41, 19, 4, 14, 4, 48, 25, 36, 18, 4, 26, 30, 1, 33, 48, 21, 7, 10, 16, 13, 0, 15, 20, 21, 8, 21, 28, 9]
[30, 33, 50, 2, 48, 7, 11, 43, 46, 23, 38, 29, 47, 3, 49, 40, 29, 6, 45, 49, 15, 0, 29, 33, 7, 11, 8, 30]
[28, 37, 1, 6, 34, 31, 47, 21, 47, 19, 39, 0, 26, 18, 31, 39, 21, 14, 39, 22, 20, 29, 0, 36, 11, 25, 47, 44]
[35, 30, 45, 24, 44, 11, 4, 47, 37, 34, 21, 23, 31, 44, 26, 4, 27, 24, 36, 21, 21, 33, 36, 0, 30, 27, 48, 27]
[41, 19, 33, 1, 18, 42, 46, 44, 17, 49, 35, 14, 46, 39, 16, 4, 4, 19, 22, 35, 8, 7, 11, 30, 0, 31, 0, 30]
[34, 33, 13, 50, 37, 17, 19, 42, 22, 31, 19, 41, 7, 47, 31, 5, 27, 12, 31, 34, 21, 11, 25, 27, 31, 0, 37, 3]
[37, 47, 21, 40, 31, 44, 27, 14, 16, 17, 34, 32, 15, 20, 18, 26, 7, 36, 30, 43, 28, 8, 47, 48, 0, 37, 0, 43]
[43, 38, 40, 17, 50, 22, 36, 7, 23, 40, 8, 11, 1, 17, 8, 5, 44, 20, 47, 11, 9, 30, 44, 27, 30, 3, 43, 0]
