N1,N2,...,Nx
[0, 46, 10, 32, 1, 35, 49, 3, 20, 33, 38, 47, 14, 25, 24, 12, 13, 38, 17, 9, 38, 44, 20, 19, 39, 0, 0, 8, 0, 36, 36, 2, 41, 40, 48, 26, 42, 47]
[46, 0, 43, 38, 20, 3, 49, 39, 31, 45, 37, 0, 24, 9, 16, 48, 32, 41, 49, 5, 3, 42, 18, 25, 12, 4, 16, 44, 12, 46, 42, 14, 18, 46, 39, 39, 8, 50]
[10, 43, 0, 16, 33, 13, 11, 4, 22, 42, 19, 26, 2, 49, 7, 33, 49, 19, 13, 40, 32, 16, 1, 35, 24, 40, 22, 46, 33, 29, 43, 20, 30, 28, 44, 26, 15, 8]
[32, 38, 16, 0, 36, 5, 28, 46, 42, 4, 9, 46, 8, 13, 45, 13, 14, 44, 25, 33, 49, 49, 18, 2, 42, 33, 48, 39, 31, 50, 8, 5, 38, 2, 6, 3, 40, 12]
[1, 20, 33, 36, 0, 8, 24, 18, 31, 22, 33, 36, 48, 45, 48, 37, 0, 28, 3, 45, 37, 48, 13, 50, 41, 41, 23, 33, 46, 50, 6, 45, 14, 2, 13, 4, 16, 8]
[35, 3, 13, 5, 8, 0, 20, 35, 10, 44, 15, 46, 4, 49, 5, 48, 40, 16, 39, 0, 17, 43, 15, 9, 30, 41, 21, 30, 49, 33, 36, 12, 46, 31, 9, 47, 49, 8]
[49, 49, 11, 28, 24, 20, 0, 26, 5, 13, 6, 1, 4, 22, 41, 34, 17, 4, 44, 15, 44, 49, 20, 38, 35, 32, 43, 34, 35, 1, 13, 14, 27, 35, 40, 11, 27, 26]
[3, 39, 4, 46, 18, 35, 26, 0, 43, 36, 24, 3, 26, 38, 40, 25, 29, 30, 0, 42, 42, 21, 30, 38, 49, 49, 31, 16, 10, 23, 28, 20, 21, 20, 29, 13, 35, 39]
[20, 31, 22, 42, 31, 10, 5, 43, 0, 10, 28, 3, 13, 35, 31, 10, 36, 15, 5, 20, 45, 1, 23, 26, 32, 36, 31, 31, 40, 30, 45, 47, 50, 28, 44, 21, 39, 21]
[33, 45, 42, 4, 22, 44, 13, 36, 10, 0, 50, 42, 2, 10, 10, 3, 34, 13, 4, 6, 49, 40, 35, 44, 45, 13, 34, 12, 37, 1, 19, 3, 6, 3, 43, 18, 50, 31]
[38, 37, 19, 9, 33, 15, 6, 24, 28, 50, 0, 48, 42, 37, 39, 29, 33, 1, 32, 43, 5, 0, 5, 20, 39, 34, 27, 29, 48, 31, 13, 41, 27, 33, 45, 9, 1, 6]
[47, 0, 26, 46, 36, 46, 1, 3, 3, 42, 48, 0, 15, 39, 39, 36, 17, 39, 37, 33, 3, 19, 46, 19, 15, 32, 29, 45, 32, 3, 38, 21, 32, 41, 38, 16, 49, 33]
[14, 24, 2, 8, 48, 4, 4, 26, 13, 2, 42, 15, 0, 6, 13, 36, 30, 1, 25, 1, 28, 1, 50, 34, 6, 18, 11, 49, 45, 29, 36, 14, 0, 37, 15, 3, 3, 10]
[25, 9, 49, 13, 45, 49, 22, 38, 35, 10, 37, 39, 6, 0, 50, 4, 25, 4, 48, 46, 30, 2, 33, 11, 26, 7, 24, 25, 37, 0, 50, 4, 19, 42, 33, 0, 36, 17]
[24, 16, 7, 45, 48, 5, 41, 40, 31, 10, 39, 39, 13, 50, 0, 30, 44, 20, 5, 15, 35, 48, 31, 16, 42, 28, 27, 23, 8, 0, 39, 0, 45, 28, 2, 35, 8, 25]
[12, 48, 33, 13, 37, 48, 34, 25, 10, 3, 29, 36, 36, 4, 30, 0, 8, 37, 3, 47, 7, 0, 5, 28, 20, 38, 23, 31, 10, 23, 30, 42, 29, 9, 12, 46, 1, 38]
[13, 32, 49, 14, 0, 40, 17, 29, 36, 34, 33, 17, 30, 25, 44, 8, 0, 34, 45, 12, 26, 19, 7, 49, 7, 31, 45, 19, 19, 11, 50, 15, 17, 44, 28, 43, 39, 38]
[38, 41, 19, 44, 28, 16, 4, 30, 15, 13, 1, 39, 1, 4, 20, 37, 34, 0, 10, 33, 29, 9, 40, 37, 45, 15, 15, 10, 1, 3, 3, 3, 2, 22, 5, 40, 25, 50]
[17, 49, 13, 25, 3, 39, 44, 0, 5, 4, 32, 37, 25, 48, 5, 3, 45, 10, 0, 3, 45, 50, 15, 5, 9, 30, 39, 17, 18, 40, 24, 10, 28, 40, 20, 2, 32, 38]
[9, 5, 40, 33, 45, 0, 15, 42, 20, 6, 43, 33, 1, 46, 15, 47, 12, 33, 3, 0, 7, 44, 4, 41, 22, 26, 46, 13, 21, 45, 19, 11, 35, 12, 46, 31, 30, 40]
[38, 3, 32, 49, 37, 17, 44, 42, 45, 49, 5, 3, 28, 30, 35, 7, 26, 29, 45, 7, 0, 37, 41, 6, 37, 13, 39, 5, 5, 40, 41, 50, 29, 1, 14, 31, 28, 29]
[44, 42, 16, 49, 48, 43, 49, 21, 1, 40, 0, 19, 1, 2, 48, 0, 19, 9, 50, 44, 37, 0, 19, 16, 16, 29, 45, 37, 30, 29, 46, 8, 4, 39, 38, 3, 31, 49]
[20, 18, 1, 18, 13, 15, 20, 30, 23, 35, 5, 46, 50, 33, 31, 5, 7, 40, 15, 4, 41, 19, 0, 6, 23, 29, 1, 15, 49, 50, 40, 17, 39, 48, 47, 27, 4, 47]
[19, 25, 35, 2, 50, 9, 38, 38, 26, 44, 20, 19, 34, 11, 16, 28, 49, 37, 5, 41, 6, 16, 6, 0, 40, 19, 39, 22, 31, 32, 34, 4, 42, 28, 8, 34, 28, 17]
[39, 12, 24, 42, 41, 30, 35, 49, 32, 45, 39, 15, 6, 26, 42, 20, 7, 45, 9, 22, 37, 16, 23, 40, 0, 40, 41, 43, 18, 7, 41, 33, 35, 40, 0, 30, 49, 4]
[0, 4, 40, 33, 41, 41, 32, 49, 36, 13, 34, 32, 18, 7, 28, 38, 31, 15, 30, 26, 13, 29, 29, 19, 40, 0, 48, 40, 16, 49, 37, 4, 9, 39, 19, 36, 25, 38]
[0, 16, 22, 48, 23, 21, 43, 31, 31, 34, 27, 29, 11, 24, 27, 23, 45, 15, 39, 46, 39, 45, 1, 39, 41, 48, 0, 13, 46, 6, 12, 30, 24, 31, 33, 8, 47, 34]
[8, 44, 46, 39, 33, 30, 34, 16, 31, 12, 29, 45, 49, 25, 23, 31, 19, 10, 17, 13, 5, 37, 15, 22, 43, 40, 13, 0, 31, 44, 24, 17, 29, 26, 38, 23, 15, 10]
[0, 12, 33, 31, 46, 49, 35, 10, 40, 37, 48, 32, 45, 37, 8, 10, 19, 1, 18, 21, 5, 30, 49, 31, 18, 16, 46, 31, 0, 13, 2, 44, 36, 2, 0, 35, 48, 45]
[36, 46, 29, 50, 50, 33, 1, 23, 30, 1, 31, 3, 29, 0, 0, 23, 11, 3, 40, 45, 40, 29, 50, 32, 7, 49, 6, 44, 13, 0, 41, 28, 6, 19, 34, 18, 2, 5]
[36, 42, 43, 8, 6, 36, 13, 28, 45, 19, 13, 38, 36, 50, 39, 30, 50, 3, 24, 19, 41, 46, 40, 34, 41, 37, 12, 24, 2, 41, 0, 5, 32, 33, 46, 12, 16, 2]
[2, 14, 20, 5, 45, 12, 14, 20, 47, 3, 41, 21, 14, 4, 0, 42, 15, 3, 10, 11, 50, 8, 17, 4, 33, 4, 30, 17, 44, 28, 5, 0, 44, 9, 13, 17, 48, 33]
[41, 18, 30, 38, 14, 46, 27, 21, 50, 6, 27, 32, 0, 19, 45, 29, 17, 2, 28, 35, 29, 4, 39, 42, 35, 9, 24, 29, 36, 6, 32, 44, 0, 3, 1, 34, 3, 47]
[40, 46, 28, 2, 2, 31, 35, 20, 28, 3, 33, 41, 37, 42, 28, 9, 44, 22, 40, 12, 1, 39, 48, 28, 40, 39, 31, 26, 2, 19, 33, 9, 3, 0, 30, 10, 27, 20]
[48, 39, 44, 6, 13, 9, 40, 29, 44, 43, 45, 38, 15, 33, 2, 12, 28, 5, 20, 46, 14, 38, 47, 8, 0, 19, 33, 38, 0, 34, 46, 13, 1, 30, 0, 4, 23, 21]
[26, 39, 26, 3, 4, 47, 11, 13, 21, 18, 9, 16, 3, 0, 35, 46, 43, 40, 2, 31, 31, 3, 27, 34, 30, 36, 8, 23, 35, 18, 12, 17, 34, 10, 4, 0, 24, 23]
[42, 8, 15, 40, 16, 49, 27, 35, 39, 50, 1, 49, 3, 36, 8, 1, 39, 25, 32, 30, 28, 31, 4, 28, 49, 25, 47, 15, 48, 2, 16, 48, 3, 27, 23, 24, 0, 43]
[47, 50, 8, 12, 8, 8, 26, 39, 21, 31, 6, 33, 10, 17, 25, 38, 38, 50, 38, 40, 29, 49, 47, 17, 4, 38, 34, 10, 45, 5, 2, 33, 47, 20, 21, 23, 43, 0]
