N1,N2,...,Nx
[0, 13, 16, 36, 26, 41, 4, 19, 17, 33, 32, 14, 8, 45, 44, 37, 33, 42, 44, 45, 43, 31, 6, 36, 10, 29, 2, 43, 37, 49, 2, 8, 25, 35, 6, 2, 35, 44, 19, 28, 41, 44, 6, 33, 5, 1, 1, 30, 13, 9, 8, 8, 28, 41, 45, 29, 1, 10, 48, 48, 20, 44, 2, 43, 24, 14, 17, 34, 5, 1, 6, 39, 45, 7, 22, 9]
[13, 0, 13, 42, 34, 0, 13, 29, 47, 23, 1, 37, 5, 10, 50, 16, 9, 42, 13, 41, 9, 49, 21, 47, 37, 29, 41, 27, 3, 7, 17, 48, 44, 46, 35, 31, 50, 18, 12, 47, 37, 6, 46, 22, 10, 49, 34, 46, 45, 0, 28, 41, 32, 7, 8, 42, 35, 18, 37, 18, 4, 8, 33, 39, 22, 49, 41, 34, 26, 0, 11, 25, 0, 36, 36, 42]
[16, 13, 0, 39, 36, 35, 34, 8, 1, 41, 6, 5, 5, 24, 37, 23, 11, 25, 43, 46, 39, 43, 42, 37, 6, 45, 44, 47, 43, 24, 8, 40, 11, 13, 18, 48, 6, 29, 34, 24, 31, 41, 16, 41, 38, 30, 50, 44, 50, 20, 40, 20, 25, 49, 13, 44, 20, 41, 16, 27, 40, 50, 35, 49, 10, 16, 12, 0, 40, 32, 14, 50, 50, 30, 46, 31]
[36, 42, 39, 0, 13, 16, 47, 4, 11, 47, 43, 44, 49, 41, 43, 37, 21, 34, 17, 14, 5, 48, 43, 27, 18, 2, 41, 10, 33, 25, 1, 32, 29, 9, 37, 3, 46, 49, 40, 25, 29, 32, 44, 28, 23, 11, 43, 42, 33, 13, 31, 42, 14, 4, 20, 4, 38, 2, 31, 33, 25, 35, 5, 42, 44, 28, 47, 7, 44, 30, 42, 48, 3, 35, 44, 0]
[26, 34, 36, 13, 0, 43, 20, 25, 33, 13, 0, 29, 10, 26, 38, 30, 0, 9, 37, 15, 0, 41, 37, 15, 37, 1, 6, 38, 1, 23, 46, 19, 32, 20, 42, 33, 17, 43, 20, 41, 40, 23, 11, 44, 30, 27, 20, 5, 43, 50, 27, 1, 35, 17, 8, 10, 9, 42, 43, 40, 1, 49, 41, 17, 28, 2, 14, 21, 13, 47, 3, 19, 34, 32, 23, 38]
[41, 0, 35, 16, 43, 0, 20, 38, 10, 16, 29, 7, 42, 8, 31, 39, 15, 45, 37, 46, 20, 34, 0, 39, 3, 49, 42, 18, 15, 18, 16, 28, 16, 45, 36, 12, 43, 33, 39, 19, 50, 4, 2, 44, 19, 49, 39, 42, 31, 27, 17, 13, 25, 11, 19, 49, 14, 5, 9, 16, 50, 25, 48, 27, 15, 18, 21, 46, 6, 4, 41, 19, 11, 33, 4, 2]
[4, 13, 34, 47, 20, 20, 0, 4, 16, 25, 46, 29, 44, 48, 28, 32, 4, 30, 0, 44, 40, 7, 11, 21, 5, 0, 20, 24, 14, 11, 47, 22, 16, 6, 22, 7, 40, 36, 37, 21, 40, 8, 13, 35, 25, 15, 29, 1, 39, 2, 17, 39, 0, 12, 47, 46, 7, 35, 11, 22, 7, 38, 11, 7, 25, 21, 26, 7, 41, 36, 31, 10, 5, 42, 1, 4]
[19, 29, 8, 4, 25, 38, 4, 0, 48, 45, 27, 36, 1, 40, 13, 10, 46, 33, 36, 50, 36, 12, 45, 28, 42, 11, 45, 21, 38, 25, 36, 31, 3, 9, 35, 17, 18, 6, 17, 33, 33, 32, 14, 44, 1, 36, 1, 30, 25, 42, 27, 39, 48, 4, 44, 39, 26, 11, 7, 16, 37, 1, 28, 21, 11, 17, 25, 25, 31, 42, 12, 39, 14, 2, 2, 30]
[17, 47, 1, 11, 33, 10, 16, 48, 0, 29, 34, 9, 2, 6, 13, 30, 27, 6, 2, 1, 25, 45, 15, 13, 0, 16, 31, 16, 40, 48, 37, 3, 39, 6, 50, 42, 3, 14, 33, 27, 12, 42, 8, 35, 15, 6, 49, 2, 16, 39, 0, 29, 0, 49, 42, 50, 23, 13, 15, 1, 34, 25, 39, 40, 13, 42, 21, 7, 22, 1, 18, 50, 35, 12, 3, 17]
[33, 23, 41, 47, 13, 16, 25, 45, 29, 0, 13, 45, 24, 39, 19, 36, 45, 24, 45, 23, 12, 31, 28, 32, 19, 36, 4, 27, 7, 4, 9, 31, 6, 20, 8, 24, 8, 42, 2, 3, 43, 10, 10, 49, 2, 11, 11, 7, 5, 23, 27, 47, 9, 3, 19, 4, 41, 14, 24, 14, 28, 5, 30, 39, 48, 21, 43, 45, 42, 27, 22, 19, 32, 20, 15, 30]
