N1,N2,...,Nx
[0, 7, 5, 28, 45, 28, 48, 16, 15, 1, 3, 35, 19, 44, 29, 2, 8, 47, 8, 28, 28, 9, 46, 43, 7, 15, 8, 20, 4, 49, 24, 25, 49, 15, 21, 30, 14, 12, 23, 0, 0, 50, 48, 24, 34, 11, 44, 9, 15, 44, 11, 40, 33, 29, 21, 10, 15, 19, 6, 29, 39, 10, 19, 25, 6, 27, 14, 0, 44, 42, 20, 0, 32, 25, 39, 34, 30, 8, 19, 46, 49, 21, 26, 47, 3, 50, 27, 47, 32, 20, 46, 25, 17, 10, 48, 35, 17, 23, 37, 31, 37, 12, 45, 23, 4, 11, 39, 5, 7, 14, 18, 35]
[7, 0, 23, 43, 43, 8, 40, 27, 8, 42, 30, 30, 28, 27, 15, 6, 40, 42, 49, 34, 4, 3, 30, 9, 45, 50, 17, 19, 21, 49, 24, 47, 37, 18, 20, 6, 27, 40, 21, 42, 30, 41, 50, 48, 31, 35, 37, 3, 10, 44, 23, 41, 5, 24, 48, 4, 7, 36, 2, 29, 15, 29, 21, 12, 34, 9, 25, 36, 40, 6, 40, 50, 1, 17, 34, 36, 35, 11, 36, 21, 10, 49, 16, 4, 30, 17, 20, 31, 45, 23, 34, 39, 2, 44, 27, 23, 17, 2, 10, 30, 39, 28, 10, 13, 12, 9, 2, 40, 46, 20, 24, 46]
[5, 23, 0, 49, 13, 3, 29, 18, 13, 8, 6, 22, 25, 39, 13, 4, 29, 8, 25, 45, 23, 10, 0, 31, 6, 13, 28, 23, 28, 47, 48, 37, 34, 49, 32, 33, 7, 21, 15, 12, 42, 21, 20, 50, 27, 14, 36, 4, 11, 43, 13, 49, 4, 21, 40, 17, 25, 11, 33, 23, 13, 42, 43, 0, 43, 13, 33, 36, 39, 39, 15, 36, 5, 39, 17, 9, 30, 29, 17, 20, 5, 26, 2, 22, 41, 13, 50, 23, 38, 9, 31, 21, 42, 47, 17, 17, 44, 7, 46, 37, 38, 2, 25, 24, 9, 1, 3, 30, 9, 47, 40, 5]
[28, 43, 49, 0, 19, 1, 24, 2, 5, 3, 37, 20, 41, 30, 19, 46, 35, 40, 47, 39, 18, 32, 3, 9, 45, 26, 33, 1, 47, 46, 1, 10, 39, 47, 30, 15, 41, 50, 20, 9, 43, 26, 33, 39, 9, 24, 7, 18, 26, 17, 2, 48, 13, 26, 31, 40, 49, 21, 6, 26, 30, 2, 47, 9, 11, 48, 11, 24, 36, 15, 9, 26, 3, 39, 49, 42, 21, 2, 4, 24, 27, 26, 35, 28, 42, 34, 7, 40, 50, 24, 30, 37, 32, 5, 6, 44, 35, 16, 21, 41, 12, 4, 36, 43, 22, 19, 2, 29, 49, 34, 2, 32]
[45, 43, 13, 19, 0, 26, 19, 16, 14, 37, 22, 21, 40, 28, 0, 42, 11, 34, 8, 27, 17, 32, 42, 28, 4, 30, 46, 13, 29, 19, 2, 4, 0, 34, 40, 17, 34, 32, 26, 18, 15, 43, 21, 3, 29, 12, 25, 42, 48, 23, 1, 25, 17, 42, 8, 20, 13, 23, 39, 49, 44, 49, 15, 37, 1, 40, 48, 29, 13, 8, 48, 44, 46, 48, 26, 3, 19, 31, 37, 15, 21, 41, 33, 38, 18, 50, 44, 38, 2, 18, 25, 27, 18, 7, 3, 27, 21, 27, 18, 11, 1, 40, 12, 18, 1, 42, 4, 28, 18, 20, 4, 11]
[28, 8, 3, 1, 26, 0, 11, 23, 44, 27, 27, 26, 33, 18, 47, 39, 18, 18, 31, 10, 19, 20, 50, 8, 32, 36, 34, 10, 29, 44, 7, 2, 8, 6, 17, 21, 25, 1, 47, 10, 42, 46, 39, 35, 45, 36, 24, 26, 28, 31, 22, 50, 12, 50, 37, 18, 33, 9, 13, 39, 27, 24, 18, 11, 44, 4, 15, 2, 31, 3, 36, 42, 44, 10, 33, 1, 4, 6, 30, 33, 30, 43, 4, 32, 6, 0, 3, 21, 33, 18, 16, 29, 45, 21, 30, 26, 43, 29, 15, 17, 12, 2, 23, 16, 25, 16, 10, 27, 49, 0, 9, 45]
[48, 40, 29, 24, 19, 11, 0, 3, 26, 26, 3, 4, 21, 16, 38, 39, 43, 6, 14, 36, 2, 45, 47, 48, 25, 21, 28, 14, 50, 1, 36, 32, 30, 10, 36, 36, 42, 49, 23, 11, 19, 33, 27, 23, 11, 23, 15, 46, 32, 21, 3, 0, 25, 40, 30, 44, 17, 26, 3, 24, 26, 32, 8, 13, 12, 38, 45, 15, 41, 45, 8, 10, 49, 11, 46, 48, 17, 48, 24, 30, 46, 41, 14, 32, 19, 21, 7, 8, 36, 30, 5, 49, 46, 16, 16, 42, 26, 19, 5, 42, 2, 2, 19, 42, 50, 3, 38, 0, 36, 15, 10, 22]
[16, 27, 18, 2, 16, 23, 3, 0, 10, 16, 12, 9, 50, 10, 7, 0, 11, 42, 27, 47, 5, 48, 45, 30, 10, 22, 6, 40, 48, 16, 11, 3, 43, 48, 26, 9, 31, 10, 44, 38, 16, 20, 6, 13, 6, 7, 26, 46, 17, 23, 30, 20, 8, 19, 38, 26, 16, 46, 31, 45, 27, 17, 34, 47, 27, 28, 26, 27, 16, 50, 20, 8, 36, 26, 26, 48, 8, 12, 5, 43, 50, 13, 10, 39, 45, 11, 17, 5, 31, 15, 38, 50, 16, 50, 21, 6, 30, 32, 45, 9, 44, 49, 44, 46, 2, 17, 45, 26, 1, 27, 21, 32]
[15, 8, 13, 5, 14, 44, 26, 10, 0, 47, 9, 35, 25, 8, 25, 27, 38, 20, 7, 46, 44, 48, 27, 47, 21, 9, 8, 24, 24, 24, 6, 30, 11, 46, 8, 22, 42, 8, 19, 14, 40, 32, 49, 47, 37, 32, 33, 15, 47, 26, 3, 47, 39, 18, 36, 42, 17, 36, 28, 29, 46, 12, 47, 8, 26, 45, 24, 42, 46, 41, 36, 36, 47, 40, 49, 36, 37, 12, 36, 6, 5, 22, 36, 30, 29, 47, 41, 0, 42, 26, 7, 15, 39, 3, 15, 31, 37, 42, 27, 38, 36, 46, 18, 12, 5, 16, 11, 17, 33, 1, 37, 32]
[1, 42, 8, 3, 37, 27, 26, 16, 47, 0, 27, 48, 18, 5, 14, 8, 8, 20, 1, 17, 22, 14, 2, 6, 25, 6, 24, 9, 5, 35, 17, 32, 39, 26, 24, 20, 47, 35, 47, 47, 27, 11, 25, 13, 13, 30, 6, 30, 34, 18, 28, 43, 48, 33, 9, 42, 27, 11, 20, 15, 26, 15, 22, 2, 48, 0, 31, 12, 12, 26, 6, 19, 47, 10, 27, 30, 0, 29, 11, 8, 16, 28, 7, 47, 45, 3, 3, 19, 14, 26, 48, 50, 6, 7, 24, 13, 49, 3, 9, 40, 34, 30, 50, 18, 43, 27, 23, 32, 15, 33, 47, 30]
[3, 30, 6, 37, 22, 27, 3, 12, 9, 27, 0, 8, 30, 39, 25, 26, 1, 6, 34, 24, 34, 25, 38, 42, 35, 12, 37, 44, 48, 22, 36, 26, 42, 44, 8, 24, 21, 41, 5, 16, 35, 45, 4, 24, 42, 23, 19, 20, 0, 30, 1, 45, 33, 2, 7, 15, 32, 0, 41, 23, 9, 2, 46, 40, 24, 50, 42, 1, 17, 17, 26, 12, 37, 45, 19, 3, 43, 17, 7, 18, 22, 35, 29, 44, 26, 28, 33, 10, 41, 17, 38, 26, 33, 33, 46, 33, 0, 41, 17, 20, 41, 12, 28, 48, 17, 32, 12, 20, 49, 14, 16, 42]
