N1,N2,...,Nx
[0, 0, 36, 0, 4, 40, 42, 17, 23, 49, 14, 12, 37, 38, 25, 42, 13, 8, 5, 11, 27, 23, 4, 12, 4, 44, 27, 49, 0, 1, 40, 14, 4, 48, 44, 14, 36, 9, 41, 41, 16, 29, 40, 46, 36, 21, 41, 11, 15, 24, 24, 14, 46, 13, 16, 35, 4, 36, 47, 23, 9, 27, 41, 28, 31, 47, 16, 36, 0, 18, 26, 12, 47, 36, 12, 21, 25, 0, 8, 3, 10, 15, 1, 23, 30, 10, 34, 7, 39, 1, 50, 26, 49, 45, 27, 50, 49, 32, 26, 13, 17, 46, 34, 21, 44, 13, 5, 12, 4, 33, 17, 1, 28, 47, 50, 18, 20, 43, 1, 31, 17, 18, 49, 28, 9, 45, 13, 43, 48, 37]
[0, 0, 33, 21, 2, 4, 22, 17, 21, 48, 14, 21, 35, 3, 48, 14, 35, 50, 34, 34, 22, 1, 47, 48, 4, 31, 39, 44, 13, 13, 29, 25, 43, 35, 23, 23, 33, 12, 40, 35, 15, 2, 29, 13, 49, 17, 13, 42, 25, 9, 25, 42, 19, 16, 10, 23, 16, 42, 43, 36, 21, 47, 19, 46, 42, 28, 3, 23, 33, 17, 43, 29, 15, 36, 42, 48, 6, 0, 15, 43, 32, 20, 14, 8, 30, 14, 18, 43, 14, 31, 17, 14, 12, 5, 21, 47, 46, 19, 35, 0, 48, 25, 47, 0, 26, 1, 18, 8, 28, 39, 48, 16, 2, 31, 17, 4, 25, 21, 11, 15, 19, 33, 18, 48, 44, 29, 42, 30, 6, 49]
[36, 33, 0, 1, 40, 20, 28, 43, 2, 39, 2, 28, 26, 9, 27, 5, 32, 21, 24, 11, 44, 17, 41, 34, 39, 3, 20, 7, 37, 49, 40, 16, 5, 29, 28, 3, 24, 33, 38, 7, 2, 11, 15, 47, 7, 28, 23, 29, 7, 9, 13, 36, 35, 1, 11, 34, 7, 23, 42, 11, 1, 1, 4, 13, 4, 12, 19, 36, 42, 6, 9, 18, 25, 27, 28, 37, 25, 31, 28, 24, 46, 34, 29, 2, 44, 38, 15, 46, 18, 31, 33, 36, 0, 35, 3, 24, 42, 6, 2, 6, 22, 49, 45, 23, 0, 46, 24, 20, 49, 17, 2, 47, 25, 17, 23, 47, 11, 24, 39, 20, 20, 0, 23, 11, 20, 21, 46, 10, 29, 12]
[0, 21, 1, 0, 7, 29, 47, 33, 47, 16, 39, 9, 36, 34, 46, 25, 7, 6, 6, 7, 13, 25, 40, 19, 46, 26, 18, 40, 13, 29, 47, 23, 26, 19, 36, 23, 25, 35, 24, 18, 26, 37, 3, 46, 7, 27, 4, 24, 43, 27, 19, 20, 24, 19, 10, 23, 1, 38, 13, 9, 20, 29, 39, 46, 10, 12, 23, 39, 19, 41, 27, 11, 26, 12, 16, 11, 39, 6, 36, 23, 11, 13, 1, 14, 7, 7, 46, 7, 2, 39, 11, 17, 50, 8, 38, 30, 50, 45, 49, 24, 23, 21, 10, 21, 6, 22, 10, 12, 3, 9, 4, 34, 36, 23, 6, 32, 42, 10, 3, 17, 5, 27, 9, 24, 37, 18, 43, 28, 28, 29]
[4, 2, 40, 7, 0, 5, 3, 18, 25, 3, 46, 8, 22, 4, 0, 36, 44, 35, 17, 44, 30, 4, 15, 41, 46, 40, 4, 39, 38, 9, 37, 24, 48, 21, 32, 26, 26, 49, 35, 41, 12, 30, 46, 28, 32, 40, 39, 45, 38, 42, 28, 42, 2, 31, 46, 34, 45, 42, 33, 3, 4, 28, 44, 35, 48, 9, 47, 36, 5, 10, 30, 5, 10, 34, 16, 31, 6, 49, 7, 49, 25, 39, 31, 45, 48, 37, 27, 17, 8, 15, 30, 38, 6, 50, 20, 7, 19, 18, 23, 38, 25, 3, 42, 38, 16, 41, 24, 4, 46, 7, 9, 10, 37, 23, 5, 20, 37, 24, 12, 7, 3, 1, 27, 0, 48, 11, 26, 23, 48, 14]
[40, 4, 20, 29, 5, 0, 7, 38, 29, 3, 1, 3, 48, 26, 24, 14, 48, 16, 44, 13, 10, 17, 23, 39, 13, 7, 14, 8, 32, 4, 20, 41, 10, 25, 1, 17, 44, 3, 22, 48, 23, 11, 26, 0, 7, 45, 10, 42, 26, 39, 27, 11, 47, 42, 34, 11, 12, 28, 26, 3, 45, 21, 34, 23, 29, 36, 35, 7, 13, 44, 22, 47, 43, 46, 17, 12, 19, 40, 11, 20, 10, 43, 16, 45, 5, 38, 28, 22, 14, 45, 25, 44, 0, 40, 20, 23, 25, 35, 42, 19, 34, 16, 45, 25, 6, 17, 36, 10, 33, 28, 49, 40, 25, 8, 31, 16, 25, 21, 18, 30, 14, 38, 0, 24, 32, 34, 13, 30, 4, 47]
[42, 22, 28, 47, 3, 7, 0, 36, 5, 50, 35, 35, 22, 25, 18, 27, 33, 43, 22, 45, 20, 31, 29, 24, 0, 3, 5, 48, 1, 28, 50, 1, 49, 50, 45, 47, 6, 30, 40, 48, 47, 12, 5, 5, 10, 33, 8, 21, 0, 5, 39, 27, 1, 31, 19, 6, 2, 48, 10, 49, 46, 28, 26, 36, 29, 50, 44, 41, 34, 1, 10, 41, 21, 27, 43, 38, 7, 9, 17, 41, 30, 7, 24, 49, 43, 32, 14, 48, 44, 39, 34, 38, 3, 11, 21, 35, 43, 42, 8, 40, 8, 6, 28, 8, 10, 44, 6, 12, 46, 26, 40, 11, 47, 20, 41, 46, 37, 22, 1, 13, 5, 7, 18, 35, 34, 11, 3, 22, 30, 31]
[17, 17, 43, 33, 18, 38, 36, 0, 38, 28, 17, 43, 18, 50, 24, 47, 29, 27, 28, 9, 3, 1, 15, 36, 12, 5, 48, 48, 33, 34, 50, 3, 8, 20, 12, 8, 45, 30, 41, 25, 50, 26, 1, 0, 5, 31, 26, 49, 19, 29, 27, 49, 41, 6, 10, 4, 39, 19, 9, 14, 8, 16, 0, 32, 42, 25, 28, 35, 31, 39, 17, 4, 34, 46, 48, 30, 50, 22, 48, 42, 8, 20, 25, 30, 4, 12, 28, 9, 25, 30, 40, 37, 45, 35, 13, 1, 36, 41, 23, 2, 36, 42, 42, 18, 7, 11, 26, 4, 1, 24, 11, 15, 30, 42, 6, 48, 47, 38, 29, 35, 15, 24, 37, 6, 16, 31, 49, 5, 30, 3]
[23, 21, 2, 47, 25, 29, 5, 38, 0, 40, 2, 13, 33, 21, 12, 22, 37, 37, 44, 13, 14, 14, 26, 46, 6, 39, 31, 35, 18, 35, 19, 4, 26, 39, 50, 34, 31, 19, 0, 4, 26, 5, 17, 23, 41, 3, 19, 46, 28, 15, 48, 36, 29, 8, 36, 1, 39, 42, 20, 13, 21, 11, 37, 25, 10, 19, 41, 0, 37, 11, 1, 8, 37, 4, 8, 6, 6, 20, 10, 23, 1, 28, 3, 2, 42, 30, 9, 2, 38, 33, 50, 21, 23, 50, 26, 11, 44, 35, 24, 31, 14, 48, 33, 12, 42, 44, 42, 36, 0, 50, 23, 10, 11, 45, 39, 7, 12, 16, 20, 7, 50, 31, 25, 9, 0, 25, 7, 3, 28, 6]
[49, 48, 39, 16, 3, 3, 50, 28, 40, 0, 44, 5, 32, 9, 26, 45, 8, 41, 8, 13, 31, 6, 38, 36, 8, 16, 46, 48, 44, 21, 43, 12, 33, 29, 13, 21, 46, 3, 41, 44, 41, 36, 12, 28, 49, 27, 14, 50, 18, 39, 49, 43, 2, 34, 16, 49, 47, 14, 13, 14, 19, 47, 48, 47, 25, 6, 21, 23, 41, 37, 9, 36, 45, 39, 29, 14, 3, 29, 7, 14, 4, 32, 18, 27, 4, 14, 6, 38, 38, 50, 38, 40, 8, 28, 49, 17, 35, 44, 31, 35, 35, 15, 50, 18, 44, 37, 13, 31, 50, 35, 33, 34, 44, 20, 19, 5, 45, 27, 30, 24, 47, 45, 21, 30, 33, 22, 50, 30, 47, 25]
